Till statsrådet Maj-Inger Klingvall ;I//PP//case//1 januari//NN|UTR|SIN|IND|NOM//obl//3 1997//RG|NOM//nummod//1 beslutade//VB|PRT|AKT//ROOT//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//6 direktiv//NN|NEU|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//8 gav//VB|PRT|AKT//acl:relcl//6 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obj//8 i//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//8 att//IE//mark//15 utforma//VB|INF|AKT//advcl//8 förslag//NN|NEU|PLU|IND|NOM//obj//15 till//PP//case//20 ett//DT|NEU|SIN|IND//det//20 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//20 system//NN|NEU|SIN|IND|NOM//nmod//16 för//PP//case//23 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 ersättning//NN|UTR|SIN|IND|NOM//nmod//20 vid//PP//case//27 långvarigt//AB|POS//advmod//26 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//27 arbetsförmåga//NN|UTR|SIN|IND|NOM//obl//15 (//PAD//punct//3 dir//NN|AN//nmod//30 1997:9//RG|NOM//appos//3 )//PAD//punct//30 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Det//DT|NEU|SIN|DEF//det//35 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 systemet//NN|NEU|SIN|DEF|NOM//nsubj//37 skall//VB|PRS|AKT//aux//37 ersätta//VB|INF|AKT//parataxis//3 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 system//NN|NEU|SIN|IND|NOM//obj//37 med//PP//case//41 förtidspension//NN|UTR|SIN|IND|NOM//nmod//39 och//KN//cc//43 sjukbidrag//NN|NEU|SIN|IND|NOM//conj//41 .//MAD//punct//37
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//appos//37 (//PAD//punct//45 S//PM|NOM//appos//45 1997:03//RG|NOM//flat:name//47 )//PAD//punct//45 om//PP//case//51 ersättning//NN|UTR|SIN|IND|NOM//obl//37 vid//PP//case//55 långvarigt//AB|POS//advmod//54 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//55 arbetsförmåga//NN|UTR|SIN|IND|NOM//nmod//51 har//VB|PRS|AKT//aux//57 tagit//VB|SUP|AKT//conj//3 namnet//NN|NEU|SIN|DEF|NOM//nmod//59 Förtidspensionsutredningen//NN|UTR|SIN|DEF|NOM//obj//57 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;I//PP//case//1 oktober//NN|UTR|SIN|IND|NOM//obl//3 1997//RG|NOM//nummod//1 beslutade//VB|PRT|AKT//ROOT//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//6 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//8 gav//VB|PRT|AKT//acl:relcl//6 förutsättningen//NN|UTR|SIN|DEF|NOM//obj//8 att//SN//mark//13 förslagen//NN|NEU|PLU|DEF|NOM//nsubj//13 skulle//VB|PRT|AKT//aux//13 hålla//VB|INF|AKT//ccomp//8 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//13 inom//PP//case//18 en//DT|UTR|SIN|IND//det//18 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 utgiftsram//NN|NEU|SIN|IND|NOM//obl//13 jämfört//PC|PRF|NEU|SIN|IND|NOM//case//22 med//PP//fixed//19 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 regler//NN|UTR|PLU|IND|NOM//nmod//18 (//PAD//punct//3 dir//NN|AN//nmod:poss//25 1997:123//RG|NOM//appos//3 )//PAD//punct//25 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 skall//VB|PRS|AKT//aux//4 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//4 lämna//VB|INF|AKT//ROOT//4 en//DT|UTR|SIN|IND//det//7 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//7 redovisning//NN|UTR|SIN|IND|NOM//obj//4 i//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 delar//NN|UTR|PLU|IND|NOM//obl//4 av//PP//case//12 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//10 som//HP|-|-|-//nsubj//15 särskilt//AB//advmod//15 berör//VB|PRS|AKT//acl:relcl//10 ungdomar//NN|UTR|PLU|IND|NOM//obj//15 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Efter//PP//mark//22 att//SN//mark//22 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//22 har//VB|PRS|AKT//aux//22 fattat//VB|SUP|AKT//advcl//34 beslut//NN|NEU|SIN|IND|NOM//obj//22 om//PP//case//26 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//26 tid//NN|UTR|SIN|IND|NOM//obl//22 för//PP//case//29 denna//DT|UTR|SIN|DEF//det//29 del//NN|UTR|SIN|IND|NOM//nmod//26 av//PP//case//31 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//29 skall//VB|PRS|AKT//aux//34 redovisningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//34 lämnas//VB|INF|SFO//parataxis//4 senast//AB|SUV//case//38 den//DT|UTR|SIN|DEF//det//37 1//RO|NOM//nummod//38 augusti//NN|UTR|SIN|IND|NOM//obl//34 1998//RG|NOM//nummod//38 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 i//PP//case//3 november//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//7 december//NN|UTR|SIN|IND|NOM//obl//7 1997//RG|NOM//nummod//5 lämnat//VB|SUP|AKT//conj//1 betänkandena//NN|NEU|PLU|DEF|NOM//obj//7 Ohälsoförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//8 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Trygghet//NN|UTR|SIN|IND|NOM//obj//1 och//KN//cc//13 aktivitet//NN|UTR|SIN|IND|NOM//conj//11 (//PAD//punct//1 SOU//PM|NOM//nmod//16 1997:166//RG|NOM//appos//1 )//PAD//punct//16 och//KN//cc//19 Ohälsoförsäkringen//NN|UTR|SIN|DEF|NOM//conj//16 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Övergångsbestämmelser//NN|UTR|PLU|IND|NOM//obj//1 (//PAD//punct//21 SOU//PM|NOM//nmod//24 1997:189//RG|NOM//appos//21 )//PAD//punct//21 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 betänkande//NN|NEU|SIN|IND|NOM//obl//3 presenteras//VB|PRS|SFO//ROOT//3 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//3 till//PP//mark//10 hur//HA//advmod//10 ohälsoförsäkringens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 regler//NN|UTR|PLU|IND|NOM//nsubj:pass//10 kan//VB|PRS|AKT//aux//10 utformas//VB|INF|SFO//advcl//3 så//AB//mark//25 att//SN//fixed//11 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//25 i//PP//case//16 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 utsträckning//NN|UTR|SIN|IND|NOM//obl//25 än//KN//mark//19 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 regler//NN|UTR|PLU|IND|NOM//acl//16 för//PP//case//21 förtidspension//NN|UTR|SIN|IND|NOM//nmod//19 och//KN//cc//23 sjukbidrag//NN|NEU|SIN|IND|NOM//conj//21 kan//VB|PRS|AKT//aux//25 medverka//VB|INF|AKT//advcl//10 till//PP//case//29 en//DT|UTR|SIN|IND//det//29 positiv//JJ|POS|UTR|SIN|IND|NOM//amod//29 utveckling//NN|UTR|SIN|IND|NOM//obl//25 för//PP//case//34 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 svårt//AB|POS//amod//34 funktionshindrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 personer//NN|UTR|PLU|IND|NOM//nmod//29 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;En//DT|UTR|SIN|IND//det//2 ny//JJ|POS|UTR|SIN|IND|NOM//amod//2 ersättningsform//NN|UTR|SIN|IND|NOM//nsubj:pass//6 ,//MID//punct//4 habiliteringspenning//NN|UTR|SIN|IND|NOM//conj//2 ,//MID//punct//6 föreslås//VB|PRS|SFO//ROOT//6 .//MAD//punct//6
