Ett gemensamt bostadsförsörjningsansvar;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//5 planering//NN|UTR|SIN|IND|NOM//nmod//2 för//PP//case//7 bostäder//NN|UTR|PLU|IND|NOM//nmod//5
Ett gemensamt bostadsförsörjningsansvar;Stockholm//PM|NOM//ROOT//0 2018//RG|NOM//nummod//0

Till statsrådet Peter Eriksson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 9//RO|NOM//nummod//4 februari//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 bemyndiga//VB|INF|AKT//advcl//1 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Peter//PM|NOM//obj//7 Eriksson//PM|NOM//flat//9 att//IE//mark//12 tillkalla//VB|INF|AKT//xcomp//7 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 utreda//VB|INF|AKT//acl//17 hur//HA//advmod//21 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 bedömningar//NN|UTR|PLU|IND|NOM//nsubj//26 av//PP//case//24 bostadsbyggnadsbehovet//NN|NEU|SIN|DEF|NOM//nmod//22 ska//VB|PRS|AKT//aux//26 påverka//VB|INF|AKT//conj//1 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//28 planering//NN|UTR|SIN|IND|NOM//obj//26 .//MAD//punct//26
Till statsrådet Peter Eriksson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//31 beslutade//VB|PRT|AKT//parataxis//26 samtidigt//AB//case//34 om//PP//fixed//32 direktiv//NN|NEU|PLU|IND|NOM//obl//31 för//PP//case//36 utredningen//NN|UTR|SIN|DEF|NOM//nmod//34 (//PAD//punct//36 dir//NN|AN//appos//36 .//MAD//punct//31
Till statsrådet Peter Eriksson;2017:12//RG|NOM//obl//31 )//PAD//punct//31 .//MAD//punct//1
Till statsrådet Peter Eriksson;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 från//PP//case//9 och//KN//fixed//4 med//PP//fixed//4 den//DT|UTR|SIN|DEF//det//9 9//RO|NOM//nummod//9 februari//NN|UTR|SIN|IND|NOM//nmod//12 2017//RG|NOM//nummod//11 förvaltningschefen//NN|UTR|SIN|DEF|NOM//appos//9 Hanna//PM|NOM//nsubj//3 Wiik//PM|NOM//flat:name//12 .//MAD//punct//3
Till statsrådet Peter Eriksson;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//16 överlämnade//VB|PRT|AKT//parataxis//3 den//DT|UTR|SIN|DEF//det//19 28//RG|NOM//nummod//19 september//NN|UTR|SIN|IND|NOM//obl//16 2017//RG|NOM//nummod//19 delbetänkandet//NN|NEU|SIN|DEF|NOM//obl//16 En//DT|UTR|SIN|IND//det//24 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//24 bild//NN|UTR|SIN|IND|NOM//obj//16 av//PP//case//26 bostadsbyggnadsbehovet//NN|NEU|SIN|DEF|NOM//nmod//24 ,//MID//punct//28 SOU//PM|NOM//conj//26 2017:73//RG|NOM//obl//16 .//MAD//punct//33
Till statsrådet Peter Eriksson;I//PP//case//32 delbetänkandet//NN|NEU|SIN|DEF|NOM//obl//33 behandlades//VB|PRT|SFO//conj//16 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//35 frågeställningar//NN|UTR|PLU|IND|NOM//nsubj:pass//33 i//PP//case//39 de//DT|UTR/NEU|PLU|DEF//det//39 ursprungliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 direktiven//NN|NEU|PLU|DEF|NOM//obl//33 .//MAD//punct//3
Till statsrådet Peter Eriksson;Den//DT|UTR|SIN|DEF//det//2 20//RG|NOM//nummod//2 juli//NN|UTR|SIN|IND|NOM//obl//4 2017//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//4 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//4
Till statsrådet Peter Eriksson;2017:85//RG|NOM//conj//4 )//PAD//punct//14 innehållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 uppdrag//NN|NEU|PLU|IND|NOM//parataxis//4 att//IE//mark//19 i//PP//case//18 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 avseenden//NN|NEU|PLU|IND|NOM//obl//19 behandla//VB|INF|AKT//acl//14 frågan//NN|UTR|SIN|DEF|NOM//obj//19 om//PP//mark//24 hur//HA//advmod//24 kommunerna//NN|UTR|PLU|DEF|NOM//nsubj//24 arbetar//VB|PRS|AKT//acl//20 med//PP//case//26 bostadsbehoven//NN|NEU|PLU|DEF|NOM//obl//24 för//PP//case//28 grupper//NN|UTR|PLU|IND|NOM//nmod//26 med//PP//case//31 svag//JJ|POS|UTR|SIN|IND|NOM//amod//31 ställning//NN|UTR|SIN|IND|NOM//nmod//28 på//PP//case//33 bostadsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//31 .//MAD//punct//4
