
Sverige skall vara en pådrivande kraft och ett fö regångsland i strävan att skapa ett hållbart samhälle.;Ur//PP//case//2 regeringsfö//NN|UTR|SIN|IND|NOM//amod//2 rklaringen//NN|UTR|SIN|DEF|NOM//ROOT//2 den//DT|UTR|SIN|DEF//det//5 22//RG|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//2 1996//RG|NOM//nummod//5


Till Regeringen;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obl//6 1995//RG|NOM//nummod//4 gav//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 Miljö//NN|UTR|SIN|IND|NOM//nsubj//6 vårdsberedningen//NN|UTR|SIN|DEF|NOM//obj//6 (//PAD//punct//9 Jo//PM|NOM//punct//6 1968//RG|NOM//nummod//6 ://MID//punct//14
Till Regeringen;A//NN|NEU|SIN|IND|NOM//appos//6 )//PAD//punct//14 genom//PP//case//17 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//6 (//PAD//punct//19 1995:22//RG|NOM//appos//17 )//PAD//punct//19 i//PP//case//22 uppdrag//NN|NEU|SIN|IND|NOM//conj//17 att//IE//mark//24 ägna//VB|INF|AKT//acl//22 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//24 åt//PP//compound:prt//24 att//IE//mark//28 integrera//VB|INF|AKT//xcomp//24 miljö//NN|UTR|SIN|IND|NOM//obj//28 arbetet//NN|NEU|SIN|DEF|NOM//obj//28 i//PP//case//34 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 sektorer//NN|UTR|PLU|IND|NOM//obl//28 .//MAD//punct//6
Till Regeringen;Beredningen//NN|UTR|SIN|DEF|NOM//nsubj//41 har//VB|PRS|AKT//aux//41 som//KN//mark//41 lö//NN|UTR|SIN|IND|NOM//fixed//38 pande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 uppdrag//NN|NEU|SIN|IND|NOM//parataxis//6 att//IE//mark//46 under//PP//case//45 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 mandatperioden//NN|UTR|SIN|DEF|NOM//obl//46 utreda//VB|INF|AKT//acl//41 ,//MID//punct//48 formulera//VB|INF|AKT//conj//46 och//KN//cc//50 fö//UO//conj//46 reslå//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 konkreta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 åtgärder//NN|UTR|PLU|IND|NOM//obj//46 fö//NN|AN//nmod//55 r//UO//obl//46 att//IE//mark//57 nå//VB|INF|AKT//xcomp//46 en//DT|UTR|SIN|IND//det//60 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//60 samhällsutveckling//NN|UTR|SIN|IND|NOM//obj//57 .//MAD//punct//41
Till Regeringen;I//PP//case//63 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//64 ingår//VB|PRS|AKT//parataxis//6 bland//PP//advmod//68 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//65 att//IE//mark//68 verka//VB|INF|AKT//advcl//64 fö//NN|NEU|SIN|IND|NOM//nmod//70 r//UO//obl//68 att//SN//mark//80 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//80 om//PP//case//75 miljö//NN|UTR|SIN|IND|NOM//amod//75 ansvar//NN|NEU|SIN|IND|NOM//nmod//72 och//KN//cc//77 miljö//NN|UTR|SIN|IND|NOM//conj//75 hänsyn//NN|UTR|SIN|IND|NOM//conj//75 kan//VB|PRS|AKT//aux//80 integreras//VB|INF|SFO//ccomp//68 i//PP//case//82 samhällssektorerna//NN|UTR|PLU|DEF|NOM//obl//80 och//KN//cc//93 att//SN//mark//93 fö//NN|AN//nmod//86 reslå//PL//nsubj:pass//93 hur//HA//advmod//93 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//89 styrning//NN|UTR|SIN|IND|NOM//nsubj:pass//93 av//PP//case//91 sektorsmyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//89 kan//VB|PRS|AKT//aux//93 utvecklas//VB|INF|SFO//conj//80 .//MAD//punct//6
Till Regeringen;Miljö//NN|UTR|SIN|IND|NOM//nmod//1 vårdsberedningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 ledamö//NN|UTR|SIN|IND|NOM//nsubj//3 ter//VB|PRS|AKT//ROOT//3 har//VB|PRS|AKT//aux//5 utgjorts//VB|SUP|SFO//xcomp//3 av//PP//case//8 riksdagsman//NN|UTR|SIN|IND|NOM//amod//8 Jan//PM|NOM//obl:agent//5 Bergqvist//PM|NOM//flat:name//8 ,//MID//punct//11 ordfö//NN|UTR|SIN|IND|NOM//conj//8 rande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 ,//MID//punct//14 generaldirektö//NN|UTR|SIN|IND|NOM//conj//12 r//PM|NOM//nmod//16 Rolf//PM|NOM//parataxis//3 Annerberg//PM|NOM//flat//16 ,//MID//punct//19 statskonsulent//NN|UTR|SIN|IND|NOM//conj//3 Å//PM|NOM//conj//3 sa//VB|PRT|AKT//parataxis//3 Domeij//PM|NOM//nsubj//21 ,//MID//punct//24 biolog//NN|UTR|SIN|IND|NOM//parataxis//3 Stefan//PM|NOM//nsubj//24 Edman//PM|NOM//flat//25 ,//MID//punct//28 museichef//NN|UTR|SIN|IND|NOM//parataxis//3 Dé//PM|NOM//dep//28 siré//NN|UTR|PLU|DEF|NOM//conj//3 e//PM|NOM//case//32 Edmar//PM|NOM//obl//30 ,//MID//punct//32 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 riksbankschef//NN|UTR|SIN|IND|NOM//appos//32 Lars//PM|NOM//conj//32 Heikensten//PM|NOM//flat:name//36 ,//MID//punct//36 generaldirektö//NN|UTR|SIN|IND|NOM//appos//36 r//PM|NOM//nmod//41 Maria//PM|NOM//conj//32 Norrfalk//PM|NOM//flat:name//41 ,//MID//punct//45 rektor//NN|UTR|SIN|IND|NOM//nmod//45 Thomas//PM|NOM//conj//32 Rosswall//PM|NOM//flat:name//45 ,//MID//punct//48 kommunalråd//NN|NEU|SIN|IND|NOM//conj//32 Elvy//PM|NOM//nummod//48 Sö//PM|NOM//nmod//51 derström//NN|UTR|SIN|IND|NOM//nmod//48 ,//MID//punct//48 högskolerektor//NN|UTR|SIN|IND|NOM//nmod//54 Christina//PM|NOM//conj//32 Ullenius//PM|NOM//flat:name//54 och//KN//cc//57 miljö//NN|UTR|SIN|IND|NOM//conj//55 revisor//NN|UTR|SIN|IND|NOM//case//59 Marja//PM|NOM//obl//3 Widell//PM|NOM//flat//59 .//MAD//punct//3
Till Regeringen;I//PP//case//1 bilaga//NN|UTR|SIN|IND|NOM//obl//5 4//RG|NOM//nummod//1 i//PP//case//4 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//1 finns//VB|PRS|SFO//ROOT//5 en//DT|UTR|SIN|IND//det//8 praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 vägledning//NN|UTR|SIN|IND|NOM//nsubj//5 ,//MID//punct//8 ”//PAD//punct//11 Miljö//NN|UTR|SIN|IND|NOM//appos//8 arbete//NN|NEU|SIN|IND|NOM//conj//11 i//PP//case//15 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 myndigheter//NN|UTR|PLU|IND|NOM//nmod//11 ”//RG|NOM//punct//5 .//MAD//punct//5
Till Regeringen;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//21 ska//VB|PRS|AKT//aux//21 även//AB//advmod//21 tryckas//VB|INF|SFO//parataxis//5 som//KN//case//25 en//DT|UTR|SIN|IND//det//25 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 skrift//NN|UTR|SIN|IND|NOM//obl//21 fö//NN|NEU|SIN|IND|NOM//nmod//27 r//UO//nmod//25 att//IE//mark//29 hjälpa//VB|INF|AKT//acl//25 myn-digheterna//NN|UTR|PLU|DEF|NOM//obj//29 att//IE//mark//33 mö//AB//nsubj//33 ta//VB|INF|AKT//ccomp//29 de//DT|UTR/NEU|PLU|DEF//det//35 krav//NN|NEU|PLU|IND|NOM//obj//33 vi//PN|UTR|PLU|DEF|SUB//nsubj//37 anser//VB|PRS|AKT//acl:relcl//35 regeringen//NN|UTR|SIN|DEF|NOM//obj//37 bö//VB|INF|AKT//advmod//40 r//PM|NOM//obl//37 ställa//VB|INF|AKT//conj//33 på//PL//case//43 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//41 .//MAD//punct//21
Till Regeringen;Vägled-ningen//NN|UTR|SIN|DEF|NOM//nummod//46 gö//NN|NEU|SIN|IND|NOM//nsubj//53 r//UO//cop//46 det//DT|NEU|SIN|DEF//det//50 mö//UO//amod//50 jligt//UO//conj//46 fö//NN|NEU|SIN|IND|NOM//advmod//52 r//UO//nummod//53 regeringskansliet//NN|NEU|SIN|DEF|NOM//parataxis//21 och//KN//cc//55 myndigheterna//NN|UTR|PLU|DEF|NOM//conj//53 att//IE//mark//57 tala//VB|INF|AKT//acl//55 samma//DT|UTR/NEU|SIN/PLU|IND//det//59 språk//NN|NEU|SIN|IND|NOM//obj//57 och//KN//cc//61 använda//VB|INF|AKT//conj//57 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 begrepp//NN|NEU|PLU|IND|NOM//obj//61 .//MAD//punct//5
