– en långsiktigt hållbar militär personalförsörjning och en modern folkförankring av försvaret;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//2
– en långsiktigt hållbar militär personalförsörjning och en modern folkförankring av försvaret;Stockholm//PM|NOM//ROOT//0 2014//RG|NOM//nummod//0

Till statsrådet och chefen för Försvarsdepartementet;Frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//7 om//PP//case//3 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 system//NN|NEU|SIN|IND|NOM//nmod//0 för//PP//case//6 militär//JJ|POS|UTR|SIN|IND|NOM//amod//6 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//3 behandlades//VB|PRT|SFO//ROOT//7 i//PP//case//11 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 Försvarsutskotts//NN|UTR|SIN|IND|GEN//nmod:poss//11 betänkande//NN|NEU|SIN|IND|NOM//nmod//12 2012/13//RG|NOM//obl//7 ://MID//punct//12
Till statsrådet och chefen för Försvarsdepartementet;FöU7//PM|NOM//obl//7 .//MID//punct//7
Till statsrådet och chefen för Försvarsdepartementet;Försvarsutskottet//NN|NEU|SIN|DEF|NOM//nsubj//17 ansåg//VB|PRT|AKT//parataxis//7 då//AB//advmod//17 att//SN//mark//40 den//DT|UTR|SIN|DEF//det//22 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//22 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//40 av//PP//case//26 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 system//NN|NEU|SIN|IND|NOM//nmod//22 för//PP//case//28 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//26 ,//MID//punct//34 i//PP//case//34 enlighet//NN|UTR|SIN|IND|NOM//fixed//30 med//PP//fixed//30 de//DT|UTR/NEU|PLU|DEF//det//34 beslut//NN|NEU|PLU|IND|NOM//nmod//22 som//HP|-|-|-//obj//37 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//37 fattat//VB|SUP|AKT//acl:relcl//34 ,//MID//punct//22 borde//VB|PRT|AKT//aux//40 utredas//VB|INF|SFO//ccomp//17 för//PP//mark//43 att//IE//mark//43 bidra//VB|INF|AKT//advcl//40 till//PP//case//45 långsiktighet//NN|UTR|SIN|IND|NOM//obl//43 ,//MID//punct//47 uthållighet//NN|UTR|SIN|IND|NOM//conj//45 och//KN//cc//49 stabilitet//NN|UTR|SIN|IND|NOM//conj//45 i//PP//case//51 personalförsörjningssystemet//NN|NEU|SIN|DEF|NOM//nmod//49 .//MAD//punct//17
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//55 16//RG|NOM//nummod//55 maj//NN|UTR|SIN|IND|NOM//obl//57 2013//RG|NOM//nummod//55 tillkännagav//VB|PRT|AKT//parataxis//17 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//57 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//57 som//KN//mark//62 sin//PS|UTR|SIN|DEF//nmod:poss//62 mening//NN|UTR|SIN|IND|NOM//xcomp//57 för//PP//case//64 regeringen//NN|UTR|SIN|DEF|NOM//nmod//62 .//MAD//punct//17
Till statsrådet och chefen för Försvarsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 vid//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 sammanträde//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//7 24//RG|NOM//nummod//7 oktober//NN|UTR|SIN|IND|NOM//obl//1 2013//RG|NOM//nummod//7 att//IE//mark//10 tillkalla//VB|INF|AKT//acl//7 en//DT|UTR|SIN|IND//det//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//obj//10 med//PP//case//15 uppdrag//NN|NEU|SIN|IND|NOM//obl//10 att//IE//mark//17 föreslå//VB|INF|AKT//acl//15 hur//HA//advmod//22 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 personalförsörjning//NN|UTR|SIN|IND|NOM//nsubj:pass//22 bör//VB|PRS|AKT//aux//22 utvecklas//VB|INF|SFO//ccomp//17 inom//PP//case//28 ramen//NN|UTR|SIN|DEF|NOM//fixed//23 för//PP//fixed//23 den//DT|UTR|SIN|DEF//det//28 försvarspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 inriktning//NN|UTR|SIN|IND|NOM//obl//22 som//HP|-|-|-//obl//32 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//32 har//VB|PRS|AKT//aux//32 beslutat//VB|SUP|AKT//acl:relcl//28 om//PP//case//29 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Det//DT|NEU|SIN|DEF//det//37 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 syftet//NN|NEU|SIN|DEF|NOM//nsubj//41 med//PP//case//40 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//40 arbete//NN|NEU|SIN|IND|NOM//nmod//37 var//VB|PRT|AKT//parataxis//1 enligt//PP//case//43 regeringen//NN|UTR|SIN|DEF|NOM//obl//41 att//IE//mark//45 presentera//VB|INF|AKT//advcl//41 förslag//NN|NEU|PLU|IND|NOM//obj//45 som//HP|-|-|-//nsubj//48 bidrar//VB|PRS|AKT//acl:relcl//46 till//PP//case//53 en//DT|UTR|SIN|IND//det//53 långsiktigt//AB|POS//advmod//52 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//53 personalförsörjning//NN|UTR|SIN|IND|NOM//obl//48 inom//PP//case//57 det//DT|NEU|SIN|DEF//det//57 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 försvaret//NN|NEU|SIN|DEF|NOM//nmod//53 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//2 20//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2013//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 f.d.//JJ|AN//xcomp//4 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//7 Stefan//PM|NOM//nsubj//5 Ryding-Berg//PM|NOM//flat:name//7 som//KN//mark//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obl//5 för//PP//case//14 detta//DT|NEU|SIN|DEF//det//14 uppdrag//NN|NEU|SIN|IND|NOM//nmod//11 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 24//RG|NOM//nummod//8 februari//NN|UTR|SIN|IND|NOM//obl//4 2014//RG|NOM//nummod//8 militärsakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//11 Carl//PM|NOM//dep//4 van//PM|NOM//flat:name//11 Duin//PM|NOM//flat:name//11 ,//MID//punct//15 Försvardepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//15 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Mia//PM|NOM//conj//11 Löw//PM|NOM//flat:name//18 ,//MID//punct//18 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 och//KN//cc//23 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//24 Ulla//PM|NOM//conj//11 Gustavsson//PM|NOM//flat:name//24 ,//MID//punct//24 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 .//MID//punct//4
