2.2 Behovet av nya regler för beskattning av handels- och ;3.1//RG|NOM//dislocated//13 Huvuddragen//NN|NEU|PLU|DEF|NOM//obj//0 i//PP//case//4 ett//DT|NEU|SIN|IND//det//4 system//NN|NEU|SIN|IND|NOM//obl//0 för//PP//case//6 beskattningen//NN|UTR|SIN|DEF|NOM//nmod//4 av//PP//case//8 3.2//RG|NOM//nmod//6 Vad//HP|NEU|SIN|IND//obl//13 är//VB|PRS|AKT//cop//13 den//DT|UTR|SIN|DEF//det//13 materiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 innebörden//NN|UTR|SIN|DEF|NOM//ROOT//13 av//PP//case//18 att//SN//mark//18 handelsbolaget//NN|NEU|SIN|DEF|NOM//nmod//18 7.2//RG|NOM//amod//18 Beskattningen//NN|UTR|SIN|DEF|NOM//nmod//13 av//PP//case//20 kommanditbolag//NN|NEU|PLU|IND|NOM//nmod//18 och//KN//cc//22 delägare//NN|UTR|PLU|IND|NOM//conj//20 i//PP//case//25 15.1//RG|NOM//nummod//25 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//18 till//PP//case//27 lagen//NN|UTR|SIN|DEF|NOM//nmod//18 om//PP//case//29 ändring//NN|UTR|SIN|IND|NOM//nmod//18 i//PP//case//31 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//nmod//32 15.2//RG|NOM//nummod//33 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//29 till//PP//case//35 lagen//NN|UTR|SIN|DEF|NOM//nmod//29 om//PP//case//37 ändring//NN|UTR|SIN|IND|NOM//nmod//35 i//PP//case//41 kupongskattelagen//NN|UTR|SIN|DEF|NOM//nmod//40 15.3//RG|NOM//nummod//41 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//37 till//PP//case//43 lagen//NN|UTR|SIN|DEF|NOM//nmod//37 om//PP//case//45 ändring//NN|UTR|SIN|IND|NOM//nmod//43 i//PP//case//47 lagen//NN|UTR|SIN|DEF|NOM//nmod//45 (//PAD//punct//49 1980:1102//RG|NOM//nmod//29 )//PAD//punct//49 om//PP//case//53 15.4//RG|NOM//nummod//53 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//29 till//PP//case//55 lagen//NN|UTR|SIN|DEF|NOM//nmod//53 om//PP//case//57 ändring//NN|UTR|SIN|IND|NOM//nmod//55 i//PP//case//59 taxeringslagen//NN|UTR|SIN|DEF|NOM//nmod//57 15.5//RG|NOM//nummod//61 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//57 till//PP//case//63 lagen//NN|UTR|SIN|DEF|NOM//nmod//61 om//PP//case//65 ändring//NN|UTR|SIN|IND|NOM//nmod//63 i//PP//case//67 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//nmod//65 15.6//RG|NOM//nummod//69 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//65 till//PP//case//71 lagen//NN|UTR|SIN|DEF|NOM//nmod//69 om//PP//case//73 ändring//NN|UTR|SIN|IND|NOM//nmod//71 i//PP//case//77 årsredovisningslagen//NN|UTR|SIN|DEF|NOM//nmod//76 15.7//RG|NOM//nmod//77 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//73 till//PP//case//79 lagen//NN|UTR|SIN|DEF|NOM//nmod//73 om//PP//case//81 ändring//NN|UTR|SIN|IND|NOM//nmod//79 i//PP//case//83 skattebetalningslagen//NN|UTR|SIN|DEF|NOM//nmod//81 15.8//RG|NOM//nummod//85 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//81 till//PP//case//87 lagen//NN|UTR|SIN|DEF|NOM//nmod//85 om//PP//case//89 ändring//NN|UTR|SIN|IND|NOM//nmod//87 i//PP//case//91 lagen//NN|UTR|SIN|DEF|NOM//nmod//89 (//PAD//punct//93 1998:674//RG|NOM//nmod//89 )//PAD//punct//93 om//PP//case//97 15.9//RG|NOM//nmod//97 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//89 till//PP//case//99 lagen//NN|UTR|SIN|DEF|NOM//nmod//97 om//PP//case//101 ändring//NN|UTR|SIN|IND|NOM//nmod//99 i//PP//case//103 bokföringslagen//NN|UTR|SIN|DEF|NOM//nmod//101

2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 som//KN//mark//4 ett//DT|NEU|SIN|IND//det//4 led//NN|NEU|SIN|IND|NOM//advcl//1 i//PP//case//7 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//7 förenklingssträvanden//NN|NEU|PLU|IND|NOM//obl//4 att//SN//mark//10 Handelsbolaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//10 görs//VB|PRS|SFO//ccomp//1 till//PP//case//12 skattesubjekt//NN|NEU|SIN|IND|NOM//obl//10 .//MAD//punct//1
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Jag//PN|UTR|SIN|DEF|SUB//nsubj//17 kan//VB|PRS|AKT//aux//17 nu//AB//advmod//17 konstatera//VB|INF|AKT//conj//1 att//SN//mark//22 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 regler//NN|UTR|PLU|IND|NOM//nsubj//22 är//VB|PRS|AKT//cop//22 komplexa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//17 men//KN//cc//27 också//AB//advmod//27 att//SN//mark//27 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//27 fullgör//VB|PRS|AKT//conj//22 syftet//NN|NEU|SIN|DEF|NOM//obj//27 om//PP//case//31 neutral//JJ|POS|UTR|SIN|IND|NOM//amod//31 företagsbeskattning//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//17
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 är//VB|PRS|AKT//cop//39 ett//DT|NEU|SIN|IND//det//39 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//39 och//KN//cc//38 korrekt//JJ|POS|NEU|SIN|IND|NOM//conj//36 inslag//NN|NEU|SIN|IND|NOM//parataxis//17 i//PP//case//42 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//42 skattesystem//NN|NEU|SIN|IND|NOM//nmod//39 .//MAD//punct//17
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);För//PP//case//2 den//DT|UTR|SIN|DEF//det//2 företagsform//NN|UTR|SIN|IND|NOM//obl//14 som//HP|-|-|-//nsubj:pass//5 nu//AB//advmod//5 görs//VB|PRS|SFO//acl:relcl//2 till//PP//case//7 modell//NN|UTR|SIN|IND|NOM//obl//5 för//PP//case//10 handelsbolagens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 beskattning//NN|UTR|SIN|IND|NOM//obl//5 ,//MID//punct//10 fåmansföretaget//NN|NEU|SIN|DEF|NOM//conj//10 ,//MID//punct//14 finns//VB|PRS|SFO//ROOT//14 ett//DT|NEU|SIN|IND//det//16 regelsystem//NN|NEU|SIN|IND|NOM//nsubj//14 som//HP|-|-|-//nsubj//21 är//VB|PRS|AKT//cop//21 väl//AB//advmod//21 så//AB//advmod//21 komplicerat//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//16 som//KN//mark//25 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//25 nu//AB//advmod//25 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//21 .//MAD//punct//14
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Sett//PC|PRF|NEU|SIN|IND|NOM//advcl//14 ur//PP//case//30 den//DT|UTR|SIN|DEF//det//30 aspekten//NN|UTR|SIN|DEF|NOM//obl//27 uppnås//VB|PRS|SFO//conj//14 inga//DT|UTR/NEU|PLU|IND//det//33 förenklingsvinster//NN|UTR|PLU|IND|NOM//obj//31 genom//PP//case//36 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 förslag//NN|NEU|SIN|IND|NOM//obl//31 .//MAD//punct//14
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 är//VB|PRS|AKT//cop//42 dock//AB//advmod//42 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//42 kombinationen//NN|UTR|SIN|DEF|NOM//parataxis//14 av//PP//mark//46 att//SN//mark//46 handelsbolaget//NN|NEU|SIN|DEF|NOM//nsubj//46 utgör//VB|PRS|AKT//acl//42 en//DT|UTR|SIN|IND//det//49 juridisk//JJ|POS|UTR|SIN|IND|NOM//amod//49 person//NN|UTR|SIN|IND|NOM//obj//46 men//KN//cc//52 inte//AB//advmod//52 skattesubjekt//NN|NEU|PLU|IND|NOM//conj//46 som//HP|-|-|-//nsubj//54 komplicerar//VB|PRS|AKT//acl:relcl//52 systemet//NN|NEU|SIN|DEF|NOM//obj//54 för//PP//case//57 handelsbolag//NN|NEU|PLU|IND|NOM//obl//54 .//MAD//punct//42
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Den//DT|UTR|SIN|DEF//det//61 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//61 ordningen//NN|UTR|SIN|DEF|NOM//nsubj//62 blir//VB|PRS|AKT//parataxis//42 därför//AB//advmod//62 mer//AB|KOM//advmod//65 renodlad//PC|PRF|UTR|SIN|IND|NOM//xcomp//62 och//KN//cc//67 tydlig//JJ|POS|UTR|SIN|IND|NOM//conj//65 .//MID//punct//62
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Jag//PN|UTR|SIN|DEF|SUB//nsubj//72 kan//VB|PRS|AKT//aux//72 därför//AB//advmod//72 ställa//VB|INF|AKT//conj//62 mig//PN|UTR|SIN|DEF|OBJ//obj//72 bakom//PP//case//77 det//DT|NEU|SIN|DEF//det//77 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//77 synsättet//NN|NEU|SIN|DEF|NOM//obl//72 bakom//PP//case//81 det//DT|NEU|SIN|DEF//det//81 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//81 regelsystemet//NN|NEU|SIN|DEF|NOM//nmod//77 .//MAD//punct//72
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Utformningen//NN|UTR|SIN|DEF|NOM//nsubj//89 av//PP//case//85 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//83 är//VB|PRS|AKT//cop//89 vidare//AB|KOM//advmod//89 både//KN//cc//89 materiellt//AB|POS//conj//72 och//KN//cc//91 tekniskt//AB|POS//advmod//95 till//PP//case//94 stor//JJ|POS|UTR|SIN|IND|NOM//amod//94 del//NN|UTR|SIN|IND|NOM//obl//95 korrekt//AB|POS//advmod//89 .//MAD//punct//42
