6 Svenska exportkontrollorganisationen ;Den//DT|UTR|SIN|DEF//det//2 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//5 för//PP//case//4 exportkontroll//NN|UTR|SIN|IND|NOM//nmod//2 fungerar//VB|PRS|AKT//ROOT//5 i//PP//case//8 allt//DT|NEU|SIN|IND/DEF//advmod//8 väsentligt//JJ|POS|NEU|SIN|IND|NOM//advmod//9 väl//AB|POS//advmod//5 .//MAD//punct//5
6 Svenska exportkontrollorganisationen ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//12 finner//VB|PRS|AKT//parataxis//5 inte//AB//advmod//12 anledning//NN|UTR|SIN|IND|NOM//obj//12 att//IE//mark//16 föreslå//VB|INF|AKT//acl//14 ändringar//NN|UTR|PLU|IND|NOM//obj//16 i//PP//case//21 det//DT|NEU|SIN|DEF//det//21 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 förhållandet//NN|NEU|SIN|DEF|NOM//obl//16 att//SN//mark//24 ISP//PM|NOM//nsubj//24 verkställer//VB|PRS|AKT//advcl//12 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 politik//NN|UTR|SIN|IND|NOM//obj//24 genom//PP//mark//29 att//IE//mark//29 pröva//VB|INF|AKT//advcl//24 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 ärenden//NN|NEU|PLU|IND|NOM//obj//29 ,//MID//punct//35 under//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 förutsättningar//NN|UTR|PLU|IND|NOM//obl//29 som//HP|-|-|-//nsubj:pass//37 ges//VB|PRS|SFO//acl:relcl//35 i//PP//case//39 lagar//NN|UTR|PLU|IND|NOM//obl//37 och//KN//cc//41 förordningar//NN|UTR|PLU|IND|NOM//conj//39 och//KN//cc//44 efter//PP//case//44 samråd//NN|NEU|SIN|IND|NOM//conj//39 med//PP//case//46 EKR//PM|NOM//nmod//44 när//HA//mark//49 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//49 gäller//VB|PRS|AKT//advcl//37 särskilt//AB//advmod//51 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 ärenden//NN|NEU|PLU|IND|NOM//obj//49 .//MAD//punct//12
6 Svenska exportkontrollorganisationen ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//55 finns//VB|PRS|SFO//parataxis//12 emellertid//AB//advmod//55 utrymme//NN|NEU|SIN|IND|NOM//nsubj//55 för//PP//case//60 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//60 utveckling//NN|UTR|SIN|IND|NOM//obl//55 av//PP//case//62 organisationen//NN|UTR|SIN|DEF|NOM//nmod//60 .//MAD//punct//12
6 Svenska exportkontrollorganisationen ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//5 i//PP//advmod//5 uppdrag//NN|NEU|SIN|IND|NOM//fixed//2 att//IE//mark//5 se//VB|INF|AKT//ROOT//5 över//PL//case//9 de//DT|UTR/NEU|PLU|DEF//det//9 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 formerna//NN|UTR|PLU|DEF|NOM//obl//5 för//PP//case//13 den//DT|UTR|SIN|DEF//det//13 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 exportkontrollen//NN|UTR|SIN|DEF|NOM//nmod//9 samt//KN//cc//15 lämna//VB|INF|AKT//conj//5 förslag//NN|NEU|SIN|IND|NOM//obj//15 till//PP//case//19 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 förändringar//NN|UTR|PLU|IND|NOM//obl//15 som//HP|-|-|-//nsubj:pass//21 anses//VB|PRS|SFO//acl:relcl//19 behövliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//21 .//MAD//punct//5
6 Svenska exportkontrollorganisationen ;En//DT|UTR|SIN|IND//det//25 introduktion//NN|UTR|SIN|IND|NOM//nsubj//30 till//PP//case//29 den//DT|UTR|SIN|DEF//det//29 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 exportkontrollorganisationen//NN|UTR|SIN|DEF|NOM//nmod//25 finns//VB|PRS|SFO//parataxis//5 i//PP//case//32 kapitel//NN|NEU|SIN|IND|NOM//obl//30 2//RG|NOM//nummod//32 .//MAD//punct//5
6 Svenska exportkontrollorganisationen ;Enligt//PP//case//1 regeringen//NN|UTR|SIN|DEF|NOM//obl//6 är//VB|PRS|AKT//cop//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 av//PP//case//6 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//6 intresse//NN|NEU|SIN|IND|NOM//ROOT//6 att//IE//mark//8 utvärdera//VB|INF|AKT//csubj//6 hur//HA//advmod//11 ISP//PM|NOM//nsubj//11 förhåller//VB|PRS|AKT//ccomp//8 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//11 till//PP//case//14 regeringen//NN|UTR|SIN|DEF|NOM//obl//11 ,//MID//punct//19 eftersom//SN//mark//19 myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//19 har//VB|PRS|AKT//aux//19 givits//VB|SUP|SFO//advcl//11 ansvar//NN|NEU|SIN|IND|NOM//obj//19 för//PP//case//23 ”//PAD//punct//23 frågor//NN|UTR|PLU|IND|NOM//nmod//20 som//HP|-|-|-//nsubj//26 traditionellt//AB|POS//advmod//26 ansetts//VB|SUP|SFO//acl:relcl//23 vara//VB|INF|AKT//cop//28 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//26 och//KN//cc//34 i//PP//advmod//34 första//RO|NOM//fixed//30 hand//NN|UTR|SIN|IND|NOM//fixed//30 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 ansvar//NN|NEU|SIN|IND|NOM//conj//28 ”//PAD//punct//6 .//MAD//punct//6
6 Svenska exportkontrollorganisationen ;Till//PP//case//39 uppdragets//NN|NEU|SIN|DEF|GEN//nmod:poss//39 bakgrund//NN|UTR|SIN|IND|NOM//obl//40 hör//VB|PRS|AKT//conj//6 också//AB//advmod//40 att//SN//mark//48 ISP//PM|NOM//nsubj//48 ://MID//punct//43 s//JJ|AN//nummod//46 verksamhet//NN|UTR|SIN|IND|NOM//obl//48 har//VB|PRS|AKT//aux//48 ändrat//VB|SUP|AKT//ccomp//40 karaktär//NN|UTR|SIN|IND|NOM//obj//48 från//PP//case//53 ”//PAD//punct//53 ren//JJ|POS|UTR|SIN|IND|NOM//amod//53 tillståndsprövning//NN|UTR|SIN|IND|NOM//nmod//49 till//PP//mark//57 att//IE//mark//57 även//AB//advmod//57 delta//VB|INF|AKT//acl//49 i//PP//case//60 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 förhandlingar//NN|UTR|PLU|IND|NOM//obl//57 ”//RG|NOM//punct//40 (//PAD//punct//61 dir//NN|AN//dep//6 .//MAD//punct//6
6 Svenska exportkontrollorganisationen ;2003:80//RG|NOM//punct//6 ,//MID//punct//68 s.//NN|AN//nmod//68 19//RG|NOM//nummod//6 )//PAD//punct//68 .//MAD//punct//6
6 Svenska exportkontrollorganisationen ;Enligt//PP//case//72 utredningsdirektiven//NN|NEU|PLU|DEF|NOM//nmod//6 är//VB|PRS|AKT//cop//78 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//78 också//AB//advmod//78 av//PP//case//78 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//78 intresse//NN|NEU|SIN|IND|NOM//nsubj//6 att//IE//mark//80 utvärdera//VB|INF|AKT//csubj//78 hur//HA//advmod//83 EKR//PM|NOM//nsubj//83 utövar//VB|PRS|AKT//ccomp//80 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//85 funktioner//NN|UTR|PLU|IND|NOM//obj//83 .//MAD//punct//78
6 Svenska exportkontrollorganisationen ;Allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 frågor//NN|UTR|PLU|IND|NOM//nsubj//99 om//PP//case//95 det//DT|NEU|SIN|DEF//det//95 ”//PAD//punct//92 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//95 och//KN//cc//94 parlamentariska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//92 inflytandet//NN|NEU|SIN|DEF|NOM//nmod//88 på//PP//case//97 området//NN|NEU|SIN|DEF|NOM//nmod//95 ”//RG|NOM//punct//88 utgör//VB|PRS|AKT//csubj//6 också//AB//advmod//99 del//NN|UTR|SIN|IND|NOM//obj//99 av//PP//case//103 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//101 (//PAD//punct//99 s.//NN|AN//nmod//106 25//RG|NOM//appos//99 )//PAD//punct//99 .//MAD//punct//99
6 Svenska exportkontrollorganisationen ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 översyn//NN|UTR|SIN|IND|NOM//nsubj//8 av//PP//case//5 de//DT|UTR/NEU|PLU|DEF//det//5 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 formerna//NN|UTR|PLU|DEF|NOM//nmod//1 för//PP//case//7 exportkontrollen//NN|UTR|SIN|DEF|NOM//nmod//5 bygger//VB|PRS|AKT//ROOT//8 på//PP//case//11 en//DT|UTR|SIN|IND//det//11 genomgång//NN|UTR|SIN|IND|NOM//obl//8 av//PP//case//13 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//11 ,//MID//punct//15 intervjuer//NN|UTR|PLU|IND|NOM//conj//13 och//KN//cc//17 jämförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 utblickar//NN|UTR|PLU|IND|NOM//conj//13 .//MAD//punct//8
