
1 KAP. PROBLEMFORMULERING;Jämställdhet//NN|UTR|SIN|IND|NOM//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 beaktas//VB|INF|SFO//ROOT//2 i//PP//case//6 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 slag//NN|NEU|PLU|IND|NOM//obl//2 av//PP//case//8 regler//NN|UTR|PLU|IND|NOM//nmod//6 ,//MID//punct//11 exempelvis//AB//advmod//11 arbetsrätt//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//13 arbetsmiljö//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//15 villkor//NN|NEU|PLU|IND|NOM//conj//11 för//PP//case//17 verksamheter//NN|UTR|PLU|IND|NOM//nmod//15 ,//MID//punct//19 planering//NN|UTR|SIN|IND|NOM//conj//17 och//KN//cc//21 byggande//NN|NEU|SIN|IND|NOM//conj//17 av//PP//case//23 anläggningar//NN|UTR|PLU|IND|NOM//nmod//21 ,//MID//punct//25 upphandling//NN|UTR|SIN|IND|NOM//conj//17 av//PP//case//27 entreprenader//NN|UTR|PLU|IND|NOM//nmod//25 ,//MID//punct//29 trafikering//NN|UTR|SIN|IND|NOM//conj//27 och//KN//cc//32 mycket//JJ|POS|NEU|SIN|IND|NOM//advmod//32 annat//PN|NEU|SIN|IND|SUB/OBJ//conj//27 .//MAD//punct//2
1 KAP. PROBLEMFORMULERING;Jag//PN|UTR|SIN|DEF|SUB//nsubj//1 inriktar//VB|PRS|AKT//ROOT//1 mig//PN|UTR|SIN|DEF|OBJ//obj//1 på//PP//case//4 kommunikationer//NN|UTR|PLU|IND|NOM//obl//1 och//KN//cc//6 sektorslagarna//NN|UTR|PLU|DEF|NOM//conj//4 för//PP//case//8 planering//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//10 prövning//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//12 väg//NN|UTR|SIN|IND|NOM//nmod//10 ,//MID//punct//14 järnväg//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//16 flyg//NN|NEU|SIN|IND|NOM//conj//12 och//KN//cc//18 sjöfart//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//22 men//KN//cc//22 med//PP//case//22 utblickar//NN|UTR|PLU|IND|NOM//conj//1 på//PP//case//24 beslut//NN|NEU|SIN|IND|NOM//obl//22 om//PP//case//26 finansiering//NN|UTR|SIN|IND|NOM//nmod//24 och//KN//cc//28 genomförandet//NN|NEU|SIN|DEF|NOM//conj//26 samt//KN//cc//32 på//PP//case//32 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//32 planering//NN|UTR|SIN|IND|NOM//conj//26 och//KN//cc//34 projektprövning//NN|UTR|SIN|IND|NOM//conj//32 enligt//PP//case//36 miljöbalken//NN|UTR|SIN|DEF|NOM//nmod//26 .//MAD//punct//1
1 KAP. PROBLEMFORMULERING;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//42 är//VB|PRS|AKT//cop//42 ett//DT|NEU|SIN|IND//det//42 brett//JJ|POS|NEU|SIN|IND|NOM//amod//42 fält//NN|NEU|SIN|IND|NOM//parataxis//1 och//KN//cc//45 jag//PN|UTR|SIN|DEF|SUB//nsubj//45 avgränsar//VB|PRS|AKT//conj//42 rejält//AB|POS//advmod//45 .//MAD//punct//1
1 KAP. PROBLEMFORMULERING;Detta//DT|NEU|SIN|DEF//det//2 inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 kapitel//NN|NEU|SIN|IND|NOM//nsubj//3 formulerar//VB|PRS|AKT//ROOT//3 frågor//NN|UTR|PLU|IND|NOM//obj//3 och//KN//cc//6 påståenden//NN|NEU|PLU|IND|NOM//conj//4 ,//MID//punct//9 som//KN//case//9 arbetshypoteser//NN|UTR|PLU|IND|NOM//obl//3 till//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//9 som//HP|-|-|-//nsubj//14 beskriver//VB|PRS|AKT//acl:relcl//12 reglerna//NN|UTR|PLU|DEF|NOM//obj//14 och//KN//cc//17 resonerar//VB|PRS|AKT//conj//14 om//PP//case//20 tänkbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 förbättringar//NN|UTR|PLU|IND|NOM//obl//17 .//MAD//punct//3

1 KAP. PROBLEMFORMULERING / 1.1 F RÅGESTÄLLNINGAR;En//DT|UTR|SIN|IND//det//1 mängd//NN|UTR|SIN|IND|NOM//nmod//2 faktorer//NN|UTR|PLU|IND|NOM//nsubj//3 styr//VB|PRS|AKT//ROOT//3 möjligheten//NN|UTR|SIN|DEF|NOM//obj//3 att//IE//mark//6 låta//VB|INF|AKT//acl//4 jämställdhet//NN|UTR|SIN|IND|NOM//obj//6 vara//VB|INF|AKT//cop//9 ett//PN|NEU|SIN|IND|SUB/OBJ//obj//3 av//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 perspektiv//NN|NEU|PLU|IND|NOM//nmod//9 som//HP|-|-|-//nsubj//15 får//VB|PRS|AKT//aux//15 påverka//VB|INF|AKT//acl:relcl//12 beslut//NN|NEU|PLU|IND|NOM//obj//15 på//PP//case//19 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 nivåer//NN|UTR|PLU|IND|NOM//obl//15 som//HP|-|-|-//nsubj//21 hanterar//VB|PRS|AKT//acl:relcl//19 kommunikationer//NN|UTR|PLU|IND|NOM//obj//21 .//MAD//punct//3
1 KAP. PROBLEMFORMULERING / 1.1 F RÅGESTÄLLNINGAR;Den//DT|UTR|SIN|DEF//det//26 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 beslutshierarkin//NN|UTR|SIN|DEF|NOM//nsubj//27 skapar//VB|PRS|AKT//parataxis//3 ordentligt//AB|POS//advmod//27 med//PP//case//30 spännvidden//NN|UTR|SIN|DEF|NOM//obl//27 i//PP//case//32 problematiken//NN|UTR|SIN|DEF|NOM//obl//27 ,//MID//punct//27 och//KN//cc//36 jag//PN|UTR|SIN|DEF|SUB//nsubj//36 plockar//VB|PRS|AKT//conj//27 ut//PL//compound:prt//36 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//36 som//HP|-|-|-//nsubj//41 bör//VB|PRS|AKT//aux//41 vara//VB|INF|AKT//acl:relcl//38 av//PP//case//43 intresse//NN|NEU|SIN|IND|NOM//obl//41 för//PP//case//45 regler//NN|UTR|PLU|IND|NOM//nmod//43 om//PP//case//47 planering//NN|UTR|SIN|IND|NOM//nmod//45 och//KN//cc//49 prövning//NN|UTR|SIN|IND|NOM//conj//47 av//PP//case//51 väg//NN|UTR|SIN|IND|NOM//nmod//49 ,//MID//punct//53 järnväg//NN|UTR|SIN|IND|NOM//conj//51 m.m.//AB|AN//conj//51 kommunikationer//NN|UTR|PLU|IND|NOM//conj//51 ://MAD//punct//3
1 KAP. PROBLEMFORMULERING / 1.1 F RÅGESTÄLLNINGAR;"•//NN|UTR|SIN|IND|NOM//discourse//4 Beslutsnivåer//NN|UTR|PLU|IND|NOM//nsubj//4 kan//VB|PRS|AKT//aux//4 vara//VB|INF|AKT//cop//4 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//4 eller//KN//cc//6 detaljinriktade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//4 och//KN//cc//8 förutsätter//VB|PRS|AKT//conj//4 då//HA//advmod//8 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 angreppssätt//NN|NEU|PLU|IND|NOM//obj//8 ;//MID//punct//4"
1 KAP. PROBLEMFORMULERING / 1.1 F RÅGESTÄLLNINGAR;är//VB|PRS|AKT//cop//16 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//16  //_SP////14 om-vad//NN|NEU|SIN|IND|NOM//parataxis//4 eller//KN//cc//18 var-hur-när-frågor//NN|UTR|PLU|IND|NOM//conj//16 ?//MID//punct//4 .//MAD//punct//4
1 KAP. PROBLEMFORMULERING / 1.1 F RÅGESTÄLLNINGAR;Hur//HA//advmod//24 kan//VB|PRS|AKT//aux//24 jämställdhet//NN|UTR|SIN|IND|NOM//nsubj:pass//24 formuleras//VB|INF|SFO//parataxis//4 adekvat//AB|POS//nsubj:pass//24 för//PP//case//28 respektive//AB//amod//28 nivå//NN|UTR|SIN|IND|NOM//obl//24 ?//MAD//punct//24
1 KAP. PROBLEMFORMULERING / 1.1 F RÅGESTÄLLNINGAR;•//NN|UTR|SIN|IND|NOM//case//2 Beslutens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 förberedelseprocedurer//NN|UTR|PLU|IND|NOM//nsubj//5 kan//VB|PRS|AKT//aux//5 vara//VB|INF|AKT//cop//5 öppna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//5 med//PP//case//7 offentlighet//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//10 breda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 remisser//NN|UTR|PLU|IND|NOM//conj//7 eller//KN//cc//12 slutna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//7 .//MAD//punct//5
