
Finansdepartementet;Skatte-//NN|UTR|-|-|SMS//ROOT//0 och//KN//cc//2 tullavdelningen//NN|UTR|SIN|DEF|NOM//conj//0 Enheten//NN|UTR|SIN|IND|NOM//flat:name//0 för//PP//case//5 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//0 (//PAD//punct//7 S2//PM|NOM//appos//0 )//PAD//punct//7 Ylva//PM|NOM//conj//0 Börjesson//PM|NOM//flat:name//9
Finansdepartementet;Åsa//PM|NOM//nmod//1 R//PM|NOM//ROOT//1 Johansson//PM|NOM//nmod//3 Inga-Lill//PM|NOM//flat//1 Askersjö//PM|NOM//flat:name//1


8.1 Slopande av det generella undantaget för ideell verksamhet..43;8.1.17//RG|NOM//ROOT//0 Folkbildningsförbundet//NN|NEU|SIN|DEF|NOM//nsubj//0 ,//MID//punct//3 Folkbildningsrådet//NN|NEU|SIN|DEF|NOM//conj//1 ,//MID//punct//5 RIO//PM|NOM//conj//1 ,//MID//punct//7 ax//NN|NEU|SIN|IND|NOM//conj//1 och//KN//punct//0

8.2 Undantaget för tillhandahållande av personal för själavård..122;8.3.8//RG|NOM//nmod//1 Folkbildningsförbundet//NN|NEU|SIN|DEF|NOM//ROOT//1 ,//MID//punct//3 Folkbildningsrådet//NN|NEU|SIN|DEF|NOM//conj//1 ,//MID//punct//5 RIO//PM|NOM//conj//1 ,//MID//punct//1 ax//NN|NEU|SIN|IND|NOM//advmod//1 och//KN//cc//9 8.5.9//RG|NOM//conj//7 Folkbildningsförbundet//NN|NEU|SIN|DEF|NOM//conj//1 ,//MID//punct//12 Folkbildningsrådet//NN|NEU|SIN|DEF|NOM//conj//1 ,//MID//punct//14 RIO//PM|NOM//conj//1 ,//MID//punct//16 ax//NN|NEU|SIN|IND|NOM//conj//1 och//KN//punct//1

8.7 Undantag för tillhandahållanden inom fristående grupper ..207;8.7.6//RG|NOM//ROOT//0 Folkbildningsförbundet//NN|NEU|SIN|DEF|NOM//nsubj//0 ,//MID//punct//3 Folkbildningsrådet//NN|NEU|SIN|DEF|NOM//conj//1 ,//MID//punct//5 RIO//PM|NOM//conj//1 ,//MID//punct//7 ax//NN|NEU|SIN|IND|NOM//conj//1 och//KN//punct//0

8.8 Undantag för tillhandahållanden avseende sjukvård och social;8.8.5//RG|NOM//amod//1 Erikshjälpen//NN|UTR|SIN|DEF|NOM//ROOT//1 ,//MID//punct//4 Evangeliska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 frikyrkan//NN|UTR|SIN|DEF|NOM//conj//1 ///MID//cc//6 Bröd//NN|NEU|SIN|IND|NOM//conj//1 till//PP//case//8 bröder//NN|UTR|PLU|IND|NOM//nmod//1 ,//MID//punct//10 Frälsningsarmén//PM|NOM//conj//1 ///MID//cc//12 Myrorna//PM|NOM//conj//1 ,//MID//punct//14 Hjärta//NN|NEU|SIN|IND|NOM//conj//1 till//PP//case//16 hjärta//NN|NEU|SIN|IND|NOM//nmod//14 ,//MID//punct//19 Human//PM|NOM//nmod:poss//19 Bridge//PM|NOM//conj//1 ,//MID//punct//21 Läkarmissionen//NN|UTR|SIN|DEF|NOM//conj//1 ,//MID//punct//24 Praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//24 Solidaritet//NN|UTR|SIN|IND|NOM//conj//1 ///MID//cc//26 Emmaus//PM|NOM//conj//24 ,//MID//punct//29  //_SP////27 SAM-hjälp//NN|UTR|SIN|IND|NOM//conj//1 .//MAD//punct//1
8.8 Undantag för tillhandahållanden avseende sjukvård och social;Stockholms//PM|GEN//nmod:poss//32 Stadsmission//NN|UTR|SIN|IND|NOM//conj//1 ,//MID//punct//32 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 pingstmissionen//NN|UTR|SIN|DEF|NOM//conj//1 ///MID//cc//37 PMU//NN|AN//nmod//35 Interlife212//AB//conj//1 8.8.6//RG|NOM//case//41 Pingstkyrkans//PM|GEN//nmod:poss//41 Biståndscenter//NN|UTR|PLU|IND|NOM//nmod//1 –//PM|NOM//punct//41 Katrineholm//PM|NOM//conj//1 ,//MID//punct//45 Sandviken//PM|NOM//conj//1 och//KN//conj//1


2 Övriga som har yttrat sig;(//PAD//punct//3 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 nummer//NN|NEU|PLU|IND|NOM//nsubj//3 motsvarar//VB|PRS|AKT//ROOT//3 ingivarens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 nummer//NN|NEU|SIN|IND|NOM//obj//3 i//PP//case//7 diariet//NN|NEU|SIN|DEF|NOM//nmod//5 )//PAD//punct//3


6.1 Kammarrätten i Stockholm;Kammarrätten//NN|UTR|SIN|DEF|NOM//nsubj//4 kan//VB|PRS|AKT//aux//4 i//PP//advmod//4 huvudsak//NN|UTR|SIN|IND|NOM//fixed//2 godta//VB|INF|AKT//ROOT//4 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 förslag//NN|NEU|SIN|IND|NOM//obj//4 till//PP//case//8 ändringar//NN|UTR|PLU|IND|NOM//nmod//6 i//PP//case//10 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//nmod//8 (//PAD//punct//4 1994:200//RG|NOM//appos//4 )//PAD//punct//12 ,//MID//punct//15 ML//PM|NOM//conj//12 .//MAD//punct//4
6.1 Kammarrätten i Stockholm;Enligt//PP//case//19 domstolens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 uppfattning//NN|UTR|SIN|IND|NOM//obl//20 krävs//VB|PRS|SFO//conj//4 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//20 dock//AB//advmod//20 på//PP//case//24 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//20 (//PAD//punct//26 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//24 )//PAD//punct//26  //_SP////27 punkter//NN|UTR|PLU|IND|NOM//nsubj:pass//20 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 överväganden//NN|NEU|PLU|IND|NOM//obl//20 innan//SN//mark//35 förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//35 kan//VB|PRS|AKT//aux//35 genomföras//VB|INF|SFO//acl:relcl//31 .//MAD//punct//4


6.4 EBM / Ekobrottsmyndigheten (EBM) tillstyrker i huvudsak de förslag som lämnas i betänkandet. Utredningen har föreslagit att en ny begreppsterminologi införs i mervärdesskattelagen (1994:200) som tydligare motsvarar direktivets begrepp. Ekobrottsmyndigheten instämmer i att utgångspunkten bör vara att terminologin i mervärdesskattelagen så långt som möjligt motsvarar de begrepp som används i direktivets svenska lydelse. Alternativa termer bör endast väljas i de fall direktivtexten medför risk för missuppfattningar. Där det finns skäl att använda alternativa begrepp, bör i första hand vedertagna termer användas. Som exempel kan nämnas att termen ”småföretag” förekommer i annan lagstiftning och bör väljas i stället för det av utredningen föreslagna begreppet ”små företag”. Terminologin bör också vara utformad på ett sådant sätt att den kan förstås av de personer som skall tillämpa lagen. EBM hänvisar till de yttranden som avgetts av Östra, Västra och Södra avdelningarna med följande lydelser.;Ekobrottsmyndigheten//NN|UTR|SIN|DEF|NOM//ROOT//0 ,//MID//punct//3 östra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 avdelningen//NN|UTR|SIN|DEF|NOM//conj//0

6.4 EBM / Avdelningen är positiv till utredningens förslag till en anpassning och harmonisering av den svenska mervärdesskattelagen med det sjätte mervärdsskattedirektivet. Ett genomförande enligt utredningens förslag kan förenkla tolkningen och tillämpningen av EG-rätten och EGdomstolarnas domar på svenska förhållanden. Detta kan rimligen påverka såväl det brottsförebyggande arbetet som EBM:s brottsutredande verksamhet på ett positivt sätt. Förslagen kommer sammanfattningsvis enligt avdelningen att medföra förenklingar och förbättringar för kontrollverksamheten och ha viss brottsförebyggande effekt.;Ekobrottsmyndigheten//NN|UTR|SIN|DEF|NOM//det//2 västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 avdelningen//NN|UTR|SIN|DEF|NOM//ROOT//2

6.4 EBM / Vid västra avdelningen har utretts ett antal brott, där man utnyttjat framför allt gemenskapsinterna förvärv i skatteundandragande syfte. Västra avdelningen anser därför att en harmonisering av lagstiftningen kring mervärdesskatt är av ytterst stor vikt. Det här framlagda förslaget utgör ett steg i denna riktning.;Ekobrottsmyndigheten//NN|UTR|SIN|DEF|NOM//det//2 södra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 avdelningen//NN|UTR|SIN|DEF|NOM//ROOT//2


