AVDELNING I;Uppdraget//NN|NEU|SIN|DEF|NOM//ROOT//0 ,//MID//punct//6 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//6 rätt//NN|UTR|SIN|IND|NOM//amod//6 och//KN//cc//5 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//3 överväganden//NN|NEU|PLU|IND|NOM//conj//0

1 Inledning;1.1//RG|NOM//nummod//1 Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//ROOT//1
1 Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//14 (//PAD//punct//2 dir//NN|AN//appos//2 .//MAD//punct//2
1 Inledning;2004:47//RG|NOM//nmod//2 ,//MID//punct//8 se//VB|IMP|AKT//parataxis//2 bilaga//NN|UTR|SIN|IND|NOM//obj//8 1//RG|NOM//nummod//8 )//PAD//punct//2 är//VB|PRS|AKT//cop//14 att//IE//mark//14 lämna//VB|INF|AKT//ROOT//14 förslag//NN|NEU|SIN|IND|NOM//obj//14 till//PP//mark//21 hur//HA//advmod//18 två//RG|NOM//nummod//19 EG-direktiv//NN|NEU|PLU|IND|NOM//nsubj:pass//21 skall//VB|PRS|AKT//aux//21 genomföras//VB|INF|SFO//advcl//14 i//PP//case//24 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//24 rätt//NN|UTR|SIN|IND|NOM//obl//21 ,//MID//punct//24 nämligen//AB//advmod//24 Europaparlamentets//NN|NEU|SIN|DEF|GEN//conj//24 och//KN//cc//31 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//31 direktiv//NN|NEU|SIN|IND|NOM//amod//31 2004/17//RG|NOM//conj//27 ///MID//cc//33 EG//NN|AN//conj//27 om//PP//case//35 upphandling//NN|UTR|SIN|IND|NOM//nmod//24 av//PP//case//37 vatten//NN|NEU|SIN|IND|NOM//nmod//35 ,//MID//punct//39 energi//NN|UTR|SIN|IND|NOM//conj//37 ,//MID//punct//41 transporter//NN|UTR|PLU|IND|NOM//conj//37 och//KN//cc//43 posttjänster//NN|UTR|PLU|IND|NOM//conj//37 och//KN//cc//48 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 och//KN//cc//47 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 direktiv//NN|NEU|PLU|IND|NOM//conj//35 2004/18//RG|NOM//conj//35 ///MID//cc//51 EG//NN|AN//conj//49 om//PP//case//54 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//54 upphandling//NN|UTR|SIN|IND|NOM//nmod//35 av//PP//case//56 byggentreprenader//NN|UTR|PLU|IND|NOM//nmod//54 ,//MID//punct//58 varor//NN|UTR|PLU|IND|NOM//conj//56 och//KN//cc//60 tjänster//NN|UTR|PLU|IND|NOM//conj//56 .//MAD//punct//14
1 Inledning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 lämna//VB|INF|AKT//ROOT//2 förslag//NN|NEU|SIN|IND|NOM//obj//2 till//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//3 som//HP|-|-|-//nsubj//9 är//VB|PRS|AKT//cop//9 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 och//KN//cc//11 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//9 åtgärder//NN|UTR|PLU|IND|NOM//obj//2 som//HP|-|-|-//obl//16 direktiven//NN|NEU|PLU|DEF|NOM//nsubj//16 kan//VB|PRS|AKT//aux//16 ge//VB|INF|AKT//acl:relcl//12 anledning//NN|UTR|SIN|IND|NOM//obj//16 till//PP//case//13 .//MAD//punct//2
1 Inledning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 vidare//AB|KOM//advmod//3 föreslå//VB|INF|AKT//ROOT//3 ändringar//NN|UTR|PLU|IND|NOM//obj//3 i//PP//case//7 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 kapitel//NN|NEU|SIN|IND|NOM//obl//3 6//RG|NOM//nummod//9 LOU//PM|NOM//nmod//7 beträffande//PP//case//12 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//12 bestämmelser//NN|UTR|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj:pass//15 är//VB|PRS|AKT//aux:pass//15 uppbyggda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//12 efter//PP//case//17 mönster//NN|NEU|SIN|IND|NOM//obl//15 av//PP//case//20 en//DT|UTR|SIN|IND//det//20 regel//NN|UTR|SIN|IND|NOM//nmod//17 över//PP//case//22 tröskelvärdena//NN|NEU|PLU|DEF|NOM//nmod//20 (//PAD//punct//3 t.ex.//AB|AN//advmod//25 bestämmelsen//NN|UTR|SIN|DEF|NOM//appos//3 om//PP//case//27 prövning//NN|UTR|SIN|IND|NOM//nmod//25 av//PP//case//29 anbud//NN|NEU|SIN|IND|NOM//nmod//27 i//PP//case//35 6//RG|NOM//nummod//32 kap.//NN|AN//nmod//33 12//RG|NOM//nummod//34 §//NN|AN//nmod//35 LOU//PM|NOM//nmod//29 )//PAD//punct//3 och//KN//cc//41 där//HA//advmod//41 denna//DT|UTR|SIN|DEF//det//40 direktivregel//NN|UTR|SIN|IND|NOM//nsubj:pass//41 ändrats//VB|SUP|SFO//conj//3 .//MAD//punct//3
1 Inledning;Därvid//AB//advmod//46 skall//VB|PRS|AKT//aux//46 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//46 beakta//VB|INF|AKT//parataxis//3 att//SN//mark//56 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//56 och//KN//cc//50 begrepp//NN|NEU|PLU|IND|NOM//conj//48 som//HP|-|-|-//nsubj:pass//52 hämtats//VB|SUP|SFO//acl:relcl//50 från//PP//case//54 gemenskapsrätten//NN|UTR|SIN|DEF|NOM//obl//52 blir//VB|PRS|AKT//aux:pass//56 tolkade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//46 på//PP//case//60 ett//DT|NEU|SIN|IND//det//60 enhetligt//JJ|POS|NEU|SIN|IND|NOM//amod//60 sätt//NN|NEU|SIN|IND|NOM//obl//56 (//PAD//punct//60 EG-domstolens//NN|UTR|SIN|DEF|GEN//nmod:poss//63 dom//NN|UTR|SIN|IND|NOM//appos//60 av//PP//case//67 den//DT|UTR|SIN|DEF//det//67 17//RG|NOM//nummod//67 juli//NN|UTR|SIN|IND|NOM//nmod//63 1997//RG|NOM//nummod//67 i//PP//case//70 mål//NN|NEU|SIN|IND|NOM//nmod//71 C–28/95//PM|NOM//nmod//72 REG//PM|NOM//nmod//63 1997//RG|NOM//nummod//74 s.//NN|AN//nmod//75 4161//RG|NOM//nummod//63 )//PAD//punct//46 .//MAD//punct//3
1 Inledning;Huvudregeln//NN|UTR|SIN|DEF|NOM//nsubj:pass//20 om//PP//case//2 affärsmässighet//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//6 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 1//RG|NOM//nummod//6 kap.//NN|AN//nmod//2 4//RG|NOM//nummod//8 §//NN|AN//nmod//9 lagen//NN|UTR|SIN|DEF|NOM//nmod//0 (//PAD//punct//11 1992:1528//RG|NOM//nmod//9 )//PAD//punct//11 om//PP//case//15 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//15 upphandling//NN|UTR|SIN|IND|NOM//nmod//9 (//PAD//punct//17 LOU//PM|NOM//appos//15 )//PAD//punct//9 har//VB|PRS|AKT//aux//20 utretts//VB|SUP|SFO//nsubj:pass//61 av//PP//case//22 Upphandlingskommittén//NN|UTR|SIN|DEF|NOM//obl:agent//20 ,//MID//punct//26 men//KN//cc//26 något//DT|NEU|SIN|IND//det//26 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//33 om//PP//case//28 ändring//NN|UTR|SIN|IND|NOM//nmod//26 av//PP//case//30 bestämmelsen//NN|UTR|SIN|DEF|NOM//nmod//28 har//VB|PRS|AKT//aux//33 inte//AB//advmod//33 lämnats//VB|SUP|SFO//conj//20 .//MID//punct//20
1 Inledning;De//DT|UTR/NEU|PLU|DEF//det//37 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 EG-direktiven//NN|NEU|PLU|DEF|NOM//nsubj//38 innehåller//VB|PRS|AKT//parataxis//20 en//DT|UTR|SIN|IND//det//40 bestämmelse//NN|UTR|SIN|IND|NOM//obj//38 som//HP|-|-|-//nsubj//43 uttryckligen//AB//advmod//43 anger//VB|PRS|AKT//acl:relcl//40 att//SN//mark//51 likabehandlings-//NN|UTR|-|-|SMS//nsubj:pass//51 ,//MID//punct//47 ickediskriminerings-//NN|UTR|-|-|SMS//conj//45 och//KN//cc//49 öppenhetsprinciperna//NN|UTR|PLU|DEF|NOM//conj//45 skall//VB|PRS|AKT//aux//51 beaktas//VB|INF|SFO//ccomp//43 .//MAD//punct//20
1 Inledning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//55 skall//VB|PRS|AKT//aux//55 överväga//VB|INF|AKT//conj//20 om//SN//case//57 huvudregeln//NN|UTR|SIN|DEF|NOM//obl//55 om//PP//case//59 affärsmässighet//NN|UTR|SIN|IND|NOM//nmod//57 bör//VB|PRS|AKT//aux//61 ändras//VB|INF|SFO//ROOT//61 eller//KN//cc//63 ersättas//VB|INF|SFO//conj//61 av//PP//case//67 den//DT|UTR|SIN|DEF//det//67 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//67 bestämmelsen//NN|UTR|SIN|DEF|NOM//obl:agent//63 ,//MID//punct//72 dock//KN//advmod//72 med//PP//case//72 den//DT|UTR|SIN|DEF//det//72 utgångspunkten//NN|UTR|SIN|DEF|NOM//obl//61 att//SN//mark//77 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//77 skall//VB|PRS|AKT//aux//77 vara//VB|INF|AKT//cop//77 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//72 att//IE//mark//79 ta//VB|INF|AKT//csubj//77 miljöhänsyn//NN|UTR|SIN|IND|NOM//obj//79 och//KN//cc//83 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//83 hänsyn//NN|UTR|SIN|IND|NOM//conj//80 vid//PP//case//85 tilldelning//NN|UTR|SIN|IND|NOM//nmod//83 av//PP//case//87 kontrakt//NN|NEU|SIN|IND|NOM//nmod//85 i//PP//mark//92 enlighet//NN|UTR|SIN|IND|NOM//fixed//88 vad//HP|NEU|SIN|IND//fixed//88 som//HP|-|-|-//nsubj:pass//92 anges//VB|PRS|SFO//advcl//79 i//PP//case//96 de//DT|UTR/NEU|PLU|DEF//det//96 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 direktiven//NN|NEU|PLU|DEF|NOM//obl//92 .//MAD//punct//61
