Sammanfattning;Den//DT|UTR|SIN|DEF//det//1 undersökning//NN|UTR|SIN|IND|NOM//nsubj//8 som//HP|-|-|-//nsubj//3 skett//VB|SUP|AKT//acl:relcl//1 vid//PP//case//5 Skattemyndigheten//PM|NOM//obl//3 i//PP//case//7 Växjöregionen//PM|NOM//nmod//5 leder//VB|PRS|AKT//ROOT//8 fram//PL//compound:prt//8 till//PP//mark//16 att//SN//mark//16 total//JJ|POS|UTR|SIN|IND|NOM//amod//13 resursåtgång//NN|UTR|SIN|IND|NOM//nsubj//16 för//PP//case//15 arbetsuppgifter//NN|UTR|PLU|IND|NOM//nmod//13 föranledda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//8 av//PP//case//18 förekomsten//NN|UTR|SIN|DEF|NOM//obl//16 av//PP//case//21 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 skattesatser//NN|UTR|PLU|IND|NOM//nmod//18 för//PP//case//23 moms//NN|UTR|SIN|IND|NOM//nmod//18 för//PP//case//25 Skatteverket//PM|NOM//nmod//23 i//PP//case//27 riket//NN|NEU|SIN|DEF|NOM//nmod//25 som//KN//nsubj:pass//31 helhet//NN|UTR|SIN|IND|NOM//nsubj:pass//31 kan//VB|PRS|AKT//aux//31 uppskattas//VB|INF|SFO//acl:relcl//18 till//PP//case//35 cirka//AB//advmod//34 130–150//RG|NOM//nummod//35 årsarbetskrafter//NN|UTR|PLU|IND|NOM//obl//31 .//MAD//punct//8

Bakgrund;Inom//PP//case//4 ramen//NN|UTR|SIN|DEF|NOM//fixed//0 för//PP//case//4 Mervärdesskattesatsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//obl//5 har//VB|PRS|AKT//aux//17 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//7 expert//NN|UTR|SIN|IND|NOM//obj//5 i//PP//case//9 utredningen//NN|UTR|SIN|DEF|NOM//obl//5 ,//MID//punct//5 Kennerth//PM|NOM//nmod//12 Kullman//PM|NOM//parataxis//5 ,//MID//punct//16 under//PP//case//15 hösten//NN|UTR|SIN|DEF|NOM//nmod//16 2003//RG|NOM//obl//5 gjort//VB|SUP|AKT//ROOT//17 en//DT|UTR|SIN|IND//det//19 undersökning//NN|UTR|SIN|IND|NOM//obj//17 inom//PP//case//22 skattemyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 Växjöregion//NN|UTR|SIN|IND|NOM//nmod//19 (//PAD//punct//17 numera//AB//advmod//25 Skatteverket//PM|NOM//parataxis//17 i//PP//case//27 Växjö//PM|NOM//nmod//25 )//PAD//punct//17 med//PP//case//30 avsikt//NN|UTR|SIN|IND|NOM//obl//17 att//IE//mark//32 få//VB|INF|AKT//acl//30 en//DT|UTR|SIN|IND//det//34 uppfattning//NN|UTR|SIN|IND|NOM//obj//32 om//PP//case//38 den//DT|UTR|SIN|DEF//det//38 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 resursåtgången//NN|UTR|SIN|DEF|NOM//obl//32 till//PP//case//42 följd//NN|UTR|SIN|IND|NOM//fixed//39 av//PP//fixed//39 förekomsten//NN|UTR|SIN|DEF|NOM//nmod//38 av//PP//case//45 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 skattesatser//NN|UTR|PLU|IND|NOM//nmod//42 för//PP//case//47 moms//NN|UTR|SIN|IND|NOM//nmod//42 .//MAD//punct//17
Bakgrund;Undersökningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//51 har//VB|PRS|AKT//aux//51 genomförts//VB|SUP|SFO//parataxis//17 i//PP//case//56 form//NN|UTR|SIN|IND|NOM//fixed//52 av//PP//fixed//52 en//DT|UTR|SIN|IND//det//56 enkät//NN|UTR|SIN|IND|NOM//obl//51 till//PP//case//60 en//DT|UTR|SIN|IND//det//60 stor//JJ|POS|UTR|SIN|IND|NOM//amod//60 del//NN|UTR|SIN|IND|NOM//nmod//56 av//PP//case//63 den//DT|UTR|SIN|DEF//det//63 personal//NN|UTR|SIN|IND|NOM//nmod//60 som//HP|-|-|-//nsubj//65 handlägger//VB|PRS|AKT//acl:relcl//63 momsärenden//NN|UTR|SIN|DEF|NOM//obj//65 inom//PP//case//68 regionen//NN|UTR|SIN|DEF|NOM//obl//65 .//MAD//punct//51
Bakgrund;Utöver//PP//mark//76 att//SN//mark//76 personalen//NN|UTR|SIN|DEF|NOM//nsubj//76 i//PP//case//74 enkäten//NN|UTR|SIN|DEF|NOM//nmod//72 ombetts//VB|SUP|SFO//aux//76 uppskatta//VB|INF|AKT//advcl//51 tidsåtgången//NN|UTR|SIN|DEF|NOM//obj//76 för//PP//case//79 handläggning//NN|UTR|SIN|IND|NOM//obl//76 av//PP//case//81 ärenden//NN|NEU|PLU|IND|NOM//nmod//79 relaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//79 till//PP//case//84 förekomsten//NN|UTR|SIN|DEF|NOM//obl//82 av//PP//case//87 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//87 skattesatser//NN|UTR|PLU|IND|NOM//nmod//84 har//VB|PRS|AKT//aux//90 även//AB//advmod//90 efterfrågats//VB|SUP|SFO//nmod:poss//91 uppgifter//NN|UTR|PLU|IND|NOM//obj//76 om//PP//case//93 vilket//HD|NEU|SIN|IND//nmod//91 eller//KN//cc//97 vilka//HD|UTR/NEU|PLU|IND//det//97 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//97 områden//NN|NEU|PLU|IND|NOM//conj//93 som//HP|-|-|-//obj//100 man//PN|UTR|SIN|IND|SUB//nsubj//100 ansett//VB|SUP|AKT//acl:relcl//97 innehålla//VB|INF|AKT//xcomp//100 svårast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//103 avgränsningsproblem//NN|NEU|PLU|IND|NOM//obj//101 vad//HP|NEU|SIN|IND//nsubj//105 gäller//VB|PRS|AKT//acl:relcl//103 skattesatser//NN|UTR|PLU|IND|NOM//obj//105 .//MAD//punct//51
Bakgrund;Dessutom//AB//advmod//109 har//VB|PRS|AKT//aux//113 personalen//NN|UTR|SIN|DEF|NOM//nsubj//109 i//PP//case//112 enkäten//NN|UTR|SIN|DEF|NOM//obl//109 haft//VB|SUP|AKT//conj//51 möjlighet//NN|UTR|SIN|IND|NOM//obj//113 att//IE//mark//117 fritt//AB|POS//advmod//117 lämna//VB|INF|AKT//acl//114 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//119 kommentarer//NN|UTR|PLU|IND|NOM//obj//117 beträffande//PP//case//122 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//122 skattesatser//NN|UTR|PLU|IND|NOM//obl//117 .//MAD//punct//51
Bakgrund;Ett//DT|NEU|SIN|IND//det//125 antal//NN|NEU|SIN|IND|NOM//nsubj:pass//130 av//PP//case//129 dessa//DT|UTR/NEU|PLU|DEF//det//129 fria//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//129 kommentarer//NN|UTR|PLU|IND|NOM//nmod//125 redovisas//VB|PRS|SFO//conj//51 i//PP//case//132 bilaga//NN|UTR|SIN|IND|NOM//obl//130 2//RG|NOM//nummod//130 för//PP//case//136 varje//DT|UTR/NEU|SIN|IND//det//136 område//NN|NEU|SIN|IND|NOM//obl//130 under//PP//case//139 rubriken//NN|UTR|SIN|DEF|NOM//nmod//139 Synpunkter//NN|UTR|PLU|IND|NOM//nmod//136 som//HP|-|-|-//nsubj:pass//141 framförts//VB|SUP|SFO//acl:relcl//136 i//PP//case//145 samband//NN|NEU|SIN|IND|NOM//fixed//142 med//PP//fixed//142 besvarandet//NN|NEU|SIN|DEF|NOM//obl//141 av//PP//case//147 enkätundersökning//NN|UTR|SIN|IND|NOM//nmod//145 (//PAD//punct//147 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//150 tidsåtgång//NN|UTR|SIN|IND|NOM//appos//147 för//PP//case//152 hantering//NN|UTR|SIN|IND|NOM//nmod//150 av//PP//case//155 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//155 skattesatser//NN|UTR|PLU|IND|NOM//nmod//152 )//PAD//punct//130 i//PP//case//158 Växjöregionen//NN|UTR|SIN|DEF|NOM//obl//51 .//MAD//punct//51
Bakgrund;Enkäten//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 skickats//VB|SUP|SFO//ROOT//2 ut//PL//compound:prt//2 till//PP//case//6 102//RG|NOM//nummod//6 skattehandläggare//NN|UTR|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//8 indelats//VB|SUP|SFO//acl:relcl//6 i//PP//case//10 kategorierna//NN|UTR|PLU|DEF|NOM//obl//8 momshandläggare//NN|UTR|PLU|IND|NOM//obl//8 ,//MID//punct//13 skatterevisorer//NN|UTR|PLU|IND|NOM//conj//11 ,//MID//punct//15 processförare//NN|UTR|PLU|IND|NOM//conj//11 samt//KN//cc//17 stöd-/informationsfunktion//AB|AN//conj//11 .//MAD//punct//2
Bakgrund;Svar//NN|NEU|SIN|IND|NOM//nsubj:pass//21 har//VB|PRS|AKT//aux//21 lämnats//VB|SUP|SFO//nsubj:pass//46 av//PP//case//24 88//RG|NOM//nummod//24 handläggare//NN|UTR|PLU|IND|NOM//obl:agent//21 .//MAD//punct//21
Bakgrund;När//HA//mark//28 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//26 gäller//VB|PRS|AKT//advcl//36 kategorierna//NN|UTR|PLU|DEF|NOM//nsubj//28 momshandläggare//NN|UTR|PLU|IND|NOM//obj//28 och//KN//cc//32 skatterevisorer//NN|UTR|PLU|IND|NOM//conj//30 har//VB|PRS|AKT//aux//36 enkäten//NN|UTR|SIN|DEF|NOM//nsubj:pass//36 inte//AB//advmod//36 skickats//VB|SUP|SFO//conj//21 ut//PL//compound:prt//36 till//PP//case//40 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//40 medarbetare//NN|UTR|PLU|IND|NOM//obl//36 utan//PP//case//44 ett//DT|NEU|SIN|IND//det//44 slumpmässigt//JJ|POS|NEU|SIN|IND|NOM//amod//44 urval//NN|NEU|SIN|IND|NOM//nmod//40 har//VB|PRS|AKT//aux//46 gjorts//VB|SUP|SFO//parataxis//2 .//MAD//punct//2

