Promemoria;2011-01-19//RG|NOM//det//1 S2011/686//RG|NOM//ROOT//1 ///MID//cc//3 PBB//PM|NOM//conj//1

Socialdepartementet;Plan-//NN|UTR|-|-|SMS//ROOT//0 ,//MID//punct//2 bygg-//NN|-|-|-|SMS//conj//0 och//KN//cc//4 bostadsenheten//NN|UTR|SIN|DEF|NOM//conj//0


1. Utredningsuppdraget;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 10//RG|NOM//nummod//4 april//NN|UTR|SIN|IND|NOM//obl//6 2008//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//6 att//IE//mark//12 se//VB|INF|AKT//acl//10 över//PL//case//15 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 frågor//NN|UTR|PLU|IND|NOM//obl//12 inom//PP//case//17 begravningsområdet//NN|NEU|SIN|DEF|NOM//obl//12 ,//MID//punct//6 och//KN//cc//22 samma//DT|UTR/NEU|SIN/PLU|IND//det//21 dag//NN|UTR|SIN|IND|NOM//obl//22 förordnades//VB|PRT|SFO//conj//6 hovrättspresidenten//NN|UTR|SIN|DEF|NOM//nmod//24 Kathrin//PM|NOM//nsubj//22 Flossing//PM|NOM//flat:name//24 för//PP//case//28 detta//DT|NEU|SIN|DEF//det//28 uppdrag//NN|NEU|SIN|IND|NOM//obl//22 .//MAD//punct//6
1. Utredningsuppdraget;I//PP//case//31 uppdraget//NN|NEU|SIN|DEF|NOM//obl//32 ingick//VB|PRT|AKT//parataxis//6 att//IE//mark//34 behandla//VB|INF|AKT//xcomp//32
1. Utredningsuppdraget;•//RG|NOM//punct//1 tillsynsfunktionen//NN|UTR|SIN|DEF|NOM//ROOT//1 enligt//PP//case//3 begravningslagen//NN|UTR|SIN|DEF|NOM//nmod//1 (//PAD//punct//1 1990:1144//RG|NOM//appos//1 )//PAD//punct//5 (//PAD//punct//8 begravningslagen//NN|UTR|SIN|DEF|NOM//appos//1 )//PAD//punct//8 och//KN//cc//11 begravningsförordningen//NN|UTR|SIN|DEF|NOM//conj//8 (//PAD//punct//11 1990:1147//RG|NOM//nmod//11 )//PAD//punct//11 (//PAD//punct//16 begravningsförordningen//NN|UTR|SIN|DEF|NOM//conj//8 )//PAD//punct//16 och//KN//cc//20 begravningsombudens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 roll//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//8
1. Utredningsuppdraget;•//PP//punct//1 frågan//NN|UTR|SIN|DEF|NOM//ROOT//1 om//PP//case//3 variationer//NN|UTR|PLU|IND|NOM//nmod//1 i//PP//case//5 begravningsavgiftssatserna//NN|UTR|PLU|DEF|NOM//nmod//3 ,//MID//punct//1
1. Utredningsuppdraget;•//PP//nummod//2 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 begrepp//NN|NEU|PLU|IND|NOM//ROOT//2 inom//PP//case//4 begravningsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//2 och//KN//punct//2
1. Utredningsuppdraget;Genom//PP//case//1 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//11 den//DT|UTR|SIN|DEF//det//4 28//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//nmod//5 2009//RG|NOM//nummod//1 (//PAD//punct//5 dir//NN|AN//appos//5 .//MAD//punct//1
1. Utredningsuppdraget;2009:51//RG|NOM//punct//1 )//PAD//punct//1 gavs//VB|PRT|SFO//ROOT//11 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//11 även//AB//advmod//11 i//PP//case//15 uppdrag//NN|NEU|SIN|IND|NOM//obl//11 att//IE//punct//11
1. Utredningsuppdraget;•//NN|UTR|SIN|IND|NOM//obl//2 förutsättningslöst//JJ|POS|NEU|SIN|IND|NOM//nsubj//2 se//VB|INF|AKT//ROOT//2 över//PL//compound:prt//2 frågan//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//6 tiden//NN|UTR|SIN|DEF|NOM//nmod//4 mellan//PP//case//8 dödsfall//NN|NEU|SIN|IND|NOM//nmod//6 och//KN//cc//10 gravsättning//NN|UTR|SIN|IND|NOM//conj//8 eller//KN//cc//12 kremering//NN|UTR|SIN|IND|NOM//conj//8 .//MAD//punct//2
1. Utredningsuppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//11 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 antog//VB|PRT|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 Begravningsutredningen//PM|NOM//obj//3 (//PAD//punct//5 Ku//PM|NOM//appos//5 2008:01//RG|NOM//nummod//7 )//PAD//punct//5 ,//MID//punct//0 lade//VB|PRT|AKT//ROOT//11 i//PP//compound:prt//11 september//NN|UTR|SIN|IND|NOM//fixed//12 2009//RG|NOM//nummod//16 fram//PL//fixed//14 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//18 Några//DT|UTR/NEU|PLU|IND//det//18 begravningsfrågor//NN|UTR|PLU|IND|NOM//obj//11 (//PAD//punct//18 SOU//PM|NOM//appos//18 2009:79//RG|NOM//conj//18 )//PAD//punct//18 .//MAD//punct//11

2. Remissinstanser;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//1 sändes//VB|PRT|SFO//ROOT//1 ut//PL//compound:prt//1 till//PP//case//5 162//RG|NOM//nummod//5 remissinstanser//NN|UTR|PLU|IND|NOM//obl//1 .//MAD//punct//1
2. Remissinstanser;Av//PP//case//8 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//12 har//VB|PRS|AKT//aux//12 100//RG|NOM//nummod//11 remissinstanser//NN|UTR|PLU|IND|NOM//obj//9 besvarat//VB|SUP|AKT//parataxis//1 remissen//NN|UTR|SIN|DEF|NOM//obj//12 .//MAD//punct//1
2. Remissinstanser;Dessutom//AB//advmod//16 har//VB|PRS|AKT//aux//22 ytterligare//AB|KOM//advmod//18 20//RG|NOM//nummod//21 s.k.//AB|AN//amod//21 spontana//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 remissvar//NN|NEU|PLU|IND|NOM//nsubj//22 inkommit//VB|SUP|AKT//parataxis//1 .//MAD//punct//1
2. Remissinstanser;Sammanställningen//NN|UTR|SIN|DEF|NOM//nsubj//25 omfattar//VB|PRS|AKT//parataxis//1 således//AB//advmod//25 totalt//AB|POS//advmod//28 120//RG|NOM//nummod//29 remissvar//NN|NEU|PLU|IND|NOM//obj//25 .//MAD//punct//25
2. Remissinstanser;Remissinstanser//NN|UTR|PLU|IND|NOM//ROOT//0 som//HP|-|-|-//nsubj//2 lämnat//VB|SUP|AKT//acl:relcl//0 yttrande//NN|NEU|SIN|IND|NOM//obj//2 ://MAD//punct//0
