5 EG-rätten ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//12 ://MID//punct//1
5 EG-rätten ; //_SP////2 Några//DT|UTR/NEU|PLU|IND//det//5 ändringar//NN|UTR|PLU|IND|NOM//appos//1 av//PP//case//7 lotterilagen//NN|UTR|SIN|DEF|NOM//nmod//5 med//PP//case//11 hänsyn//NN|UTR|SIN|IND|NOM//fixed//8 till//PP//fixed//8 EG-rätten//NN|UTR|SIN|DEF|NOM//nmod//7 föreslås//VB|PRS|SFO//ROOT//12 inte//AB//advmod//12 .//MAD//punct//12
5 EG-rätten ;Inslagen//NN|UTR|SIN|DEF|NOM//nsubj//25 av//PP//case//17 monopol//NN|NEU|SIN|IND|NOM//nmod//15 i//PP//case//21 det//DT|NEU|SIN|DEF//det//21 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 lotterisystemet//NN|NEU|SIN|DEF|NOM//nmod//15 är//VB|PRS|AKT//cop//25 enligt//PP//case//24 utredningen//NN|UTR|SIN|DEF|NOM//obl//25 förenliga//VB|INF|AKT//parataxis//12 med//PP//case//27 EG-rätten//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//12
5 EG-rätten ;Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//obl//30 gäller//VB|PRS|AKT//parataxis//12 de//DT|UTR/NEU|PLU|DEF//det//33 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//33 rättigheter//NN|UTR|PLU|IND|NOM//obj//30 som//HP|-|-|-//nsubj//35 tillerkänts//VB|SUP|SFO//acl:relcl//33 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 föreningar//NN|UTR|PLU|IND|NOM//obj//35 .//MAD//punct//30
5 EG-rätten ;Även//AB//advmod//41 förbudet//NN|NEU|SIN|DEF|NOM//nsubj:pass//51 att//IE//mark//43 främja//VB|INF|AKT//acl//41 deltagande//NN|NEU|SIN|IND|NOM//obj//43 i//PP//case//50 ett//RG|NEU|SIN|IND|NOM//det//50 utom//PP//case//48 landet//NN|NEU|SIN|DEF|NOM//nmod//46 anordnat//PC|PRF|NEU|SIN|IND|NOM//amod//50 lotteri//NN|NEU|SIN|IND|NOM//obl//43 anses//VB|PRS|SFO//parataxis//30 stå//VB|INF|AKT//xcomp//51 i//PP//case//54 överensstämmelse//NN|UTR|SIN|IND|NOM//obl//52 med//PP//case//56 EG-rätten//NN|UTR|SIN|DEF|NOM//nmod//54

5.1 Bakgrund;Sveriges//PM|GEN//nmod:poss//1 medlemskap//NN|NEU|SIN|IND|NOM//nsubj//13 i//PP//case//4 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 unionen//NN|UTR|SIN|DEF|NOM//nmod//1 (//PAD//punct//1 EU//PM|NOM//appos//1 )//PAD//punct//1 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 januari//NN|UTR|SIN|IND|NOM//obl//13 1995//RG|NOM//nummod//10 har//VB|PRS|AKT//aux//13 medfört//VB|SUP|AKT//ROOT//13 att//SN//mark//19 EG-rätten//NN|UTR|SIN|DEF|NOM//nsubj//19 (//PAD//punct//15 gemenskapsrätten//NN|UTR|SIN|DEF|NOM//appos//15 )//PAD//punct//15 gäller//VB|PRS|AKT//ccomp//13 i//PP//case//21 Sverige//PM|NOM//obl//19 .//MAD//punct//13
5.1 Bakgrund;När//HA//case//3 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//0 gäller//VB|PRS|AKT//fixed//0 lotterier//NN|NEU|PLU|IND|NOM//obl//6 och//KN//cc//5 spel//NN|NEU|PLU|IND|NOM//conj//3 förekommer//VB|PRS|AKT//ROOT//6 inte//AB//advmod//6 någon//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 reglering//NN|UTR|SIN|IND|NOM//nsubj//6 inom//PP//case//12 EG-rätten//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//6
5.1 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 finns//VB|PRS|SFO//parataxis//6 således//AB//advmod//15 varken//KN//cc//18 förordningar//NN|UTR|PLU|IND|NOM//nsubj//15 eller//KN//cc//20 direktiv//NN|NEU|PLU|IND|NOM//conj//18 som//HP|-|-|-//nsubj//22 tar//VB|PRS|AKT//acl:relcl//20 sikte//NN|NEU|SIN|IND|NOM//obj//22 på//PP//case//26 dessa//DT|UTR/NEU|PLU|DEF//det//26 verksamheter//NN|UTR|PLU|IND|NOM//obl//22 .//MAD//punct//15
5.1 Bakgrund;De//DT|UTR/NEU|PLU|DEF//det//30 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//15 i//PP//case//32 EG-fördraget//NN|NEU|SIN|DEF|NOM//nmod//30 (//PAD//punct//30 Romfördraget//PM|NOM//appos//30 )//PAD//punct//30 gäller//VB|PRS|AKT//advcl//15 dock//AB//advmod//36 .//MAD//punct//15
5.1 Bakgrund;Här//AB//advmod//41 bör//VB|PRS|AKT//aux//41 nämnas//VB|INF|SFO//conj//6 att//SN//mark//48 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//44 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//48 i//PP//case//46 EG-fördraget//NN|NEU|SIN|DEF|NOM//nmod//44 har//VB|PRS|AKT//aux//48 numrerats//VB|SUP|SFO//advcl//41 om//PP//compound:prt//48 fr.o.m.//AB|AN//case//53 den//DT|UTR|SIN|DEF//det//53 1//RO|NOM//nummod//53 maj//NN|UTR|SIN|IND|NOM//obl//48 1999//RG|NOM//nummod//53 .//MAD//punct//6
