Likvärdigt, rättssäkert och effektivt –  ett nytt nationellt system för kunskapsbedömning ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 prov//NN|NEU|PLU|IND|NOM//nmod//2
Likvärdigt, rättssäkert och effektivt –  ett nytt nationellt system för kunskapsbedömning ;Stockholm//PM|NOM//ROOT//0 2016//RG|NOM//nummod//0

Inledning (1);Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//3 här//AB//fixed//0 är//VB|PRS|AKT//cop//3 del//NN|UTR|SIN|IND|NOM//nmod//4 2//RG|NOM//ROOT//4 till//PP//case//6 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//4 om//PP//case//10 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 provs//NN|UTR|SIN|DEF|GEN//amod//10 betänkande//NN|NEU|SIN|IND|NOM//nmod//6
Inledning (1);Likvärdigt//JJ|POS|NEU|SIN|IND|NOM//advmod//19 ,//MID//punct//2 rättssäkert//JJ|POS|NEU|SIN|IND|NOM//conj//0 och//KN//cc//4 effektivt//AB|POS//conj//0 –//RG|NOM//punct//9 ett//DT|NEU|SIN|IND//det//9 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//9 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//9 system//NN|NEU|SIN|IND|NOM//conj//0 för//PP//case//11 kunskapsbedömning//NN|UTR|SIN|IND|NOM//nmod//9 (//PAD//punct//9 SOU//PM|NOM//appos//9 2016:25//RG|NOM//nmod//9 )//PAD//punct//0 .//MAD//punct//0
Inledning (1);Del//NN|UTR|SIN|IND|NOM//nmod//18 2//RG|NOM//conj//0 innehåller//VB|PRS|AKT//ROOT//19 bilagorna//NN|UTR|PLU|DEF|NOM//nsubj//19  //_SP////20 2–5//RG|NOM//obj//19 .//MAD//punct//19
Inledning (1); //_SP////23 Bilaga//NN|UTR|SIN|IND|NOM//obj//19 1//RG|NOM//nummod//25 ,//MID//punct//25 som//HP|-|-|-//nsubj//29 innehåller//VB|PRS|AKT//acl:relcl//25 direktiven//NN|NEU|PLU|DEF|NOM//obj//29 till//PP//case//32 utredningen//NN|UTR|SIN|DEF|NOM//obl//29 ,//MID//punct//19 ingår//VB|PRS|AKT//parataxis//19 i//PP//case//37 del//NN|UTR|SIN|IND|NOM//nmod//37 1//RG|NOM//obl//34 till//PP//case//39 betänkandet//NN|NEU|SIN|DEF|NOM//obl//34 .//MAD//punct//19
Inledning (1);I//PP//case//1 bilaga//NN|UTR|SIN|IND|NOM//obl//13 2//RG|NOM//nummod//1 –//NN|AN//punct//1  //_SP////3 Provbetyg//NN|NEU|PLU|IND|NOM//conj//1 ,//MID//punct//7 lärarbetyg//NN|NEU|PLU|IND|NOM//conj//5 och//KN//cc//11 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//11 inbördes//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 relationer//NN|UTR|PLU|IND|NOM//conj//5 –//RG|NOM//punct//13 behandlas//VB|PRS|SFO//ROOT//13 relationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//13 mellan//PP//case//16 provbetyg//NN|NEU|PLU|IND|NOM//nmod//14 och//KN//cc//18 ämnes-//NN|UTR|-|-|SMS//conj//16 eller//KN//cc//20 kursbetyg//NN|NEU|PLU|IND|NOM//conj//16 .//MAD//punct//13
Inledning (1);Bilaga//NN|UTR|SIN|IND|NOM//nsubj//8 3//RG|NOM//nummod//0 –//PM|NOM//punct//0 Provsystem//NN|NEU|SIN|IND|NOM//appos//0 i//PP//case//5 förändring//NN|UTR|SIN|IND|NOM//nmod//3  //_SP////5 –//RG|NOM//punct//8 innehåller//VB|PRS|AKT//ROOT//8 en//DT|UTR|SIN|IND//det//11 historisk//JJ|POS|UTR|SIN|IND|NOM//amod//11 skildring//NN|UTR|SIN|IND|NOM//obj//8 av//PP//mark//16 hur//HA//advmod//16 provsystemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 har//VB|PRS|AKT//aux//16 förändrats//VB|SUP|SFO//acl//11 över//PP//case//18 tid//NN|UTR|SIN|IND|NOM//obl//16 från//PP//case//20 1940talet//RG|NOM//obl//16 till//PP//advmod//16 i//PP//fixed//21 dag//NN|UTR|SIN|IND|NOM//fixed//22 .//MAD//punct//8
Inledning (1);I//PP//case//1 bilaga//NN|UTR|SIN|IND|NOM//obl//8 4//RG|NOM//nummod//1 –//PM|NOM//punct//4 Provs//PM|GEN//nmod//1 mätfel//NN|NEU|SIN|IND|NOM//nmod//4  //_SP////5 –//RG|NOM//punct//4 ges//VB|PRS|SFO//ROOT//8 en//DT|UTR|SIN|IND//det//10 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//13 provs//NN|UTR|SIN|DEF|GEN//amod//13 mätfel//NN|NEU|SIN|IND|NOM//nmod//10 och//KN//cc//17 av//PP//case//17 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 testteorier//NN|NEU|PLU|IND|NOM//conj//13 för//PP//mark//20 att//IE//mark//20 uppskatta//VB|INF|AKT//acl//17 mätfelen//NN|NEU|PLU|DEF|NOM//obj//20 .//MAD//punct//8
Inledning (1);Bilaga//NN|UTR|SIN|IND|NOM//nsubj//11 5//RG|NOM//nummod//0 –//NN|AN//punct//0  //_SP////2 Provbetygens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 stabilitet//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//7 tillförlitlighet//NN|UTR|SIN|IND|NOM//conj//5 i//PP//case//9 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//0 –//PM|NOM//punct//0 handlar//VB|PRS|AKT//ROOT//11 om//PP//case//16 de//DT|UTR/NEU|PLU|DEF//det//15 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 provens//NN|NEU|PLU|DEF|GEN//nmod:poss//16 stabilitet//NN|UTR|SIN|IND|NOM//obl//11 i//PP//case//18 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//16 .//MAD//punct//11
