Sammanfattning;Sammanfattningen//NN|UTR|SIN|DEF|NOM//nsubj//1 innehåller//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//5 mycket//AB|POS//advmod//4 kort//JJ|POS|UTR|SIN|IND|NOM//amod//5 beskrivning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 innehållet//NN|NEU|SIN|DEF|NOM//nmod//5 i//PP//case//10 respektive//AB//amod//10 kapitel//NN|NEU|SIN|IND|NOM//nmod//7 och//KN//cc//13 de//DT|UTR/NEU|PLU|DEF//det//13 synpunkter//NN|UTR|PLU|IND|NOM//conj//10 och//KN//cc//15 förslag//NN|NEU|PLU|IND|NOM//conj//13 vi//PN|UTR|PLU|DEF|SUB//nsubj//17 har//VB|PRS|AKT//acl:relcl//15 .//MAD//punct//1

Bakgrund;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//4 redogör//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 för//PP//case//9 den//DT|UTR|SIN|DEF//det//9 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 utredning//NN|UTR|SIN|IND|NOM//obl//4 och//KN//cc//12 den//DT|UTR|SIN|DEF//det//12 proposition//NN|UTR|SIN|IND|NOM//conj//9 som//HP|-|-|-//nsubj//14 ligger//VB|PRS|AKT//acl:relcl//12 till//PP//case//18 grund//NN|UTR|SIN|IND|NOM//fixed//15 för//PP//fixed//15 försöksverksamheten//NN|UTR|SIN|DEF|NOM//obl//14 med//PP//case//21 kvalificerad//PC|PRF|UTR|SIN|IND|NOM//amod//21 yrkesutbildning//NN|UTR|SIN|IND|NOM//nmod//18 samt//KN//cc//23 direktiv//NN|NEU|PLU|IND|NOM//conj//21 och//KN//cc//25 kortfattat//AB//conj//14 om//PP//case//27 verksamheten//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//4

Mål för KY;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//4 behandlar//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//4 den//DT|UTR|SIN|DEF//det//9 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//9 verksamheten//NN|UTR|SIN|DEF|NOM//obj//4 med//PP//case//11 KY//PM|NOM//nmod//9 .//MAD//punct//4
Mål för KY;Vi//PN|UTR|PLU|DEF|SUB//nsubj//14 diskuterar//VB|PRS|AKT//parataxis//4 mål//NN|NEU|SIN|IND|NOM//obj//14 för//PP//case//17 verksamheten//NN|UTR|SIN|DEF|NOM//obl//14 ur//PP//case//20 ett//DT|NEU|SIN|IND//det//20 samhälleligt//JJ|POS|NEU|SIN|IND|NOM//nmod//17 ,//MID//punct//26 ett//DT|NEU|SIN|IND//det//26 individuellt//JJ|POS|NEU|SIN|IND|NOM//amod//26 och//KN//cc//26 arbetslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 perspektiv//NN|NEU|SIN|IND|NOM//conj//20 .//MAD//punct//14
Mål för KY;"Vi//PN|UTR|PLU|DEF|SUB//nsubj//29 har//VB|PRS|AKT//conj//4 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 förslag//NN|NEU|PLU|IND|NOM//obj//29 och//KN//cc//33 synpunkter//NN|UTR|PLU|IND|NOM//conj//31 ;//MID//punct//29"
Mål för KY;KY//NN|UTR|SIN|DEF|NOM//nsubj//2 kan//VB|PRS|AKT//aux//2 producera//VB|INF|AKT//ROOT//2 god//JJ|POS|UTR|SIN|IND|NOM//amod//4 utbildning//NN|UTR|SIN|IND|NOM//obj//2 i//PP//case//6 former//NN|UTR|PLU|IND|NOM//obl//2 och//KN//cc//10 av//PP//case//10 ett//DT|NEU|SIN|IND//det//10 slag//NN|NEU|SIN|IND|NOM//conj//6 som//HP|-|-|-//nsubj:pass//14 normalt//AB|POS//advmod//14 inte//AB//advmod//14 tillhandahålls//VB|PRS|SFO//acl:relcl//10 inom//PP//case//18 det//DT|NEU|SIN|DEF//det//18 reguljära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 utbildningsväsendet//NN|NEU|SIN|DEF|NOM//obl//14 .//MAD//punct//2
Mål för KY;Försöksverksamheten//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 visat//VB|SUP|AKT//ROOT//2 ett//DT|NEU|SIN|IND//det//5 starkt//JJ|POS|NEU|SIN|IND|NOM//amod//5 engagemang//NN|NEU|SIN|IND|NOM//obj//2 från//PP//case//8 arbetslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 sida//NN|UTR|SIN|IND|NOM//nmod//5 ,//MID//punct//12 ett//DT|NEU|SIN|IND//det//12 stort//JJ|POS|NEU|SIN|IND|NOM//amod//12 intresse//NN|NEU|SIN|IND|NOM//conj//2 att//IE//mark//15 få//VB|INF|AKT//aux//15 starta//VB|INF|AKT//acl//12 utbildningar//NN|UTR|PLU|IND|NOM//obj//15 ,//MID//punct//24 ett//DT|NEU|SIN|IND//det//24 oftast//AB|SUV//advmod//20 gott//JJ|POS|NEU|SIN|IND|NOM//amod//21 studerandeintresse//NN|NEU|SIN|IND|NOM//amod//24 och//KN//cc//23 hög//JJ|POS|UTR|SIN|IND|NOM//conj//21 grad//NN|UTR|SIN|IND|NOM//appos//12 av//PP//case//26 anställningsbarhet//NN|UTR|SIN|IND|NOM//nmod//24 hos//PP//case//28 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//26 som//HP|-|-|-//nsubj//30 genomgått//VB|SUP|AKT//acl:relcl//28 utbildningen//NN|UTR|SIN|DEF|NOM//obj//30 .//MAD//punct//2
Mål för KY;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj//5 av//PP//case//2 försöksverksamheten//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//5 så//AB//advmod//5 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//5 att//SN//mark//9 KY//PM|NOM//nsubj:pass//9 bör//VB|PRS|AKT//aux//9 ges//VB|INF|SFO//advcl//5 en//DT|UTR|SIN|IND//det//12 reguljär//JJ|POS|UTR|SIN|IND|NOM//amod//12 form//NN|UTR|SIN|IND|NOM//obj//9 i//PP//case//16 det//DT|NEU|SIN|DEF//det//16 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 utbildningsväsendet//NN|NEU|SIN|DEF|NOM//obl//9 .//MAD//punct//5
Mål för KY;Förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//8 för//PP//case//4 en//DT|UTR|SIN|IND//det//4 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//4 utbyggnad//NN|UTR|SIN|IND|NOM//nmod//0 av//PP//case//6 KY//PM|NOM//nmod//4 är//VB|PRS|AKT//cop//8 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//8 ,//MID//punct//14 men//KN//cc//14 på//PP//case//13 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 områden//NN|NEU|PLU|IND|NOM//obl//14 har//VB|PRS|AKT//conj//8 man//PN|UTR|SIN|IND|SUB//nsubj//14 rekryteringsproblem//NN|NEU|PLU|IND|NOM//obj//14 .//MAD//punct//8
Mål för KY;Man//PN|UTR|SIN|IND|SUB//nsubj//3 bör//VB|PRS|AKT//aux//3 tydligare//AB|KOM//advmod//3 markera//VB|INF|AKT//ROOT//3 att//SN//mark//8 KY//PM|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 en//DT|UTR|SIN|IND//det//8 utbildningsform//NN|UTR|SIN|IND|NOM//ccomp//3 där//AB//advmod//8 ,//MID//punct//11 renodlat//PC|PRF|NEU|SIN|IND|NOM//conj//8 ,//MID//punct//15 arbetslivet//NN|NEU|SIN|DEF|NOM//nsubj//15 aktivt//AB|POS//advmod//15 medverkar//VB|PRS|AKT//conj//8 redan//AB//advmod//15 vid//PP//case//19 utbildningarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//19 tillkomst//NN|UTR|SIN|IND|NOM//obl//15 både//KN//cc//22 genom//PP//case//22 initiativ//NN|NEU|SIN|IND|NOM//obl//15 och//KN//cc//25 vid//PP//case//25 utformningen//NN|UTR|SIN|DEF|NOM//conj//22 av//PP//case//27 utbildningarna//NN|UTR|PLU|DEF|NOM//nmod//25 .//MAD//punct//3
Mål för KY;De//DT|UTR/NEU|PLU|DEF//det//2 operationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 målen//NN|NEU|PLU|DEF|NOM//nsubj//7 för//PP//case//4 KY//PM|NOM//nmod//2 kan//VB|PRS|AKT//aux//7 t.ex.//AB|AN//advmod//7 ange//VB|INF|AKT//ROOT//7 hur//HA//advmod//9 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 studerande//NN|UTR|PLU|IND|NOM//obj//7 som//HP|-|-|-//nsubj//13 bör//VB|PRS|AKT//aux//13 få//VB|INF|AKT//acl:relcl//10 jobb//NN|NEU|SIN|IND|NOM//obj//13 ,//MID//punct//16 fördelningen//NN|UTR|SIN|DEF|NOM//conj//10 på//PP//case//18 branscher//NN|UTR|PLU|IND|NOM//nmod//16 eller//KN//cc//20 prioriteringsinriktningar//NN|UTR|PLU|IND|NOM//conj//18 på//PP//case//23 annat//JJ|POS|NEU|SIN|IND|NOM//amod//23 sätt//NN|NEU|SIN|IND|NOM//nmod//16 .//MAD//punct//7
Mål för KY;De//DT|UTR/NEU|PLU|DEF//det//2 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 målen//NN|NEU|PLU|DEF|NOM//nsubj//10 för//PP//case//4 KY//PM|NOM//nmod//2 bör//VB|PRS|AKT//aux//10 i//PP//advmod//8 huvudsak//NN|UTR|SIN|IND|NOM//fixed//6 vara//VB|INF|AKT//cop//10 de//DT|UTR/NEU|PLU|DEF//det//10 samma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//10 som//HP|-|-|-//case//13 för//PP//case//13 försöksverksamheten//NN|UTR|SIN|DEF|NOM//nmod//10 ,//MID//punct//19 d.v.s.//AB|AN//advmod//19 att//SN//mark//19 KY//PM|NOM//nsubj//19 skall//VB|PRS|AKT//aux//19 ge//VB|INF|AKT//acl:relcl//13 fördjupade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//24 teoretiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 och//KN//cc//23 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//21 kunskaper//NN|UTR|PLU|IND|NOM//obj//19 samt//KN//cc//26 präglas//VB|PRS|SFO//conj//19 av//PP//case//30 såväl//KN//advmod//29 ämnesteoretiskt//AB//amod//30 djup//NN|NEU|SIN|IND|NOM//obl:agent//26 som//KN//case//34 en//DT|UTR|SIN|IND//det//34 stark//JJ|POS|UTR|SIN|IND|NOM//amod//34 arbetsplatsintegrering//NN|UTR|SIN|IND|NOM//nmod//30 .//MAD//punct//10
Mål för KY;Jämställdheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 markeras//VB|INF|SFO//ROOT//2 tydligare//AB|KOM//advmod//2 .//MAD//punct//2
Mål för KY;Eftersom//SN//mark//4 LIA//PM|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 ett//DT|NEU|SIN|IND//det//4 lärande//NN|NEU|SIN|IND|NOM//nsubj//8 i//PP//case//6 arbetet//NN|NEU|SIN|DEF|NOM//nmod//4 skall//VB|PRS|AKT//aux//8 renodlat//PC|PRF|NEU|SIN|IND|NOM//ROOT//8 ensamarbete//NN|NEU|SIN|IND|NOM//nsubj//12 inte//AB//advmod//12 få//VB|INF|AKT//aux//12 förekomma//VB|INF|AKT//xcomp//8 .//MAD//punct//8
