
En kommunallag för framtiden;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 11//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//nmod//0 2012//RG|NOM//nummod//5

vid behov lämna författningsförslag.;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 ingår//VB|PRS|AKT//ROOT//1 inte//AB//advmod//1 i//PP//case//5 utredarens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//1 att//IE//mark//7 föreslå//VB|INF|AKT//acl//5 några//DT|UTR/NEU|PLU|IND//det//10 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 förändringar//NN|UTR|PLU|IND|NOM//obj//7 av//PP//case//14 den//DT|UTR|SIN|DEF//det//14 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 tillsynen//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//1
vid behov lämna författningsförslag.;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 ingår//VB|PRS|AKT//parataxis//1 inte//AB//advmod//17 heller//AB//advmod//17 i//PP//case//21 uppdraget//NN|NEU|SIN|DEF|NOM//obl//17 att//IE//mark//23 hantera//VB|INF|AKT//xcomp//17 frågan//NN|UTR|SIN|DEF|NOM//obj//23 om//PP//case//26 meddelarskydd//NN|NEU|SIN|IND|NOM//nmod//24 ,//MID//punct//24 att//IE//mark//29 föreslå//VB|INF|AKT//acl//24 att//SN//mark//35 de//DT|UTR/NEU|PLU|DEF//det//33 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 företagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//35 ska//VB|PRS|AKT//aux//35 omfattas//VB|INF|SFO//ccomp//29 av//PP//case//37 offentlighetsprincipen//NN|UTR|SIN|DEF|NOM//obl:agent//35 eller//KN//cc//40 att//IE//mark//40 överväga//VB|INF|AKT//conj//35 eller//KN//cc//42 föreslå//VB|INF|AKT//conj//40 ändringar//NN|UTR|PLU|IND|NOM//obj//42 i//PP//case//45 grundlag//NN|UTR|SIN|IND|NOM//nmod//43 .//MAD//punct//17
vid behov lämna författningsförslag.;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//50 ska//VB|PRS|AKT//aux//50 vidare//AB|KOM//advmod//50 väga//VB|INF|AKT//conj//1 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 förslag//NN|NEU|PLU|IND|NOM//obj//50 mot//PP//case//55 de//DT|UTR/NEU|PLU|DEF//det//55 konsekvenser//NN|UTR|PLU|IND|NOM//obl//50 som//HP|-|-|-//obj//58 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//58 får//VB|PRS|AKT//acl:relcl//55 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//62 administrativ//JJ|POS|UTR|SIN|IND|NOM//amod//62 belastning//NN|UTR|SIN|IND|NOM//obj//58 för//PP//case//64 kommuner//NN|UTR|PLU|IND|NOM//nmod//62 ,//MID//punct//66 landsting//NN|NEU|PLU|IND|NOM//conj//64 och//KN//cc//68 domstolar//NN|UTR|PLU|IND|NOM//conj//64 .//MAD//punct//1
vid behov lämna författningsförslag.;De//DT|UTR/NEU|PLU|DEF//det//1 delar//NN|UTR|PLU|IND|NOM//nsubj:pass//28 av//PP//case//3 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//1 som//HP|-|-|-//nsubj//5 rör//VB|PRS|AKT//acl:relcl//3 kommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//7 ansvar//NN|NEU|SIN|IND|NOM//obj//5 i//PP//mark//12 förhållande//NN|NEU|SIN|IND|NOM//fixed//8 till//PP//fixed//8 privat//AB|POS//amod//12 utförd//PC|PRF|UTR|SIN|IND|NOM//amod//13 verksamhet//NN|UTR|SIN|IND|NOM//obj//5 och//KN//cc//16 allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 behov//NN|NEU|PLU|IND|NOM//nsubj:pass//28 av//PP//case//18 insyn//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//cc//20 information//NN|UTR|SIN|IND|NOM//conj//18 samt//KN//cc//22 utvärdering//NN|UTR|SIN|IND|NOM//conj//18 av//PP//case//26 den//DT|UTR|SIN|DEF//det//26 fria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 nämndorganisationen//NN|UTR|SIN|DEF|NOM//nmod//22 ska//VB|PRS|AKT//aux//28 redovisas//VB|INF|SFO//ROOT//28 senast//AB|SUV//case//32 den//DT|UTR|SIN|DEF//det//32 30//RG|NOM//nummod//32 juni//NN|UTR|SIN|IND|NOM//obl//28 2013//RG|NOM//nummod//32 .//MAD//punct//28
vid behov lämna författningsförslag.;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//39 i//PP//advmod//35 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//36 ska//VB|PRS|AKT//aux//39 redovisas//VB|INF|SFO//parataxis//28 senast//AB|SUV//case//43 den//DT|UTR|SIN|DEF//det//43 31//RG|NOM//nummod//43 mars//NN|UTR|SIN|IND|NOM//obl//39 2015//RG|NOM//nummod//43 .//MAD//punct//28

Behovet av en översyn;Huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 av//PP//case//4 den//DT|UTR|SIN|DEF//det//4 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 välfärden//NN|UTR|SIN|DEF|NOM//nmod//0 till//PP//case//6 medborgarna//NN|UTR|PLU|DEF|NOM//nmod//4 tillhandahålls//VB|PRS|SFO//ROOT//7 av//PP//case//9 kommuner//NN|UTR|PLU|IND|NOM//obl:agent//7 och//KN//cc//11 landsting//NN|NEU|PLU|IND|NOM//conj//9 .//MID//punct//7
Behovet av en översyn;De//DT|UTR/NEU|PLU|DEF//det//15 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 ramarna//NN|UTR|PLU|DEF|NOM//appos//7 för//PP//mark//22 hur//HA//advmod//22 den//DT|UTR|SIN|DEF//det//20 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//22 ska//VB|PRS|AKT//aux//22 fungera//VB|INF|AKT//acl//15 anges//VB|INF|SFO//xcomp//22 i//PP//case//25 kommunallagen//NN|UTR|SIN|DEF|NOM//obl//23 .//MAD//punct//15
Behovet av en översyn;I//PP//case//28 kommunallagen//NN|UTR|SIN|DEF|NOM//obl//29 regleras//VB|PRS|SFO//conj//7 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 befogenheter//NN|UTR|PLU|IND|NOM//nsubj:pass//29 ,//MID//punct//33 organisation//NN|UTR|SIN|IND|NOM//conj//31 och//KN//cc//35 verksamhetsformer//NN|UTR|PLU|IND|NOM//conj//31 ,//MID//punct//29 de//DT|UTR/NEU|PLU|DEF//nsubj//38 förtroendevalda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//appos//29 ,//MID//punct//40 fullmäktige//NN|UTR|PLU|DEF|NOM//conj//38 ,//MID//punct//42 styrelser//NN|UTR|PLU|IND|NOM//conj//38 och//KN//cc//44 nämnder//NN|UTR|PLU|IND|NOM//conj//38 ,//MID//punct//38 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//47 förvaltning//NN|UTR|SIN|IND|NOM//conj//38 ,//MID//punct//49 revision//NN|UTR|SIN|IND|NOM//conj//47 och//KN//cc//51 laglighetsprövning//NN|UTR|SIN|IND|NOM//conj//47 av//PP//case//54 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 beslut//NN|NEU|PLU|IND|NOM//nmod//51 .//MAD//punct//29
