Sammanfattning;Expertgruppen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 för//PP//case//3 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 investeringar//NN|UTR|PLU|IND|NOM//nmod//0 bildades//VB|PRT|SFO//ROOT//4 som//KN//case//7 en//DT|UTR|SIN|IND//det//7 del//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//10 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 ambitioner//NN|UTR|PLU|IND|NOM//nmod//7 om//PP//mark//15 att//SN//mark//15 Sverige//PM|NOM//nsubj//15 ska//VB|PRS|AKT//aux//15 bli//VB|INF|AKT//advcl//4 bäst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//15 i//PP//case//18 världen//NN|UTR|SIN|DEF|NOM//obl//15 på//PP//mark//21 att//IE//mark//21 använda//VB|INF|AKT//advcl//15 digitaliseringens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 möjligheter//NN|UTR|PLU|IND|NOM//obj//21 och//KN//cc//28 med//PP//case//28 det//DT|NEU|SIN|DEF//det//28 uttryckliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 syftet//NN|NEU|SIN|DEF|NOM//conj//23 att//SN//mark//33 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//33 ska//VB|PRS|AKT//aux//33 bli//VB|INF|AKT//acl//28 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//33 på//PP//case//37 digital//JJ|POS|UTR|SIN|IND|NOM//amod//37 verksamhetsutveckling//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//4
Sammanfattning;Expertgruppen//NN|UTR|SIN|DEF|NOM//nsubj//41 har//VB|PRS|AKT//aux//41 haft//VB|SUP|AKT//conj//4 i//PP//compound:prt//41 uppdrag//NN|NEU|SIN|IND|NOM//fixed//42 att//IE//mark//45 ge//VB|INF|AKT//xcomp//41 råd//NN|NEU|SIN|IND|NOM//obj//45 och//KN//cc//48 stöd//NN|NEU|SIN|IND|NOM//conj//46 till//PP//case//51 20//RG|NOM//nummod//51 myndigheter//NN|UTR|PLU|IND|NOM//obl//45 .//MAD//punct//41
Sammanfattning;Dessa//DT|UTR/NEU|PLU|DEF//det//54 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//55 står//VB|PRS|AKT//parataxis//41 för//PP//case//57 hälften//NN|UTR|SIN|DEF|NOM//obl//55 av//PP//case//61 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//61 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//61 it-kostnader//NN|UTR|PLU|IND|NOM//nmod//57 .//MAD//punct//69
Sammanfattning;Under//PP//case//67 de//DT|UTR/NEU|PLU|DEF//det//66 tolv//RG|NOM//nummod//66 månader//NN|UTR|PLU|IND|NOM//nmod//67 expertgruppen//NN|UTR|SIN|DEF|NOM//obl//69 varit//VB|SUP|AKT//cop//69 verksam//JJ|POS|UTR|SIN|IND|NOM//advcl//41 har//VB|PRS|AKT//aux//72 samarbete//NN|NEU|SIN|IND|NOM//nsubj:pass//72 påbörjats//VB|SUP|SFO//conj//4 med//PP//case//75 17//RG|NOM//nummod//75 myndigheter//NN|UTR|PLU|IND|NOM//obl//72 ,//MID//punct//75 varav//HA//advmod//78 14//RG|NOM//appos//75 inom//PP//case//80 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//78 .//MAD//punct//4
Sammanfattning;Totalt//AB|POS//advmod//86 har//VB|PRS|AKT//aux//86 22//RG|NOM//nummod//85 analyser//NN|UTR|PLU|IND|NOM//nsubj:pass//86 påbörjats//VB|SUP|SFO//conj//4 ,//MID//punct//92 varav//HA//advmod//92 elva//RG|NOM//nummod//90 analyser//NN|UTR|PLU|IND|NOM//nsubj//92 har//VB|PRS|AKT//aux//92 resulterat//VB|SUP|AKT//conj//4 i//PP//case//95 publicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//95 rekommendationer//NN|UTR|PLU|IND|NOM//obl//92 och//KN//cc//99 sju//RG|NOM//nummod//98 analyser//NN|UTR|PLU|IND|NOM//nsubj//99 pågår//VB|PRS|AKT//conj//92 när//HA//mark//103 detta//DT|NEU|SIN|DEF//det//102 betänkande//NN|NEU|SIN|IND|NOM//nsubj:pass//103 färdigställs//VB|PRS|SFO//advcl//99 .//MAD//punct//4

Expertgruppens övergripande iakttagelser;Under//PP//case//2 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 gång//NN|UTR|SIN|IND|NOM//obl//5 har//VB|PRS|AKT//aux//5 expertgruppen//NN|UTR|SIN|DEF|NOM//nsubj//5 mött//VB|SUP|AKT//ROOT//5 ett//DT|NEU|SIN|IND//det//8 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 engagemang//NN|NEU|SIN|IND|NOM//obj//5 hos//PP//case//11 alla//DT|UTR/NEU|PLU|IND/DEF//det//11 myndigheter//NN|UTR|PLU|IND|NOM//nmod//8 och//KN//cc//15 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//15 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 exempel//NN|NEU|PLU|IND|NOM//conj//11 att//IE//mark//17 bygga//VB|INF|AKT//acl//15 vidare//AB|KOM//compound:prt//17 på//PP//case//17 .//MID//punct//5
Expertgruppens övergripande iakttagelser;Men//KN//cc//25 vi//PN|UTR|PLU|DEF|SUB//nsubj//25 har//VB|PRS|AKT//aux//25 också//AB//advmod//25 noterat//VB|SUP|AKT//conj//5 ett//DT|NEU|SIN|IND//det//27 antal//NN|NEU|SIN|IND|NOM//nmod//28 utmaningar//NN|UTR|PLU|IND|NOM//obj//25 .//MID//punct//25
Expertgruppens övergripande iakttagelser;Det//PN|NEU|SIN|DEF|SUB/OBJ//det//31 expertgruppen//NN|UTR|SIN|DEF|NOM//nsubj//32 iakttagit//VB|SUP|AKT//parataxis//25 förstärker//VB|PRS|AKT//xcomp//32 och//KN//cc//35 verifierar//VB|PRS|AKT//conj//32 i//PP//case//38 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 delar//NN|UTR|PLU|IND|NOM//obl//35 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//35 som//KN//obj//43 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 aktörer//NN|UTR|PLU|IND|NOM//nsubj//43 sett//VB|SUP|AKT//advcl//35 .//MAD//punct//5
Expertgruppens övergripande iakttagelser;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//46 handlar//VB|PRS|AKT//parataxis//5 bland//PP//mark//53 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//47 om//PP//fixed//47 att//SN//mark//53 digital//JJ|POS|UTR|SIN|IND|NOM//amod//52 verksamhetsutveckling//NN|UTR|SIN|IND|NOM//nsubj//53 tenderar//VB|PRS|AKT//advcl//46 att//IE//mark//55 ses//VB|INF|SFO//advcl//53 som//KN//case//60 avgränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//60 och//KN//cc//59 isolerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//57 it-projekt//NN|NEU|PLU|IND|NOM//xcomp//55 ,//MID//punct//55 snarare//AB|KOM//advmod//64 än//KN//mark//64 del//NN|UTR|SIN|IND|NOM//nsubj//46 av//PP//case//68 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//68 strategiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 utveckling//NN|UTR|SIN|IND|NOM//nmod//64 .//MAD//punct//46
Expertgruppens övergripande iakttagelser;De//DT|UTR/NEU|PLU|DEF//det//72 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 satsningar//NN|UTR|PLU|IND|NOM//nsubj//77 som//HP|-|-|-//obl//76 expertgruppen//NN|UTR|SIN|DEF|NOM//nsubj//76 har//VB|PRS|AKT//aux//76 analyserat//VB|SUP|AKT//acl:relcl//72 fokuserar//VB|PRS|AKT//parataxis//46 främst//AB|SUV//advmod//77 på//PP//case//82 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//82 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//82 effektivitet//NN|UTR|SIN|IND|NOM//obl//77 ,//MID//punct//77 snarare//AB|KOM//advmod//88 än//KN//mark//88 på//PP//mark//88 att//IE//mark//88 möjliggöra//VB|INF|AKT//advcl//77 ett//DT|NEU|SIN|IND//det//90 informationsflöde//NN|NEU|SIN|IND|NOM//obj//88 mellan//PP//case//95 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 och//KN//cc//94 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//92 aktörer//NN|UTR|PLU|IND|NOM//nmod//90 för//PP//mark//98 att//IE//mark//98 förbättra//VB|INF|AKT//acl//95 för//PP//case//100 individer//NN|UTR|PLU|IND|NOM//obl//98 och//KN//cc//102 företag//NN|NEU|PLU|IND|NOM//conj//100 ,//MID//punct//88 dvs.//AB|AN//advmod//105 de//PN|UTR/NEU|PLU|DEF|SUB//appos//88 som//HP|-|-|-//punct//46 myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//108 är//VB|PRS|AKT//cop//106 till//PL//compound:prt//106 för//PP//fixed//106 .//MID//punct//5
