Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 25//RG|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//0 1999//RG|NOM//nummod//5 .//MAD//punct//0

En jämförelse av system med bilateral statlig handel med utsläppsrätter respektive handel med utsläppsrätter på företagsnivå skall genomföras. Förslag till handel på företagsnivå skall särskilt beakta verksamheter för vilka i dag låg eller ingen koldioxidskatt betalas.;De//DT|UTR/NEU|PLU|DEF//det//2 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj//12 som//HP|-|-|-//case//6 en//DT|UTR|SIN|IND//det//6 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//6 integration//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//9 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//9 el-//NN|-|-|-|SMS//nmod//6 och//KN//cc//11 gashandel//NN|UTR|SIN|IND|NOM//conj//9 medför//VB|PRS|AKT//ROOT//12 för//PP//case//17 ett//DT|NEU|SIN|IND//det//17 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 internationellt//JJ|POS|NEU|SIN|IND|NOM//amod//17 utbyte//NN|NEU|SIN|IND|NOM//obl//12 av//PP//case//19 utsläppsutrymmen//NN|NEU|PLU|DEF|NOM//nmod//17 skall//VB|PRS|AKT//aux//21 beaktas//VB|INF|SFO//conj//12 .//MAD//punct//12
En jämförelse av system med bilateral statlig handel med utsläppsrätter respektive handel med utsläppsrätter på företagsnivå skall genomföras. Förslag till handel på företagsnivå skall särskilt beakta verksamheter för vilka i dag låg eller ingen koldioxidskatt betalas.;Fördelnings-//NN|UTR|-|-|SMS//nsubj:pass//9 och//KN//cc//2 konkurrenseffekter//NN|UTR|PLU|IND|NOM//conj//0 av//PP//mark//5 att//IE//mark//5 använda//VB|INF|AKT//acl//2 flexibla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 mekanismer//NN|UTR|PLU|IND|NOM//obj//5 skall//VB|PRS|AKT//aux//9 analyseras//VB|INF|SFO//ROOT//9 .//MAD//punct//9
En jämförelse av system med bilateral statlig handel med utsläppsrätter respektive handel med utsläppsrätter på företagsnivå skall genomföras. Förslag till handel på företagsnivå skall särskilt beakta verksamheter för vilka i dag låg eller ingen koldioxidskatt betalas.;Vidare//AB|KOM//advmod//14 skall//VB|PRS|AKT//aux//14 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 undersökas//VB|INF|SFO//parataxis//9 hur//HA//advmod//21 tillämpningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//21 av//PP//case//19 flexibla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 mekanismer//NN|UTR|PLU|IND|NOM//nmod//16 kan//VB|PRS|AKT//aux//21 förenas//VB|INF|SFO//ccomp//14 med//PP//case//24 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 lagstiftning//NN|UTR|SIN|IND|NOM//obl//21 på//PP//case//26 området//NN|NEU|SIN|DEF|NOM//nmod//24 och//KN//cc//29 vilka//HD|UTR/NEU|PLU|IND//det//29 förändringar//NN|UTR|PLU|IND|NOM//conj//14 av//PP//case//31 denna//PN|UTR|SIN|DEF|SUB/OBJ//nmod//29 som//HP|-|-|-//nsubj:pass//34 kan//VB|PRS|AKT//aux//34 aktualiseras//VB|INF|SFO//acl:relcl//31 vid//PP//case//36 införandet//NN|NEU|SIN|DEF|NOM//obl//34 av//PP//case//39 ett//DT|NEU|SIN|IND//det//39 system//NN|NEU|SIN|IND|NOM//nmod//36 med//PP//case//42 flexibla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 mekanismer//NN|UTR|PLU|IND|NOM//nmod//39 .//MAD//punct//9
En jämförelse av system med bilateral statlig handel med utsläppsrätter respektive handel med utsläppsrätter på företagsnivå skall genomföras. Förslag till handel på företagsnivå skall särskilt beakta verksamheter för vilka i dag låg eller ingen koldioxidskatt betalas.;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 redovisa//VB|INF|AKT//ROOT//2 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 slutsatser//NN|UTR|PLU|IND|NOM//obj//2 till//PP//case//6 regeringen//NN|UTR|SIN|DEF|NOM//obl//2 senast//AB|SUV//case//10 den//DT|UTR|SIN|DEF//det//10 31//RG|NOM//nummod//10 december//NN|UTR|SIN|IND|NOM//nmod//6 1999//RG|NOM//nummod//10 .//MAD//punct//2

Bakgrund;FN//PM|NOM//ROOT//0 ://MID//punct//0 s//NN|NEU|SIN|IND|GEN//nummod//3 ramkonvention//NN|UTR|SIN|IND|NOM//appos//0 om//PP//case//5 klimatförändringar//NN|UTR|PLU|IND|NOM//nmod//3
Bakgrund;I//PP//case//4 enlighet//NN|UTR|SIN|IND|NOM//fixed//0 med//PP//fixed//0 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 proposition//NN|UTR|SIN|IND|NOM//obl//18 om//PP//case//6 åtgärder//NN|UTR|PLU|IND|NOM//nmod//4 mot//PP//case//8 klimatpåverkan//NN|UTR|SIN|IND|NOM//nmod//6 m.m.//AB|AN//conj//8 och//KN//cc//12 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 beslut//NN|NEU|SIN|IND|NOM//conj//8 med//PP//case//14 anledning//NN|UTR|SIN|IND|NOM//nmod//12 därav//AB//nmod//14 har//VB|PRS|AKT//aux//18 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//16 godkänt//VB|SUP|AKT//ROOT//18 den//DT|UTR|SIN|DEF//det//20 ramkonvention//NN|UTR|SIN|IND|NOM//obj//18 om//PP//case//22 klimatförändringar//NN|UTR|PLU|IND|NOM//nmod//20 (//PAD//punct//18 SÖ//PM|NOM//nmod//25 1993:13//RG|NOM//appos//18 )//PAD//punct//25 som//HP|-|-|-//nsubj:pass//28 undertecknades//VB|PRT|SFO//acl:relcl//25 under//PP//case//32 Förenta//PM|NOM//nmod:poss//32 nationernas//NN|UTR|PLU|DEF|GEN//flat:name//30 konferens//NN|UTR|SIN|IND|NOM//obl//28 om//PP//case//34 utveckling//NN|UTR|SIN|IND|NOM//nmod//32 och//KN//cc//36 miljö//NN|UTR|SIN|IND|NOM//conj//34 i//PP//case//38 Rio//PM|NOM//nmod//36 de//PM|NOM//nmod//25 Janerio//PM|NOM//nummod//25 år//NN|NEU|SIN|IND|NOM//nmod//42 1992//RG|NOM//nmod//25 (//PAD//punct//25 prop//NN|UTR|SIN|IND|NOM//appos//25 .//MAD//punct//25
Bakgrund;1992/93//RG|NOM//obl//18 ://MID//punct//46
Bakgrund;179//RG|NOM//appos//46 ,//MID//punct//50 bet//VB|PRT|AKT//conj//48 .//MAD//punct//48
Bakgrund;1992/93//RG|NOM//appos//18 ://MID//punct//52
Bakgrund;JoU19//PM|NOM//appos//52 ,//MID//punct//56 rskr//NN|NEU|SIN|IND|NOM//conj//54 .//MID//punct//54
Bakgrund;1992/93:361//RG|NOM//conj//54 )//PAD//punct//54 .//MAD//punct//18
Bakgrund;Konventionen//NN|UTR|SIN|DEF|NOM//nsubj//62 ger//VB|PRS|AKT//parataxis//18 utrymme//NN|NEU|SIN|IND|NOM//obj//62 för//PP//case//66 gradvisa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 förändringar//NN|UTR|PLU|IND|NOM//obl//62 och//KN//cc//68 preciseringar//NN|UTR|PLU|IND|NOM//conj//66 av//PP//case//70 åtaganden//NN|NEU|PLU|IND|NOM//nmod//68 och//KN//cc//72 åtgärder//NN|UTR|PLU|IND|NOM//conj//70 mot//PP//case//74 klimatförändringar//NN|UTR|PLU|IND|NOM//nmod//72 .//MAD//punct//62
Bakgrund;Konventionen//NN|UTR|SIN|DEF|NOM//nsubj//77 innehåller//VB|PRS|AKT//parataxis//62 inte//AB//advmod//77 några//DT|UTR/NEU|PLU|IND//det//83 kvantifierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//83 eller//KN//cc//82 tidsbestämda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//80 åtaganden//NN|NEU|PLU|IND|NOM//obj//77 för//PP//case//86 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 länder//NN|NEU|PLU|IND|NOM//obl//77 .//MAD//punct//62
Bakgrund;Sverige//PM|NOM//nsubj//1 har//VB|PRS|AKT//aux//8 dock//AB//advmod//1 i//PP//case//4 likhet//NN|UTR|SIN|IND|NOM//obl//1 med//PP//case//7 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 länder//NN|NEU|PLU|IND|NOM//nmod//4 uttalat//VB|SUP|AKT//advcl//54 ett//DT|NEU|SIN|IND//det//11 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//11 mål//NN|NEU|SIN|IND|NOM//obj//8 för//PP//case//13 utsläppsbegränsningar//NN|UTR|PLU|IND|NOM//obl//8 av//PP//case//15 koldioxid//NN|UTR|SIN|IND|NOM//nmod//13 och//KN//cc//18 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 växthusgaser//NN|UTR|PLU|IND|NOM//conj//15 .//MAD//punct//8
Bakgrund;Parterna//NN|UTR|PLU|DEF|NOM//nsubj//23 i//PP//case//22 klimatkonventionen//NN|UTR|SIN|DEF|NOM//nmod//20 ges//VB|PRS|SFO//parataxis//8 möjlighet//NN|UTR|SIN|IND|NOM//obj//23 till//PP//case//28 s.k.//AB|AN//amod//28 gemensamt//JJ|POS|NEU|SIN|IND|NOM//amod//28 genomförande//NN|NEU|SIN|IND|NOM//obl//23 av//PP//case//30 utsläppsbegränsningar//NN|UTR|PLU|IND|NOM//nmod//28 .//MAD//punct//8
Bakgrund;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 innebär//VB|PRS|AKT//parataxis//8 att//SN//mark//41 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//41 i//PP//case//38 ett//DT|NEU|SIN|IND//det//38 land//NN|NEU|SIN|IND|NOM//nmod//35 skall//VB|PRS|AKT//aux//41 kunna//VB|INF|AKT//aux//41 räknas//VB|INF|SFO//ccomp//33 av//PP//mark//44 som//KN//mark//44 del//NN|UTR|SIN|IND|NOM//obl:agent//41 av//PP//case//46 uppfyllandet//NN|NEU|SIN|DEF|NOM//nmod//44 av//PP//case//51 ett//DT|NEU|SIN|IND//det//50 annat//JJ|POS|NEU|SIN|IND|NOM//amod//50 lands//NN|NEU|SIN|IND|GEN//nmod:poss//51 åtagande//NN|NEU|SIN|IND|NOM//nmod//46 .//MAD//punct//8
Bakgrund;Härigenom//AB//parataxis//8 främjas//VB|PRS|SFO//ROOT//54 en//DT|UTR|SIN|IND//det//57 kostnadseffektiv//JJ|POS|UTR|SIN|IND|NOM//amod//57 fördelning//NN|UTR|SIN|IND|NOM//nsubj:pass//54 av//PP//case//59 åtgärder//NN|UTR|PLU|IND|NOM//nmod//57 mellan//PP//case//61 länder//NN|NEU|PLU|IND|NOM//nmod//59 ,//MID//punct//54 vilket//HP|NEU|SIN|IND//nsubj//65 är//VB|PRS|AKT//cop//65 en//PN|UTR|SIN|IND|SUB/OBJ//acl:relcl//54 av//PP//case//68 konventionens//NN|UTR|SIN|DEF|GEN//nmod:poss//68 principer//NN|UTR|PLU|IND|NOM//nmod//65 .//MAD//punct//65
Bakgrund;Kriterier//NN|NEU|PLU|IND|NOM//nsubj:pass//75 för//PP//case//73 gemensamt//JJ|POS|NEU|SIN|IND|NOM//amod//73 genomförande//NN|NEU|SIN|IND|NOM//nmod//70 skulle//VB|PRT|AKT//aux//75 fastläggas//VB|INF|SFO//conj//65 vid//PP//case//79 den//DT|UTR|SIN|DEF//det//79 första//RO|NOM//amod//79 partskonferensen//NN|UTR|SIN|DEF|NOM//obl//75 år//NN|NEU|SIN|IND|NOM//nmod//81 1995//RG|NOM//nmod//79 .//MAD//punct//54
Bakgrund;Partskonferensen//NN|UTR|SIN|DEF|NOM//nsubj//84 beslutade//VB|PRT|AKT//parataxis//54 emellertid//AB//advmod//84 i//PP//advmod//84 stället//NN|NEU|SIN|DEF|NOM//fixed//86 att//IE//mark//89 genomföra//VB|INF|AKT//xcomp//84 en//DT|UTR|SIN|IND//det//91 försöksperiod//NN|UTR|SIN|IND|NOM//obj//89 för//PP//case//96 s.k.//AB|AN//amod//96 gemensamt//AB|POS//advmod//95 genomförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//96 aktiviteter//NN|UTR|PLU|IND|NOM//obl//89 (//PAD//punct//84 activities//UO//parataxis//84 implemented//UO//advmod//98 jointly//UO//advmod//98 )//PAD//punct//98 ,//MID//punct//108 under//PP//case//106 vilken//HP|UTR|SIN|IND//det//106 ingen//DT|UTR|SIN|IND//det//106 kreditering//NN|UTR|SIN|IND|NOM//obl//108 skulle//VB|PRT|AKT//aux//108 ske//VB|INF|AKT//conj//84 .//MAD//punct//84
Bakgrund;Rapporteringskriterier//NN|NEU|PLU|IND|NOM//nsubj:pass//111 fastställdes//VB|PRT|SFO//parataxis//84 för//PP//mark//114 att//IE//mark//114 göra//VB|INF|AKT//advcl//111 en//DT|UTR|SIN|IND//det//117 systematisk//JJ|POS|UTR|SIN|IND|NOM//amod//117 bearbetning//NN|UTR|SIN|IND|NOM//obj//114 av//PP//case//119 erfarenheterna//NN|UTR|PLU|DEF|NOM//nmod//117 möjlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//114 .//MID//punct//84
Bakgrund;Vid//PP//case//125 den//DT|UTR|SIN|DEF//det//125 tredje//RO|NOM//amod//125 partskonferensen//NN|UTR|SIN|DEF|NOM//obl//129 i//PP//case//128 Kyoto//PM|NOM//nmod//128 1997//RG|NOM//nmod//125 antogs//VB|PRT|SFO//conj//84 dock//AB//advmod//129 ett//DT|NEU|SIN|IND//det//132 protokoll//NN|NEU|SIN|IND|NOM//obj//129 med//PP//case//136 en//DT|UTR|SIN|IND//det//136 ny//JJ|POS|UTR|SIN|IND|NOM//amod//136 överenskommelse//NN|UTR|SIN|IND|NOM//nmod//132 om//PP//case//139 industriländernas//NN|UTR|PLU|DEF|GEN//nmod:poss//139 utsläpp//NN|NEU|PLU|IND|NOM//nmod//136 av//PP//case//141 växthusgaser//NN|UTR|PLU|IND|NOM//nmod//139 under//PP//case//144 perioden//NN|UTR|SIN|DEF|NOM//nmod//144 2008–2012//RG|NOM//nmod//141 ,//MID//punct//149 vari//HA//advmod//149 gemensamt//JJ|POS|NEU|SIN|IND|NOM//advmod//149 genomförande//NN|NEU|SIN|IND|NOM//amod//149 ingick//VB|PRT|AKT//advcl//129 som//KN//mark//151 en//PN|UTR|SIN|IND|SUB/OBJ//obl//149 av//PP//case//156 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//156 s.k.//AB|AN//amod//156 flexibla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//156 mekanismer//NN|UTR|PLU|IND|NOM//nmod//151 .//MAD//punct//84
