En sjukförsäkring anpassad efter individen;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
En sjukförsäkring anpassad efter individen;En//DT|UTR|SIN|IND//det//2 trygg//JJ|POS|UTR|SIN|IND|NOM//amod//2 sjukförsäkring//NN|UTR|SIN|IND|NOM//ROOT//2 med//PP//case//4 människan//NN|UTR|SIN|DEF|NOM//nmod//2 i//PP//case//6 centrum//NN|NEU|SIN|DEF|NOM//nmod//2
En sjukförsäkring anpassad efter individen;Stockholm//PM|NOM//ROOT//0 2020//RG|NOM//nummod//0

Till statsrådet Ardalan Shekarabi;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 april//NN|UTR|SIN|IND|NOM//obj//1 2018//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 analysera//VB|INF|AKT//acl//12 delar//NN|UTR|PLU|IND|NOM//obj//14 av//PP//case//17 regelverket//NN|NEU|SIN|DEF|NOM//nmod//15 kring//PP//case//19 sjukförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//17 och//KN//cc//24 ,//MID//punct//24 om//SN//mark//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 bedömdes//VB|PRT|SFO//conj//14 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//24 ,//MID//punct//27 lämna//VB|INF|AKT//conj//14 författningsförslag//NN|NEU|SIN|IND|NOM//obj//27 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//34 ska//VB|PRS|AKT//aux//34 bland//PP//advmod//34 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//32 se//VB|INF|AKT//parataxis//1 över//PL//case//36 behovet//NN|NEU|SIN|DEF|NOM//obl//34 av//PP//case//38 anpassningar//NN|UTR|PLU|IND|NOM//nmod//36 av//PP//case//40 försäkringsskyddet//NN|NEU|SIN|DEF|NOM//nmod//38 för//PP//case//42 personer//NN|UTR|PLU|IND|NOM//nmod//40 med//PP//case//44 timanställningar//NN|UTR|PLU|IND|NOM//nmod//42 och//KN//cc//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//47 tidsbegränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//34 anställningar//NN|UTR|PLU|IND|NOM//obj//47 .//MAD//punct//34
Till statsrådet Ardalan Shekarabi;Dessutom//AB//advmod//53 ska//VB|PRS|AKT//aux//53 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//53 kartlägga//VB|INF|AKT//parataxis//34 om//PL//mark//58 det//DT|NEU|SIN|DEF//det//57 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//57 regelverket//NN|NEU|SIN|DEF|NOM//nsubj//58 ger//VB|PRS|AKT//advcl//53 ett//DT|NEU|SIN|IND//det//61 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//amod//61 utrymme//NN|NEU|SIN|IND|NOM//obj//58 för//PP//mark//64 att//IE//mark//64 försäkrades//JJ|POS|MAS|SIN|DEF|GEN//amod//65 arbetsförmåga//NN|UTR|SIN|IND|NOM//obl//58 ska//VB|PRS|AKT//aux//68 kunna//VB|INF|AKT//aux//68 tas//VB|INF|SFO//conj//34 tillvara//PL//compound:prt//68 fullt//AB|POS//advmod//71 ut//AB//advmod//68 .//MAD//punct//34
Till statsrådet Ardalan Shekarabi;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//76 är//VB|PRS|AKT//cop//76 dessa//DT|UTR/NEU|PLU|DEF//det//76 frågor//NN|UTR|PLU|IND|NOM//parataxis//34 som//HP|-|-|-//nsubj:pass//78 redovisas//VB|PRS|SFO//acl:relcl//76 i//PP//case//81 detta//DT|NEU|SIN|DEF//det//81 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//78 .//MAD//punct//76
Till statsrådet Ardalan Shekarabi;Som//KN//case//85 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//85 utredare//NN|UTR|SIN|IND|NOM//obl//86 förordnades//VB|PRT|SFO//parataxis//76 den//DT|UTR|SIN|DEF//det//89 12//RG|NOM//nummod//89 april//NN|UTR|SIN|IND|NOM//obl//86 2018//RG|NOM//nummod//89 f.d.//JJ|AN//amod//92 enhetschefen//NN|UTR|SIN|DEF|NOM//conj//76 och//KN//cc//95 jur.//NN|AN//nmod//95 kand//NN|AN//conj//92 .//MID//punct//76
Till statsrådet Ardalan Shekarabi;Claes//PM|NOM//appos//76 Jansson//PM|NOM//flat:name//97 .//MAD//punct//76
Till statsrådet Ardalan Shekarabi;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 juni//NN|UTR|SIN|IND|NOM//obl//4 2018//RG|NOM//punct//10 verksamhetsutvecklaren//NN|UTR|SIN|DEF|NOM//nmod//13 Terese//PM|NOM//appos//10 Östlin//PM|NOM//flat:name//13 (//PAD//punct//13 Försäkringskassan//NN|UTR|SIN|DEF|NOM//appos//13 )//PAD//punct//10 ,//MID//punct//21 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 experten//NN|UTR|SIN|DEF|NOM//nmod//21 Carl//PM|NOM//dep//4 Johan//PM|NOM//flat:name//21 Fahlander//PM|NOM//flat:name//21 (//PAD//punct//21 Försäkringskassan//NN|UTR|SIN|DEF|NOM//appos//21 )//PAD//punct//21 ,//MID//punct//53 verksamhetssamordnaren//NN|UTR|SIN|DEF|NOM//nmod//29 Torbjörn//PM|NOM//nsubj:pass//53 Wass//PM|NOM//flat:name//29 (//PAD//punct//29 Arbetsförmedlingen//PM|NOM//appos//29 )//PAD//punct//32 ,//MID//punct//35 utredaren//NN|UTR|SIN|DEF|NOM//nmod//36 Nina//PM|NOM//conj//29 Karnehed//PM|NOM//flat:name//36 (//PAD//punct//39 Socialstyrelsen//NN|UTR|SIN|DEF|NOM//appos//29 )//PAD//punct//39 och//KN//cc//43 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//43 Lisa//PM|NOM//conj//29 Widén//PM|NOM//flat:name//43 (//PAD//punct//43 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//appos//43 )//PAD//punct//43 .//MID//punct//29
