10 Förhållandet till yttrandefriheten ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 görs//VB|PRS|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//6 undantag//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//8 persondatalagen//NN|UTR|SIN|DEF|NOM//nmod//6 för//PP//case//12 all//DT|UTR|SIN|IND/DEF//det//12 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//12 behandling//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//14 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//12 som//HP|-|-|-//nsubj:pass//16 skyddas//VB|PRS|SFO//acl:relcl//12 av//PP//case//18 TF//PM|NOM//obl:agent//16 och//KN//cc//20 YGL//PM|NOM//conj//18 eller//KN//cc//22 utförs//VB|PRS|SFO//conj//16 som//KN//mark//25 ett//DT|NEU|SIN|IND//det//25 led//NN|NEU|SIN|IND|NOM//advcl//22 i//PP//case//28 konstnärligt//JJ|POS|NEU|SIN|IND|NOM//amod//28 skapande//NN|NEU|SIN|IND|NOM//obl//25 .//MAD//punct//1
10 Förhållandet till yttrandefriheten ;Undantaget//NN|NEU|SIN|DEF|NOM//nsubj//32 är//VB|PRS|AKT//cop//32 motiverat//PC|PRF|NEU|SIN|IND|NOM//conj//1 eftersom//SN//mark//39 persondatalagens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 materiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//39 annars//AB//advmod//39 skulle//VB|PRT|AKT//aux//39 strida//VB|INF|AKT//advcl//32 mot//PP//case//43 de//DT|UTR/NEU|PLU|DEF//det//43 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 reglerna//NN|UTR|PLU|DEF|NOM//obl//39 i//PP//case//45 grundlagarna//NN|UTR|PLU|DEF|NOM//nmod//43 om//PP//case//47 censurförbud//NN|NEU|SIN|IND|NOM//nmod//45 och//KN//cc//49 meddelarskydd//NN|NEU|SIN|IND|NOM//conj//47 .//MAD//punct//32
10 Förhållandet till yttrandefriheten ;Vilka//HD|UTR/NEU|PLU|IND//det//52 behandlingar//NN|UTR|PLU|IND|NOM//nsubj:pass//57 som//HP|-|-|-//nsubj:pass//54 omfattas//VB|PRS|SFO//acl:relcl//52 av//PP//case//56 undantaget//NN|NEU|SIN|DEF|NOM//obl:agent//54 bestäms//VB|PRS|SFO//parataxis//32 ytterst//AB|SUV//advmod//57 av//PP//case//60 grundlagarna//NN|UTR|PLU|DEF|NOM//obl:agent//57 .//MAD//punct//57
10 Förhållandet till yttrandefriheten ;Skyddet//NN|NEU|SIN|DEF|NOM//nsubj:pass//67 för//PP//case//66 den//DT|UTR|SIN|DEF//det//66 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//66 integriteten//NN|UTR|SIN|DEF|NOM//nmod//62 värnas//VB|PRS|SFO//parataxis//57 genom//PP//case//70 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 regler//NN|UTR|PLU|IND|NOM//obl//67 ,//MID//punct//67 t.ex.//AB|AN//advmod//73 regler//NN|UTR|PLU|IND|NOM//conj//67 om//PP//case//75 ärekränkning//NN|UTR|SIN|IND|NOM//nmod//73 och//KN//cc//79 –//PAD//punct//79 inte//AB//advmod//79 minst//AB|SUV//advmod//83 –//RG|NOM//punct//83 massmediernas//NN|NEU|PLU|DEF|GEN//nmod:poss//83 självsanerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//83 verksamhet//NN|UTR|SIN|IND|NOM//conj//73 .//MAD//punct//1

10.1 Inledning;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 avsnitt//NN|NEU|SIN|IND|NOM//obl//3 behandlar//VB|PRS|AKT//ROOT//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 två//RG|NOM//nummod//6 frågor//NN|UTR|PLU|IND|NOM//obj//3 .//MAD//punct//3
10.1 Inledning;Den//DT|UTR|SIN|DEF//det//10 första//RO|NOM//amod//10 frågan//NN|UTR|SIN|DEF|NOM//nsubj//11 gäller//VB|PRS|AKT//parataxis//3 konflikten//NN|UTR|SIN|DEF|NOM//obj//11 mellan//PP//case//18 å//PP//advmod//18 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//14 sidan//NN|UTR|SIN|DEF|NOM//fixed//14 de//DT|UTR/NEU|PLU|DEF//det//18 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//12 i//PP//case//20 persondatalagen//NN|UTR|SIN|DEF|NOM//nmod//18 som//HP|-|-|-//nsubj//22 ger//VB|PRS|AKT//acl:relcl//18 Datainspektionen//PM|NOM//iobj//22 möjlighet//NN|UTR|SIN|IND|NOM//obj//22 att//IE//mark//29 –//RG|NOM//punct//29 för//PP//mark//29 att//IE//mark//29 skydda//VB|INF|AKT//acl//24 den//DT|UTR|SIN|DEF//det//32 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 integriteten//NN|UTR|SIN|DEF|NOM//obj//29 –//RG|NOM//punct//34 ingripa//VB|INF|AKT//conj//11 mot//PP//compound:prt//34 eller//KN//cc//37 i//PP//conj//35 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//37 inverka//VB|INF|AKT//advcl//34 på//PP//case//41 behandling//NN|UTR|SIN|IND|NOM//obl//39 av//PP//case//43 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//41 och//KN//cc//48 å//PP//advmod//48 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//fixed//45 sidan//NN|UTR|SIN|DEF|NOM//fixed//45 skyddet//NN|NEU|SIN|DEF|NOM//conj//41 mot//PP//case//50 ingripanden//NN|NEU|PLU|IND|NOM//nmod//48 av//PP//case//52 myndigheter//NN|UTR|PLU|IND|NOM//nmod//50 i//PP//case//56 samband//NN|NEU|SIN|IND|NOM//fixed//53 med//PP//fixed//53 utgivning//NN|UTR|SIN|IND|NOM//nmod//52 av//PP//case//59 tryckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//59 skrifter//NN|UTR|PLU|IND|NOM//nmod//56 eller//KN//cc//62 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 yttranden//NN|NEU|PLU|IND|NOM//conj//59 .//MAD//punct//34
10.1 Inledning;Ytterst//AB|SUV//advmod//65 handlar//VB|PRS|AKT//parataxis//3 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//65 om//PP//mark//75 vilka//HD|UTR/NEU|PLU|IND//det//69 undantag//NN|NEU|PLU|IND|NOM//dislocated//75 från//PP//case//72 persondatalagens//NN|UTR|SIN|DEF|GEN//nmod:poss//72 tillämpningsområde//NN|NEU|SIN|IND|NOM//nmod//69 som//HP|-|-|-//nsubj:pass//75 måste//VB|PRS|AKT//aux//75 göras//VB|INF|SFO//advcl//65 av//PP//case//77 hänsyn//NN|UTR|SIN|IND|NOM//obl//75 till//PP//case//79 yttrandefriheten//NN|UTR|SIN|DEF|NOM//nmod//77 .//MAD//punct//3
10.1 Inledning;Denna//DT|UTR|SIN|DEF//det//82 fråga//NN|UTR|SIN|IND|NOM//nsubj:pass//85 har//VB|PRS|AKT//aux//85 tidigare//AB|KOM//advmod//85 behandlats//VB|SUP|SFO//parataxis//3 av//PP//case//87 Datalagsutredningen//NN|UTR|SIN|DEF|NOM//obl:agent//85 .//MAD//punct//3
10.1 Inledning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//90 anknyter//VB|PRS|AKT//parataxis//3 även//AB//advmod//90 något//PN|NEU|SIN|IND|SUB/OBJ//obj//90 till//PP//case//97 den//DT|UTR|SIN|DEF//det//97 mer//AB|KOM//advmod//96 generella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//97 frågan//NN|UTR|SIN|DEF|NOM//obl//90 om//PP//case//100 vilket//HD|NEU|SIN|IND//det//100 skydd//NN|NEU|SIN|IND|NOM//nmod//97 som//HP|-|-|-//nsubj//102 finns//VB|PRS|SFO//acl:relcl//100 för//PP//case//106 den//DT|UTR|SIN|DEF//det//106 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//106 integriteten//NN|UTR|SIN|DEF|NOM//obl//102 i//PP//case//109 massmediala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//109 sammanhang//NN|NEU|PLU|IND|NOM//nmod//106 .//MAD//punct//90
10.1 Inledning;Den//DT|UTR|SIN|DEF//det//2 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 frågan//NN|UTR|SIN|DEF|NOM//nsubj//3 rör//VB|PRS|AKT//ROOT//3 hur//HA//advmod//7 anpassningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 skall//VB|PRS|AKT//aux//7 göras//VB|INF|SFO//ccomp//3 till//PP//case//10 EG-direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 bestämmelser//NN|UTR|PLU|IND|NOM//obl//7 om//PP//case//12 undantag//NN|NEU|SIN|IND|NOM//nmod//10 för//PP//case//14 behandling//NN|UTR|SIN|IND|NOM//nmod//12 av//PP//case//16 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//14 för//PP//case//19 journalistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 ändamål//NN|NEU|PLU|IND|NOM//nmod//16 samt//KN//cc//21 konstnärligt//JJ|POS|NEU|SIN|IND|NOM//conj//19 och//KN//cc//24 litterärt//JJ|POS|NEU|SIN|IND|NOM//amod//24 skapande//NN|NEU|SIN|IND|NOM//conj//19 .//MAD//punct//3
