Släpvagnskörning med B-körkort ;–//RG|NOM//punct//6 när//HA//advmod//6 kan//VB|PRS|AKT//aux//6 de//DT|UTR/NEU|PLU|DEF//det//5 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 EU-reglerna//NN|UTR|PLU|DEF|NOM//nsubj//6 börja//VB|INF|AKT//ROOT//6 tillämpas//VB|INF|SFO//xcomp//6 ?//MAD//punct//6
Släpvagnskörning med B-körkort ;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//4 2007//RG|NOM//nummod//3 års//NN|NEU|SIN|IND|GEN//nmod:poss//4 körkortsutredning//NN|UTR|SIN|IND|NOM//nmod//0
Släpvagnskörning med B-körkort ;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet Åsa Torstensson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 30//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 2006//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 körkortsförfattningarna//NN|UTR|PLU|DEF|NOM//nmod//16 och//KN//cc//21 med//PP//case//21 dem//PN|UTR/NEU|PLU|DEF|OBJ//conj//18 sammanhängande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 författningar//NN|UTR|PLU|IND|NOM//obj//14 .//MAD//punct//1
Till statsrådet Åsa Torstensson;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 från//PP//case//9 och//KN//fixed//4 med//PP//case//9 den//DT|UTR|SIN|DEF//det//9 19//RG|NOM//nummod//9 december//NN|UTR|SIN|IND|NOM//obl//3 2006//RG|NOM//punct//9 hovrättsrådet//NN|NEU|SIN|DEF|NOM//conj//9 och//KN//cc//13 kanslichefen//NN|UTR|SIN|DEF|NOM//conj//11 vid//PP//case//17 Svea//PM|NOM//nmod//17 Hovrätt//NN|UTR|SIN|IND|NOM//flat//15 Björn//PM|NOM//nmod//13 Hansson//PM|NOM//flat:name//17 .//MAD//punct//3
Till statsrådet Åsa Torstensson;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//cc//8 med//PP//case//8 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 februari//NN|UTR|SIN|IND|NOM//obl//2 2007//RG|NOM//nummod//8 verksjuristen//NN|UTR|SIN|DEF|NOM//appos//8 vid//PP//case//12 Rikspolisstyrelsen//PM|NOM//nmod//13 Ulrica//PM|NOM//nmod//10 Clerton//PM|NOM//flat:name//13 ,//MID//punct//16 länsassessorn//NN|UTR|SIN|DEF|NOM//conj//8 vid//PP//case//18 Länsstyrelsen//PM|NOM//nmod//16 i//PP//case//21 Norrbottens//PM|GEN//nmod:poss//21 län//NN|NEU|SIN|IND|NOM//nmod//22 Britt//PM|NOM//nmod//18 Dahlin//PM|NOM//flat:name//22 ,//MID//punct//25 utredaren//NN|UTR|SIN|DEF|NOM//conj//8 vid//PP//case//28 15//RG|NOM//nummod//28 januari//NN|UTR|SIN|IND|NOM//nmod//25 2007//RG|NOM//nummod//28 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//obl//2 Eva//PM|NOM//nsubj//30 Römbo//PM|NOM//flat//31 .//MAD//punct//2
Till statsrådet Åsa Torstensson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//36 har//VB|PRS|AKT//aux//36 antagit//VB|SUP|AKT//parataxis//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//38 2007//RG|NOM//nummod//39 års//NN|NEU|SIN|IND|GEN//nmod:poss//40 körkortsutredning//NN|UTR|SIN|IND|NOM//obj//36 .//MAD//punct//2
Till statsrådet Åsa Torstensson;I//PP//case//3 enlighet//NN|UTR|SIN|IND|NOM//fixed//0 med//PP//fixed//0 utredningsdirektiven//NN|NEU|PLU|DEF|NOM//obl//4 redovisas//VB|PRS|SFO//ROOT//4 härmed//AB//advmod//4 i//PP//case//7 delbetänkandet//NN|NEU|SIN|DEF|NOM//obl//4 Släpvagnskörning//NN|UTR|SIN|IND|NOM//obj//4 med//PP//case//10 B-körkort//NN|NEU|SIN|IND|NOM//nmod//8 –//RG|NOM//punct//8 när//HA//advmod//17 kan//VB|PRS|AKT//aux//17 de//DT|UTR/NEU|PLU|DEF//det//16 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 EUreglerna//NN|UTR|PLU|DEF|NOM//nsubj//17 börja//VB|PRS|AKT//advcl//4 tillämpas//VB|INF|SFO//xcomp//17 ?//MID//punct//4 ,//MID//punct//21
Till statsrådet Åsa Torstensson;SOU//PM|NOM//dep//4 2007:33//RG|NOM//nummod//21 ,//MID//punct//25 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 ställningstagande//NN|NEU|SIN|IND|NOM//conj//4 till//PP//case//28 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 frågor//NN|UTR|PLU|IND|NOM//nmod//25 om//PP//case//30 behörighet//NN|UTR|SIN|IND|NOM//nmod//28 att//IE//mark//32 köra//VB|INF|AKT//advcl//4 fordonskombinationen//NN|UTR|SIN|DEF|NOM//obj//32 dragbil//NN|UTR|SIN|IND|NOM//obj//32 och//KN//cc//36 släp//NN|NEU|SIN|IND|NOM//conj//34 som//HP|-|-|-//nsubj//38 har//VB|PRS|AKT//acl:relcl//36 sin//PS|UTR|SIN|DEF//nmod:poss//40 grund//NN|UTR|SIN|IND|NOM//obj//38 i//PP//case//44 det//DT|NEU|SIN|DEF//det//44 tredje//RO|NOM//amod//44 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//obl//38 .//MAD//punct//4
Till statsrådet Åsa Torstensson;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//6 i//PP//case//3 denna//DT|UTR|SIN|DEF//det//3 del//NN|UTR|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//6 härmed//AB//advmod//6 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//6 .//MAD//punct//6
