Validering;Illustrationer//NN|UTR|PLU|IND|NOM//nsubj//1 finns//VB|PRS|SFO//ROOT//1 endast//AB//advmod//1 i//PP//case//6 den//DT|UTR|SIN|DEF//det//6 tryckta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 versionen//NN|UTR|SIN|DEF|NOM//obl//1

Validering av kunskap och kompetens för livslångt lärande;Danielle//PM|NOM//nmod//1 Colardyn//PM|NOM//ROOT//1
Validering av kunskap och kompetens för livslångt lärande;Inledning//NN|UTR|SIN|IND|NOM//ROOT//0
Validering av kunskap och kompetens för livslångt lärande;Sverige//PM|NOM//nsubj//1 spelade//VB|PRT|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//4 roll//NN|UTR|SIN|IND|NOM//obj//1 i//PP//case//8 den//DT|UTR|SIN|DEF//det//8 tidiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//1 av//PP//case//10 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//nmod//8 –//RG|NOM//punct//12 vidareutbildning//NN|UTR|SIN|IND|NOM//conj//10 och//KN//cc//15 återkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 utbildning//NN|UTR|SIN|IND|NOM//conj//10 .//MAD//punct//1
Validering av kunskap och kompetens för livslångt lärande;Från//PP//case//18 början//NN|UTR|SIN|DEF|NOM//obl//22 av//PP//case//20 1970-talet//NN|NEU|SIN|DEF|NOM//nmod//18 kan//VB|PRS|AKT//aux//22 nämnas//VB|INF|SFO//conj//1 de//DT|UTR/NEU|PLU|DEF//det//25 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 debatter//NN|UTR|PLU|IND|NOM//nsubj:pass//22 om//PP//case//28 återkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 utbildning//NN|UTR|SIN|IND|NOM//obl//22 som//KN//obj//32 Sverige//PM|NOM//nsubj//32 livligt//AB|POS//advmod//32 bidrog//VB|PRT|AKT//acl:relcl//28 till//PP//compound:prt//32 (//PAD//punct//35 OECD//PM|NOM//obl//32 ,//MID//punct//35 1977a//RG|NOM//conj//35 ,//MID//punct//39 b//NN|NEU|SIN|IND|NOM//nmod//37 )//PAD//punct//35 .//MAD//punct//1
Validering av kunskap och kompetens för livslångt lärande;Under//PP//case//45 närmare//AB|KOM//advmod//44 tre//RG|NOM//nummod//45 decennier//NN|NEU|PLU|IND|NOM//obl//46 spreds//VB|PRT|SFO//conj//1 återkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 utbildning//NN|UTR|SIN|IND|NOM//obj//46 till//PP//case//51 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 länder//NN|NEU|PLU|IND|NOM//obl//46 .//MAD//punct//1
Validering av kunskap och kompetens för livslångt lärande;"Resultaten//NN|NEU|PLU|DEF|NOM//det//55 varierade//VB|PRT|AKT//amod//55 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//1 på//PP//case//59 ländernas//NN|NEU|PLU|DEF|GEN//nmod:poss//59 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 utgångsläge//NN|NEU|SIN|IND|NOM//obl//55 och//KN//cc//61 manifesterade//VB|PRT|AKT//conj//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//61 i//PP//case//64 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//61 från//PP//case//66 modeller//NN|UTR|PLU|IND|NOM//nmod//64 som//HP|-|-|-//nsubj//68 byggde//VB|PRT|AKT//acl:relcl//66 på//PP//case//70 lagstiftning//NN|UTR|SIN|IND|NOM//obl//68 som//KN//mark//73 i//PP//case//73 Frankrike//PM|NOM//obl//68 (//PAD//punct//73 där//HA//advmod//77 en//DT|UTR|SIN|IND//det//77 lag//NN|UTR|SIN|IND|NOM//appos//73 från//PP//case//79 1971//RG|NOM//nmod//77 tvingade//VB|PRT|AKT//conj//1 företagen//NN|NEU|PLU|DEF|NOM//obj//80 att//IE//mark//83 använda//VB|INF|AKT//xcomp//80 en//DT|UTR|SIN|IND//det//86 viss//JJ|POS|UTR|SIN|IND|NOM//amod//86 procent//NN|UTR|SIN|IND|NOM//obj//83 av//PP//case//88 lönesumman//NN|UTR|SIN|DEF|NOM//nmod//86 till//PP//case//90 utbildning//NN|UTR|SIN|IND|NOM//nmod//88 ;//MID//punct//1"
Validering av kunskap och kompetens för livslångt lärande;Delors//PM|NOM//obl//1 ,//MID//punct//92 1991//RG|NOM//nummod//92 )//PAD//punct//1 och//KN//cc//98 i//PP//case//98 Australien//PM|NOM//conj//1 (//PAD//punct//98 med//PP//case//102 en//DT|UTR|SIN|IND//det//102 utbildningsgaranti//NN|UTR|SIN|IND|NOM//obl//1 under//PP//case//105 åren//NN|NEU|PLU|DEF|NOM//nmod//105 1990//RG|NOM//nmod//102 till//PP//case//107 1994//RG|NOM//nmod//102 )//PAD//punct//1 till//PP//case//113 oreglerade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//113 eller//KN//cc//112 decentraliserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//110 marknadsmodeller//NN|UTR|PLU|IND|NOM//obl//1 som//KN//case//116 i//PP//case//116 USA//PM|NOM//nmod//113 (//PAD//punct//116 Wills//PM|NOM//appos//116 ,//MID//punct//118 1994//RG|NOM//nummod//118 )//PAD//punct//116 .//MAD//punct//124
Validering av kunskap och kompetens för livslångt lärande;Sverige//PM|NOM//nsubj//124 utvecklade//VB|PRT|AKT//conj//1 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//127 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//127 specialiteter//NN|UTR|PLU|IND|NOM//obj//124 (//PAD//punct//127 OECD//PM|NOM//appos//127 ,//MID//punct//131 1993a//RG|NOM//conj//129 )//PAD//punct//127 och//KN//cc//136 under//PP//case//135 decennier//NN|NEU|PLU|IND|NOM//obl//136 citerades//VB|PRT|SFO//conj//124 landet//NN|NEU|SIN|DEF|NOM//nsubj:pass//136 som//KN//mark//140 ett//DT|NEU|SIN|IND//det//140 föredöme//NN|NEU|SIN|IND|NOM//xcomp//136 när//HA//advmod//136 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//143 gällde//VB|PRT|AKT//fixed//141 kompensatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//145 vuxnenutbildningspolitik//NN|UTR|SIN|IND|NOM//nsubj//143 .//MAD//punct//1
Validering av kunskap och kompetens för livslångt lärande;Inledningsvis//AB//nsubj//1 hade//VB|PRT|AKT//aux//52 den//DT|UTR|SIN|DEF//det//4 återkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 utbildningen//NN|UTR|SIN|DEF|NOM//obj//1 både//KN//cc//7 i//PP//case//7 teorin//NN|UTR|SIN|DEF|NOM//obl//1 och//KN//cc//12 i//PP//case//10 praktiken//NN|UTR|SIN|DEF|NOM//nmod//12 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 drag//NN|NEU|PLU|IND|NOM//conj//7 av//PP//case//19 en//DT|UTR|SIN|IND//det//17 ”//NN|UTR|SIN|IND|NOM//nmod//17 andra//RO|NOM//amod//17 chansens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 ”//PAD//punct//17 utbildning//NN|UTR|SIN|IND|NOM//nmod//12 .//MAD//punct//1
