Till statsrådet Lars-Erik Lövdén ;Statsrådet//NN|NEU|SIN|DEF|NOM//nmod//1 Lars-Erik//PM|NOM//nsubj//3 Lövdén//PM|NOM//flat:name//1 har//VB|PRS|AKT//ROOT//3 den//DT|UTR|SIN|DEF//det//6 24//RG|NOM//nummod//6 oktober//NN|UTR|SIN|IND|NOM//obj//3 2000//RG|NOM//nummod//6 gett//VB|SUP|AKT//conj//3 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//11 Birger//PM|NOM//obj//8 Bäckström//PM|NOM//flat:name//11 uppdraget//NN|NEU|SIN|DEF|NOM//flat:name//11 att//IE//mark//15 följa//VB|INF|AKT//xcomp//8 upp//PL//compound:prt//15 och//KN//cc//18 stödja//VB|INF|AKT//conj//15 de//DT|UTR/NEU|PLU|DEF//det//20 kommuner//NN|UTR|PLU|IND|NOM//obj//18 och//KN//cc//22 landsting//NN|NEU|PLU|IND|NOM//conj//20 vars//HS|DEF//nmod:poss//24 ansökningar//NN|UTR|PLU|IND|NOM//nsubj:pass//25 beretts//VB|SUP|SFO//acl:relcl//20 av//PP//case//27 Kommundelegationen//NN|UTR|SIN|DEF|NOM//obl:agent//25 och//KN//cc//32 som//HP|-|-|-//nsubj:pass//32 av//PP//case//31 regeringen//NN|UTR|SIN|DEF|NOM//obl//32 beviljats//VB|SUP|SFO//conj//25 bidrag//NN|NEU|PLU|IND|NOM//obj//32 från//PP//case//36 anslaget//NN|NEU|SIN|DEF|NOM//nmod//36 Bidrag//NN|NEU|PLU|IND|NOM//nmod//33 till//PP//case//39 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 insatser//NN|UTR|PLU|IND|NOM//obl//32 i//PP//case//42 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 kommuner//NN|UTR|PLU|IND|NOM//nmod//39 och//KN//cc//44 landsting//NN|NEU|SIN|IND|NOM//conj//42 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Sammanfattningsvis//AB//advmod//6 har//VB|PRS|AKT//aux//6 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//6 varit//VB|SUP|AKT//cop//6 att//IE//mark//6 aktivt//AB|POS//advmod//6 följa//VB|INF|AKT//ROOT//6 genomförandet//NN|NEU|SIN|DEF|NOM//obj//6 av//PP//case//9 åtgärdsplanerna//NN|UTR|PLU|DEF|NOM//nmod//7 samt//KN//cc//11 utvecklingen//NN|UTR|SIN|DEF|NOM//conj//9 av//PP//case//15 den//DT|UTR|SIN|DEF//det//15 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 situationen//NN|UTR|SIN|DEF|NOM//nmod//11 i//PP//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 kommuner//NN|UTR|PLU|IND|NOM//nmod//15 och//KN//cc//20 landsting//NN|NEU|PLU|IND|NOM//conj//18 som//HP|-|-|-//nsubj:pass//22 beviljats//VB|SUP|SFO//acl:relcl//20 stöd//NN|NEU|SIN|IND|NOM//obj//22 av//PP//case//25 regeringen//NN|UTR|SIN|DEF|NOM//nmod//23 ,//MID//punct//6 att//IE//mark//28 följa//VB|INF|AKT//advcl//6 den//DT|UTR|SIN|DEF//det//31 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//28 i//PP//case//34 de//DT|UTR/NEU|PLU|DEF//det//34 kommuner//NN|UTR|PLU|IND|NOM//obl//28 som//HP|-|-|-//nsubj//36 tecknat//VB|SUP|AKT//acl:relcl//34 avtal//NN|NEU|SIN|IND|NOM//obj//36 med//PP//obl//36 och//KN//cc//40 beviljats//VB|SUP|SFO//conj//36 stöd//NN|NEU|SIN|IND|NOM//obj//40 i//PP//case//43 samråd//NN|NEU|SIN|IND|NOM//obl//40 med//PP//case//45 Bostadsdelegationen//NN|UTR|SIN|DEF|NOM//nmod//43 ,//MID//punct//49 att//IE//mark//49 vara//VB|INF|AKT//cop//49 samrådspart//NN|UTR|SIN|IND|NOM//conj//6 för//PP//case//51 kommunerna//NN|UTR|PLU|DEF|NOM//obl//49 och//KN//cc//53 landstingen//NN|NEU|PLU|DEF|NOM//conj//51 när//HA//case//58 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//54 gäller//VB|PRS|AKT//fixed//54 de//DT|UTR/NEU|PLU|DEF//det//58 redovisningar//NN|UTR|PLU|IND|NOM//obl//6 som//HP|-|-|-//nsubj:pass//61 skall//VB|PRS|AKT//aux//61 lämnas//VB|INF|SFO//acl:relcl//58 till//PP//case//63 regeringen//NN|UTR|SIN|DEF|NOM//obl//61 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;En//DT|UTR|SIN|IND//det//2 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//2 redovisning//NN|UTR|SIN|IND|NOM//nsubj:pass//6 av//PP//case//4 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//2 skulle//VB|PRT|AKT//aux//6 lämnas//VB|INF|SFO//ROOT//6 senast//AB|SUV//case//10 den//DT|UTR|SIN|DEF//det//10 30//RG|NOM//nummod//10 juni//NN|UTR|SIN|IND|NOM//obl//6 2003//RG|NOM//nummod//10 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;Sekreterare//NN|UTR|PLU|IND|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 varit//VB|SUP|AKT//ROOT//2 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//4 Eva//PM|NOM//nsubj//2 Olin//PM|NOM//flat:name//4 ,//MID//punct//7 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//4 .//MID//punct//4
Till statsrådet Lars-Erik Lövdén ;Hon//PN|UTR|SIN|DEF|SUB//nsubj:pass//10 ersattes//VB|PRT|SFO//conj//2 i//PP//case//13 augusti//NN|UTR|SIN|IND|NOM//nmod//13 2002//RG|NOM//obl//10 av//PP//case//15 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//16 Fredrik//PM|NOM//conj//10 Holmström//PM|NOM//flat:name//16 ,//MID//punct//19 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//16 .//MID//punct//16
Till statsrådet Lars-Erik Lövdén ;Som//HP|-|-|-//case//22 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//23 förordnades//VB|PRT|SFO//acl:relcl//16 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 ekonomidirektören//NN|UTR|SIN|DEF|NOM//nmod//26 Lena//PM|NOM//obj//10 Erixon//PM|NOM//flat:name//26 ,//MID//punct//29 Vägverket//NN|NEU|SIN|DEF|NOM//conj//26 ,//MID//punct//29 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 stadsdirektören//NN|UTR|SIN|DEF|NOM//nmod//33 Lars//PM|NOM//conj//26 Roslund//PM|NOM//flat:name//33 ,//MID//punct//37 Göteborgs//PM|GEN//nmod:poss//37 kommun//NN|UTR|SIN|IND|NOM//conj//26 ,//MID//punct//26 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//40 Sofia//PM|NOM//appos//26 Wallström//PM|NOM//flat:name//40 ,//MID//punct//43 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//26 t.o.m.//AB|AN//case//45 augusti//NN|UTR|SIN|IND|NOM//nmod//46 2002//RG|NOM//nmod//43 och//KN//cc//49 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//49 Fredrik//PM|NOM//conj//26 Holmström//PM|NOM//flat:name//49 ,//MID//punct//49 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//26 t.o.m.//AB|AN//case//54 augusti//NN|UTR|SIN|IND|NOM//nmod//52 2002//RG|NOM//nummod//54 .//MAD//punct//10
Till statsrådet Lars-Erik Lövdén ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2003//RG|NOM//nummod//2
Till statsrådet Lars-Erik Lövdén ;Birger//PM|NOM//ROOT//0 Bäckström//PM|NOM//flat:name//0
Till statsrådet Lars-Erik Lövdén ;Fredrik//PM|NOM//ROOT//0 Holmström//PM|NOM//flat:name//0

