Etik och demokratisk statskonst (1);Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skrift//NN|UTR|SIN|IND|NOM//nmod//3 nr//NN|AN//nmod//3 15//RG|NOM//ROOT//3

Förord;I//PP//case//2 en//DT|UTR|SIN|IND//det//2 studie//NN|UTR|SIN|IND|NOM//obl//15 av//PP//mark//8 hur//HA//advmod//8 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//8 och//KN//cc//7 regeringen//NN|UTR|SIN|DEF|NOM//conj//5 behandlat//VB|SUP|AKT//acl//2 moraliska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 frågor//NN|UTR|PLU|IND|NOM//obj//8 från//PP//case//12 femtiotalet//NN|NEU|SIN|DEF|NOM//nmod//10 och//KN//cc//14 framåt//AB//conj//12 drar//VB|PRS|AKT//ROOT//15 forskaren//NN|UTR|SIN|DEF|NOM//nsubj//15 den//DT|UTR|SIN|DEF//det//19 här//AB//fixed//17 slutsatsen//NN|UTR|SIN|DEF|NOM//obj//15 ://MAD//punct//15
Förord;Resultatet//NN|NEU|SIN|DEF|NOM//nsubj//1 är//VB|PRS|AKT//ROOT//1 därför//AB//mark//8 att//SN//fixed//2 samhället//NN|NEU|SIN|DEF|NOM//nsubj//8 egentligen//AB//advmod//8 aldrig//AB//advmod//8 kan//VB|PRS|AKT//aux//8 fullfölja//VB|INF|AKT//ccomp//1 idén//NN|UTR|SIN|DEF|NOM//obj//8 om//PP//case//13 den//DT|UTR|SIN|DEF//det//13 värderingsfria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//1
Förord;Även//AB//advmod//17 under//PP//case//17 avmoraliseringsperioder//NN|UTR|PLU|IND|NOM//obl//18 förutsätter//VB|PRS|AKT//parataxis//1 besluten//NN|NEU|PLU|DEF|NOM//obj//18 ,//MID//punct//26 oavsett//AB|POS//mark//26 om//SN//mark//26 de//DT|UTR/NEU|PLU|DEF//det//24 beslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//26 ser//VB|PRS|AKT//advcl//18 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 så//AB//advmod//26 ,//MID//punct//26 att//SN//mark//35 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 värden//NN|NEU|PLU|IND|NOM//nsubj:pass//35 och//KN//cc//34 normer//NN|UTR|PLU|IND|NOM//conj//32 prioriteras//VB|PRS|SFO//ccomp//26 .//MAD//punct//26
Förord;Tesen//NN|UTR|SIN|DEF|NOM//nsubj//47 om//PP//case//39 moralens//NN|UTR|SIN|DEF|GEN//nmod:poss//44 ,//MID//punct//42 eller//KN//cc//42 etikens//NN|UTR|SIN|DEF|GEN//conj//39 ,//MID//punct//42 död//NN|UTR|SIN|IND|NOM//nsubj//47 är//VB|PRS|AKT//cop//47 lika//AB//advmod//47 felaktig//JJ|POS|UTR|SIN|IND|NOM//parataxis//26 eller//KN//cc//51 snarare//AB|KOM//advmod//50 lika//AB//advmod//51 lätt//JJ|POS|NEU|SIN|IND|NOM//conj//47 att//IE//mark//53 missuppfatta//VB|INF|AKT//acl//51 som//KN//case//55 tesen//NN|UTR|SIN|DEF|NOM//obl//53 om//PP//case//60 de//DT|UTR/NEU|PLU|DEF//det//59 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 ideologiernas//NN|UTR|PLU|DEF|GEN//nmod:poss//60 död//NN|UTR|SIN|IND|NOM//nmod//55 .//MAD//punct//18
Förord;Undersökningen//NN|UTR|SIN|DEF|NOM//nsubj//63 belägger//VB|PRS|AKT//parataxis//18 snarare//AB|KOM//advmod//63 att//SN//mark//67 såväl//KN//advmod//67 moraluppfattningarna//NN|UTR|PLU|DEF|NOM//ccomp//63 som//HA//obj//71 ideologierna//NN|UTR|PLU|DEF|NOM//nsubj//71 är//VB|PRS|AKT//cop//71 vitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//67 i//PP//case//73 materialet//NN|NEU|SIN|DEF|NOM//obl//71 ,//MID//punct//67 även//AB//mark//81 om//SN//fixed//75 politikerna//NN|UTR|PLU|DEF|NOM//nsubj//81 inte//AB//advmod//81 alltid//AB//advmod//81 är//VB|PRS|AKT//cop//81 medvetna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//67 om//PP//case//83 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//81 .//MAD//punct//67
Förord;(//PAD//punct//86 Bexell//PM|NOM//appos//67 ,//MID//punct//86 G//PM|NOM//conj//86 .//MID//punct//86
Förord;Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//91 moralpolitik//NN|UTR|SIN|IND|NOM//conj//86 .//MID//punct//86
Förord;Lund//PM|NOM//conj//86 ://MID//punct//93
Förord;Lund//PM|NOM//compound//96 University//PM|NOM//compound//97 Press//PM|NOM//conj//86 1995//RG|NOM//nummod//97 ,//MID//punct//86 s.//NN|AN//nmod//101 151//RG|NOM//nmod//86 )//PAD//punct//86
Förord;Författaren//NN|UTR|SIN|DEF|NOM//nsubj//6 till//PP//case//3 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 debattinlägg//NN|NEU|SIN|IND|NOM//nmod//0 vill//VB|PRS|AKT//aux//6 också//AB//advmod//6 påkalla//VB|INF|AKT//ROOT//6 uppmärksamhet//NN|UTR|SIN|IND|NOM//obj//6 kring//PP//case//9 etiken//NN|UTR|SIN|DEF|NOM//obl//6 .//MAD//punct//6
Förord;Han//PN|UTR|SIN|DEF|SUB//nsubj//12 preciserar//VB|PRS|AKT//parataxis//6 vilka//HD|UTR/NEU|PLU|IND//det//14 värden//NN|NEU|PLU|IND|NOM//nsubj//23 som//HP|-|-|-//nmod:poss//20 enligt//PP//case//18 författarens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 mening//NN|UTR|SIN|IND|NOM//obl//20 en//DT|UTR|SIN|IND//det//20 demokrati//NN|UTR|SIN|IND|NOM//nmod//14 är//VB|PRS|AKT//cop//23 helt//AB|POS//advmod//23 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//12 av//PP//compound:prt//23 men//KN//cc//30 som//HP|-|-|-//mark//30 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//30 också//AB//advmod//30 är//VB|PRS|AKT//cop//30 i//PP//conj//23 stånd//NN|NEU|SIN|IND|NOM//fixed//30 att//IE//mark//33 ödelägga//VB|INF|AKT//advcl//30 .//MAD//punct//12
Förord;Utifrån//PP//case//39 en//DT|UTR|SIN|IND//det//39 bestämd//PC|PRF|UTR|SIN|IND|NOM//amod//39 ideologisk//JJ|POS|UTR|SIN|IND|NOM//amod//39 övertygelse//NN|UTR|SIN|IND|NOM//obl//42 vill//VB|PRS|AKT//aux//42 han//PN|UTR|SIN|DEF|SUB//nsubj//42 varna//VB|INF|AKT//conj//12 för//PP//mark//52 att//SN//mark//52 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//52 ,//MID//punct//49 trots//PP//case//49 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 avsikter//NN|UTR|PLU|IND|NOM//nmod//45 ,//MID//punct//52 kan//VB|PRS|AKT//aux//52 överskrida//VB|INF|AKT//advcl//42 gränserna//NN|UTR|PLU|DEF|NOM//obj//52 till//PP//case//56 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 livsområden//NN|NEU|PLU|IND|NOM//obl//52 där//HA//advmod//60 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 värden//NN|NEU|PLU|IND|NOM//nsubj//60 råder//VB|PRS|AKT//acl:relcl//56 .//MAD//punct//42
Förord;Utan//PP//case//63 måttlighet//NN|UTR|SIN|IND|NOM//obl//6 stannar//VB|PRS|AKT//conj//6 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//64 ,//MID//punct//67 blir//VB|PRS|AKT//conj//6 en//PN|UTR|SIN|IND|SUB/OBJ//nsubj//67 av//PP//case//71 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//71 slutsatser//NN|UTR|PLU|IND|NOM//nmod//68 .//MAD//punct//6
