Utredningsuppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 skall//VB|PRS|AKT//aux//6 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//6 såvitt//SN//advmod//6 avser//VB|PRS|AKT//ROOT//6 de//DT|UTR/NEU|PLU|DEF//det//8 frågor//NN|UTR|PLU|IND|NOM//obj//6 som//HP|-|-|-//nsubj:pass//10 behandlas//VB|PRS|SFO//acl:relcl//8 i//PP//case//13 detta//DT|NEU|SIN|DEF//det//13 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//10 göra//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//16 i//PP//case//22 34//RG|NOM//nummod//21 §//NN|AN//nmod//22 konsumentkreditlagen//NN|UTR|SIN|DEF|NOM//nmod//18 (//PAD//punct//22 1992:830//RG|NOM//appos//22 )//PAD//punct//22 om//PP//case//29 en//DT|UTR|SIN|IND//det//28 kontohavares//NN|UTR|SIN|IND|GEN//nmod:poss//29 betalningsansvar//NN|NEU|SIN|IND|NOM//obl//14 för//PP//case//32 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//32 användning//NN|UTR|SIN|IND|NOM//nmod//29 av//PP//case//34 kontokort//NN|NEU|PLU|IND|NOM//nmod//32 .//MAD//punct//6

Behovet av lagändringar;En//DT|UTR|SIN|IND//det//1 kontohavare//NN|UTR|SIN|IND|NOM//nsubj//11 som//HP|-|-|-//nsubj//4 är//VB|PRS|AKT//cop//4 konsument//NN|UTR|SIN|IND|NOM//acl:relcl//1 är//VB|PRS|AKT//cop//11 enligt//PP//case//9 34//RG|NOM//nummod//8 §//NN|AN//nmod//9 konsumentkreditlagen//NN|UTR|SIN|DEF|NOM//obl//10 obegränsat//AB|POS//amod//11 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//obl//54 för//PP//case//14 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 transaktioner//NN|UTR|PLU|IND|NOM//nmod//11 ,//MID//punct//11 om//SN//mark//19 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//19 bl.a.//AB|AN//advmod//19 förlorat//VB|SUP|AKT//advcl//11 kortet//NN|NEU|SIN|DEF|NOM//obj//19 genom//PP//case//23 grov//JJ|POS|UTR|SIN|IND|NOM//amod//23 oaktsamhet//NN|UTR|SIN|IND|NOM//obl//19 eller//KN//cc//29 på//PP//case//28 något//DT|NEU|SIN|IND//det//28 annat//JJ|POS|NEU|SIN|IND|NOM//amod//28 sätt//NN|NEU|SIN|IND|NOM//obl//29 förlorat//VB|SUP|AKT//conj//19 besittningen//NN|UTR|SIN|DEF|NOM//obj//29 av//PP//case//32 kortet//NN|NEU|SIN|DEF|NOM//nmod//30 och//KN//cc//38 inte//AB//advmod//38 snarast//AB|SUV//advmod//38 efter//PP//case//37 upptäckten//NN|UTR|SIN|DEF|NOM//obl//38 anmält//VB|SUP|AKT//conj//19 förlusten//NN|UTR|SIN|DEF|NOM//obj//38 till//PP//case//41 kreditgivaren//NN|UTR|SIN|DEF|NOM//obl//38 .//MAD//punct//11
Behovet av lagändringar;I//PP//case//44 praxis//NN|UTR|SIN|IND|NOM//nmod//11 har//VB|PRS|AKT//aux//54 begreppet//NN|NEU|SIN|DEF|NOM//nmod//48 grov//JJ|POS|UTR|SIN|IND|NOM//amod//48 oaktsamhet//NN|UTR|SIN|IND|NOM//obj//45 i//PP//case//51 34//RG|NOM//nummod//51 §//NN|AN//nmod//48 kommit//VB|SUP|AKT//aux//54 att//IE//mark//54 innefatta//VB|INF|AKT//ROOT//54 situationer//NN|UTR|PLU|IND|NOM//obj//54 som//HP|-|-|-//nsubj:pass//64 i//PP//case//59 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 delar//NN|UTR|PLU|IND|NOM//obl//64 av//PP//case//61 civilrätten//NN|UTR|SIN|DEF|NOM//nmod//59 närmast//AB|SUV//advmod//64 skulle//VB|PRT|AKT//aux//64 betraktas//VB|INF|SFO//acl:relcl//55 som//KN//case//67 enkel//JJ|POS|UTR|SIN|IND|NOM//amod//67 oaktsamhet//NN|UTR|SIN|IND|NOM//xcomp//64 .//MAD//punct//54
Behovet av lagändringar;En//DT|UTR|SIN|IND//det//70 konsument//NN|UTR|SIN|IND|NOM//nsubj//75 som//HP|-|-|-//nsubj//72 förlorar//VB|PRS|AKT//acl:relcl//70 sitt//PS|NEU|SIN|DEF//nmod:poss//74 kontokort//NN|NEU|SIN|IND|NOM//obj//72 löper//VB|PRS|AKT//parataxis//54 alltså//AB//advmod//75 enligt//PP//case//79 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 lagstiftning//NN|UTR|SIN|IND|NOM//obl//75 en//DT|UTR|SIN|IND//det//81 risk//NN|UTR|SIN|IND|NOM//obj//75 att//IE//mark//83 drabbas//VB|INF|SFO//acl//81 av//PP//case//88 en//DT|UTR|SIN|IND//det//88 avsevärd//JJ|POS|UTR|SIN|IND|NOM//amod//88 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//88 förlust//NN|UTR|SIN|IND|NOM//obl:agent//83 .//MAD//punct//54
Behovet av lagändringar;Vidare//AB|KOM//nsubj:pass//91 beaktas//VB|INF|SFO//parataxis//54 enligt//PP//case//94 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//94 reglering//NN|UTR|SIN|IND|NOM//obl//91 inte//AB//advmod//99 hur//HA//advmod//99 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//99 har//VB|PRS|AKT//aux//99 hanterat//VB|SUP|AKT//advcl//91 koden//NN|UTR|SIN|DEF|NOM//obj//99 .//MAD//punct//54
Behovet av lagändringar;Användningen//NN|UTR|SIN|DEF|NOM//nsubj//4 av//PP//case//2 kontokort//NN|NEU|PLU|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//4 ökat//VB|SUP|AKT//ROOT//4 dramatiskt//AB|POS//advmod//4 sedan//AB//case//7 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//4 i//PP//case//12 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 34//RG|NOM//nummod//11 §//NN|AN//nmod//12 konsumentkreditlagen//NN|UTR|SIN|DEF|NOM//nmod//7 infördes//VB|PRT|SFO//advcl//4 år//NN|NEU|SIN|IND|NOM//nmod//15 1977//RG|NOM//obl//13 .//MAD//punct//4
Behovet av lagändringar;Kontokort//NN|NEU|SIN|IND|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//4 att//IE//mark//22 lättillgängligt//AB|POS//nsubj:pass//22 medföras//VB|INF|SFO//advcl//19 i//PP//case//25 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 sammanhang//NN|NEU|PLU|IND|NOM//obl//22 och//KN//cc//32 för//PP//mark//32 att//IE//mark//32 på//PP//case//31 daglig//JJ|POS|UTR|SIN|IND|NOM//amod//31 basis//NN|UTR|SIN|IND|NOM//obl//32 användas//VB|INF|SFO//conj//22 för//PP//case//34 betalningar//NN|UTR|PLU|IND|NOM//obl//32 och//KN//cc//36 kontantuttag//NN|NEU|PLU|IND|NOM//conj//34 .//MAD//punct//19
Behovet av lagändringar;Genom//PP//mark//43 att//SN//mark//43 behörighetskontrollen//NN|UTR|SIN|DEF|NOM//nsubj//43 allt//AB//advmod//42 oftare//AB|KOM//advmod//43 sker//VB|PRS|AKT//advcl//48 genom//PP//case//45 inknappning//NN|UTR|SIN|IND|NOM//obl//43 av//PP//case//47 kod//NN|UTR|SIN|IND|NOM//nmod//45 har//VB|PRS|AKT//conj//19 ett//DT|NEU|SIN|IND//det//51 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 ansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//56 för//PP//case//53 systemsäkerheten//NN|UTR|SIN|DEF|NOM//nmod//51 kommit//VB|SUP|AKT//aux//56 att//IE//mark//56 läggas//VB|INF|SFO//xcomp//48 på//PP//case//58 kontohavaren//NN|UTR|SIN|DEF|NOM//obl//56 .//MAD//punct//19
Behovet av lagändringar;Elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 betalningsmedel//NN|NEU|PLU|IND|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 typiskt//AB|POS//ROOT//3 sett//PC|PRF|NEU|SIN|IND|NOM//advcl//3 kostnadseffektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//3 och//KN//cc//7 säkrare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//5 än//KN//case//11 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//11 pappersbaserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 motsvarigheter//NN|UTR|PLU|IND|NOM//nmod//7 .//MAD//punct//3
Behovet av lagändringar;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 finns//VB|PRS|SFO//parataxis//3 således//AB//advmod//14 ett//DT|NEU|SIN|IND//det//20 samhällsekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//20 och//KN//cc//19 brottsförebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//17 intresse//NN|NEU|SIN|IND|NOM//nsubj//14 av//PP//mark//24 att//SN//mark//24 kortanvändningen//NN|UTR|SIN|DEF|NOM//nsubj//24 ökar//VB|PRS|AKT//acl//20 i//PP//case//26 samhället//NN|NEU|SIN|DEF|NOM//obl//24 .//MAD//punct//14
