Till statsrådet Maj-Inger Klingvall ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//4 februari//NN|UTR|SIN|IND|NOM//obl//6 1996//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//10 Anna//PM|NOM//obj//6 Hedborg//PM|NOM//flat:name//10 att//IE//mark//13 tillkalla//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//16 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//16 kommitté//NN|UTR|SIN|IND|NOM//obj//13 med//PP//case//18 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//16 att//IE//mark//20 göra//VB|INF|AKT//acl//16 en//DT|UTR|SIN|IND//det//23 bred//JJ|POS|UTR|SIN|IND|NOM//amod//23 översyn//NN|UTR|SIN|IND|NOM//obj//20 av//PP//mark//30 hur//HA//advmod//30 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//27 lagstiftning//NN|UTR|SIN|IND|NOM//nsubj//30 och//KN//cc//29 praxis//NN|UTR|SIN|IND|NOM//conj//27 förhåller//VB|PRS|AKT//acl//23 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//30 till//PP//case//33 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//30 i//PP//case//35 FN//PM|NOM//nmod//33 ://MID//punct//35 s//NN|NEU|SIN|IND|GEN//nummod//38 konvention//NN|UTR|SIN|IND|NOM//obl//30 om//PP//case//41 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//41 rättigheter//NN|UTR|PLU|IND|NOM//nmod//38 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;"Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//46 har//VB|PRS|AKT//aux//46 vidare//AB|KOM//advmod//46 haft//VB|SUP|AKT//parataxis//6 i//PP//case//48 uppdrag//NN|NEU|SIN|IND|NOM//obl//46 att//IE//mark//50 skapa//VB|INF|AKT//acl//48 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//52 klarhet//NN|UTR|SIN|IND|NOM//obj//50 och//KN//cc//56 ett//DT|NEU|SIN|IND//det//56 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//56 mått//NN|NEU|SIN|IND|NOM//conj//50 av//PP//case//58 samsyn//NN|UTR|SIN|IND|NOM//nmod//56 vad//HP|NEU|SIN|IND//nsubj//60 gäller//VB|PRS|AKT//advcl//46 innebörden//NN|UTR|SIN|DEF|NOM//obj//60 av//PP//case//63 begreppet//NN|NEU|SIN|DEF|NOM//nmod//61 ""//PAD//punct//66 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//66 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//conj//63 ""//PAD//punct//66 i//PP//case//69 Barnkonventionen//NN|UTR|SIN|DEF|NOM//nmod//63 och//KN//cc//72 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//72 rätt//NN|UTR|SIN|IND|NOM//conj//69 samt//KN//cc//77 att//IE//mark//77 därvid//AB//advmod//77 särskilt//AB//advmod//77 analysera//VB|INF|AKT//advcl//46 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 målkonflikter//NN|UTR|PLU|IND|NOM//obj//77 .//MAD//punct//6"
Till statsrådet Maj-Inger Klingvall ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//82 fick//VB|PRT|AKT//parataxis//6 i//PP//advmod//82 uppdrag//NN|NEU|SIN|IND|NOM//fixed//83 att//IE//mark//88 med//PP//case//87 förtur//NN|UTR|SIN|IND|NOM//obl//88 behandla//VB|INF|AKT//advcl//82 frågan//NN|UTR|SIN|DEF|NOM//obj//88 om//PP//case//92 barns//NN|NEU|PLU|IND|GEN//nmod:poss//92 ställning//NN|UTR|SIN|IND|NOM//nmod//89 i//PP//case//94 ärenden//NN|NEU|PLU|IND|NOM//nmod//92 enligt//PP//case//96 utlänningslagen//NN|UTR|SIN|DEF|NOM//nmod//92 ,//MID//punct//82 bl.a.//AB|AN//advmod//101 när//HA//mark//101 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//101 gäller//VB|PRS|AKT//advcl//82 avvisning//NN|UTR|SIN|IND|NOM//obj//101 eller//KN//cc//104 utvisning//NN|UTR|SIN|IND|NOM//conj//102 där//HA//advmod//107 barn//NN|NEU|PLU|IND|NOM//nsubj:pass//107 berörs//VB|PRS|SFO//acl:relcl//104 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//5 av//PP//case//4 detta//DT|NEU|SIN|DEF//det//4 bemyndigande//NN|NEU|SIN|IND|NOM//acl//1 förordnades//VB|PRT|SFO//ROOT//5 den//DT|UTR|SIN|DEF//det//8 18//RG|NOM//nummod//8 mars//NN|UTR|SIN|IND|NOM//obl//5 1996//RG|NOM//nummod//8 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 direktören//NN|UTR|SIN|DEF|NOM//nmod//12 Gabriel//PM|NOM//conj//5 Romanus//PM|NOM//flat:name//12 som//KN//mark//15 ordförande//NN|UTR|SIN|IND|NOM//xcomp//12 i//PP//case//17 kommittén//NN|UTR|SIN|DEF|NOM//obl//5 .//MAD//punct//5
Till statsrådet Maj-Inger Klingvall ;Som//KN//mark//23 ledamöter//NN|UTR|PLU|IND|NOM//nsubj:pass//23 i//PP//case//22 kommittén//NN|UTR|SIN|DEF|NOM//nmod//20 förordnades//VB|PRT|SFO//advcl//5 samma//DT|UTR/NEU|SIN/PLU|IND//det//25 dag//NN|UTR|SIN|IND|NOM//obl//23 advokaten//NN|UTR|SIN|DEF|NOM//nmod//27 Sten//PM|NOM//parataxis//23 De//PM|NOM//nsubj//27 Geer//PM|NOM//obj//27 (//PAD//punct//29 v//NN|NEU|SIN|IND|NOM//appos//29 )//PAD//punct//27 ,//MID//punct//35 kommunalrådet//NN|NEU|SIN|DEF|NOM//nmod//35 Lena//PM|NOM//dep//5 Ek//PM|NOM//flat:name//35 (//PAD//punct//35 c//NN|NEU|SIN|IND|NOM//nmod//35 )//PAD//punct//35 ,//MID//punct//5 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//42 Gustaf//PM|NOM//parataxis//5 von//PM|NOM//nmod//44 Essen//PM|NOM//obj//42 (//PAD//punct//44 m//PM|NOM//appos//44 )//PAD//punct//42 ,//MID//punct//51 konsulenten//NN|UTR|SIN|DEF|NOM//nmod//50 Aldo//PM|NOM//compound//51 Iskra//PM|NOM//appos//5 (//PAD//punct//53 kd//PM|NOM//appos//51 )//PAD//punct//53 ,//MID//punct//58 samt//KN//cc//58 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//58 Marianne//PM|NOM//conj//51 Jönsson//PM|NOM//flat:name//58 (//PAD//punct//58 s//NN|AN//nmod//58 )//PAD//punct//58 ,//MID//punct//64 Ronny//PM|NOM//dep//5 Olander//PM|NOM//flat//64 (//PAD//punct//64 s//NN|AN//dep//64 )//PAD//punct//64 ,//MID//punct//70 Siw//PM|NOM//parataxis//5 Persson//PM|NOM//flat:name//70 (//PAD//punct//70 fp//PM|NOM//dep//70 )//PAD//punct//70 och//KN//cc//77 Ragnhild//PM|NOM//nsubj//77 Pohanka//PM|NOM//conj//5 (//PAD//punct//79 mp//PM|NOM//appos//77 )//PAD//punct//79 .//MAD//punct//77
Till statsrådet Maj-Inger Klingvall ;Sten//PM|NOM//advcl//89 De//PM|NOM//nsubj//82 Geer//PM|NOM//obj//82 och//KN//cc//86 Gustaf//PM|NOM//conj//82 von//PM|NOM//nmod//88 Essen//PM|NOM//flat:name//86 ersattes//VB|PRT|SFO//parataxis//77 den//DT|UTR|SIN|DEF//det//91 23//RG|NOM//nummod//92 augusti//NN|UTR|SIN|IND|NOM//obl//89 1996//RG|NOM//nummod//92 av//PP//case//97 f.d.//JJ|AN//amod//96 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//97 Bertil//PM|NOM//nmod//93 Måbrink//PM|NOM//flat:name//97 (//PAD//punct//97 v//NN|NEU|SIN|IND|NOM//obl//89 )//PAD//punct//89 respektive//AB//cc//104 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//104 Liselotte//PM|NOM//conj//89 Wågö//PM|NOM//flat//104 (//PAD//punct//104 m//PM|NOM//appos//104 )//PAD//punct//89 .//MAD//punct//5
Till statsrådet Maj-Inger Klingvall ;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//6 i//PP//case//4 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//nmod//1 har//VB|PRS|AKT//aux//6 deltagit//VB|SUP|AKT//ROOT//6 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//8 Lars//PM|NOM//nsubj//6 Borg//PM|NOM//flat:name//8 (//PAD//punct//8 fr.o.m.//AB|AN//case//14 den//DT|UTR|SIN|DEF//det//14 21//RG|NOM//nummod//14 oktober//NN|UTR|SIN|IND|NOM//appos//8 1996//RG|NOM//nummod//14 )//PAD//punct//6 ,//MID//punct//19 ambassadören//NN|UTR|SIN|DEF|NOM//nmod//19 Thomas//PM|NOM//appos//6 Hammarberg//PM|NOM//flat:name//19 ,//MID//punct//19 numera//AB//advmod//23 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//24 Göran//PM|NOM//dep//19 Håkansson//PM|NOM//flat:name//24 ,//MID//punct//24 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//28 Christina//PM|NOM//appos//19 Sandqvist//PM|NOM//flat:name//28 ,//MID//punct//19 redaktören//NN|UTR|SIN|DEF|NOM//nmod//32 Yrsa//PM|NOM//nmod//33 Stenius//PM|NOM//appos//19 ,//MID//punct//19 f.d.//JJ|AN//amod//36 justitierådet//NN|NEU|SIN|DEF|NOM//nmod//37 Tor//PM|NOM//conj//19 Sverne//PM|NOM//flat:name//37 (//PAD//punct//19 t.o.m//AB|AN//parataxis//19 den//DT|UTR|SIN|DEF//det//43 17//RG|NOM//nummod//43 december//NN|UTR|SIN|IND|NOM//obl//19 1996//RG|NOM//nummod//43 )//PAD//punct//19 ,//MID//punct//47 Barnombudsmannen//NN|UTR|SIN|DEF|NOM//parataxis//6 Louise//PM|NOM//flat//47 Sylwander//PM|NOM//nummod//47 ,//MID//punct//47 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//52 Charlotta//PM|NOM//appos//47 Wickman//PM|NOM//flat:name//52 samt//KN//cc//55 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//52 Anita//PM|NOM//flat//55 Wickström//PM|NOM//flat//56 .//MAD//punct//47
Till statsrådet Maj-Inger Klingvall ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 i//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//obl//5 haft//VB|SUP|AKT//ROOT//5 att//IE//mark//7 samråda//VB|INF|AKT//xcomp//5 med//PP//case//9 en//PN|UTR|SIN|IND|SUB/OBJ//obl//7 av//PP//case//11 regeringen//NN|UTR|SIN|DEF|NOM//nmod//9 från//PP//case//17 och//KN//fixed//12 med//PP//fixed//12 den//DT|UTR|SIN|DEF//det//17 26//RG|NOM//nummod//17 april//NN|UTR|SIN|IND|NOM//nmod//11 1996//RG|NOM//nummod//17 förordnad//PC|PRF|UTR|SIN|IND|NOM//amod//20 referensgrupp//NN|UTR|SIN|IND|NOM//obj//5 ,//MID//punct//20 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//20 av//PP//case//24 läraren//NN|UTR|SIN|DEF|NOM//nmod//22 Elisabeth//PM|NOM//obl//22 B//PM|NOM//compound//27 Carlsson//PM|NOM//obl//22 ,//MID//punct//31 Sveriges//PM|GEN//nmod:poss//31 Kristna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 Råd//NN|NEU|SIN|IND|NOM//conj//22 ,//MID//punct//34 konsulenten//NN|UTR|SIN|DEF|NOM//nmod//34 Ulla//PM|NOM//conj//20 Graneli//PM|NOM//flat:name//34 ,//MID//punct//37 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//20 Hem//NN|NEU|SIN|IND|NOM//nmod//37 och//KN//cc//40 Skola//NN|UTR|SIN|IND|NOM//conj//38 ,//MID//punct//37 juristen//NN|UTR|SIN|DEF|NOM//nmod//43 Ingrid//PM|NOM//conj//20 Krogius//PM|NOM//flat:name//43 ,//MID//punct//47 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//47 Röda//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//43 Korset//NN|NEU|SIN|DEF|NOM//flat:name//43 ,//MID//punct//43 generalsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//51 Lennart//PM|NOM//appos//43 Lindgren//PM|NOM//flat:name//51 ,//MID//punct//54 Rädda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 Barnen//NN|NEU|PLU|DEF|NOM//flat:name//43 ,//MID//punct//55 generalsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//58 Bodil//PM|NOM//conj//20 Långberg//PM|NOM//flat:name//58 ,//MID//punct//61 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//5 BRIS//PM|NOM//flat//61 ,//MID//punct//61 =//MID//punct//61 =//MID//punct//64 =//MID//punct//61 =//MID//punct//61 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//69 Lisbet//PM|NOM//nmod//61 Palme//PM|NOM//flat//69 ,//MID//punct//73 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 Unicef-kommittén//NN|UTR|SIN|DEF|NOM//conj//61 samt//KN//cc//76 studeranden//NN|UTR|SIN|DEF|NOM//nmod//76 Sofia//PM|NOM//conj//5 Stenfeldt//PM|NOM//flat:name//76 ,//MID//punct//76 Landsrådet//NN|NEU|SIN|DEF|NOM//conj//76 för//PP//case//82 Sveriges//PM|GEN//nmod:poss//82 Ungdomsorganisationer//NN|UTR|PLU|IND|NOM//nmod//79 .//MAD//punct//5
Till statsrådet Maj-Inger Klingvall ;Ingrid//PM|NOM//nsubj:pass//86 Krogius//PM|NOM//flat:name//84 ersattes//VB|PRT|SFO//parataxis//5 fr.o.m.//AB|AN//case//90 den//DT|UTR|SIN|DEF//det//90 7//RO|NOM//nummod//90 oktober//NN|UTR|SIN|IND|NOM//obl//86 1996//RG|NOM//nummod//90 av//PP//case//93 folkrättsexperten//NN|UTR|SIN|DEF|NOM//nmod//94 Malin//PM|NOM//nmod//90 Greenhill//PM|NOM//flat:name//94 ,//MID//punct//98 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//98 Röda//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//99 Korset//NN|NEU|SIN|DEF|NOM//conj//90 .//MAD//punct//5
Till statsrådet Maj-Inger Klingvall ;Sekretariatet//NN|NEU|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 bestått//VB|SUP|AKT//ROOT//2 av//PP//case//5 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//5 Carin//PM|NOM//obl//2 Jahn//PM|NOM//flat:name//5 ,//MID//punct//5 huvudsekreterare//NN|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//10 socionomen//NN|UTR|SIN|DEF|NOM//nmod//11 Barbro//PM|NOM//conj//5 Holmberg//PM|NOM//flat:name//11 och//KN//cc//14 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//compound//16 Lennart//PM|NOM//nummod//16 Östblom//PM|NOM//conj//5 ,//MID//punct//16 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 (//PAD//punct//18 den//DT|UTR|SIN|DEF//det//22 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//22 fr.om//NN|NEU|SIN|IND|NOM//appos//18 .//MAD//punct//18
Till statsrådet Maj-Inger Klingvall ;den//DT|UTR|SIN|DEF//det//26 13//RG|NOM//nummod//26 januari//NN|UTR|SIN|IND|NOM//appos//18 1997//RG|NOM//nummod//26 )//PAD//punct//26 ,//MID//punct//18 samt//KN//cc//31 pol//NN|UTR|SIN|IND|NOM//conj//18 .//MID//punct//18
