Till statsrådet Maj-Inger Klingvall ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslöt//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 1997//RG|NOM//nummod//4 att//SN//mark//11 en//DT|UTR|SIN|IND//det//9 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//9 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//11 skulle//VB|PRT|AKT//aux//11 tillkallas//VB|INF|SFO//ccomp//1 med//PP//case//13 uppgift//NN|UTR|SIN|IND|NOM//obl//11 att//IE//mark//15 se//VB|INF|AKT//acl//13 över//PL//compound:prt//15 arbetsskadeförsäkringen//NN|UTR|SIN|DEF|NOM//obj//15 (//PAD//punct//17 Dir//NN|AN//appos//17 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;1997:91//RG|NOM//obl//1 )//PAD//punct//21 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//25 innebar//VB|PRT|AKT//parataxis//1 att//IE//mark//27 analysera//VB|INF|AKT//xcomp//25 de//DT|UTR/NEU|PLU|DEF//det//30 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//30 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//31 förändringar//NN|UTR|PLU|IND|NOM//obj//27 i//PP//case//33 arbetsskadeförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//31 i//PP//case//35 syfte//NN|NEU|SIN|IND|NOM//obl//27 att//IE//mark//37 se//VB|INF|AKT//advcl//27 över//PL//compound:prt//37 frågan//NN|UTR|SIN|DEF|NOM//obj//37 om//SN//case//41 försäkringen//NN|UTR|SIN|DEF|NOM//nmod//39 ger//VB|PRS|AKT//conj//25 en//DT|UTR|SIN|IND//det//45 tillfredsställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 trygghet//NN|UTR|SIN|IND|NOM//obj//42 för//PP//case//47 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//42 som//HP|-|-|-//nsubj:pass//49 drabbas//VB|PRS|SFO//acl:relcl//47 av//PP//case//52 en//DT|UTR|SIN|IND//det//52 arbetsskada//NN|UTR|SIN|IND|NOM//obl:agent//49 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 25//RG|NOM//nummod//6 juli//NN|UTR|SIN|IND|NOM//nsubj:pass//3 1997//RG|NOM//nummod//8 försäkringskassedirektören//NN|UTR|SIN|DEF|NOM//nmod//9 Lars//PM|NOM//appos//6 Grönwall//PM|NOM//flat:name//9 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Den//DT|UTR|SIN|DEF//det//2 29//RG|NOM//nummod//2 augusti//NN|UTR|SIN|IND|NOM//nsubj:pass//4 1997//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//4 i//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//nmod//6 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//11 Susann//PM|NOM//nummod//11 Asplund–Johansson//PM|NOM//nsubj:pass//4 ,//MID//punct//11 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//11 ombudsmannen//NN|UTR|SIN|DEF|NOM//nmod//16 Paul//PM|NOM//conj//11 Carlsson//PM|NOM//flat:name//16 ,//MID//punct//19 Landsorganisationen//NN|UTR|SIN|DEF|NOM//conj//11 i//PP//case//21 Sverige//PM|NOM//nmod//19 ,//MID//punct//23 jur.kand//PM|NOM//conj//11 .//MID//punct//4
Till statsrådet Maj-Inger Klingvall ;Alf//PM|NOM//appos//4 Eckerhall//PM|NOM//flat:name//25 ,//MID//punct//29 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 Arbetsgivarföreningen//NN|UTR|SIN|DEF|NOM//conj//25 ,//MID//punct//29 ombudsmannen//NN|UTR|SIN|DEF|NOM//nmod//32 Anna-Stina//PM|NOM//conj//25 Elfving//PM|NOM//flat:name//32 ,//MID//punct//25 Tjänstemännens//NN|UTR|PLU|DEF|GEN//nmod:poss//36 Centralorganisation//NN|UTR|SIN|IND|NOM//conj//25 ,//MID//punct//38 försäkringschefen//NN|UTR|SIN|DEF|NOM//conj//25 Hans//PM|NOM//nmod:poss//44 Goine//PM|NOM//flat//39 ,//MID//punct//42 Försäkringskasseförbundet//NN|NEU|SIN|DEF|NOM//conj//39 ,//MID//punct//42 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//45 Jonas//PM|NOM//conj//25 Iversen//PM|NOM//flat:name//45 ,//MID//punct//48 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//50 jur.kand//PM|NOM//conj//25 .//MID//punct//25
Till statsrådet Maj-Inger Klingvall ;Jens//PM|NOM//appos//25 Karlsson//PM|NOM//flat//52 ,//MID//punct//56 Företagarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//56 Riksorganisation//NN|UTR|SIN|IND|NOM//conj//52 ,//MID//punct//25 numera//AB//advmod//60 rättschefen//NN|UTR|SIN|DEF|NOM//nmod//60 Göran//PM|NOM//conj//25 Lambertz//PM|NOM//flat:name//60 ,//MID//punct//63 Justitiedepartementet//PM|NOM//conj//60 ,//MID//punct//63 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//66 Elisabeth//PM|NOM//conj//60 Lane//PM|NOM//flat:name//66 ,//MID//punct//66 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//66 ,//MID//punct//66 förhandlingsdirektören//NN|UTR|SIN|DEF|NOM//nmod//72 Margareta//PM|NOM//conj//25 Sjöberg//PM|NOM//flat:name//72 ,//MID//punct//75 Arbetsgivarverket//PM|NOM//conj//25 ,//MID//punct//25 ombudsmannen//NN|UTR|SIN|DEF|NOM//nmod//78 Marie-Louise//PM|NOM//conj//25 Strömgren//PM|NOM//flat//78 ,//MID//punct//78 Sveriges//PM|GEN//nmod:poss//82 Akademikers//NN|UTR|PLU|IND|GEN//nmod:poss//83 Centralorganisation//PM|NOM//conj//78 ,//MID//punct//25 förhandlaren//NN|UTR|SIN|DEF|NOM//nmod//86 Jan//PM|NOM//appos//25 Svensson//PM|NOM//flat:name//86 ,//MID//punct//89 Landstingsförbundet//PM|NOM//conj//25 och//KN//cc//91 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//92 Rolf//PM|NOM//conj//25 Westin//PM|NOM//flat:name//92 ,//MID//punct//95 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//conj//25 .//MID//punct//25
Till statsrådet Maj-Inger Klingvall ;Jur.kand//VB|PRT|SFO//obl//4 .//MID//punct//4
Till statsrådet Maj-Inger Klingvall ;Lars//PM|NOM//nsubj//101 Baltzari//PM|NOM//flat//99 förordnades//VB|PRT|SFO//parataxis//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//103 dag//NN|UTR|SIN|IND|NOM//obl//101 som//KN//mark//105 expert//NN|UTR|SIN|IND|NOM//acl//103 i//PP//case//107 utredningen//NN|UTR|SIN|DEF|NOM//obl//101 .//MAD//punct//101
Till statsrådet Maj-Inger Klingvall ;Den//DT|UTR|SIN|DEF//det//111 12//RG|NOM//nummod//111 december//NN|UTR|SIN|IND|NOM//obl//113 1997//RG|NOM//nummod//111 förordnades//VB|PRT|SFO//parataxis//101 också//AB//advmod//113 avdelningschefen//NN|UTR|SIN|DEF|NOM//nsubj:pass//113 ///MID//cc//117 överläkaren//NN|UTR|SIN|DEF|NOM//nmod//118 Anders//PM|NOM//dep//113 Englund//PM|NOM//flat:name//118 att//IE//mark//122 vara//VB|INF|AKT//cop//122 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//xcomp//113 i//PP//case//124 utredningen//NN|UTR|SIN|DEF|NOM//nmod//122 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//10 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//10 sedan//PP//advmod//4 den//DT|UTR|SIN|DEF//det//8 4//RO|NOM//nummod//8 augusti//NN|UTR|SIN|IND|NOM//obl//10 1997//RG|NOM//nummod//8 tjänstgjort//VB|SUP|AKT//ROOT//10 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//12 Anna//PM|NOM//nsubj//10 Åkerrén//PM|NOM//flat:name//12 och//KN//cc//21 sedan//PP//advmod//17 den//DT|UTR|SIN|DEF//det//17 11//RG|NOM//nummod//18 augusti//NN|UTR|SIN|IND|NOM//obl//19 1997//RG|NOM//nummod//20 försäkringsjuristen//NN|UTR|SIN|DEF|NOM//nmod//21 Maria//PM|NOM//conj//10 Norberg//PM|NOM//flat:name//21 .//MAD//punct//10
