Till statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 17//RG|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 1998//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 utvärdera//VB|INF|AKT//acl//12 resegarantisystemet//NN|NEU|SIN|DEF|NOM//obj//14 och//KN//cc//17 analysera//VB|INF|AKT//conj//14 om//SN//mark//21 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//21 bör//VB|PRS|AKT//aux//21 ändras//VB|INF|SFO//ccomp//17 och//KN//cc//29 ,//MID//punct//29 om//SN//mark//27 så//AB//advmod//27 är//VB|PRS|AKT//cop//27 fallet//NN|NEU|SIN|DEF|NOM//advcl//29 ,//MID//punct//29 lämna//VB|INF|AKT//conj//21 förslag//NN|NEU|SIN|IND|NOM//obj//29 till//PP//case//33 ny//JJ|POS|UTR|SIN|IND|NOM//amod//33 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//30 på//PP//case//35 området//NN|NEU|SIN|DEF|NOM//nmod//33 samt//KN//cc//39 slutligen//AB//mark//39 att//IE//mark//39 analysera//VB|INF|AKT//conj//21 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//42 frågor//NN|UTR|PLU|IND|NOM//obj//39 rörande//PP//case//44 tillämpningen//NN|UTR|SIN|DEF|NOM//obl//39 av//PP//case//46 resegarantilagen//NN|UTR|SIN|DEF|NOM//nmod//44 (//PAD//punct//48 1972:204//RG|NOM//appos//46 )//PAD//punct//48 .//MAD//punct//54
Till statsrådet Lars-Erik Lövdén ;Till//PP//case//53 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//53 utredare//NN|UTR|SIN|IND|NOM//obl//54 förordnades//VB|PRT|SFO//conj//1 den//DT|UTR|SIN|DEF//det//57 21//RG|NOM//nummod//57 december//NN|UTR|SIN|IND|NOM//nsubj:pass//54 1998//RG|NOM//nummod//59 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//57 och//KN//cc//61 chefen//NN|UTR|SIN|DEF|NOM//conj//59 för//PP//case//64 Allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 reklamationsnämnden//NN|UTR|SIN|DEF|NOM//nmod//65 Karin//PM|NOM//nmod//61 Lindell//PM|NOM//flat:name//65 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Att//IE//mark//3 som//KN//mark//3 experter//NN|UTR|PLU|IND|NOM//nsubj//3 biträda//VB|INF|AKT//advcl//5 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 februari//NN|UTR|SIN|IND|NOM//obl//5 1999//RG|NOM//nummod//10 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//11 Lotta//PM|NOM//conj//5 Danin//PM|NOM//flat:name//11 ,//MID//punct//14 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//appos//11 Anders//PM|NOM//nmod:poss//16 Heiborn//PM|NOM//flat:name//14 ,//MID//punct//14 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//19 Bertil//PM|NOM//appos//11 Kallner//PM|NOM//flat:name//19 ,//MID//punct//19 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//23 Staffan//PM|NOM//appos//19 Moberg//PM|NOM//flat:name//23 ,//MID//punct//23 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//27 Christina//PM|NOM//conj//23 Striby//PM|NOM//flat//27 ,//MID//punct//31 bankjuristen//NN|UTR|SIN|DEF|NOM//nmod//31 Tomas//PM|NOM//appos//11 Tetzell//PM|NOM//flat:name//31 och//KN//cc//35 advokaten//NN|UTR|SIN|DEF|NOM//nmod//35 Jan//PM|NOM//conj//11 Widlund//PM|NOM//flat:name//35 .//MAD//punct//5
Till statsrådet Lars-Erik Lövdén ;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Dag//PM|NOM//discourse//9 Cohen//PM|NOM//flat:name//1 och//KN//cc//4 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//1 Lars//PM|NOM//nsubj//9 Seger//PM|NOM//flat:name//5 har//VB|PRS|AKT//aux//9 varit//VB|SUP|AKT//cop//9 sekreterare//NN|UTR|SIN|IND|NOM//ROOT//9 åt//PP//case//11 utredningen//NN|UTR|SIN|DEF|NOM//nmod//9 fr.o.m.//AB|AN//case//15 den//DT|UTR|SIN|DEF//det//15 1//RO|NOM//nummod//15 januari//NN|UTR|SIN|IND|NOM//nmod//9 1999//RG|NOM//nummod//15 .//MAD//punct//9
Till statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Resegarantilagsutredningen//PM|NOM//obj//4 ,//MID//punct//0 får//VB|PRS|AKT//aux//10 härmed//AB//advmod//10 överlämna//VB|INF|AKT//ROOT//10 betänkandet//NN|NEU|SIN|DEF|NOM//obj//10 Ett//DT|NEU|SIN|IND//det//14 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//14 resegarantisystem//NN|NEU|SIN|IND|NOM//obj//10 (//PAD//punct//14 SOU//PM|NOM//nmod//17 1999:140//RG|NOM//appos//14 )//PAD//punct//14 .//MAD//punct//10
Till statsrådet Lars-Erik Lövdén ;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//obl//0 1999//RG|NOM//nummod//2
Till statsrådet Lars-Erik Lövdén ;Karin//PM|NOM//ROOT//0 Lindell//PM|NOM//flat:name//0 /Dag//MID//nmod//3 Cohen//PM|NOM//nmod//0
Till statsrådet Lars-Erik Lövdén ;Lars//PM|NOM//ROOT//0 Seger//PM|NOM//flat:name//0

Författningsförslag;Inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 bestämmelser//NN|UTR|PLU|IND|NOM//ROOT//1
