Makars, registrerade partners och sambors förmögenhetsförhållanden i internationella situationer;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 EU-bodelning//NN|UTR|SIN|IND|NOM//nmod//2
Makars, registrerade partners och sambors förmögenhetsförhållanden i internationella situationer;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 2016//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 föreslå//VB|INF|AKT//acl//12 de//DT|UTR/NEU|PLU|DEF//det//16 författningsändringar//NN|UTR|PLU|IND|NOM//obj//14 och//KN//cc//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 åtgärder//NN|UTR|PLU|IND|NOM//conj//16 som//HP|-|-|-//mark//21 förordningarna//NN|UTR|PLU|DEF|NOM//obl//14 om//PP//case//27 makars//NN|UTR|PLU|IND|GEN//nmod:poss//26 respektive//AB//amod//26 registrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 partners//NN|UTR|PLU|IND|GEN//nmod:poss//27 förmögenhetsförhållanden//NN|NEU|PLU|IND|NOM//nmod//21 ger//VB|PRS|AKT//conj//1 anledning//NN|UTR|SIN|IND|NOM//obj//28 till//PP//compound:prt//28 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Professor//NN|UTR|SIN|IND|NOM//nmod//33 Michael//PM|NOM//nsubj:pass//35 Hellner//PM|NOM//flat//33 förordnades//VB|PRT|SFO//parataxis//1 från//PP//case//41 och//KN//fixed//36 med//PP//fixed//36 den//DT|UTR|SIN|DEF//det//40 19//RG|NOM//nummod//41 september//NN|UTR|SIN|IND|NOM//obl//35 2016//RG|NOM//nummod//41 som//KN//mark//45 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//45 utredare//NN|UTR|SIN|IND|NOM//obl//35 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//7 med//PP//conj//5 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 november//NN|UTR|SIN|IND|NOM//obl//4 2016//RG|NOM//nummod//10 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//13 Erik//PM|NOM//appos//10 Tiberg//PM|NOM//flat:name//13 .//MAD//punct//10
Till statsrådet och chefen för Justitiedepartementet;Erik//PM|NOM//nsubj:pass//18 Tiberg//PM|NOM//flat:name//16 entledigades//VB|PRT|SFO//parataxis//10 från//PP//advmod//18 och//KN//cc//24 med//PP//case//24 den//DT|UTR|SIN|DEF//det//24 23//RG|NOM//nummod//24 januari//NN|UTR|SIN|IND|NOM//conj//10 2017//RG|NOM//nummod//24 och//KN//cc//30 i//PP//case//29 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//29 ställe//NN|NEU|SIN|IND|NOM//obl//30 förordnades//VB|PRT|SFO//conj//4 från//PP//advmod//30 och//KN//cc//36 med//PP//case//35 samma//DT|UTR/NEU|SIN/PLU|IND//det//35 dag//NN|UTR|SIN|IND|NOM//obl//36 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//31 Sophie//PM|NOM//obl//30 Welander//PM|NOM//flat//37 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Sophie//PM|NOM//nsubj:pass//42 Welander//PM|NOM//flat//40 entledigades//VB|PRT|SFO//parataxis//4 som//KN//mark//44 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//xcomp//42 i//PP//case//46 utredningen//NN|UTR|SIN|DEF|NOM//nmod//44 från//PP//case//52 och//KN//fixed//47 med//PP//fixed//47 den//DT|UTR|SIN|DEF//det//52 31//RG|NOM//nummod//52 oktober//NN|UTR|SIN|IND|NOM//obl//42 2017//RG|NOM//nummod//52 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//7 med//PP//conj//5 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 november//NN|UTR|SIN|IND|NOM//obl//4 2016//RG|NOM//nummod//10 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//13 Ulrika//PM|NOM//appos//10 Beergrehn//PM|NOM//flat:name//13 ,//MID//punct//13 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//17 Olof//PM|NOM//appos//10 Dahnell//PM|NOM//flat:name//17 ,//MID//punct//21 advokaten//NN|UTR|SIN|DEF|NOM//nmod//21 Lina//PM|NOM//conj//10 Melén//PM|NOM//flat:name//21 och//KN//cc//25 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 specialisten//NN|UTR|SIN|DEF|NOM//nmod//26 Catarina//PM|NOM//compound//27 Potila//PM|NOM//conj//10 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 Lisa//PM|NOM//nsubj:pass//3 Hedlund//PM|NOM//flat:name//1 anställdes//VB|PRT|SFO//ROOT//3 som//KN//case//5 sekreterare//NN|UTR|SIN|IND|NOM//obl//3 i//PP//case//7 utredningen//NN|UTR|SIN|DEF|NOM//nmod//5 från//PP//advmod//3 och//KN//cc//13 med//PP//case//13 den//DT|UTR|SIN|DEF//det//13 1//RO|NOM//nummod//13 november//NN|UTR|SIN|IND|NOM//conj//3 2016//RG|NOM//nummod//13 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//4 Makars//NN|UTR|PLU|IND|GEN//obj//1 ,//MID//punct//6 registrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 partners//NN|UTR|PLU|IND|NOM//nmod:poss//10 och//KN//cc//9 sambors//NN|UTR|PLU|IND|GEN//conj//7 förmögenhetsförhållanden//NN|NEU|PLU|IND|NOM//obj//1 i//PP//case//13 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 situationer//NN|UTR|PLU|IND|NOM//obl//1  //_SP////13 (//PAD//punct//13 SOU//PM|NOM//appos//13 2017:90//RG|NOM//conj//13 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 härmed//AB//advmod//4 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 november//NN|UTR|SIN|IND|NOM//obl//0 2017//RG|NOM//nummod//0
Till statsrådet och chefen för Justitiedepartementet;Michael//PM|NOM//ROOT//0 Hellner//PM|NOM//flat:name//0 /Lisa//RG|NOM//case//3 Hedlund//PM|NOM//conj//0


1.1 Förslag till lag om internationella frågor rörande makars, registrerade partners och sambors förmögenhetsförhållanden;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

