Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 11//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//obl//0 2001//RG|NOM//nummod//5 .//MAD//punct//0

Bakgrund och utgångspunkter;Ramdirektiv//NN|NEU|SIN|IND|NOM//ROOT//0 för//PP//case//2 vatten//NN|NEU|SIN|IND|NOM//nmod//0
Bakgrund och utgångspunkter;Europaparlamentet//NN|NEU|SIN|DEF|NOM//nsubj//3 och//KN//cc//2 rådet//NN|NEU|SIN|DEF|NOM//conj//0 har//VB|PRS|AKT//aux//7 under//PP//case//5 hösten//NN|UTR|SIN|DEF|NOM//obl//7 2000//RG|NOM//nummod//5 antagit//VB|SUP|AKT//ROOT//7 ett//DT|NEU|SIN|IND//det//9 direktiv//NN|NEU|SIN|IND|NOM//obj//7 om//PP//case//11 upprättande//NN|NEU|SIN|IND|NOM//nmod//9 av//PP//case//14 en//DT|UTR|SIN|IND//det//14 ram//NN|UTR|SIN|IND|NOM//nmod//11 för//PP//case//17 gemenskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 åtgärder//NN|UTR|PLU|IND|NOM//nmod//14 på//PP//case//20 vattenpolitikens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 område//NN|NEU|SIN|IND|NOM//nmod//17 .//MAD//punct//7
Bakgrund och utgångspunkter;Enligt//PP//case//23 direktivet//NN|NEU|SIN|DEF|NOM//obl//26 skall//VB|PRS|AKT//aux//26 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//26 genomföra//VB|INF|AKT//parataxis//7 en//DT|UTR|SIN|IND//det//28 rad//NN|UTR|SIN|IND|NOM//nmod//29 åtgärder//NN|UTR|PLU|IND|NOM//obj//26 enligt//PP//case//33 en//DT|UTR|SIN|IND//det//33 fastställd//PC|PRF|UTR|SIN|IND|NOM//amod//33 tidsplan//NN|UTR|SIN|IND|NOM//obl//26 .//MAD//punct//7
Bakgrund och utgångspunkter;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//39 är//VB|PRS|AKT//cop//39 framför//PP//advmod//39 allt//PN|NEU|SIN|IND|SUB/OBJ//det//39 följande//NN|NEU|SIN|IND|NOM//parataxis//7 .//MAD//punct//39
Bakgrund och utgångspunkter;N//PM|NOM//nsubj//4  //_SP////0 Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nmod//0 skall//VB|PRS|AKT//aux//4 identifiera//VB|INF|AKT//ROOT//4 avrinningsområden//NN|NEU|PLU|IND|NOM//obj//4 och//KN//cc//7 dela//VB|INF|AKT//conj//4 in//PL//compound:prt//7 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obj//7 i//PP//case//11 avrinningsdistrikt//NN|NEU|PLU|IND|NOM//obl//7 .//MID//punct//4
Bakgrund och utgångspunkter;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//14 avrinningsområden//NN|NEU|PLU|IND|NOM//nsubj//16 kan//VB|PRS|AKT//aux//16 ingå//VB|INF|AKT//parataxis//4 i//PP//case//19 ett//DT|NEU|SIN|IND//det//19 distrikt//NN|NEU|SIN|IND|NOM//obl//16 .//MAD//punct//16
Bakgrund och utgångspunkter;(//PAD//punct//23 Artikel//NN|UTR|SIN|IND|NOM//nmod//23 3//RG|NOM//appos//16 )//PAD//punct//23
Bakgrund och utgångspunkter;N//PM|NOM//nsubj//4  //_SP////0 Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nmod//0 skall//VB|PRS|AKT//aux//4 säkerställa//VB|INF|AKT//ROOT//4 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 finns//VB|PRS|SFO//ccomp//4 en//DT|UTR|SIN|IND//det//9 administrativ//JJ|POS|UTR|SIN|IND|NOM//nsubj//7 ordningför//PP//mark//12 att//IE//mark//12 tillämpa//VB|INF|AKT//advcl//7 direktivet//NN|NEU|SIN|DEF|NOM//obj//12 i//PP//case//16 varje//DT|UTR/NEU|SIN|IND//det//16 avrinningsdistrikt//NN|NEU|SIN|IND|NOM//obl//12 .//MAD//punct//4
Bakgrund och utgångspunkter;I//PP//case//20 det//DT|NEU|SIN|DEF//det//20 sammanhanget//NN|NEU|SIN|DEF|NOM//obl//22 skall//VB|PRS|AKT//aux//22 anges//VB|INF|SFO//parataxis//4 vilken//HD|UTR|SIN|IND//det//24 myndighet//NN|UTR|SIN|IND|NOM//obj//22 som//HP|-|-|-//nsubj//26 ansvarar//VB|PRS|AKT//acl:relcl//24 för//PP//case//28 tillämpningen//NN|UTR|SIN|DEF|NOM//obl//26 .//MAD//punct//4
Bakgrund och utgångspunkter;(//PAD//punct//4 Artikel//NN|UTR|SIN|IND|NOM//nmod//32 3//RG|NOM//appos//4 )//PAD//punct//4
