Reservation;av//PP//case//2 ledamöterna//NN|UTR|PLU|DEF|NOM//nmod//2 Henrik//PM|NOM//ROOT//2 S.//PM|NOM//flat:name//2 Järrel//PM|NOM//flat:name//2 (//PAD//punct//4 m//PM|NOM//nummod//2 )//PAD//punct//2 Ulf//PM|NOM//conj//2 Isaksson//PM|NOM//flat:name//8 (//PAD//punct//8 fp//PM|NOM//flat:name//2 )//PAD//punct//11 Marcela//PM|NOM//conj//2 Arosenius//PM|NOM//flat//13 (//PAD//punct//14 c//NN|NEU|SIN|IND|NOM//appos//14 )//PAD//punct//13 ,//MID//punct//2 och//KN//cc//21 Peter//PM|NOM//nmod//21 Flensburg//PM|NOM//conj//2 (//PAD//punct//21 kd//PM|NOM//appos//21 )//PAD//punct//21 samt//KN//cc//27 fr.o.m.//AB|AN//case//27 punkt//NN|UTR|SIN|IND|NOM//conj//2 3//RG|NOM//nummod//27 även//AB//advmod//33 av//PP//case//33 ledamoten//NN|UTR|SIN|DEF|NOM//nmod//32 Anders//PM|NOM//nmod//33 Drejare//PM|NOM//flat:name//2 (//PAD//punct//35 mp//NN|AN//appos//33 )//PAD//punct//2

1 Inledning (1);Personskadekommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 majoritet//NN|UTR|SIN|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 valt//VB|SUP|AKT//ROOT//3 ,//MID//punct//10 i//PP//case//10 fråga//NN|UTR|SIN|IND|NOM//fixed//5 om//PP//fixed//5 ett//DT|NEU|SIN|IND//det//10 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//10 ansvar//NN|NEU|SIN|IND|NOM//obl//3 för//PP//case//12 trafikförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//10 och//KN//cc//14 införandet//NN|NEU|SIN|DEF|NOM//conj//12 av//PP//case//17 en//DT|UTR|SIN|IND//det//17 regressrätt//NN|UTR|SIN|IND|NOM//nmod//14 för//PP//case//21 den//DT|UTR|SIN|DEF//det//21 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 försäkringen//NN|UTR|SIN|DEF|NOM//nmod//17 som//HP|-|-|-//obj//24 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//24 haft//VB|SUP|AKT//acl:relcl//21 att//IE//mark//26 överväga//VB|INF|AKT//xcomp//24 ,//MID//punct//10 att//IE//mark//30 inte//AB//advmod//30 föreslå//VB|INF|AKT//acl//10 några//DT|UTR/NEU|PLU|IND//det//32 ändringar//NN|UTR|PLU|IND|NOM//obj//30 i//PP//case//35 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 ordning//NN|UTR|SIN|IND|NOM//obl//30 för//PP//case//37 betalningsansvar//NN|NEU|PLU|IND|NOM//nmod//35 och//KN//cc//39 regressmöjligheter//NN|UTR|PLU|IND|NOM//conj//37 vid//PP//case//41 personskada//NN|UTR|SIN|IND|NOM//obl//30 .//MAD//punct//3
1 Inledning (1);Vår//PS|UTR|SIN|DEF//nmod:poss//1 uppfattning//NN|UTR|SIN|IND|NOM//nsubj//2 är//VB|PRS|AKT//ROOT//2 i//PP//advmod//2 stället//NN|NEU|SIN|DEF|NOM//fixed//3 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 finns//VB|PRS|SFO//ccomp//2 skäl//NN|NEU|PLU|IND|NOM//nsubj//7 att//IE//mark//10 införa//VB|INF|AKT//acl//8 reformer//NN|UTR|PLU|IND|NOM//obj//10 på//PP//case//14 dessa//DT|UTR/NEU|PLU|DEF//det//14 områden//NN|NEU|PLU|IND|NOM//obl//10 .//MAD//punct//2
1 Inledning (1);Det//DT|NEU|SIN|DEF//det//18 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//21 skulle//VB|PRT|AKT//aux//21 kunna//VB|INF|AKT//aux//21 förändras//VB|INF|SFO//parataxis//2 så//AB//mark//25 att//SN//fixed//22 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 blev//VB|PRT|AKT//advcl//21 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//25 att//IE//mark//28 minska//VB|INF|AKT//csubj//25 antalet//NN|NEU|SIN|DEF|NOM//nmod//30 personskadefall//NN|NEU|PLU|IND|NOM//obj//28 ,//MID//punct//32 sänka//VB|INF|AKT//conj//21 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 kostnader//NN|UTR|PLU|IND|NOM//obj//32 för//PP//case//36 sjukvård//NN|UTR|SIN|IND|NOM//nmod//34 ,//MID//punct//38 sjukersättningar//NN|UTR|PLU|IND|NOM//conj//36 och//KN//cc//40 rehabilitering//NN|UTR|SIN|IND|NOM//conj//36 ,//MID//punct//43 samt//KN//cc//43 avlasta//VB|INF|AKT//conj//21 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//45 budget//NN|UTR|SIN|IND|NOM//obj//43 .//MAD//punct//2
1 Inledning (1);Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 granskat//VB|SUP|AKT//ROOT//2 och//KN//cc//4 utrett//VB|SUP|AKT//conj//2 frågor//NN|UTR|PLU|IND|NOM//obj//2 om//PP//case//7 samordningen//NN|UTR|SIN|DEF|NOM//nmod//5 vid//PP//case//9 personskada//NN|UTR|SIN|IND|NOM//nmod//7 mellan//PP//case//11 skadestånd//NN|NEU|SIN|IND|NOM//nmod//9 ,//MID//punct//9 ersättning//NN|UTR|SIN|IND|NOM//conj//9 från//PP//case//16 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//16 försäkring//NN|UTR|SIN|IND|NOM//nmod//13 och//KN//cc//18 ersättning//NN|UTR|SIN|IND|NOM//conj//16 från//PP//case//21 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 former//NN|UTR|PLU|IND|NOM//nmod//18 av//PP//case//23 försäkring//NN|UTR|SIN|IND|NOM//nmod//21 .//MAD//punct//2
1 Inledning (1);Genomgången//NN|UTR|SIN|DEF|NOM//nsubj//27 har//VB|PRS|AKT//aux//27 visat//VB|SUP|AKT//conj//2 att//SN//mark//42 placeringen//NN|UTR|SIN|DEF|NOM//nsubj//42 av//PP//case//33 det//DT|NEU|SIN|DEF//det//33 slutliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//29 för//PP//case//35 ersättningen//NN|UTR|SIN|DEF|NOM//nmod//29 till//PP//case//37 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//29 som//HP|-|-|-//nsubj:pass//39 drabbats//VB|SUP|SFO//acl:relcl//37 av//PP//case//41 personskada//NN|UTR|SIN|IND|NOM//obl:agent//39 har//VB|PRS|AKT//ccomp//27 betydelse//NN|UTR|SIN|IND|NOM//obj//42 för//PP//case//45 möjligheterna//NN|UTR|PLU|DEF|NOM//obl//42 att//IE//mark//47 minska//VB|INF|AKT//acl//45 antalet//NN|NEU|SIN|DEF|NOM//nmod//49 personskadefall//NN|NEU|PLU|IND|NOM//obj//47 i//PP//case//51 samhället//NN|NEU|SIN|DEF|NOM//nmod//49 och//KN//cc//54 därigenom//AB//advmod//54 reducera//VB|INF|AKT//conj//47 mänskligt//JJ|POS|NEU|SIN|IND|NOM//advmod//56 lidande//NN|NEU|SIN|IND|NOM//obj//54 samt//KN//cc//59 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//59 kostnader//NN|UTR|PLU|IND|NOM//conj//2 för//PP//case//61 sjukvård//NN|UTR|SIN|IND|NOM//nmod//59 och//KN//cc//63 rehabilitering//NN|UTR|SIN|IND|NOM//conj//61 .//MAD//punct//2
1 Inledning (1);Genom//PP//case//67 en//DT|UTR|SIN|IND//det//67 överföring//NN|UTR|SIN|IND|NOM//obl//2 av//PP//case//72 det//DT|NEU|SIN|DEF//det//72 s.k.//AB|AN//amod//72 primära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//67 för//PP//case//74 utbetalning//NN|UTR|SIN|IND|NOM//nmod//67 av//PP//case//76 ersättning//NN|UTR|SIN|IND|NOM//nmod//74 till//PP//case//78 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//74 som//HP|-|-|-//nsubj:pass//80 drabbats//VB|SUP|SFO//acl:relcl//78 av//PP//case//82 personskada//NN|UTR|SIN|IND|NOM//obl:agent//80 uppkommer//VB|PRS|AKT//conj//2 också//AB//advmod//83 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//90 statsfinansiellt//AB|POS//advmod//89 och//KN//cc//88 samhällsekonomiskt//AB|POS//conj//86 gynnsammare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 effekter//NN|UTR|PLU|IND|NOM//obj//83 .//MAD//punct//2
1 Inledning (1);Enligt//PP//case//2 vår//PS|UTR|SIN|DEF//nmod:poss//2 mening//NN|UTR|SIN|IND|NOM//obl//12 borde//VB|PRT|AKT//aux//12 rättsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 och//KN//cc//6 preventiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//4 överväganden//NN|NEU|PLU|IND|NOM//nsubj//12 i//PP//case//10 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 grad//NN|UTR|SIN|IND|NOM//nmod//7 fått//VB|SUP|AKT//aux//12 vägleda//VB|INF|AKT//ROOT//12 utredningsarbetet//NN|NEU|SIN|DEF|NOM//obj//12 i//PP//case//17 enlighet//NN|UTR|SIN|IND|NOM//fixed//14 med//PP//fixed//14 kommittédirektiven//NN|NEU|PLU|DEF|NOM//obl//12 .//MAD//punct//12
1 Inledning (1);Nu//AB//advmod//20 synes//VB|PRS|SFO//parataxis//12 oss//PN|UTR|PLU|DEF|OBJ//nsubj//20 snarare//AB|KOM//advmod//20 ett//DT|NEU|SIN|IND//det//25 samhällsekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//25 effektivitetstänkande//NN|NEU|SIN|IND|NOM//nsubj//20 hos//PP//case//27 majoriteten//NN|UTR|SIN|DEF|NOM//nmod//25 fått//VB|SUP|AKT//aux//29 stå//VB|INF|AKT//conj//12 tillbaka//PL//advmod//29 till//PP//case//32 förmån//NN|UTR|SIN|IND|NOM//obl//29 för//PP//case//40 ett//DT|NEU|SIN|IND//det//40 mera//AB|KOM//advmod//36 traditionellt//JJ|POS|NEU|SIN|IND|NOM//amod//40 socialpolitiskt//JJ|POS|NEU|SIN|IND|NOM//amod//40 ,//MID//punct//37 ideologiskt//JJ|POS|NEU|SIN|IND|NOM//amod//40 tänkande//NN|NEU|SIN|IND|NOM//obl//29 .//MAD//punct//12

