Karens för statsråd och statssekreterare;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 villkor//NN|NEU|PLU|IND|NOM//nmod//2 för//PP//case//7 statsråd//NN|NEU|PLU|IND|NOM//nmod//5 och//KN//cc//9 statssekreterare//NN|UTR|PLU|IND|NOM//conj//7
Karens för statsråd och statssekreterare;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Ardalan Shekarabi;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 3//RO|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 2015//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//acl//12 över//PL//case//16 möjligheten//NN|UTR|SIN|DEF|NOM//obl//14 för//PP//case//19 ett//DT|NEU|SIN|IND//det//19 statsråd//NN|NEU|SIN|IND|NOM//nmod//16 att//IE//mark//22 vara//VB|INF|AKT//cop//22 ledig//JJ|POS|UTR|SIN|IND|NOM//acl//19 i//PP//case//28 samband//NN|NEU|SIN|IND|NOM//fixed//23 med//PP//case//28 ett//DT|NEU|SIN|IND//det//27 barns//NN|NEU|SIN|IND|GEN//nmod:poss//28 födsel//NN|UTR|SIN|IND|NOM//obl//22 eller//KN//cc//30 adoption//NN|UTR|SIN|IND|NOM//conj//28 samt//KN//cc//33 för//PP//case//33 tid//NN|UTR|SIN|IND|NOM//conj//22 därefter//AB//advmod//33 ,//MID//punct//37 i//PP//case//37 syfte//NN|NEU|SIN|IND|NOM//nmod//33 att//IE//mark//39 utöva//VB|INF|AKT//acl//37 sitt//PS|NEU|SIN|DEF//nmod:poss//41 föräldraskap//NN|NEU|SIN|IND|NOM//obj//39 (//PAD//punct//41 dir//NN|AN//appos//41 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;2015:93//RG|NOM//advmod//1 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Före//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 justitierådet//NN|NEU|SIN|DEF|NOM//obl//8 och//KN//cc//4 ordföranden//NN|UTR|SIN|DEF|NOM//conj//2 i//PP//case//7 Högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//7 förvaltningsdomstolen//NN|UTR|SIN|DEF|NOM//nmod//4 Sten//PM|NOM//nsubj:pass//10 Heckscher//PM|NOM//flat:name//8 förordnades//VB|PRT|SFO//ROOT//10 att//IE//mark//21 från//PP//case//17 och//KN//fixed//12 med//PP//fixed//12 den//DT|UTR|SIN|DEF//det//17 3//RO|NOM//nummod//17 september//NN|UTR|SIN|IND|NOM//obl//21 2015//RG|NOM//nummod//17 vara//VB|INF|AKT//cop//21 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//21 utredare//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//10
Till statsrådet Ardalan Shekarabi;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 15//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//nmod//7 2015//RG|NOM//nummod//6 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//7 Föräldraledighet//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//9 statsråd//NN|NEU|PLU|IND|NOM//nmod//7 ?//MID//punct//7
Till statsrådet Ardalan Shekarabi; //_SP////10 (//PAD//punct//13 SOU//PM|NOM//appos//7 2016:20//RG|NOM//punct//13 )//PAD//punct//13 .//MAD//punct//7
Till statsrådet Ardalan Shekarabi;Genom//PP//case//18 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//19 beslutade//VB|PRT|AKT//conj//1 den//DT|UTR|SIN|DEF//det//22 23//RG|NOM//nummod//22 mars//NN|UTR|SIN|IND|NOM//obl//19 2016//RG|NOM//nummod//22 har//VB|PRS|AKT//aux//26 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//26 utvidgats//VB|SUP|SFO//conj//1 till//PP//mark//30 att//IE//mark//30 också//AB//advmod//30 omfatta//VB|INF|AKT//advcl//26 ett//DT|NEU|SIN|IND//det//32 uppdrag//NN|NEU|SIN|IND|NOM//obj//30 att//IE//mark//34 undersöka//VB|INF|AKT//acl//32 om//SN//mark//37 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//37 behövs//VB|PRS|SFO//advcl//30 förändringar//NN|UTR|PLU|IND|NOM//nsubj:pass//37 av//PP//case//40 förutsättningarna//NN|UTR|PLU|DEF|NOM//nmod//38 för//PP//case//42 statsråd//NN|NEU|PLU|IND|NOM//nmod//40 och//KN//cc//44 statssekreterare//NN|UTR|PLU|IND|NOM//conj//42 att//IE//mark//56 ,//MID//punct//56 inom//PP//case//50 en//DT|UTR|SIN|IND//det//50 viss//JJ|POS|UTR|SIN|IND|NOM//amod//50 tid//NN|UTR|SIN|IND|NOM//obl//56 efter//PP//case//52 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//50 att//SN//mark//56 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//56 har//VB|PRS|AKT//aux//56 lämnat//VB|SUP|AKT//advcl//37 sitt//PS|NEU|SIN|DEF//nmod:poss//58 uppdrag//NN|NEU|SIN|IND|NOM//obj//56 respektive//AB//case//61 sin//PS|UTR|SIN|DEF//nmod:poss//61 anställning//NN|UTR|SIN|IND|NOM//obl//56 ,//MID//punct//1 ingå//VB|INF|AKT//conj//1 avtal//NN|NEU|SIN|IND|NOM//obj//63 om//PP//mark//67 respektive//AB//cc//67 åta//VB|INF|AKT//advcl//63 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//67 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 typer//NN|UTR|PLU|IND|NOM//obj//67 av//PP//case//72 anställningar//NN|UTR|PLU|IND|NOM//nmod//70 och//KN//cc//74 uppdrag//NN|NEU|PLU|IND|NOM//conj//72 (//PAD//punct//67 dir//NN|AN//appos//67 .//MAD//punct//67
Till statsrådet Ardalan Shekarabi;2016:26//RG|NOM//obl//67 )//PAD//punct//67 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//19 ,//MID//punct//0 som//HP|-|-|-//nsubj//8 i//PP//advmod//6 och//KN//fixed//3 med//PP//fixed//3 tilläggsdirektiven//NN|NEU|PLU|DEF|NOM//obl//8 har//VB|PRS|AKT//aux//8 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//10 Utredningen//NN|UTR|SIN|DEF|NOM//obj//8 om//PP//case//13 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 villkor//NN|NEU|PLU|IND|NOM//nmod//10 för//PP//case//15 statsråd//NN|NEU|PLU|IND|NOM//nmod//13 och//KN//cc//17 statssekreterare//NN|UTR|PLU|IND|NOM//conj//15 ,//MID//punct//0 lämnar//VB|PRS|AKT//ROOT//19 härmed//AB//advmod//19 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//22 Karens//PM|GEN//obj//19 för//PP//case//24 statsråd//NN|NEU|PLU|IND|NOM//nmod//22 och//KN//cc//26 statssekreterare//NN|UTR|PLU|IND|NOM//conj//24 (//PAD//punct//26 SOU//PM|NOM//nmod//29 2017:3//RG|NOM//nmod//22 )//PAD//punct//19 .//MAD//punct//19
