Sammanfattning av uppdraget (1);En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallas//VB|PRS|SFO//ROOT//3 för//PP//mark//6 att//IE//mark//6 utreda//VB|INF|AKT//advcl//3 frågan//NN|UTR|SIN|DEF|NOM//obj//6 om//PP//case//11 en//DT|UTR|SIN|IND//det//11 sammanhållen//PC|PRF|UTR|SIN|IND|NOM//amod//11 rovdjurspolitik//NN|UTR|SIN|IND|NOM//nmod//7 .//MAD//punct//3

Utredaren skall;utarbeta//VB|INF|AKT//ROOT//0 förslag//NN|NEU|SIN|IND|NOM//obj//0 till//PP//case//5 en//DT|UTR|SIN|IND//det//5 sammanhållen//PC|PRF|UTR|SIN|IND|NOM//amod//5 rovdjurspolitik//NN|UTR|SIN|IND|NOM//nmod//1 som//HP|-|-|-//nsubj//7 gör//VB|PRS|AKT//acl:relcl//5 en//DT|UTR|SIN|IND//det//9 helhetssyn//NN|UTR|SIN|IND|NOM//obj//7 på//PP//case//17 de//DT|UTR/NEU|PLU|DEF//det//17 biologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 ,//MID//punct//14 jaktliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 och//KN//cc//16 näringsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 frågorna//NN|UTR|PLU|DEF|NOM//nmod//9 möjlig//JJ|POS|UTR|SIN|IND|NOM//advmod//7 ,//MID//punct//20 beskriva//VB|INF|AKT//conj//0 intressekonflikterna//NN|UTR|PLU|DEF|NOM//obj//20 samt//KN//cc//23 lämna//VB|INF|AKT//conj//0 förslag//NN|NEU|SIN|IND|NOM//obj//23 till//PP//case//26 åtgärder//NN|UTR|PLU|IND|NOM//nmod//24 för//PP//mark//29 att//IE//mark//29 begränsa//VB|INF|AKT//advcl//23 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//29 och//KN//cc//34 för//PP//mark//34 att//IE//mark//34 åstadkomma//VB|INF|AKT//conj//29 en//DT|UTR|SIN|IND//det//37 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 samverkan//NN|UTR|SIN|IND|NOM//obj//34 mellan//PP//case//39 företrädare//NN|UTR|PLU|IND|NOM//nmod//37 för//PP//case//41 bevarandeintressen//NN|UTR|SIN|DEF|NOM//nmod//39 ,//MID//punct//43 näringsidkare//NN|UTR|PLU|IND|NOM//conj//41 ,//MID//punct//45 jägare//NN|UTR|PLU|IND|NOM//conj//41 och//KN//cc//47 lokalbefolkning//NN|UTR|SIN|IND|NOM//conj//41 som//HP|-|-|-//nsubj:pass//49 berörs//VB|PRS|SFO//acl:relcl//47 av//PP//case//51 rovdjursförekomsten//NN|UTR|SIN|DEF|NOM//obl:agent//49 ,//MID//punct//53 analysera//VB|INF|AKT//conj//0 behovet//NN|NEU|SIN|DEF|NOM//obj//53 av//PP//case//56 förändringar//NN|UTR|PLU|IND|NOM//nmod//54 i//PP//case//58 reglerna//NN|UTR|PLU|DEF|NOM//nmod//56 för//PP//case//60 ersättningssystemen//NN|NEU|PLU|DEF|NOM//nmod//58 med//PP//case//66 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//61 i//PP//fixed//61 nu//AB//fixed//61 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 principier//NN|NEU|PLU|IND|NOM//nmod//60 för//PP//case//68 ersättning//NN|UTR|SIN|IND|NOM//nmod//66 för//PP//case//70 rovdjursskador//NN|UTR|PLU|IND|NOM//nmod//68 på//PP//case//72 ren//JJ|POS|UTR|SIN|IND|NOM//nmod//70 samt//KN//cc//74 ersättningssystemet//NN|NEU|SIN|DEF|NOM//conj//72 för//PP//case//77 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 tamdjur//NN|NEU|PLU|IND|NOM//nmod//74 ,//MID//punct//79 beskriva//VB|INF|AKT//conj//0 hur//HA//advmod//89 behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//89 av//PP//case//83 inventeringar//NN|UTR|PLU|IND|NOM//nmod//81 ,//MID//punct//85 forskning//NN|UTR|SIN|IND|NOM//conj//83 och//KN//cc//87 information//NN|UTR|SIN|IND|NOM//conj//83 kan//VB|PRS|AKT//aux//89 tillgodoses//VB|INF|SFO//ccomp//79 och//KN//cc//91 finansieras//VB|INF|SFO//conj//89 och//KN//cc//96 under//PP//case//95 uppdragets//NN|NEU|SIN|DEF|GEN//nmod:poss//95 utförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//96 samråda//VB|INF|AKT//conj//89 med//PP//case//98 företrädare//NN|UTR|PLU|IND|NOM//obl//96 för//PP//case//101 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//101 intressegrupper//NN|UTR|PLU|IND|NOM//nmod//98 i//PP//case//103 syfte//NN|NEU|SIN|IND|NOM//nmod//101 att//IE//mark//105 eftersträva//VB|INF|AKT//advcl//96 förankring//NN|UTR|SIN|IND|NOM//obj//105 av//PP//case//108 förslagen//NN|NEU|PLU|DEF|NOM//nmod//106 hos//PP//case//111 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//111 intressenter//NN|UTR|PLU|IND|NOM//nmod//108 .//MAD//punct//0

Mål och riktlinjer för naturvårdsarbetet;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 år//NN|NEU|SIN|IND|NOM//nmod//3 1990//RG|NOM//obl//1 om//PP//case//5 mål//NN|NEU|PLU|IND|NOM//obl//1 och//KN//cc//7 riktlinjer//NN|UTR|PLU|IND|NOM//conj//5 för//PP//case//9 naturvårdsarbetet//NN|NEU|SIN|DEF|NOM//nmod//7 (//PAD//punct//1 prop//NN|UTR|SIN|IND|NOM//appos//1 .//MID//punct//11
Mål och riktlinjer för naturvårdsarbetet;1990/91:90//RG|NOM//obl//1 ,//MID//punct//15 bet.1990/91//NN|UTR|SIN|IND|NOM//conj//13 ://MID//punct//15
Mål och riktlinjer för naturvårdsarbetet;JoU30//PM|NOM//conj//13 ,//MID//punct//17 rskr//NN|NEU|SIN|IND|NOM//conj//17 .//MID//punct//17
Mål och riktlinjer för naturvårdsarbetet;1990/91:338//RG|NOM//conj//13 )//PAD//punct//13 .//MAD//punct//1
Mål och riktlinjer för naturvårdsarbetet;Enligt//PP//case//25 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//34 skall//VB|PRS|AKT//aux//34 den//DT|UTR|SIN|DEF//det//29 biologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 mångfalden//NN|UTR|SIN|DEF|NOM//nsubj:pass//34 och//KN//cc//34 den//DT|UTR|SIN|DEF//det//33 genetiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 variationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//34 säkerställas//VB|PRS|SFO//conj//1 .//MAD//punct//34
Mål och riktlinjer för naturvårdsarbetet;Växt-//NN|UTR|-|-|SMS//nsubj:pass//40 och//KN//cc//38 djursamhällen//NN|NEU|PLU|IND|NOM//conj//36 skall//VB|PRS|AKT//aux//40 bevaras//VB|INF|SFO//conj//34 så//AB//mark//50 att//SN//mark//50 i//PP//case//44 landet//NN|NEU|SIN|DEF|NOM//obl//47 naturligt//AB|POS//advmod//47 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 växt-//NN|UTR|-|-|SMS//nsubj:pass//50 och//KN//cc//49 djurarter//NN|UTR|PLU|IND|NOM//conj//47 ges//VB|PRS|SFO//advcl//40 förutsättningar//NN|UTR|PLU|IND|NOM//obj//50 att//IE//mark//53 fortleva//VB|INF|AKT//acl//51 under//PP//case//56 naturliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 betingelser//NN|UTR|PLU|IND|NOM//obl//53 och//KN//cc//60 i//PP//case//60 livskraftiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 bestånd//NN|NEU|PLU|IND|NOM//conj//56 .//MAD//punct//1
Mål och riktlinjer för naturvårdsarbetet;Målet//NN|NEU|SIN|DEF|NOM//nsubj//63 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//67 rovdjursstammarna//NN|UTR|PLU|DEF|NOM//nsubj//67 skall//VB|PRS|AKT//aux//67 ha//VB|INF|AKT//ccomp//63 en//DT|UTR|SIN|IND//det//70 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//70 utbredning//NN|UTR|SIN|IND|NOM//obj//67 och//KN//cc//72 numerär//NN|UTR|SIN|IND|NOM//conj//70 ,//MID//punct//67 att//SN//mark//81 arternas//NN|UTR|PLU|DEF|GEN//nmod:poss//77 långsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//77 överlevnad//NN|UTR|SIN|IND|NOM//nsubj:pass//81 i//PP//case//79 Sverige//PM|NOM//nmod//77 kan//VB|PRS|AKT//aux//81 säkerställas//VB|INF|SFO//ccomp//67 .//MAD//punct//63
