8 Premiepensionssystemets basalternativ ;I//PP//case//2 premiepensionssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 basalternativ//NN|NEU|SIN|IND|NOM//obl//6 ,//MID//punct//4 Premiesparfonden//NN|UTR|SIN|DEF|NOM//conj//2 ,//MID//punct//4 placeras//VB|PRS|SFO//ROOT//6 medel//NN|NEU|PLU|IND|NOM//nsubj:pass//6 för//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 pensionssparare//NN|UTR|PLU|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//13 inte//AB//advmod//13 gör//VB|PRS|AKT//acl:relcl//10 ett//DT|NEU|SIN|IND//det//16 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//16 val//NN|NEU|SIN|IND|NOM//obj//13 av//PP//case//18 fondförvaltare//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Utöver//PP//case//21 Premiesparfonden//NN|UTR|SIN|DEF|NOM//nsubj//22 förvaltar//VB|PRS|AKT//parataxis//6 Sjunde//RO|NOM//amod//24 APfonden//NN|UTR|SIN|DEF|NOM//nsubj//22 även//AB//advmod//26 Premievalsfonden//NN|UTR|SIN|DEF|NOM//obj//22 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Den//DT|UTR|SIN|DEF//det//29 fonden//NN|UTR|SIN|DEF|NOM//nsubj//30 fyller//VB|PRS|AKT//parataxis//6 en//DT|UTR|SIN|IND//det//32 funktion//NN|UTR|SIN|IND|NOM//obj//30 för//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 pensionssparare//NN|UTR|PLU|IND|NOM//obl//30 som//HP|-|-|-//nsubj//38 vill//VB|PRS|AKT//aux//38 göra//VB|INF|AKT//acl:relcl//35 ett//DT|NEU|SIN|IND//det//41 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//41 val//NN|NEU|SIN|IND|NOM//obj//38 men//KN//cc//46 som//HP|-|-|-//nsubj//46 samtidigt//AB//advmod//46 vill//VB|PRS|AKT//aux//46 ha//VB|INF|AKT//conj//30 staten//NN|UTR|SIN|DEF|NOM//obj//46 som//KN//mark//49 förvaltare//NN|UTR|SIN|IND|NOM//xcomp//46 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Erfarenheterna//NN|UTR|PLU|DEF|NOM//nsubj//18 från//PP//case//4 det//DT|NEU|SIN|DEF//det//4 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 premiepensionssystemet//NN|NEU|SIN|DEF|NOM//nmod//0 ,//MID//punct//10 men//KN//cc//10 också//AB//advmod//10 från//PP//case//10 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 val//NN|NEU|PLU|IND|NOM//conj//0 i//PP//case//13 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 tjänstepensionslösningar//NN|UTR|PLU|IND|NOM//nmod//10 och//KN//cc//16 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 system//NN|NEU|PLU|IND|NOM//conj//13 ,//MID//punct//18 pekar//VB|PRS|AKT//ROOT//18 entydigt//AB|POS//advmod//18 på//PP//mark//28 att//SN//mark//28 en//DT|UTR|SIN|IND//det//24 stor//JJ|POS|UTR|SIN|IND|NOM//amod//24 andel//NN|UTR|SIN|IND|NOM//nsubj//28 av//PP//case//27 pensionsspararnas//NN|UTR|PLU|DEF|GEN//nmod:poss//27 medel//NN|NEU|PLU|IND|NOM//nmod//24 hamnar//VB|PRS|AKT//advcl//18 i//PP//case//30 basalternativet//NN|NEU|SIN|DEF|NOM//obl//28 .//MAD//punct//18
8 Premiepensionssystemets basalternativ ;Vid//PP//case//33 jämförelser//NN|UTR|PLU|IND|NOM//obl//18 med//PP//case//36 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 system//NN|NEU|PLU|IND|NOM//nmod//33 har//VB|PRS|AKT//aux//45 det//DT|NEU|SIN|DEF//det//40 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 premiepensionssystemet//NN|NEU|SIN|DEF|NOM//nsubj//45 en//DT|UTR|SIN|IND//det//43 hög//JJ|POS|UTR|SIN|IND|NOM//amod//43 andel//NN|UTR|SIN|IND|NOM//nmod//45 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//45 sparare//NN|UTR|PLU|IND|NOM//advmod//18 .//MAD//punct//45
8 Premiepensionssystemets basalternativ ;Vid//PP//case//50 det//DT|NEU|SIN|DEF//det//50 första//RO|NOM//amod//50 valet//NN|NEU|SIN|DEF|NOM//obl//51 gjorde//VB|PRT|AKT//conj//18 två//RG|NOM//nummod//53 tredjedelar//NN|UTR|PLU|IND|NOM//obj//51 av//PP//case//55 pensionsspararna//NN|UTR|PLU|DEF|NOM//nmod//53 ett//DT|NEU|SIN|IND//det//58 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//58 val//NN|NEU|SIN|IND|NOM//obj//51 .//MAD//punct//18
8 Premiepensionssystemets basalternativ ;Aktivitetsnivån//NN|UTR|SIN|DEF|NOM//nsubj//63 har//VB|PRS|AKT//aux//63 emellertid//AB//advmod//63 sjunkit//VB|SUP|AKT//parataxis//18 över//PP//case//65 tid//NN|UTR|SIN|IND|NOM//obl//63 .//MAD//punct//63
8 Premiepensionssystemets basalternativ ;Vid//PP//case//68 halvårsskiftet//NN|NEU|SIN|DEF|NOM//obl//63 2005//RG|NOM//nummod//68 ,//MID//punct//73 knappt//AB|POS//advmod//72 fem//RG|NOM//nummod//73 år//NN|NEU|PLU|IND|NOM//nmod//68 efter//PP//case//77 det//DT|NEU|SIN|DEF//det//77 första//RO|NOM//amod//77 valet//NN|NEU|SIN|DEF|NOM//nmod//68 ,//MID//punct//79 återfinns//VB|PRS|SFO//conj//18 43//RG|NOM//nummod//81 procent//NN|UTR|PLU|IND|NOM//nsubj//79 av//PP//case//83 pensionsspararna//NN|UTR|PLU|DEF|NOM//nmod//81 i//PP//case//85 Premiesparfonden//NN|UTR|SIN|DEF|NOM//nmod//83 .//MAD//punct//18
8 Premiepensionssystemets basalternativ ;Vid//PP//case//1 halvårsskiftet//NN|NEU|SIN|DEF|NOM//obl//5 2005//RG|NOM//nummod//1 var//VB|PRT|AKT//cop//5 det//DT|NEU|SIN|DEF//expl//5 förvaltade//PC|PRF|UTR/NEU|SIN|DEF|NOM//ROOT//5 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj//5 53//RG|NOM//nummod//8 miljarder//NN|UTR|PLU|IND|NOM//nmod//9 kronor//NN|UTR|PLU|IND|NOM//obj//5 eller//KN//cc//12 31//RG|NOM//nummod//12 procent//NN|UTR|PLU|IND|NOM//conj//9 av//PP//case//16 det//DT|NEU|SIN|DEF//det//16 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//16 kapitalet//NN|NEU|SIN|DEF|NOM//nmod//12 i//PP//case//18 systemet//NN|NEU|SIN|DEF|NOM//nmod//12 ,//MID//punct//23 en//DT|UTR|SIN|IND//det//23 marginellt//AB|POS//advmod//22 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 andel//NN|UTR|SIN|IND|NOM//conj//9 än//KN//mark//27 vid//PP//case//27 första//RO|NOM//amod//27 valet//NN|NEU|SIN|DEF|NOM//nmod//23 .//MAD//punct//5
8 Premiepensionssystemets basalternativ ;En//DT|UTR|SIN|IND//det//31 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 andel//NN|UTR|SIN|IND|NOM//nsubj//35 av//PP//case//34 pensionsspararkollektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 medel//NN|NEU|PLU|IND|NOM//nmod//31 ligger//VB|PRS|AKT//parataxis//5 således//AB//advmod//35 i//PP//advmod//35 dag//NN|UTR|SIN|IND|NOM//fixed//37 i//PP//case//40 Premiesparfonden//NN|UTR|SIN|DEF|NOM//obl//35 och//KN//cc//43 dessa//DT|UTR/NEU|PLU|DEF//det//43 medel//NN|NEU|PLU|IND|NOM//conj//35 kan//VB|PRS|AKT//aux//55 ,//MID//punct//55 med//PP//case//48 de//DT|UTR/NEU|PLU|DEF//det//48 erfarenheter//NN|UTR|PLU|IND|NOM//obl//55 som//HP|-|-|-//nsubj//50 finns//VB|PRS|SFO//acl:relcl//48 från//PP//case//53 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 system//NN|NEU|PLU|IND|NOM//obl//50 ,//MID//punct//55 förväntas//VB|PRS|SFO//advcl//35 ligga//VB|INF|AKT//xcomp//55 där//AB//advmod//56 även//AB//advmod//59 framöver//AB//advmod//56 .//MAD//punct//35
8 Premiepensionssystemets basalternativ ;Premievalsfonden//NN|UTR|SIN|DEF|NOM//nsubj//1 hade//VB|PRT|AKT//ROOT//1 vid//PP//case//3 halvårsskiftet//NN|NEU|SIN|DEF|NOM//obl//1 2005//RG|NOM//nummod//8 ca//AB|AN//advmod//6 110//RG|NOM//nummod//7 000//RG|NOM//nummod//8 pensionssparare//NN|UTR|PLU|IND|NOM//obj//1 och//KN//cc//12 1,5//RG|NOM//nummod//11 miljarder//NN|UTR|PLU|IND|NOM//nmod//12 kronor//NN|UTR|PLU|IND|NOM//conj//8 under//PP//case//14 förvaltning//NN|UTR|SIN|IND|NOM//nmod//12 ,//MID//punct//8 vilket//HP|NEU|SIN|IND//nsubj//17 motsvarar//VB|PRS|AKT//acl:relcl//8 en//DT|UTR|SIN|IND//det//19 marknadsandel//NN|UTR|SIN|IND|NOM//obj//17 på//PP//case//22 en//RG|UTR|SIN|IND|NOM//det//22 procent//NN|UTR|SIN|IND|NOM//obl//17 .//MAD//punct//1
