Del B;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 en//DT|UTR|SIN|IND//det//5 kommunallag//NN|UTR|SIN|IND|NOM//nmod//2 för//PP//case//7 framtiden//NN|UTR|SIN|DEF|NOM//nmod//5
Del B;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0


18.1 Nuvarande struktur;Kommunallagen//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 indelad//PC|PRF|UTR|SIN|IND|NOM//ROOT//2 i//PP//case//5 tio//RG|NOM//nummod//5 kapitel//NN|NEU|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj//7 reglerar//VB|PRS|AKT//acl:relcl//5 bl.a.//AB|AN//advmod//7 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 frågor//NN|UTR|PLU|IND|NOM//obj//7 ://MAD//punct//2

18.1 Nuvarande struktur / 1 kap. Indelning, medlemskap;I//PP//case//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//2 regleras//VB|PRS|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 självstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 ,//MID//punct//7 indelning//NN|UTR|SIN|IND|NOM//conj//5 och//KN//cc//9 medlemskap//NN|NEU|SIN|IND|NOM//conj//5 samt//KN//cc//11 hänvisningar//NN|UTR|PLU|IND|NOM//conj//5 till//PP//case//14 annan//JJ|POS|UTR|SIN|IND|NOM//amod//14 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//11 .//MAD//punct//2

18.1 Nuvarande struktur / 2 kap. Kommunernas och landstingens befogenheter;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 finns//VB|PRS|SFO//ROOT//3 de//DT|UTR/NEU|PLU|DEF//det//6 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//3 om//PP//case//10 den//DT|UTR|SIN|DEF//det//10 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kompetensen//NN|UTR|SIN|DEF|NOM//nmod//6 och//KN//cc//13 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 begränsningar//NN|UTR|PLU|IND|NOM//conj//10 av//PP//case//15 denna//PN|UTR|SIN|DEF|SUB/OBJ//nmod//13 ,//MID//punct//13 t.ex.//AB|AN//advmod//18 likställighetsprincipen//NN|UTR|SIN|DEF|NOM//appos//13 ,//MID//punct//22 samt//KN//cc//22 kommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//22 partistöd//NN|NEU|SIN|IND|NOM//conj//18 .//MAD//punct//3

18.1 Nuvarande struktur / 3 kap. Kommunernas och landstingens organisation och verksamhetsformer;Här//AB//advmod//1 regleras//VB|PRS|SFO//ROOT//1 de//DT|UTR/NEU|PLU|DEF//det//4 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 organen//NN|NEU|PLU|DEF|NOM//nsubj:pass//1 ,//MID//punct//6 fullmäktige//NN|UTR|PLU|DEF|NOM//conj//4 ,//MID//punct//8 nämnder//NN|UTR|PLU|IND|NOM//conj//4 etc//AB|AN//conj//4 ,//MID//punct//1 och//KN//cc//16 i//PP//case//14 viss//JJ|POS|UTR|SIN|IND|NOM//amod//14 mån//NN|UTR|SIN|IND|NOM//fixed//11 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//16 uppgifter//NN|UTR|PLU|IND|NOM//conj//1 .//MAD//punct//1
18.1 Nuvarande struktur / 3 kap. Kommunernas och landstingens organisation och verksamhetsformer;Vidare//AB|KOM//punct//1 finns//VB|PRS|SFO//parataxis//1 de//DT|UTR/NEU|PLU|DEF//det//22 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 samverkansformerna//NN|UTR|PLU|DEF|NOM//nsubj//19 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//24 nämnd//NN|UTR|SIN|IND|NOM//nsubj//19 och//KN//cc//26 kommunalförbund//NN|NEU|SIN|IND|NOM//conj//24 samt//KN//cc//28 förutsättningarna//NN|UTR|PLU|DEF|NOM//conj//19 för//PP//mark//31 att//IE//mark//31 överlämna//VB|INF|AKT//acl//28 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//33 verksamhet//NN|UTR|SIN|IND|NOM//obj//31 till//PP//case//36 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 företag//NN|NEU|PLU|IND|NOM//obl//31 och//KN//cc//40 till//PP//case//40 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 utförare//NN|UTR|PLU|IND|NOM//conj//36 .//MAD//punct//1

18.1 Nuvarande struktur / 4 kap. De förtroendevalda;De//DT|UTR/NEU|PLU|DEF//det//1 förtroendevaldas//PC|PRF|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//2 rättigheter//NN|UTR|PLU|IND|NOM//obl//5 och//KN//cc//4 skyldigheter//NN|UTR|PLU|IND|NOM//conj//2 finns//VB|PRS|SFO//ROOT//5 i//PP//case//8 detta//DT|NEU|SIN|DEF//det//8 kapitel//NN|NEU|SIN|IND|NOM//obl//5 .//MAD//punct//5

18.1 Nuvarande struktur / 5 kap. Fullmäktige;Grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 regler//NN|UTR|PLU|IND|NOM//ROOT//1 om//PP//case//4 antalet//NN|NEU|SIN|DEF|NOM//nmod//4 ledamöter//NN|UTR|PLU|IND|NOM//nmod//1 och//KN//cc//6 ersättare//NN|UTR|PLU|IND|NOM//conj//4 samt//KN//cc//13 hur//HA//advmod//13 beslutsfattandet//NN|NEU|SIN|DEF|NOM//nsubj//13 i//PP//case//11 fullmäktige//NN|UTR|PLU|DEF|NOM//nmod//9 ska//VB|PRS|AKT//aux//13 ske//VB|INF|AKT//acl:relcl//1 finns//VB|PRS|SFO//xcomp//13 här//AB//advmod//14 .//MAD//punct//1

