Utvärdering av IPRED-lagstiftningen ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 utvärdering//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 lagändringar//NN|UTR|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//9 gäller//VB|PRS|AKT//acl:relcl//7 skyddet//NN|NEU|SIN|DEF|NOM//obj//9 av//PP//case//13 immateriella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 rättigheter//NN|UTR|PLU|IND|NOM//nmod//10 på//PP//case//15 Internet//NN|NEU|SIN|DEF|NOM//nmod//13
Utvärdering av IPRED-lagstiftningen ;Stockholm//PM|NOM//ROOT//0 2012//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2009//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 redovisa//VB|INF|AKT//acl//12 och//KN//cc//16 utvärdera//VB|INF|AKT//conj//14 tillämpningen//NN|UTR|SIN|DEF|NOM//obj//16 av//PP//case//21 den//DT|UTR|SIN|DEF//det//21 s.k.//AB|AN//amod//21 IPRED-lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//17 när//HA//case//25 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//22 gäller//VB|PRS|AKT//fixed//22 intrång//NN|NEU|PLU|IND|NOM//obl//7 som//HP|-|-|-//nsubj:pass//27 begås//VB|PRS|SFO//acl:relcl//25 via//PP//case//29 internet//NN|NEU|SIN|DEF|NOM//obl//27 eller//KN//cc//33 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 kommunikationstjänster//NN|UTR|PLU|IND|NOM//conj//29 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 kammarrättslagmannen//NN|NEU|PLU|IND|NOM//nsubj:pass//11 ,//MID//punct//4 numera//AB//advmod//4 justitierådet//NN|NEU|SIN|DEF|NOM//appos//1 i//PP//case//7 Högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//7 förvaltningsdomstolen//NN|UTR|SIN|DEF|NOM//nmod//4 ,//MID//punct//9 Helena//PM|NOM//conj//1 Jäderblom//PM|NOM//flat:name//9 förordnades//VB|PRT|SFO//ROOT//11 att//IE//mark//15 vara//VB|INF|AKT//cop//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//xcomp//11 .//MAD//punct//11
Till statsrådet och chefen för Justitiedepartementet;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//18 har//VB|PRS|AKT//parataxis//11 från//PP//case//22 den//DT|UTR|SIN|DEF//det//21 1//RO|NOM//nummod//22 oktober//NN|UTR|SIN|IND|NOM//obl//18 2009//RG|NOM//nummod//22 varit//VB|SUP|AKT//cop//26 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//26 Fredrik//PM|NOM//obj//18 Löndahl//PM|NOM//flat:name//26 .//MAD//punct//11
Till statsrådet och chefen för Justitiedepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sitt//PS|NEU|SIN|DEF//nmod:poss//4 betänkande//NN|NEU|SIN|IND|NOM//nmod//5 Utvärdering//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 IPRED-lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//5 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//12 är//VB|PRS|AKT//cop//12 därmed//AB//advmod//12 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//1 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 augusti//NN|UTR|SIN|IND|NOM//obl//0 2012//RG|NOM//nummod//0
Till statsrådet och chefen för Justitiedepartementet;Helena//PM|NOM//nsubj//2 Jäderblom//PM|NOM//flat:name//0 /Fredrik//RG|NOM//ROOT//2 Löndahl//PM|NOM//obj//2


1.1 Bakgrund;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 april//NN|UTR|SIN|IND|NOM//obl//4 2009//RG|NOM//nummod//2 trädde//VB|PRT|AKT//ROOT//4 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//4 om//PP//mark//7 informationsföreläggande//NN|NEU|SIN|IND|NOM//advcl//4 i//PP//case//9 kraft//NN|UTR|SIN|IND|NOM//nmod//7 i//PP//case//12 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//12 lagar//NN|UTR|PLU|IND|NOM//obl//4 på//PP//case//16 det//DT|NEU|SIN|DEF//det//16 immaterialrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 området//NN|NEU|SIN|DEF|NOM//obl//4 ://MID//punct//16
1.1 Bakgrund;lagen//NN|UTR|SIN|DEF|NOM//appos//16 (//PAD//punct//20 1960:729//RG|NOM//conj//18 )//PAD//punct//20 om//PP//case//23 upphovsrätt//NN|UTR|SIN|IND|NOM//nmod//18 till//PP//case//28 litterära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 och//KN//cc//27 konstnärliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//25 verk//NN|NEU|PLU|IND|NOM//nmod//23 ,//MID//punct//28 varumärkeslagen//NN|UTR|SIN|DEF|NOM//conj//23 (//PAD//punct//30 1960:644//RG|NOM//appos//30 )//PAD//punct//32 ,//MID//punct//35 patentlagen//NN|UTR|SIN|DEF|NOM//conj//30 (//PAD//punct//37 1967:837//RG|NOM//nmod//35 )//PAD//punct//37 ,//MID//punct//40 mönsterskyddslagen//NN|UTR|SIN|DEF|NOM//conj//23 (//PAD//punct//40 1970:485//RG|NOM//nummod//40 )//PAD//punct//40 ,//MID//punct//45 firmalagen//NN|UTR|SIN|DEF|NOM//conj//23 (//PAD//punct//45 1974:156//RG|NOM//nummod//45 )//PAD//punct//45 ,//MID//punct//50 lagen//NN|UTR|SIN|DEF|NOM//conj//23 (//PAD//punct//52 1992:1685//RG|NOM//nmod//50 )//PAD//punct//52 om//PP//case//55 skydd//NN|NEU|SIN|IND|NOM//nmod//50 för//PP//case//57 kretsmönster//NN|NEU|SIN|IND|NOM//nmod//55 för//PP//case//59 halvledarprodukter//NN|UTR|PLU|IND|NOM//nmod//57 och//KN//cc//61 växtförädlarrättslagen//NN|UTR|SIN|DEF|NOM//conj//59 (//PAD//punct//63 1997:306//RG|NOM//appos//61 )//PAD//punct//63 .//MAD//punct//50
