6 Vinst i vården och vården som marknad? ;I//PP//case//1 målen//NN|NEU|PLU|DEF|NOM//obl//8 för//PP//case//3 hälso-//NN|UTR|-|-|SMS//nmod//1 och//KN//cc//5 sjukvården//NN|UTR|SIN|DEF|NOM//conj//3 i//PP//case//7 Sverige//PM|NOM//nmod//5 anges//VB|PRS|SFO//ROOT//8 att//SN//mark//12 vården//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 skall//VB|PRS|AKT//aux//12 ges//VB|INF|SFO//ccomp//8 efter//PP//case//14 behov//NN|NEU|SIN|IND|NOM//obl//12 –//PAD//punct//8 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//22 med//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//20 behoven//NN|NEU|PLU|DEF|NOM//nmod//16 skall//VB|PRS|AKT//aux//22 ha//VB|INF|AKT//parataxis//8 vård//NN|UTR|SIN|IND|NOM//obj//22 först//AB//advmod//22 .//MAD//punct//22
6 Vinst i vården och vården som marknad? ;I//PP//case//27 marknadsekonomin//NN|UTR|SIN|DEF|NOM//obl//29 är//VB|PRS|AKT//cop//29 utgångspunkten//NN|UTR|SIN|DEF|NOM//conj//8 att//SN//mark//34 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//34 är//VB|PRS|AKT//cop//34 efterfrågan//NN|UTR|SIN|DEF|NOM//nsubj//34 uttryckt//PC|PRF|UTR|SIN|IND|NOM//acl//29 i//PP//case//37 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 termer//NN|UTR|PLU|IND|NOM//obl//34 som//HP|-|-|-//nsubj//39 styr//VB|PRS|AKT//acl:relcl//37 fördelningen//NN|UTR|SIN|DEF|NOM//obj//39 .//MAD//punct//29
6 Vinst i vården och vården som marknad? ;Ibland//AB//advmod//46 kan//VB|PRS|AKT//aux//46 en//DT|UTR|SIN|IND//det//45 patient//NN|UTR|SIN|IND|NOM//nsubj//46 ha//VB|INF|AKT//parataxis//29 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 önskemål//NN|NEU|PLU|IND|NOM//obj//46 än//KN//mark//50 de//PN|UTR/NEU|PLU|DEF|SUB//acl//48 som//HP|-|-|-//case//53 en//DT|UTR|SIN|IND//det//53 läkare//NN|UTR|SIN|IND|NOM//nmod//50 anser//VB|PRS|AKT//advcl//46 vara//VB|INF|AKT//cop//58 de//DT|UTR/NEU|PLU|DEF//det//58 medicinskt//AB|POS//advmod//58 riktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//54 .//MAD//punct//29
6 Vinst i vården och vården som marknad? ;De//DT|UTR/NEU|PLU|DEF//det//62 tre//RG|NOM//nummod//62 orden//NN|NEU|PLU|DEF|NOM//nmod//63 önskemål//NN|NEU|PLU|IND|NOM//appos//29 ,//MID//punct//65 efterfrågan//NN|UTR|SIN|IND|NOM//conj//63 och//KN//cc//67 behov//NN|NEU|SIN|IND|NOM//conj//63 har//VB|PRS|AKT//acl:cleft//29 i//PP//case//70 vården//NN|UTR|SIN|DEF|NOM//obl//72 helt//AB|POS//advmod//72 olika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 innebörd//NN|UTR|SIN|IND|NOM//obj//68 och//KN//cc//76 bör//VB|PRS|AKT//aux//76 hållas//VB|INF|SFO//conj//68 i//PP//case//78 minne//NN|NEU|SIN|IND|NOM//obl//76 när//HA//mark//84 marknadslika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 system//NN|NEU|PLU|IND|NOM//nsubj:pass//84 och//KN//cc//83 vinstsyfte//NN|NEU|SIN|IND|NOM//conj//81 förs//VB|PRS|SFO//advcl//76 in//PL//compound:prt//84 i//PP//case//87 vården//NN|UTR|SIN|DEF|NOM//obl//84 .//MAD//punct//8

6.1 Vård och marknad;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 är//VB|PRS|AKT//cop//2 uppenbart//JJ|POS|NEU|SIN|IND|NOM//ROOT//2 att//SN//mark//5 sjukvården//NN|UTR|SIN|DEF|NOM//nsubj//5 uppvisar//VB|PRS|AKT//csubj//2 särdrag//NN|NEU|PLU|IND|NOM//obj//5 som//HP|-|-|-//nsubj//8 skiljer//VB|PRS|AKT//acl:relcl//6 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//8 från//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 förutsättningar//NN|UTR|PLU|IND|NOM//obl//8 som//HP|-|-|-//obl//15 läroboken//NN|UTR|SIN|DEF|NOM//nsubj//15 sätter//VB|PRS|AKT//acl:relcl//12 upp//PL//compound:prt//15 för//PP//case//22 en//DT|UTR|SIN|IND//det//20 ”//NN|UTR|SIN|IND|NOM//punct//20 ideal//NN|NEU|SIN|IND|NOM//amod//22 ”//PAD//punct//22 marknad//NN|UTR|SIN|IND|NOM//obl//15 .//MID//punct//2
6.1 Vård och marknad;Den//DT|UTR|SIN|DEF//det//26 ideala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 marknaden//NN|UTR|SIN|DEF|NOM//nsubj//31 är//VB|PRS|AKT//cop//31 dock//AB//advmod//31 endast//AB//advmod//31 en//DT|UTR|SIN|IND//det//31 abstraktion//NN|UTR|SIN|IND|NOM//parataxis//2 som//HP|-|-|-//nsubj:pass//33 utnyttjas//VB|PRS|SFO//acl:relcl//31 för//PP//mark//36 att//IE//mark//36 analysera//VB|INF|AKT//advcl//33 egenskaperna//NN|UTR|PLU|DEF|NOM//obj//36 hos//PP//case//40 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 typer//NN|UTR|PLU|IND|NOM//nmod//37 av//PP//case//42 marknader//NN|UTR|PLU|IND|NOM//nmod//40 .//MAD//punct//2
6.1 Vård och marknad;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//45 utgör//VB|PRS|AKT//parataxis//2 ingen//DT|UTR|SIN|IND//det//47 norm//NN|UTR|SIN|IND|NOM//obj//45 för//PP//mark//52 hur//HA//advmod//52 marknader//NN|UTR|PLU|IND|NOM//nsubj//52 skall//VB|PRS|AKT//aux//52 fungera//VB|INF|AKT//advcl//45 för//PP//mark//57 att//IE//mark//57 vara//VB|INF|AKT//cop//57 socialt//AB|POS//amod//57 acceptabla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//52 .//MAD//punct//45
6.1 Vård och marknad;Lika//AB//amod//67 väl//AB|POS//advmod//59 som//HA//mark//63 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//63 finns//VB|PRS|SFO//acl:cleft//59 marknadsmisslyckanden//NN|NEU|PLU|IND|NOM//nsubj//63 ,//MID//punct//64 dvs.//AB|AN//advmod//67 avvikelser//NN|UTR|PLU|IND|NOM//appos//45 från//PP//mark//73 hur//HA//advmod//73 en//DT|UTR|SIN|IND//det//72 ideal//JJ|POS|UTR|SIN|IND|NOM//amod//72 marknad//NN|UTR|SIN|IND|NOM//nsubj//73 fungerar//VB|PRS|AKT//acl//67 ,//MID//punct//73 så//KN//advmod//76 finns//VB|PRS|SFO//conj//45 det//PN|NEU|SIN|DEF|SUB/OBJ//det//78 misslyckande//NN|NEU|SIN|IND|NOM//nsubj//76 i//PP//case//81 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//81 styrning//NN|UTR|SIN|IND|NOM//nmod//78 genom//PP//case//84 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//84 processer//NN|UTR|PLU|IND|NOM//obl//76 .//MAD//punct//45
6.1 Vård och marknad;Sjukvården//NN|UTR|SIN|DEF|NOM//ROOT//0 –//RG|NOM//punct//3 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//3 marknader//NN|UTR|PLU|IND|NOM//appos//0
6.1 Vård och marknad;I//PP//case//1 verkligheten//NN|UTR|SIN|DEF|NOM//obl//2 väljer//VB|PRS|AKT//ROOT//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//2 alltid//AB//advmod//2 mellan//PP//case//7 imperfekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 alternativ//NN|NEU|PLU|IND|NOM//obl//2 .//MAD//punct//2
6.1 Vård och marknad;Sjukvården//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 kan//VB|PRS|AKT//aux//12 inte//AB//advmod//12 ses//VB|INF|SFO//parataxis//2 som//KN//case//15 en//DT|UTR|SIN|IND//det//15 marknad//NN|UTR|SIN|IND|NOM//obl//12 ,//MID//punct//19 men//KN//cc//19 samtidigt//AB//advmod//19 finns//VB|PRS|SFO//conj//12 där//AB//advmod//19 redan//AB//advmod//19 ett//DT|NEU|SIN|IND//det//23 system//NN|NEU|SIN|IND|NOM//obj//19 av//PP//case//27 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//27 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 marknader//NN|UTR|PLU|IND|NOM//nmod//23 .//MAD//punct//12
6.1 Vård och marknad;Där//AB//advmod//30 finns//VB|PRS|SFO//parataxis//12 en//DT|UTR|SIN|IND//det//32 marknad//NN|UTR|SIN|IND|NOM//nsubj//30 för//PP//case//35 sjukvårdens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 försörjning//NN|UTR|SIN|IND|NOM//nmod//32 med//PP//case//37 arbetskraft//NN|UTR|SIN|IND|NOM//nmod//35 ,//MID//punct//37 som//HP|-|-|-//nsubj:pass//41 har//VB|PRS|AKT//aux//41 förändrats//VB|SUP|SFO//acl:relcl//37 kraftigt//AB|POS//advmod//41 under//PP//case//45 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 år//NN|NEU|PLU|IND|NOM//obl//41 genom//PP//case//50 t.ex.//AB|AN//advmod//50 den//DT|UTR|SIN|DEF//det//50 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//50 betydelsen//NN|UTR|SIN|DEF|NOM//obl//41 av//PP//case//53 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 bemanningsföretag//NN|NEU|PLU|IND|NOM//nmod//50 .//MAD//punct//30
6.1 Vård och marknad;I//PP//case//56 princip//NN|UTR|SIN|IND|NOM//obl//57 har//VB|PRS|AKT//parataxis//30 vi//PN|UTR|PLU|DEF|SUB//nsubj//57 idag//AB//advmod//57 en//DT|UTR|SIN|IND//det//62 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//62 arbetsmarknad//NN|UTR|SIN|IND|NOM//obj//57 för//PP//case//64 läkare//NN|UTR|PLU|IND|NOM//nmod//62 ,//MID//punct//66 sjuksköterskor//NN|UTR|PLU|IND|NOM//conj//64 och//KN//cc//69 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 professioner//NN|UTR|PLU|IND|NOM//conj//64 inom//PP//case//71 vården//NN|UTR|SIN|DEF|NOM//nmod//69 .//MAD//punct//57
6.1 Vård och marknad;På//PP//case//75 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 sätt//NN|NEU|SIN|IND|NOM//obl//76 finns//VB|PRS|SFO//advcl//57 inom//PP//case//79 vården//NN|UTR|SIN|DEF|NOM//nmod//79 marknader//NN|UTR|PLU|IND|NOM//obl//76 för//PP//case//82 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 insatsfaktorer//NN|UTR|PLU|IND|NOM//obl//76 som//KN//mark//84 läkemedel//NN|NEU|PLU|IND|NOM//appos//82 ,//MID//punct//87 medicinsk//JJ|POS|UTR|SIN|IND|NOM//amod//87 utrustning//NN|UTR|SIN|IND|NOM//conj//84 ,//MID//punct//82 en//DT|UTR|SIN|IND//det//92 allt//AB//advmod//91 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//92 informationsteknologi//NN|UTR|SIN|IND|NOM//appos//82 och//KN//cc//94 tjänster//NN|UTR|PLU|IND|NOM//conj//92 som//KN//mark//96 byggande//NN|NEU|SIN|IND|NOM//conj//92 ,//MID//punct//98 förvaltning//NN|UTR|SIN|IND|NOM//conj//96 ,//MID//punct//100 städning//NN|UTR|SIN|IND|NOM//conj//96 och//KN//cc//102 catering//NN|UTR|SIN|IND|NOM//conj//96 .//MID//punct//12
6.1 Vård och marknad;Dessa//DT|UTR/NEU|PLU|DEF//det//105 marknader//NN|UTR|PLU|IND|NOM//nsubj//106 innebär//VB|PRS|AKT//parataxis//12 i//PP//case//109 ökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//109 grad//NN|UTR|SIN|IND|NOM//obl//106 köp//NN|NEU|SIN|IND|NOM//xcomp//106 av//PP//case//112 tjänster//NN|UTR|PLU|IND|NOM//nmod//110 tillsammans//AB//advmod//115 med//PP//case//115 leverans//NN|UTR|SIN|IND|NOM//obl//110 av//PP//case//118 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 produkter//NN|UTR|PLU|IND|NOM//nmod//115 .//MAD//punct//2
6.1 Vård och marknad;Marknader//NN|UTR|PLU|IND|NOM//nsubj//7 är//VB|PRS|AKT//cop//7 således//AB//advmod//7 redan//AB//advmod//7 idag//AB//advmod//7 ett//DT|NEU|SIN|IND//det//7 naturligt//JJ|POS|NEU|SIN|IND|NOM//amod//7 inslag//NN|NEU|SIN|IND|NOM//ROOT//7 i//PP//case//9 sjukvården//NN|UTR|SIN|DEF|NOM//nmod//7 .//MAD//punct//7
6.1 Vård och marknad;Gränsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 mellan//PP//case//13 styrning//NN|UTR|SIN|IND|NOM//nmod//11 via//PP//case//16 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 processer//NN|UTR|PLU|IND|NOM//nmod//13 och//KN//cc//18 marknad//NN|UTR|SIN|IND|NOM//conj//16 förändras//VB|PRS|SFO//conj//7 ständigt//AB|POS//advmod//19 inom//PP//case//22 sjukvården//NN|UTR|SIN|DEF|NOM//obl//19 liksom//AB//mark//26 i//PP//case//26 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 företag//NN|NEU|PLU|IND|NOM//obl//19 .//MAD//punct//7
6.1 Vård och marknad;Patientens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 roll//NN|UTR|SIN|IND|NOM//ROOT//1
6.1 Vård och marknad;Huvudinvändningen//NN|UTR|SIN|DEF|NOM//nsubj//7 när//HA//case//4 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//1 gäller//VB|PRS|AKT//fixed//1 sjukvården//NN|UTR|SIN|DEF|NOM//nmod//0 som//KN//mark//6 marknad//NN|UTR|SIN|IND|NOM//nmod//4 gäller//VB|PRS|AKT//ROOT//7 patientens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 roll//NN|UTR|SIN|IND|NOM//obj//7 .//MAD//punct//7
6.1 Vård och marknad;I//PP//case//14 den//DT|UTR|SIN|DEF//det//14 ideala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 marknadsekonomin//NN|UTR|SIN|DEF|NOM//obl//15 förutsätts//VB|PRS|SFO//conj//7 konsumenten//NN|UTR|SIN|DEF|NOM//nsubj:pass//15 vara//VB|INF|AKT//cop//18 välinformerad//PC|PRF|UTR|SIN|IND|NOM//xcomp//15 ,//MID//punct//21 och//KN//cc//21 betala//VB|IMP|AKT//conj//15 för//PP//case//25 den//DT|UTR|SIN|DEF//det//25 konsumerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//25 kvantiteten//NN|UTR|SIN|DEF|NOM//obl//21 till//PP//case//29 ett//DT|NEU|SIN|IND//det//29 bestämt//PC|PRF|NEU|SIN|IND|NOM//amod//29 marknadspris//NN|NEU|SIN|IND|NOM//nmod//25 som//HP|-|-|-//nsubj:pass//33 inte//AB//advmod//33 kan//VB|PRS|AKT//aux//33 manipuleras//VB|INF|SFO//acl:relcl//29 av//PP//case//35 säljaren//NN|UTR|SIN|DEF|NOM//obl:agent//33 .//MAD//punct//44
6.1 Vård och marknad;Dessa//DT|UTR/NEU|PLU|DEF//det//39 tre//RG|NOM//nummod//39 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj//44 är//VB|PRS|AKT//cop//44 dock//AB//advmod//44 sällan//AB//advmod//44 fullständigt//AB|POS//advmod//44 uppfyllda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//7 ,//MID//punct//48 men//KN//cc//48 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//48 innebär//VB|PRS|AKT//conj//7 inte//AB//advmod//48 att//SN//mark//54 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//54 aldrig//AB//advmod//54 är//VB|PRS|AKT//cop//54 uppfyllda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//48 .//MAD//punct//54
6.1 Vård och marknad;Bortsett//PC|PRF|NEU|SIN|IND|NOM//case//58 från//PP//case//58 begränsningen//NN|UTR|SIN|DEF|NOM//obl//63 till//PP//case//60 inköp//NN|NEU|SIN|IND|NOM//nmod//58 i//PP//case//62 apotek//NN|NEU|SIN|IND|NOM//nmod//60 ligger//VB|PRS|AKT//conj//54 marknaden//NN|UTR|SIN|DEF|NOM//nsubj//63 för//PP//case//66 läkemedel//NN|NEU|PLU|IND|NOM//nmod//64 som//HP|-|-|-//nsubj:pass//68 köps//VB|PRS|SFO//acl:relcl//66 utan//PP//case//70 recept//NN|NEU|PLU|IND|NOM//obl//68 och//KN//cc//72 rabatter//NN|UTR|PLU|IND|NOM//conj//70 ,//MID//punct//63 dvs.//AB|AN//advmod//75 handköpsläkemedel//NN|NEU|PLU|IND|NOM//appos//63 ,//MID//punct//75 troligen//AB//advmod//79 relativt//AB|POS//advmod//79 nära//AB|POS//conj//75 det//PN|NEU|SIN|DEF|SUB/OBJ//conj//75 man//PN|UTR|SIN|IND|SUB//nsubj//83 allmänt//AB|POS//advmod//83 avser//VB|PRS|AKT//acl:relcl//80 med//PP//case//85 marknadsekonomi//NN|UTR|SIN|IND|NOM//obl//83 .//MAD//punct//7
6.1 Vård och marknad;Den//DT|UTR|SIN|DEF//det//3 minst//AB|SUV//advmod//2 vägande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 invändningen//NN|UTR|SIN|DEF|NOM//nsubj//47 mot//PP//case//5 marknad//NN|UTR|SIN|IND|NOM//nmod//3 genom//PP//case//7 vårdgivarval//NN|NEU|PLU|IND|NOM//nmod//5 är//VB|PRS|AKT//cop//3 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//3 om//SN//case//11 patienten//NN|UTR|SIN|DEF|NOM//nmod//3 som//KN//nsubj:pass//13 oinformerad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//11 om//PP//case//16 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//16 alternativ//NN|NEU|PLU|IND|NOM//obl//13 .//MAD//punct//3
6.1 Vård och marknad;Det//DT|NEU|SIN|DEF//det//19 exempel//NN|NEU|SIN|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj:pass//22 ofta//AB|POS//advmod//22 framförs//VB|PRS|SFO//acl:relcl//19 är//VB|PRS|AKT//cop//26 den//DT|UTR|SIN|DEF//det//26 medvetslöse//JJ|POS|MAS|SIN|DEF|NOM//amod//26 patienten//NN|UTR|SIN|DEF|NOM//parataxis//3 som//HP|-|-|-//nsubj//28 kommer//VB|PRS|AKT//acl:relcl//26 till//PP//case//30 akutintaget//NN|NEU|SIN|DEF|NOM//obl//28 .//MAD//punct//3
6.1 Vård och marknad;Denna//DT|UTR|SIN|DEF//det//33 situation//NN|UTR|SIN|IND|NOM//nsubj//38 är//VB|PRS|AKT//cop//38 dock//AB//advmod//38 inte//AB//advmod//38 den//DT|UTR|SIN|DEF//det//38 normala//JJ|POS|UTR/NEU|SIN|DEF|NOM//parataxis//3 inom//PP//case//40 sjukvården//NN|UTR|SIN|DEF|NOM//obl//38 .//MAD//punct//3
6.1 Vård och marknad;De//DT|UTR/NEU|PLU|DEF//det//44 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//44 val//NN|NEU|PLU|IND|NOM//nsubj//47 inom//PP//case//46 sjukvården//NN|UTR|SIN|DEF|NOM//nmod//44 rör//VB|PRS|AKT//ROOT//47 inte//AB//advmod//47 dessa//DT|UTR/NEU|PLU|DEF//det//51 ”//PAD//punct//51 liv//NN|NEU|SIN|IND|NOM//amod//54 eller//KN//cc//53 död//JJ|POS|UTR|SIN|IND|NOM//conj//51 situationer//NN|UTR|PLU|IND|NOM//obj//47 ”//PAD//punct//54 utan//KN//cc//60 är//VB|PRS|AKT//cop//60 väsentligt//AB|POS//advmod//60 mindre//AB|KOM//advmod//60 dramatiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//47 .//MAD//punct//60
6.1 Vård och marknad;Huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj//66 av//PP//case//65 sjukvårdens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 resurser//NN|UTR|PLU|IND|NOM//nmod//62 går//VB|PRS|AKT//parataxis//60 till//PP//case//68 vård//NN|UTR|SIN|IND|NOM//obl//66 av//PP//case//70 patienter//NN|UTR|PLU|IND|NOM//nmod//68 med//PP//case//73 kroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 sjukdomar//NN|UTR|PLU|IND|NOM//nmod//70 där//HA//advmod//73 patientens//NN|UTR|SIN|DEF|GEN//nmod:poss//76 erfarenheter//NN|UTR|PLU|IND|NOM//obl//66 och//KN//cc//78 upplevelse//NN|UTR|SIN|IND|NOM//conj//76 av//PP//case//81 sitt//PS|NEU|SIN|DEF//nmod:poss//81 tillstånd//NN|NEU|SIN|IND|NOM//nmod//78 är//VB|PRS|AKT//cop//85 den//DT|UTR|SIN|DEF//det//85 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//85 informationen//NN|UTR|SIN|DEF|NOM//nsubj//47 .//MAD//punct//47
6.1 Vård och marknad;"Brister//NN|UTR|PLU|IND|NOM//nsubj:pass//92 i//PP//case//89 information//NN|UTR|SIN|IND|NOM//nmod//87 kan//VB|PRS|AKT//aux//92 också//AB//advmod//92 motverkas//VB|INF|SFO//parataxis//47 på//PP//case//95 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 sätt//NN|NEU|PLU|IND|NOM//obl//92 ;//MID//punct//92"
6.1 Vård och marknad;genom//PP//case//98 stöd//NN|NEU|SIN|IND|NOM//obl//92 från//PP//case//100 anhöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//98 ,//MID//punct//102 patientföreningar//NN|UTR|PLU|IND|NOM//conj//98 och//KN//cc//104 myndigheter//NN|UTR|PLU|IND|NOM//conj//98 .//MAD//punct//92
6.1 Vård och marknad;Den//DT|UTR|SIN|DEF//det//108 viktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//108 frågan//NN|UTR|SIN|DEF|NOM//nsubj//109 är//VB|PRS|AKT//parataxis//92 inte//AB//advmod//109 om//SN//mark//115 patienten//NN|UTR|SIN|DEF|NOM//nsubj//115 är//VB|PRS|AKT//cop//115 fullständigt//AB|POS//advmod//115 informerad//PC|PRF|UTR|SIN|IND|NOM//ccomp//109 om//PP//case//118 alla//DT|UTR/NEU|PLU|IND/DEF//det//118 alternativ//NN|NEU|PLU|IND|NOM//obl//115 utan//KN//mark//122 om//SN//mark//122 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//122 finns//VB|PRS|SFO//advcl//115 någon//DT|UTR|SIN|IND//det//124 annan//JJ|POS|UTR|SIN|IND|NOM//nsubj//122 som//HP|-|-|-//nsubj//126 har//VB|PRS|AKT//acl:relcl//124 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//128 information//NN|UTR|SIN|IND|NOM//obj//126 .//MAD//punct//47
6.1 Vård och marknad;Vi//PN|UTR|PLU|DEF|SUB//nsubj//3 måste//VB|PRS|AKT//aux//3 också//AB//advmod//3 komma//VB|INF|AKT//ROOT//3 ihåg//PL//compound:prt//3 att//SN//mark//14 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//14 i//PP//case//9 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 fall//NN|NEU|PLU|IND|NOM//obl//14 ,//MID//punct//14 inte//AB//advmod//14 bara//AB//advmod//14 inom//PP//case//14 sjukvården//NN|UTR|SIN|DEF|NOM//obj//3 ,//MID//punct//18 är//VB|PRS|AKT//cop//18 både//KN//cc//18 vanligt//JJ|POS|NEU|SIN|IND|NOM//conj//3 och//KN//cc//20 önskvärt//JJ|POS|NEU|SIN|IND|NOM//conj//18 att//IE//mark//22 överlämna//VB|INF|AKT//xcomp//20 beslutet//NN|NEU|SIN|DEF|NOM//obj//22 till//PP//case//26 någon//DT|UTR|SIN|IND//det//26 annan//JJ|POS|UTR|SIN|IND|NOM//obl//22 som//HP|-|-|-//nsubj//28 handlar//VB|PRS|AKT//acl:relcl//26 å//PP//case//31 dina//PS|UTR/NEU|PLU|DEF//nmod:poss//31 vägnar//NN|UTR|PLU|IND|NOM//obl//28 .//MAD//punct//3
