F-skatt åt flera ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
F-skatt åt flera ;Utredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 om//PP//case//2 översyn//NN|UTR|SIN|IND|NOM//nmod//0 av//PP//case//4 kraven//NN|NEU|PLU|DEF|NOM//nmod//2 för//PP//case//6 F-skatt//NN|UTR|SIN|IND|NOM//nmod//4 m.m.//AB|AN//conj//0
F-skatt åt flera ;Stockholm//PM|NOM//ROOT//0 2008//RG|NOM//nummod//0

Till statsrådet Anders Borg;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 9//RO|NOM//nummod//4 augusti//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//4 att//IE//mark//7 tillsätta//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 utredning//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//11 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 bl.a.//AB|AN//advmod//14 se//VB|INF|AKT//acl//11 över//PL//case//16 självständighetsrekvisitet//NN|NEU|SIN|DEF|NOM//obl//14 i//PP//case//18 inkomstskattelagens//NN|UTR|SIN|DEF|GEN//obl//14 (//PAD//punct//18 1999:1229//RG|NOM//appos//18 )//PAD//punct//22 näringsverksamhetsbegrepp//NN|NEU|PLU|IND|NOM//conj//18 (//PAD//punct//22 dir//NN|AN//conj//18 .//MAD//punct//18
Till statsrådet Anders Borg;2007:116//RG|NOM//conj//18 )//PAD//punct//4 .//MAD//punct//1
Till statsrådet Anders Borg;Samtidigt//AB//advmod//30 utsåg//VB|PRT|AKT//parataxis//1 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//30 kammarrättslagmannen//NN|UTR|SIN|DEF|NOM//nmod//33 Christer//PM|NOM//obj//30 Sjödin//PM|NOM//flat:name//33 till//PP//case//37 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//37 utredare//NN|UTR|SIN|IND|NOM//obl//30 .//MAD//punct//30
Till statsrådet Anders Borg;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//40 antog//VB|PRT|AKT//parataxis//30 namnet//NN|NEU|SIN|DEF|NOM//nmod//42 Utredningen//NN|UTR|SIN|DEF|NOM//obj//40 om//PP//case//44 översyn//NN|UTR|SIN|IND|NOM//nmod//42 av//PP//case//46 kraven//NN|NEU|PLU|DEF|NOM//nmod//44 för//PP//case//48 F-skatt//NN|UTR|SIN|IND|NOM//nmod//46 m.m.//AB|AN//conj//46 (//PAD//punct//51 Fi//PM|NOM//appos//40 2007:10//RG|NOM//nummod//51 )//PAD//punct//51 .//MAD//punct//40
Till statsrådet Anders Borg;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 25//RG|NOM//nummod//7 september//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//7 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//10 Nils-Fredrik//PM|NOM//dep//4 Carlsson//PM|NOM//flat:name//10 ,//MID//punct//13 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//10 Jacqueline//PM|NOM//conj//10 DenizKiviharju//PM|NOM//flat:name//14 ,//MID//punct//10 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Helle//PM|NOM//conj//10 Ellehöj//PM|NOM//flat:name//18 ,//MID//punct//22 juristen//NN|UTR|SIN|DEF|NOM//nmod//22 Samuel//PM|NOM//conj//10 Engblom//PM|NOM//flat:name//22 ,//MID//punct//26 skatteexperten//NN|UTR|SIN|DEF|NOM//nmod//26 Annika//PM|NOM//nmod//27 Fritsch//PM|NOM//flat:name//10 ,//MID//punct//10 utredaren//NN|UTR|SIN|DEF|NOM//nmod//30 Ingemar//PM|NOM//conj//10 Göransson//PM|NOM//flat:name//30 ,//MID//punct//30 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//34 Kent//PM|NOM//conj//10 Ivarsson//PM|NOM//flat:name//34 ,//MID//punct//38 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//38 Elisabeth//PM|NOM//appos//10 Lane//PM|NOM//flat//38 ,//MID//punct//38 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//42 Robert//PM|NOM//conj//10 Nilsson//PM|NOM//flat:name//42 ,//MID//punct//42 skattejuristen//NN|UTR|SIN|DEF|NOM//nmod//46 Kerstin//PM|NOM//conj//10 Nyquist//PM|NOM//flat:name//46 ,//MID//punct//10 skatteansvarige//JJ|POS|MAS|SIN|DEF|NOM//nmod//50 Urban//PM|NOM//appos//10 Rydin//PM|NOM//flat:name//50 ,//MID//punct//50 arbetsrättsjuristen//NN|UTR|SIN|DEF|NOM//nmod//54 Hanna//PM|NOM//conj//10 Schmidt//PM|NOM//flat:name//54 ,//MID//punct//10 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//58 Elisabeth//PM|NOM//appos//10 Sheikh//PM|NOM//flat//58 ,//MID//punct//10 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 experten//NN|UTR|SIN|DEF|NOM//nmod//63 Pia//PM|NOM//conj//10 Blank//PM|NOM//flat:name//63 Thörnroos//PM|NOM//flat:name//63 ,//MID//punct//10 t.f//AB|AN//conj//10 .//MAD//punct//10
Till statsrådet Anders Borg;chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//70 John//PM|NOM//conj//10 Wahlstedt//PM|NOM//flat:name//70 och//KN//cc//73 departementssekreteraren//NN|UTR|SIN|DEF|NOM//conj//10 Fredrik//PM|NOM//flat:name//10 von//PM|NOM//nmod//76 Unge//PM|NOM//conj//10 .//MAD//punct//4
Till statsrådet Anders Borg;Den//DT|UTR|SIN|DEF//det//80 5//RO|NOM//nummod//80 november//NN|UTR|SIN|IND|NOM//obl//82 2007//RG|NOM//nummod//80 förordnades//VB|PRT|SFO//parataxis//4 ekonomen//NN|UTR|SIN|DEF|NOM//nmod//84 Håkan//PM|NOM//nsubj:pass//82 Alm//PM|NOM//flat:name//84 ,//MID//punct//82 sakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//88 Ann//PM|NOM//appos//82 Düring//PM|NOM//flat:name//88 ,//MID//punct//88 arbetsrättsjuristen//NN|UTR|SIN|DEF|NOM//nmod//92 Lars//PM|NOM//appos//88 Gellner//PM|NOM//flat:name//92 och//KN//cc//95 juristen//NN|UTR|SIN|DEF|NOM//nmod//96 Claes-Mikael//PM|NOM//conj//92 Jonsson//PM|NOM//flat:name//96 som//KN//mark//99 experter//NN|UTR|PLU|IND|NOM//advcl//88 .//MAD//punct//4
