5 Förslagets konsekvenser ;Vilka//HP|UTR/NEU|PLU|IND//nsubj:pass//15 som//HP|-|-|-//nsubj//5 kan//VB|PRS|AKT//aux//5 komma//VB|INF|AKT//aux//5 att//IE//mark//5 träffas//VB|INF|SFO//acl:relcl//0 av//PP//case//7 de//DT|UTR/NEU|PLU|DEF//obl//5 i//PP//case//11 enlighet//NN|UTR|SIN|IND|NOM//fixed//8 med//PP//fixed//8 direktivet//NN|NEU|SIN|DEF|NOM//obl//12 införda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//15 har//VB|PRS|AKT//aux//15 behandlats//VB|SUP|SFO//advcl//34 i//PP//case//18 avsnitt//NN|NEU|SIN|IND|NOM//nmod//18 3//RG|NOM//obl//15 med//PP//case//20 utgångspunkt//NN|UTR|SIN|IND|NOM//obl//15 i//PP//case//24 den//DT|UTR|SIN|DEF//det//24 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//24 kartläggningen//NN|UTR|SIN|DEF|NOM//nmod//20 som//HP|-|-|-//nsubj//26 finns//VB|PRS|SFO//acl:relcl//24 i//PP//case//29 bilaga//NN|UTR|SIN|IND|NOM//nmod//29 4//RG|NOM//obl//26 .//MAD//punct//15
5 Förslagets konsekvenser ;I//PP//case//33 detta//DT|NEU|SIN|DEF//det//33 avsnitt//NN|NEU|SIN|IND|NOM//obl//34 behandlas//VB|PRS|SFO//ROOT//34 vilka//HD|UTR/NEU|PLU|IND//det//40 närmare//AB|KOM//advmod//37 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 eller//KN//cc//39 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//37 konsekvenser//NN|UTR|PLU|IND|NOM//nsubj:pass//34 som//HP|-|-|-//obj//44 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//44 kan//VB|PRS|AKT//aux//44 få//VB|INF|AKT//acl:relcl//40 .//MAD//punct//34
5 Förslagets konsekvenser ;De//DT|UTR/NEU|PLU|DEF//det//2 föreslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//11 om//PP//case//5 öppen//JJ|POS|UTR|SIN|IND|NOM//amod//5 redovisning//NN|UTR|SIN|IND|NOM//nmod//2 har//VB|PRS|AKT//aux//11 visserligen//AB//advmod//11 inte//AB//advmod//11 tidigare//AB|KOM//advmod//10 tydligt//AB|POS//advmod//11 framgått//VB|SUP|AKT//ROOT//11 av//PP//case//13 lag//NN|UTR|SIN|IND|NOM//obl//11 .//MAD//punct//11
5 Förslagets konsekvenser ;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//16 återspeglar//VB|PRS|AKT//parataxis//11 ändå//AB//advmod//16 vad//HP|NEU|SIN|IND//obj//16 som//HP|-|-|-//nsubj:pass//23 i//PP//case//21 praktiken//NN|UTR|SIN|DEF|NOM//obl//23 kan//VB|PRS|AKT//aux//23 anses//VB|INF|SFO//acl:relcl//18 ha//VB|INF|AKT//aux//25 gällt//VB|SUP|AKT//xcomp//23 som//KN//mark//27 norm//NN|UTR|SIN|IND|NOM//xcomp//25 för//PP//case//29 information//NN|UTR|SIN|IND|NOM//obl//25 om//PP//case//31 användningen//NN|UTR|SIN|DEF|NOM//nmod//29 av//PP//case//34 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 medel//NN|NEU|PLU|IND|NOM//nmod//31 .//MAD//punct//16
5 Förslagets konsekvenser ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//37 bedöms//VB|PRS|SFO//parataxis//16 således//AB//advmod//39 angå//VB|INF|AKT//amod//40 information//NN|UTR|SIN|IND|NOM//obj//37 som//HP|-|-|-//nsubj//43 redan//AB//advmod//43 finns//VB|PRS|SFO//acl:relcl//40 eller//KN//cc//50 vart//DT|NEU|SIN|IND//advmod//50 fall//NN|NEU|SIN|IND|NOM//nsubj:pass//50 utan//PP//case//48 svårighet//NN|UTR|SIN|IND|NOM//nmod//46 kan//VB|PRS|AKT//aux//50 tas//VB|INF|SFO//conj//43 fram//PL//compound:prt//50 vid//PP//case//53 behov//NN|NEU|SIN|IND|NOM//obl//50 .//MAD//punct//37
5 Förslagets konsekvenser ;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//62 i//PP//case//58 denna//DT|UTR|SIN|DEF//det//58 del//NN|UTR|SIN|IND|NOM//nmod//55 kan//VB|PRS|AKT//aux//62 därför//AB//advmod//62 inte//AB//advmod//62 bedömas//VB|INF|SFO//parataxis//37 få//VB|INF|AKT//xcomp//62 några//DT|UTR/NEU|PLU|IND//det//67 beaktansvärda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//67 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 konsekvenser//NN|UTR|PLU|IND|NOM//obj//63 för//PP//case//71 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//71 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 företag//NN|NEU|PLU|IND|NOM//nmod//67 eller//KN//cc//74 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 myndigheter//NN|UTR|PLU|IND|NOM//conj//71 .//MAD//punct//16
5 Förslagets konsekvenser ;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//6 om//PP//case//4 den//DT|UTR|SIN|DEF//det//4 separata//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 redovisningen//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//6 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//6 i//PP//case//10 förhållande//NN|NEU|SIN|IND|NOM//fixed//7 till//PP//fixed//7 tidigare//AB|KOM//advmod//6 .//MAD//punct//6
5 Förslagets konsekvenser ;Visserligen//AB//advmod//13 brukar//VB|PRS|AKT//parataxis//6 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//13 särredovisa//VB|INF|AKT//xcomp//13 uppdragsverksamheten//NN|UTR|SIN|DEF|NOM//obj//16 i//PP//case//20 sin//PS|UTR|SIN|DEF//nmod:poss//20 årsredovisning//NN|UTR|SIN|IND|NOM//nmod//17 och//KN//cc//22 kommuner//NN|UTR|PLU|IND|NOM//conj//20 och//KN//cc//24 landsting//NN|NEU|SIN|IND|NOM//conj//20 särskilt//AB//advmod//26 ange//VB|INF|AKT//xcomp//16 ”//PAD//punct//28 affärsverksamheten//NN|UTR|SIN|DEF|NOM//obj//26 ”//PM|NOM//punct//13 i//PP//case//32 sin//PS|UTR|SIN|DEF//nmod:poss//32 rapportering//NN|UTR|SIN|IND|NOM//obl//13 till//PP//case//34 SCB//PM|NOM//nmod//32 .//MAD//punct//13
5 Förslagets konsekvenser ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 är//VB|PRS|AKT//cop//39 emellertid//AB//advmod//39 osäkert//JJ|POS|NEU|SIN|IND|NOM//parataxis//13 om//PP//case//44 den//DT|UTR|SIN|DEF//det//44 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 rapporteringen//NN|UTR|SIN|DEF|NOM//obl//39 i//PP//case//47 alla//DT|UTR/NEU|PLU|IND/DEF//det//47 delar//NN|UTR|PLU|IND|NOM//nmod//44 tillgodoser//VB|PRS|AKT//conj//39 transparensdirektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//50 krav//NN|NEU|SIN|IND|NOM//obj//48 på//PP//case//53 separat//JJ|POS|UTR|SIN|IND|NOM//amod//53 redovisning//NN|UTR|SIN|IND|NOM//obl//48 .//MAD//punct//13
5 Förslagets konsekvenser ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//57 kan//VB|PRS|AKT//aux//57 innebära//VB|INF|AKT//parataxis//13 att//SN//mark//59 berörd//PC|PRF|UTR|SIN|IND|NOM//amod//60 krets//NN|UTR|SIN|IND|NOM//nsubj//61 får//VB|PRS|AKT//conj//57 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//63 kostnader//NN|UTR|PLU|IND|NOM//obj//61 för//PP//case//65 redovisningen//NN|UTR|SIN|DEF|NOM//obl//61 i//PP//case//70 form//NN|UTR|SIN|IND|NOM//fixed//66 av//PP//fixed//66 t.ex.//AB|AN//advmod//70 ändringar//NN|UTR|PLU|IND|NOM//nmod//65 av//PP//case//72 redovisningssystem//NN|NEU|PLU|IND|NOM//nmod//70 och//KN//cc//75 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 arbete//NN|NEU|SIN|IND|NOM//conj//72 .//MID//punct//57
5 Förslagets konsekvenser ;Sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//78 kostnader//NN|UTR|PLU|IND|NOM//nsubj//79 är//VB|PRS|AKT//parataxis//57 i//PP//advmod//79 så//AB//fixed//80 fall//NN|NEU|SIN|IND|NOM//fixed//80 främst//AB|SUV//advmod//79 av//PP//case//85 övergångsnatur//NN|UTR|SIN|IND|NOM//obl//79 .//MAD//punct//57
