Civilsamhället;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 forskarvolym//NN|NEU|SIN|IND|NOM//amod//2 VIII//RG|NOM//ROOT//2

Förord;Ett//PN|NEU|SIN|IND|SUB/OBJ//nsubj//6 av//PP//case//3 Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 uppdrag//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//0 att//IE//mark//6 summera//VB|INF|AKT//ROOT//6 och//KN//cc//8 värdera//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//11 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//11 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//12 demokratiutredningar//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//14 demokratiforskning//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//17 ett//DT|NEU|SIN|IND//det//17 annat//JJ|POS|NEU|SIN|IND|NOM//conj//12 att//IE//mark//19 stimulera//VB|INF|AKT//acl//17 det//DT|NEU|SIN|DEF//det//22 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 samtalet//NN|NEU|SIN|DEF|NOM//obj//19 om//PP//case//24 demokratin//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//6
Förord;Av//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 skälen//NN|NEU|PLU|DEF|NOM//obl//33 har//VB|PRS|AKT//aux//33 redan//AB//advmod//33 åtskilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 demokratiforskare//NN|UTR|PLU|IND|NOM//nsubj//33 medverkat//VB|SUP|AKT//parataxis//6 på//PP//case//36 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//36 temaseminarier//NN|NEU|PLU|IND|NOM//obl//33 runtom//AB//obl//33 i//PP//case//39 landet//NN|NEU|SIN|DEF|NOM//obl//33 liksom//PP//mark//42 i//PP//case//42 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//33 av//PP//case//46 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//46 debattorienterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//46 småskrifter//NN|UTR|PLU|IND|NOM//nmod//42 .//MAD//punct//6
Förord;Av//PP//case//50 de//DT|UTR/NEU|PLU|DEF//det//50 skälen//NN|NEU|PLU|DEF|NOM//obl//56 har//VB|PRS|AKT//aux//56 också//AB//advmod//56 den//DT|UTR|SIN|DEF//det//55 här//AB//fixed//53 boken//NN|UTR|SIN|DEF|NOM//nsubj//56 kommit//VB|SUP|AKT//parataxis//6 till//PL//compound:prt//56 .//MAD//punct//6
Förord;Den//DT|UTR|SIN|DEF//det//2 här//AB//fixed//0 boken//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 en//PN|UTR|SIN|IND|SUB/OBJ//ROOT//4 i//PP//case//7 en//DT|UTR|SIN|IND//det//7 serie//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//10 tretton//RG|NOM//nummod//10 böcker//NN|UTR|PLU|IND|NOM//nmod//7 där//HA//advmod//22 drygt//AB|POS//advmod//15 ett//DT|NEU|SIN|IND//det//15 hundra//RG|NOM//nummod//15 forskare//NN|UTR|PLU|IND|NOM//nsubj//22 inom//PP//case//17 samhällsvetenskap//NN|UTR|SIN|IND|NOM//nmod//15 och//KN//cc//19 humaniora//NN|UTR|SIN|IND|NOM//conj//17 kommer//VB|PRS|AKT//aux//22 att//IE//mark//22 belysa//VB|INF|AKT//acl:relcl//10 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 aspekter//NN|UTR|PLU|IND|NOM//obj//22 av//PP//case//29 den//DT|UTR|SIN|DEF//det//28 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 folkstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 utveckling//NN|UTR|SIN|IND|NOM//nmod//24 .//MAD//punct//4
Förord;Författarna//NN|UTR|PLU|DEF|NOM//nsubj//33 är//VB|PRS|AKT//cop//33 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//4 inom//PP//case//38 drygt//AB|POS//advmod//36 tio//RG|NOM//nummod//38 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 ämnesområden//NN|NEU|PLU|IND|NOM//obl//33 .//MAD//punct//33
Förord;Artiklarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//42 vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//42 kvalitet//NN|UTR|SIN|IND|NOM//nsubj:pass//45 har//VB|PRS|AKT//aux//45 vanligtvis//AB//advmod//45 säkerställts//VB|SUP|SFO//conj//33 genom//PP//mark//50 att//SN//mark//50 författarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//49 kollegor//NN|UTR|PLU|IND|NOM//nsubj//50 granskat//VB|SUP|AKT//advcl//45 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//50 inom//PP//case//56 ramen//NN|UTR|SIN|DEF|NOM//fixed//52 för//PP//fixed//52 institutionernas//NN|UTR|PLU|DEF|GEN//nmod:poss//56 forskarseminarier//NN|NEU|PLU|IND|NOM//obl//50 .//MAD//punct//33
Förord;Forskarvolymerna//NN|UTR|PLU|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 tillkommit//VB|SUP|AKT//ROOT//2 efter//PP//case//5 en//DT|UTR|SIN|IND//det//5 genomgång//NN|UTR|SIN|IND|NOM//obl//2 av//PP//case//9 den//DT|UTR|SIN|DEF//det//9 demokratirelevanta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 forskning//NN|UTR|SIN|IND|NOM//nmod//5 som//HP|-|-|-//nsubj//11 pågår//VB|PRS|AKT//acl:relcl//9 på//PP//case//13 universitet//NN|NEU|PLU|IND|NOM//obl//11 och//KN//cc//15 högskolor//NN|UTR|PLU|IND|NOM//conj//13 .//MAD//punct//2
Förord;En//DT|UTR|SIN|IND//det//18 del//NN|UTR|SIN|IND|NOM//nmod//19 forskare//NN|UTR|PLU|IND|NOM//nsubj//21 har//VB|PRS|AKT//aux//21 ombetts//VB|SUP|SFO//parataxis//2 att//IE//mark//23 redovisa//VB|INF|AKT//advcl//21 forskningsläget//NN|NEU|SIN|DEF|NOM//obj//23 jämte//PP//case//33 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//33 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 ,//MID//punct//29 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//27 eller//KN//cc//32 nyligen//AB//advmod//32 avslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//27 studier//NN|UTR|PLU|IND|NOM//obl//23 .//MAD//punct//2
Förord;Andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//37 har//VB|PRS|AKT//aux//37 fått//VB|SUP|AKT//conj//2 uppdraget//NN|NEU|SIN|DEF|NOM//obj//37 att//IE//mark//40 genomföra//VB|INF|AKT//xcomp//37 studier//NN|UTR|PLU|IND|NOM//obj//40 inom//PP//case//43 områden//NN|NEU|PLU|IND|NOM//obl//40 som//HP|-|-|-//obl//46 forskningen//NN|UTR|SIN|DEF|NOM//nsubj//46 eftersatt//VB|SUP|AKT//acl:relcl//43 men//KN//cc//50 som//HP|-|-|-//obl//50 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nsubj//50 behöver//VB|PRS|AKT//conj//46 kunskap//NN|UTR|SIN|IND|NOM//obj//50 om//PP//case//48 .//MAD//punct//54
