Moderna tillståndsprocesser för elnät;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Nätkoncessionsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Moderna tillståndsprocesser för elnät;Stockholm//PM|NOM//ROOT//0 2019//RG|NOM//nummod//0

Till statsrådet Anders Ygeman;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 15//RG|NOM//nummod//4 februari//NN|UTR|SIN|IND|NOM//obj//1 2018//RG|NOM//nummod//4 att//IE//mark//7 utse//VB|INF|AKT//advcl//1 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//acl//12 över//PL//case//16 regelverket//NN|NEU|SIN|DEF|NOM//obl//14 om//PP//case//18 nätkoncessioner//NN|UTR|PLU|IND|NOM//obl//14 (//PAD//punct//12 dir//NN|AN//appos//12 .//MAD//punct//1
Till statsrådet Anders Ygeman;2018:6//RG|NOM//obl//1 )//PAD//punct//1 .//MAD//punct//27
Till statsrådet Anders Ygeman;Samma//DT|UTR/NEU|SIN/PLU|IND//det//26 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//27 förordnades//VB|PRT|SFO//parataxis//1 generaldirektör//NN|UTR|SIN|IND|NOM//xcomp//27 Elisabet//PM|NOM//obj//28 Falemo//PM|NOM//flat//29 ,//MID//punct//28 som//KN//case//34 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//34 utredare//NN|UTR|SIN|IND|NOM//xcomp//27 .//MAD//punct//27
Till statsrådet Anders Ygeman;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//38 har//VB|PRS|AKT//aux//38 tagit//VB|SUP|AKT//parataxis//27 namnet//NN|NEU|SIN|DEF|NOM//nmod//40 Nätkoncessionsutredningen//NN|UTR|SIN|DEF|NOM//obj//38 .//MAD//punct//1
Till statsrådet Anders Ygeman;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 varit//VB|SUP|AKT//ROOT//2 att//IE//mark//4 lämna//VB|INF|AKT//xcomp//2 förslag//NN|NEU|SIN|IND|NOM//obj//4 på//PP//case//7 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//5 som//HP|-|-|-//nsubj//9 moderniserar//VB|PRS|AKT//acl:relcl//7 ,//MID//punct//11 förenklar//VB|PRS|AKT//conj//4 och//KN//cc//13 förbättrar//VB|PRS|AKT//conj//4 elnätsregelverket//NN|NEU|SIN|DEF|NOM//obj//13 utan//PP//mark//22 att//SN//mark//22 resurseffektivitet//NN|NEU|SIN|DEF|NOM//nsubj:pass//22 ,//MID//punct//19 nätstabilitet//NN|UTR|SIN|IND|NOM//conj//17 eller//KN//cc//21 miljöskydd//NN|NEU|SIN|IND|NOM//conj//17 påverkas//VB|PRS|SFO//advcl//13 negativt//AB|POS//advmod//22 .//MAD//punct//2
Till statsrådet Anders Ygeman;Elnätets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 betydelse//NN|UTR|SIN|IND|NOM//nsubj:pass//84 som//KN//nsubj:pass//32 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 infrastruktur//NN|UTR|SIN|IND|NOM//nsubj:pass//32 ska//VB|PRS|AKT//aux//32 ha//VB|INF|AKT//aux//32 beaktats//VB|SUP|SFO//acl:relcl//26 .//MAD//punct//26
Till statsrådet Anders Ygeman;I//PP//case//35 uppdraget//NN|NEU|SIN|DEF|NOM//obl//37 har//VB|PRS|AKT//aux//37 ingått//VB|SUP|AKT//acl:relcl//26 att//IE//mark//39 bedöma//VB|INF|AKT//xcomp//37 behovet//NN|NEU|SIN|DEF|NOM//obj//39 av//PP//mark//48 att//SN//mark//48 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//48 om//PP//case//45 koncessionsplikt//NN|NEU|PLU|IND|NOM//nmod//43 för//PP//case//47 starkströmsledningar//NN|UTR|PLU|IND|NOM//nmod//45 ändras//VB|PRS|SFO//acl//40 ,//MID//punct//50 bedöma//VB|INF|AKT//conj//37 vilken//HD|UTR|SIN|IND//det//53 rättslig//JJ|POS|UTR|SIN|IND|NOM//amod//53 status//NN|UTR|SIN|IND|NOM//nsubj//50 en//DT|UTR|SIN|IND//det//55 nätkoncession//NN|UTR|SIN|IND|NOM//nsubj//57 ska//VB|PRS|AKT//aux//57 ha//VB|INF|AKT//conj//37 ,//MID//punct//59 se//VB|INF|AKT//conj//57 över//PL//case//63 den//DT|UTR|SIN|DEF//det//63 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 prövningsordningen//NN|UTR|SIN|DEF|NOM//obl//59 för//PP//case//65 nätkoncession//NN|UTR|SIN|IND|NOM//nmod//63 när//HA//case//71 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//66 gäller//VB|PRS|AKT//fixed//66 både//KN//cc//71 prövande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 myndighet//NN|UTR|SIN|IND|NOM//obl//59 och//KN//cc//74 prövningens//NN|UTR|SIN|DEF|GEN//nmod:poss//74 omfattning//NN|UTR|SIN|IND|NOM//conj//71 ,//MID//punct//76 överväga//VB|INF|AKT//conj//57 om//SN//case//78 möjligheten//NN|UTR|SIN|DEF|NOM//obl//76 till//PP//case//80 samredovisning//NN|UTR|SIN|IND|NOM//nmod//78 av//PP//case//82 elnät//NN|NEU|PLU|IND|NOM//nmod//80 bör//VB|PRS|AKT//aux//84 ändras//VB|INF|SFO//ccomp//2 och//KN//cc//86 göra//VB|INF|AKT//conj//84 en//DT|UTR|SIN|IND//det//89 första//RO|NOM//amod//89 analys//NN|UTR|SIN|IND|NOM//obj//86 av//PP//case//91 nätnivåerna//NN|UTR|PLU|DEF|NOM//nmod//89 .//MAD//punct//2
Till statsrådet Anders Ygeman;Som//KN//mark//1 experter//NN|UTR|PLU|IND|NOM//obl//5 att//IE//mark//3 biträda//VB|INF|AKT//acl//1 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 fr.o.m.//AB|AN//case//9 den//DT|UTR|SIN|DEF//det//9 14//RG|NOM//nummod//9 juni//NN|UTR|SIN|IND|NOM//obl//5 2018//RG|NOM//cc//9 experten//NN|UTR|SIN|DEF|NOM//nmod//12 Björn//PM|NOM//appos//9 Galant//PM|NOM//flat:name//12 ,//MID//punct//12 elnätsansvarige//JJ|POS|MAS|SIN|DEF|NOM//nmod//16 Bengt//PM|NOM//appos//12 Johansson//PM|NOM//flat:name//16 ,//MID//punct//16 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//20 Ronald//PM|NOM//appos//12 Liljegren//PM|NOM//flat//20 ,//MID//punct//20 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//24 Jan-Olof//PM|NOM//conj//12 Lundgren//PM|NOM//flat:name//24 ,//MID//punct//24 juris//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 doktor//NN|UTR|SIN|IND|NOM//nmod//29 Melina//PM|NOM//conj//12 Malafry//PM|NOM//flat:name//29 ,//MID//punct//12 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//33 Anna//PM|NOM//appos//12 Marcusson//PM|NOM//flat:name//33 ,//MID//punct//37 delprojektledaren//NN|UTR|SIN|DEF|NOM//nmod//37 Helén//PM|NOM//conj//12 Mårtensson//PM|NOM//flat:name//37 ,//MID//punct//37 planhandläggaren//NN|UTR|SIN|DEF|NOM//nmod//41 Lisa//PM|NOM//conj//12 Palmér//PM|NOM//flat:name//41 ,//MID//punct//44 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//45 Rebecka//PM|NOM//conj//12 Thuresson//PM|NOM//flat//45 och//KN//cc//48 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//49 Filip//PM|NOM//conj//45 Vestling//PM|NOM//flat:name//49 .//MAD//punct//5
