Våra förslag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//7 om//PP//case//2 försäljning//NN|UTR|SIN|IND|NOM//nmod//0 av//PP//case//5 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//2 har//VB|PRS|AKT//aux//7 haft//VB|SUP|AKT//ROOT//7 i//PP//case//10 huvudsakligt//JJ|POS|NEU|SIN|IND|NOM//amod//10 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 dels//KN//advmod//14  //_SP////11 att//IE//mark//14 förbättra//VB|INF|AKT//advcl//7 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//14 för//PP//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 boende//NN|UTR|PLU|IND|NOM//nmod//15 i//PP//case//21 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//18 att//IE//mark//23 förvärva//VB|INF|AKT//advcl//14 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//25 hus//NN|NEU|PLU|IND|NOM//obj//23 för//PP//case//27 ombildning//NN|UTR|SIN|IND|NOM//obl//23 till//PP//case//30 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//30 hyresrätt//NN|UTR|SIN|IND|NOM//nmod//27 ,//MID//punct//7 dels//KN//advmod//35  //_SP////32 att//IE//mark//35 se//VB|INF|AKT//advcl//7 över//PL//compound:prt//35 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//35 för//PP//case//40 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//37 att//IE//mark//42 förvärva//VB|INF|AKT//advcl//35 bostäder//NN|UTR|PLU|IND|NOM//obj//42 eller//KN//cc//45 företag//NN|NEU|PLU|IND|NOM//conj//43 som//HP|-|-|-//nsubj:pass//48 skall//VB|PRS|AKT//aux//48 säljas//VB|INF|SFO//acl:relcl//45 .//MAD//punct//7
Våra förslag;I//PP//case//51 uppdraget//NN|NEU|SIN|DEF|NOM//obl//53 har//VB|PRS|AKT//aux//53 ingått//VB|SUP|AKT//conj//7 att//IE//mark//55 beakta//VB|INF|AKT//xcomp//53 Allbokommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//57 förslag//NN|NEU|SIN|IND|NOM//obj//55 om//PP//case//60 en//DT|UTR|SIN|IND//det//60 företrädesordning//NN|UTR|SIN|IND|NOM//nmod//57 vid//PP//case//62 försäljning//NN|UTR|SIN|IND|NOM//nmod//60 av//PP//case//64 fastigheter//NN|UTR|PLU|IND|NOM//nmod//62 ,//MID//punct//66 aktier//NN|UTR|PLU|IND|NOM//conj//64 eller//KN//cc//68 andelar//NN|UTR|PLU|IND|NOM//conj//64 i//PP//case//71 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//68 (//PAD//punct//53 SOU//PM|NOM//appos//53 2001:27//RG|NOM//punct//7 )//PAD//punct//7 .//MAD//punct//7
Våra förslag;Vi//PN|UTR|PLU|DEF|SUB//nsubj//79 har//VB|PRS|AKT//aux//79 funnit//VB|SUP|AKT//parataxis//7 att//SN//mark//89 fördelarna//NN|UTR|PLU|DEF|NOM//nsubj//89 med//PP//case//84 en//DT|UTR|SIN|IND//det//84 företrädesordning//NN|UTR|SIN|IND|NOM//nmod//81 för//PP//case//86 närvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//84 inte//AB//advmod//89 skulle//VB|PRT|AKT//aux//89 väga//VB|INF|AKT//ccomp//79 upp//PL//compound:prt//89 nackdelarna//NN|UTR|PLU|DEF|NOM//obj//89 med//PP//case//95 en//DT|UTR|SIN|IND//det//95 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//95 ordning//NN|UTR|SIN|IND|NOM//obl//89 och//KN//cc//97 lägger//VB|PRS|AKT//conj//89 i//PP//advmod//97 stället//NN|NEU|SIN|DEF|NOM//fixed//98 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//101 förslag//NN|NEU|SIN|IND|NOM//obj//97 .//MAD//punct//7

1. Möjlighet för en kommun eller ett kommunalt bostadsföretag att förvärva allmännyttiga bostäder i andra kommuner;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//5 och//KN//cc//3 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 bostadsföretag//NN|NEU|PLU|IND|NOM//conj//0 bör//VB|PRS|AKT//aux//5 få//VB|INF|AKT//ROOT//5 möjlighet//NN|UTR|SIN|IND|NOM//obj//5 att//IE//mark//8 förvärva//VB|INF|AKT//acl//6 fastigheter//NN|UTR|PLU|IND|NOM//obj//8 ,//MID//punct//11 aktier//NN|UTR|PLU|IND|NOM//conj//9 och//KN//cc//13 andelar//NN|UTR|PLU|IND|NOM//conj//9 i//PP//case//16 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//13 i//PP//case//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 kommuner//NN|UTR|PLU|IND|NOM//obl//8 .//MAD//punct//5
1. Möjlighet för en kommun eller ett kommunalt bostadsföretag att förvärva allmännyttiga bostäder i andra kommuner;Ett//DT|NEU|SIN|IND//det//22 undantag//NN|NEU|SIN|IND|NOM//nsubj:pass//25 bör//VB|PRS|AKT//aux//25 därför//AB//advmod//25 göras//VB|INF|SFO//parataxis//5 från//PP//case//29 den//DT|UTR|SIN|DEF//det//29 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 lokaliseringsprincipen//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//5

2. Kungörelseskyldighet vid försäljning av fastigheter, aktier eller andelar i kommunala bostadsföretag;Minst//AB|SUV//advmod//1 tre//RG|NOM//nummod//2 månader//NN|UTR|PLU|IND|NOM//obl//18 före//PP//case//5 en//DT|UTR|SIN|IND//det//5 överlåtelse//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//7 fastigheter//NN|UTR|PLU|IND|NOM//nmod//5 ,//MID//punct//9 aktier//NN|UTR|PLU|IND|NOM//conj//7 eller//KN//cc//11 andelar//NN|UTR|PLU|IND|NOM//conj//7 i//PP//case//15 ett//DT|NEU|SIN|IND//det//15 kommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//15 bostadsföretag//NN|NEU|SIN|IND|NOM//nmod//11 skall//VB|PRS|AKT//aux//18 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//18 kungöras//VB|INF|SFO//ROOT//18 att//SN//mark//25 en//DT|UTR|SIN|IND//det//21 överlåtelse//NN|UTR|SIN|IND|NOM//nsubj//25 kan//VB|PRS|AKT//aux//25 komma//VB|INF|AKT//aux//25 att//IE//mark//25 ske//VB|INF|AKT//advcl//18 .//MAD//punct//18
2. Kungörelseskyldighet vid försäljning av fastigheter, aktier eller andelar i kommunala bostadsföretag;Därigenom//AB//advmod//28 får//VB|PRS|AKT//parataxis//18 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 kommuner//NN|UTR|PLU|IND|NOM//obj//28 och//KN//cc//33 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 bostadsföretag//NN|NEU|PLU|IND|NOM//conj//30 möjlighet//NN|UTR|SIN|IND|NOM//obj//28 att//IE//mark//36 förhandla//VB|INF|AKT//acl//34 med//PP//case//38 säljaren//NN|UTR|SIN|DEF|NOM//obl//36 om//PP//case//41 ett//DT|NEU|SIN|IND//det//41 övertagande//NN|NEU|SIN|IND|NOM//obl//36 .//MAD//punct//28
2. Kungörelseskyldighet vid försäljning av fastigheter, aktier eller andelar i kommunala bostadsföretag;När//HA//case//46 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//43 gäller//VB|PRS|AKT//fixed//43 överlåtelse//NN|UTR|SIN|IND|NOM//obl//28 av//PP//case//49 en//DT|UTR|SIN|IND//det//49 fastighet//NN|UTR|SIN|IND|NOM//nmod//46 ,//MID//punct//28 får//VB|PRS|AKT//conj//28 dessutom//AB//advmod//51 hyresgästerna//NN|UTR|PLU|DEF|NOM//obj//51 ,//MID//punct//53 som//HP|-|-|-//nsubj:pass//62 i//PP//advmod//62 samband//NN|NEU|SIN|IND|NOM//fixed//56 med//PP//case//59 kungörelsen//NN|UTR|SIN|DEF|NOM//fixed//56 särskilt//AB//advmod//62 skall//VB|PRS|AKT//aux//62 informeras//VB|INF|SFO//acl:relcl//53 och//KN//cc//64 beredas//VB|INF|SFO//conj//62 tillfälle//NN|NEU|SIN|IND|NOM//obj//62 att//IE//mark//67 yttra//VB|INF|AKT//acl//65 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//67 ,//MID//punct//70 möjlighet//NN|UTR|SIN|IND|NOM//conj//65 att//IE//mark//72 anmäla//VB|INF|AKT//acl//70 intresse//NN|NEU|SIN|IND|NOM//obj//72 för//PP//mark//76 att//IE//mark//76 överta//VB|INF|AKT//advcl//72 fastigheten//NN|UTR|SIN|DEF|NOM//obj//76 enligt//PP//case//79 ombildningslagen//NN|UTR|SIN|DEF|NOM//obl//76 .//MAD//punct//28
2. Kungörelseskyldighet vid försäljning av fastigheter, aktier eller andelar i kommunala bostadsföretag;Den//DT|UTR|SIN|DEF//det//82 lagen//NN|UTR|SIN|DEF|NOM//nsubj//83 ger//VB|PRS|AKT//parataxis//28 redan//AB//advmod//83 i//PP//advmod//83 dag//NN|UTR|SIN|IND|NOM//fixed//85 hyresgäster//NN|UTR|PLU|IND|NOM//iobj//83 företräde//NN|NEU|SIN|IND|NOM//obj//83 till//PP//mark//91 att//IE//mark//91 ta//VB|INF|AKT//advcl//83 över//PL//compound:prt//91 det//DT|NEU|SIN|DEF//det//94 hus//NN|NEU|SIN|IND|NOM//obj//91 där//HA//advmod//97 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//97 bor//VB|PRS|AKT//acl:relcl//94 ,//MID//punct//83 om//SN//mark//102 huset//NN|NEU|SIN|DEF|NOM//nsubj:pass//102 skall//VB|PRS|AKT//aux//102 säljas//VB|INF|SFO//advcl//83 eller//KN//cc//107 på//PP//case//106 annat//JJ|POS|NEU|SIN|IND|NOM//amod//106 sätt//NN|NEU|SIN|IND|NOM//obl//107 överlåtas//VB|INF|SFO//conj//102 .//MAD//punct//28
