5 UTÖ-modellen ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 beskrivs//VB|PRS|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//5 simuleringsmodell//NN|UTR|SIN|IND|NOM//nsubj:pass//3 som//HP|-|-|-//nsubj:pass//7 utvecklats//VB|SUP|SFO//acl:relcl//5 av//PP//case//9 UTÖ-utredningen//NN|UTR|SIN|DEF|NOM//obl:agent//7 .//MAD//punct//3
5 UTÖ-modellen ;Modellen//NN|UTR|SIN|DEF|NOM//nsubj//12 illustrerar//VB|PRS|AKT//parataxis//3 den//DT|UTR|SIN|DEF//det//15 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 dynamiken//NN|UTR|SIN|DEF|NOM//obj//12 i//PP//case//19 ett//DT|NEU|SIN|IND//det//19 avgiftsbaserat//PC|PRF|NEU|SIN|IND|NOM//amod//19 pensionssystem//NN|NEU|SIN|IND|NOM//nmod//15 med//PP//case//22 fast//JJ|POS|UTR|SIN|IND|NOM//amod//22 avgift//NN|UTR|SIN|IND|NOM//nmod//19 där//HA//advmod//27 utgående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 pensioner//NN|UTR|PLU|IND|NOM//nsubj:pass//27 huvudsakligen//AB//advmod//27 finansieras//VB|PRS|SFO//acl:relcl//22 av//PP//case//30 de//DT|UTR/NEU|PLU|DEF//det//30 pensionsavgifter//NN|UTR|PLU|IND|NOM//obl:agent//27 som//HP|-|-|-//nsubj:pass//33 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//33 betalas//VB|PRS|SFO//acl:relcl//30 in//PL//compound:prt//33 .//MAD//punct//12
5 UTÖ-modellen ;I//PP//case//37 systemet//NN|NEU|SIN|DEF|NOM//obl//38 ingår//VB|PRS|AKT//conj//12 en//DT|UTR|SIN|IND//det//40 buffertfond//NN|UTR|SIN|IND|NOM//nsubj//38 vars//HS|DEF//nmod:poss//42 syfte//NN|NEU|SIN|IND|NOM//amod//40 är//VB|PRS|AKT//cop//45 att//IE//mark//45 utjämna//VB|INF|AKT//advcl//38 de//DT|UTR/NEU|PLU|DEF//det//47 variationer//NN|UTR|PLU|IND|NOM//obj//45 i//PP//case//50 systemets//NN|NEU|SIN|DEF|GEN//nmod:poss//50 avgiftsnetto//NN|NEU|SIN|IND|NOM//obl//45 som//HP|-|-|-//nsubj:pass//52 orsakas//VB|PRS|SFO//acl:relcl//50 dels//KN//advmod//56 av//PP//case//56 demografiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 faktorer//NN|UTR|PLU|IND|NOM//obl//52 ,//MID//punct//61 dels//KN//advmod//61 av//PP//case//61 samhällsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 fluktuationer//NN|UTR|PLU|IND|NOM//conj//56 .//MAD//punct//38
5 UTÖ-modellen ;Omräkning//NN|UTR|SIN|IND|NOM//nsubj//68 av//PP//case//65 pensionsrättigheter//NN|UTR|PLU|IND|NOM//nmod//63 och//KN//cc//67 pensioner//NN|UTR|PLU|IND|NOM//conj//65 sker//VB|PRS|AKT//conj//38 genom//PP//case//71 ett//DT|NEU|SIN|IND//det//71 index//NN|NEU|SIN|IND|NOM//obl//68 baserat//PC|PRF|NEU|SIN|IND|NOM//advcl//68 på//PP//case//75 årlig//JJ|POS|UTR|SIN|IND|NOM//amod//75 förändring//NN|UTR|SIN|IND|NOM//obl//72 i//PP//case//79 genomsnittlig//JJ|POS|UTR|SIN|IND|NOM//amod//79 pensionsgrundande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 årsinkomst//NN|UTR|SIN|IND|NOM//obl//72 .//MAD//punct//12
5 UTÖ-modellen ;Pensionssystem//NN|NEU|PLU|IND|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 komplicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//2 i//PP//case//5 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 avseenden//NN|NEU|PLU|IND|NOM//obl//2 .//MAD//punct//2
5 UTÖ-modellen ;Många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 årskullar//NN|UTR|PLU|IND|NOM//nsubj//9 befinner//VB|PRS|AKT//parataxis//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//9 i//PP//case//12 systemet//NN|NEU|SIN|DEF|NOM//obl//9 vid//PP//case//15 samma//DT|UTR/NEU|SIN/PLU|IND//det//15 tidpunkt//NN|UTR|SIN|IND|NOM//obl//9 .//MAD//punct//9
5 UTÖ-modellen ;Inflödet//NN|NEU|SIN|DEF|NOM//nsubj:pass//20 av//PP//case//19 avgifter//NN|UTR|PLU|IND|NOM//nmod//17 bestäms//VB|PRS|SFO//conj//9 i//PP//case//26 huvudsak//NN|UTR|SIN|IND|NOM//fixed//21 av//PP//fixed//21 hur//HA//advmod//25 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 individer//NN|UTR|PLU|IND|NOM//obl//20 som//HP|-|-|-//nsubj//28 har//VB|PRS|AKT//acl:relcl//26 pensionsgrundande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 inkomst//NN|UTR|SIN|IND|NOM//obj//28 och//KN//cc//35 hur//HA//advmod//33 höga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 dessa//DT|UTR/NEU|PLU|DEF//det//35 inkomster//NN|UTR|PLU|IND|NOM//conj//26 är//VB|PRS|AKT//punct//2 .//MID//punct//2
5 UTÖ-modellen ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//39 styrs//VB|PRS|SFO//conj//2 i//PP//case//42 sin//PS|UTR|SIN|DEF//nmod:poss//42 tur//NN|UTR|SIN|IND|NOM//obl//39 av//PP//case//44 sysselsättnings-//NN|UTR|-|-|SMS//obl//39 och//KN//cc//46 inkomsttrender//NN|UTR|PLU|IND|NOM//conj//44 och//KN//cc//49 av//PP//case//49 konjunkturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//44 och//KN//cc//53 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 kortsiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 fluktuationer//NN|UTR|PLU|IND|NOM//conj//49 .//MAD//punct//39
5 UTÖ-modellen ;Pensionsutbetalningarna//NN|UTR|PLU|DEF|NOM//nsubj//56 beror//VB|PRS|AKT//parataxis//39 dels//KN//advmod//56 av//PP//case//59 vad//HP|NEU|SIN|IND//dislocated//61 som//HP|-|-|-//nsubj//61 hänt//VB|SUP|AKT//advcl//56 under//PP//case//64 den//DT|UTR|SIN|DEF//det//64 tid//NN|UTR|SIN|IND|NOM//obl//61 pensionärernas//NN|UTR|PLU|DEF|GEN//nmod:poss//66 pensionsrättigheter//NN|UTR|PLU|IND|NOM//nsubj:pass//67 intjänats//VB|SUP|SFO//acl:relcl//64 ,//MID//punct//73 dels//KN//advmod//73 av//PP//case//71 vad//HP|NEU|SIN|IND//dislocated//73 som//HP|-|-|-//nsubj//73 händer//VB|PRS|AKT//conj//56 under//PP//case//76 de//DT|UTR/NEU|PLU|DEF//det//76 år//NN|NEU|PLU|IND|NOM//obl//73 när//HA//mark//79 pension//NN|UTR|SIN|IND|NOM//nsubj:pass//79 betalas//VB|PRS|SFO//advcl//73 ut//PL//compound:prt//79 .//MAD//punct//2
5 UTÖ-modellen ;Skiftningarna//NN|UTR|PLU|DEF|NOM//nsubj//5 i//PP//case//2 befolkningsutveckling//NN|UTR|SIN|IND|NOM//nmod//0 och//KN//cc//4 samhällsekonomi//NN|UTR|SIN|IND|NOM//conj//2 betyder//VB|PRS|AKT//ROOT//5 att//SN//mark//20 pensionssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//9 årliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 avgiftsnetto//NN|NEU|SIN|IND|NOM//nsubj//20 ,//MID//punct//9 dvs.//AB|AN//advmod//12 skillnaden//NN|UTR|SIN|DEF|NOM//appos//9 mellan//PP//case//14 inkomster//NN|UTR|PLU|IND|NOM//nmod//12 och//KN//cc//16 utgifter//NN|UTR|PLU|IND|NOM//conj//14 ,//MID//punct//9 kommer//VB|PRS|AKT//aux//20 att//IE//mark//20 variera//VB|INF|AKT//ccomp//5 .//MAD//punct//5
5 UTÖ-modellen ;De//DT|UTR/NEU|PLU|DEF//det//23 år//NN|NEU|PLU|IND|NOM//nmod//24 avgiftsnettot//NN|NEU|SIN|DEF|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 positivt//JJ|POS|NEU|SIN|IND|NOM//parataxis//5 ,//MID//punct//28 förstärks//VB|PRS|SFO//conj//26 buffertfonden//NN|NEU|PLU|IND|NOM//obj//28 .//MAD//punct//26
