Kommittédirektiv;Allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 bostadsföretag//NN|NEU|PLU|IND|NOM//ROOT//1 och//KN//cc//4 bostadssocial//JJ|POS|UTR|SIN|IND|NOM//amod//4 utveckling//NN|UTR|SIN|IND|NOM//conj//1


Bilaga 1 / 1999:110;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 22//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//nmod//0 1999//RG|NOM//nummod//5 .//MAD//punct//0

Bilaga 1 / Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//3 parlamentariskt//AB|POS//advmod//2 sammansatt//PC|PRF|UTR|SIN|IND|NOM//amod//3 kommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//4 tillkallas//VB|PRS|SFO//ROOT//4 med//PP//case//6 uppgift//NN|UTR|SIN|IND|NOM//obl//4 att//IE//mark//8 värdera//VB|INF|AKT//acl//6 förslagen//NN|NEU|PLU|DEF|NOM//obj//8 från//PP//case//11 Utredningen//NN|UTR|SIN|DEF|NOM//obl//8 om//PP//case//13 allmännyttan//NN|UTR|SIN|DEF|NOM//nmod//11 och//KN//cc//15 bruksvärdet//NN|NEU|SIN|DEF|NOM//conj//13 om//PP//case//18 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 verksamhetsformer//NN|UTR|PLU|IND|NOM//nmod//15 för//PP//case//22 icke//AB//advmod//21 vinstdrivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 företag//NN|NEU|PLU|IND|NOM//nmod//18 m.m.//AB|AN//obj//4 och//KN//cc//25 bedöma//VB|INF|AKT//conj//4 behovet//NN|NEU|SIN|DEF|NOM//obj//25 av//PP//case//30 ett//DT|NEU|SIN|IND//det//30 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//30 regelverk//NN|NEU|SIN|IND|NOM//nmod//26 för//PP//case//33 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//33 företag//NN|NEU|PLU|IND|NOM//nmod//30 .//MAD//punct//25
Bilaga 1 / Sammanfattning av uppdraget;Vid//PP//case//36 värderingen//NN|UTR|SIN|DEF|NOM//obl//42 av//PP//case//38 förslagen//NN|NEU|PLU|DEF|NOM//nmod//36 skall//VB|PRS|AKT//aux//42 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//42 särskilt//AB//advmod//42 belysa//VB|INF|AKT//advcl//25 hur//HA//advmod//45 förslagen//NN|NEU|PLU|DEF|NOM//nsubj//45 förhåller//VB|PRS|AKT//ccomp//42 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//45 till//PP//case//49 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//49 lagstiftning//NN|UTR|SIN|IND|NOM//obl//45 och//KN//cc//52 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 EG-regler//NN|UTR|PLU|IND|NOM//conj//49 på//PP//case//54 området//NN|NEU|SIN|DEF|NOM//nmod//52 .//MAD//punct//4
Bilaga 1 / Sammanfattning av uppdraget;Vidare//AB|KOM//advmod//59 skall//VB|PRS|AKT//aux//59 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//59 tas//VB|INF|SFO//parataxis//4 till//PP//case//62 förslagens//NN|NEU|PLU|DEF|GEN//nmod:poss//62 effekter//NN|UTR|PLU|IND|NOM//obl//59 bland//PP//case//68 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//63 ur//PP//fixed//63 ett//DT|NEU|SIN|IND//det//68 samhällsekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//68 perspektiv//NN|NEU|SIN|IND|NOM//obl//59 .//MAD//punct//59
Bilaga 1 / Sammanfattning av uppdraget;Om//SN//mark//73 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//72 överväganden//NN|NEU|PLU|IND|NOM//nsubj//73 leder//VB|PRS|AKT//advcl//88 till//PP//mark//77 att//SN//mark//77 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//77 behövs//VB|PRS|SFO//advcl//73 ett//DT|NEU|SIN|IND//det//80 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//80 regelverk//NN|NEU|SIN|IND|NOM//nsubj:pass//77 för//PP//case//83 denna//DT|UTR|SIN|DEF//det//83 typ//NN|UTR|SIN|IND|NOM//nmod//80 av//PP//case//85 företag//NN|NEU|PLU|IND|NOM//nmod//83 skall//VB|PRS|AKT//aux//88 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//88 utarbeta//VB|INF|AKT//parataxis//59 en//DT|UTR|SIN|IND//det//91 komplett//JJ|POS|UTR|SIN|IND|NOM//amod//91 lagreglering//NN|UTR|SIN|IND|NOM//obj//88 samt//KN//cc//94 de//DT|UTR/NEU|PLU|DEF//det//94 författningsändringar//NN|UTR|PLU|IND|NOM//conj//91 i//PP//advmod//94 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//95 som//HP|-|-|-//nsubj//99 är//VB|PRS|AKT//cop//99 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//94 .//MAD//punct//59
Bilaga 1 / Sammanfattning av uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//106 skall//VB|PRS|AKT//aux//106 dock//AB//advmod//106 inte//AB//advmod//106 initialt//AB|POS//advmod//106 behandla//VB|INF|AKT//parataxis//59 skattefrågor//NN|UTR|PLU|IND|NOM//obj//106 .//MAD//punct//59
Bilaga 1 / Sammanfattning av uppdraget;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//112 är//VB|PRS|AKT//cop//112 emellertid//AB//advmod//112 oförhindrad//JJ|POS|UTR|SIN|IND|NOM//parataxis//59 att//IE//mark//117 senare//AB|KOM//advmod//117 genom//PP//case//116 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//117 utvidga//VB|INF|AKT//advcl//112 uppdraget//NN|NEU|SIN|DEF|NOM//obj//117 till//PP//mark//121 att//IE//mark//121 avse//VB|INF|AKT//advcl//117 dessa//DT|UTR/NEU|PLU|DEF//det//123 frågor//NN|UTR|PLU|IND|NOM//obj//121 .//MAD//punct//59
