DANIEL JOHANNESSON  ,  generaldirektör för SJ, samtalsledare HANS EGNÉUS  ,  professor i humanekologi vid Göteborgs universitet ;THOMAS//PM|NOM//nmod//1 B//PM|NOM//ROOT//1  //_SP////1 .//MAD//punct//1
DANIEL JOHANNESSON  ,  generaldirektör för SJ, samtalsledare HANS EGNÉUS  ,  professor i humanekologi vid Göteborgs universitet ; //_SP////3 JOHANSSON//PM|NOM//obl//21  //_SP////5 ,//MID//punct//9  //_SP////7 professor//NN|UTR|SIN|IND|NOM//conj//5 och//KN//cc//11 direktör//NN|UTR|SIN|IND|NOM//conj//9 för//PP//case//13 energi-//NN|UTR|-|-|SMS//nmod//11 och//KN//cc//15 atmosfärprogrammet//NN|NEU|SIN|DEF|NOM//conj//13 vid//PP//case//17 UNDP//PM|NOM//nmod//11 i//PP//case//19 New//PM|NOM//nmod//17 York//PM|NOM//flat//19 TOMAS//PM|NOM//conj//1 KÅBERGER//PM|NOM//nmod//21  //_SP////22 ,//MID//punct//26  //_SP////24 tekn//NN|UTR|SIN|IND|NOM//conj//21 .//MID//punct//26
DANIEL JOHANNESSON  ,  generaldirektör för SJ, samtalsledare HANS EGNÉUS  ,  professor i humanekologi vid Göteborgs universitet ;dr//NN|AN//conj//1 .//MAD//punct//28
DANIEL JOHANNESSON  ,  generaldirektör för SJ, samtalsledare HANS EGNÉUS  ,  professor i humanekologi vid Göteborgs universitet ;vid//PP//case//33 Chalmers//PM|GEN//nmod:poss//33 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 högskola//NN|UTR|SIN|IND|NOM//nmod//28
DANIEL JOHANNESSON  ,  generaldirektör för SJ, samtalsledare HANS EGNÉUS  ,  professor i humanekologi vid Göteborgs universitet ;BRITT//PM|NOM//ROOT//0 SAHLESTRÖM//PM|NOM//compound:prt//0  //_SP////1 ,//MID//punct//5  //_SP////3 miljöchef//NN|UTR|SIN|IND|NOM//conj//0 vid//PP//case//8 Birka//PM|GEN//amod//8 Energi//NN|UTR|SIN|IND|NOM//nmod//5 i//PP//case//10 Stockholm//PM|NOM//nmod//8

Energi för det globala samhället på 2000-talet;Millennieskiftet//NN|NEU|SIN|DEF|NOM//nsubj//1 ger//VB|PRS|AKT//ROOT//1 anledning//NN|UTR|SIN|IND|NOM//obj//1 att//IE//mark//4 fundera//VB|INF|AKT//xcomp//1 och//KN//cc//6 reﬂektera//VB|INF|AKT//conj//4 över//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 frågor//NN|UTR|PLU|IND|NOM//obl//6 som//HP|-|-|-//obj//13 mänskligheten//NN|UTR|SIN|DEF|NOM//nsubj//13 står//VB|PRS|AKT//acl:relcl//10 inför//PP//case//13 .//MAD//punct//1
Energi för det globala samhället på 2000-talet;En//PN|UTR|SIN|IND|SUB/OBJ//nsubj//19 av//PP//case//18 ödesfrågorna//NN|NEU|PLU|DEF|NOM//nmod//16 gäller//VB|PRS|AKT//parataxis//1 energiförbrukningen//NN|UTR|SIN|DEF|NOM//obj//19 .//MAD//punct//19
Energi för det globala samhället på 2000-talet;Under//PP//case//25 det//DT|NEU|SIN|DEF//det//25 gångna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 seklet//NN|NEU|SIN|DEF|NOM//obl//29 har//VB|PRS|AKT//aux//29 jordens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 befolkning//NN|UTR|SIN|IND|NOM//nsubj:pass//29 fyrdubblats//VB|SUP|SFO//conj//19 ,//MID//punct//29 samtidigt//AB//mark//36 som//HA//fixed//31 vår//PS|UTR|SIN|DEF//nmod:poss//34 energikonsumtion//NN|UTR|SIN|IND|NOM//nsubj//36 har//VB|PRS|AKT//aux//36 ökat//VB|SUP|AKT//advcl//29 i//PP//case//41 en//DT|UTR|SIN|IND//det//41 mångdubbelt//AB|POS//amod//41 snabbare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 takt//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//1
Energi för det globala samhället på 2000-talet;Idag//AB//advmod//46 är//VB|PRS|AKT//cop//46 energisystemet//NN|NEU|SIN|DEF|NOM//nsubj//46 ett//RG|NEU|SIN|IND|NOM//parataxis//1 av//PP//case//50 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//50 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//50 miljöproblem//NN|NEU|PLU|IND|NOM//nmod//46 .//MAD//punct//1
Energi för det globala samhället på 2000-talet;Hur//HA//advmod//59 skulle//VB|PRT|AKT//aux//59 då//AB//advmod//59 ett//DT|NEU|SIN|IND//det//57 uthålligt//JJ|POS|NEU|SIN|IND|NOM//amod//57 energisystem//NN|NEU|SIN|IND|NOM//nsubj//59 kunna//VB|INF|AKT//aux//59 se//VB|INF|AKT//parataxis//1 ut//PL//compound:prt//59 ?//MAD//punct//59
