Promemoria;2013-11-11//RG|NOM//ROOT//0

Kulturdepartementet;Enheten//NN|UTR|SIN|DEF|NOM//ROOT//0 för//PP//case//2 medier//NN|NEU|PLU|IND|NOM//nmod//0 ,//MID//punct//4 film//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//6 idrott//NN|UTR|SIN|IND|NOM//conj//2
Kulturdepartementet;Departementssekreterare//NN|UTR|SIN|IND|NOM//ROOT//0
Kulturdepartementet;Anna//PM|NOM//ROOT//0 Sööder//PM|NOM//flat:name//0

Hearing den 23 oktober 2013 – Mera glädje för pengarna;För//PP//mark//2 att//IE//mark//2 följa//VB|INF|AKT//advcl//15 upp//PL//compound:prt//2 Björn//PM|NOM//nmod:poss//6 Erikssons//PM|GEN//nmod:poss//6 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//2 Mera//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 glädje//NN|UTR|SIN|IND|NOM//obj//2 för//PP//case//10 pengarna//NN|UTR|PLU|DEF|NOM//obl//2 (//PAD//punct//10 SOU//PM|NOM//appos//10 2013:19//RG|NOM//conj//10 )//PAD//punct//15 bjöd//VB|PRT|AKT//ROOT//15 kultur-//NN|UTR|-|-|SMS//obj//15 och//KN//cc//18 idrottsminister//NN|UTR|SIN|IND|NOM//conj//16 Lena//PM|NOM//conj//16 Adelsohn//PM|NOM//flat:name//19 Liljeroth//PM|NOM//conj//16 in//AB//case//25 till//PP//fixed//22 en//DT|UTR|SIN|IND//det//25 hearing//NN|UTR|SIN|IND|NOM//obl//15 i//PP//case//27 Rosenbad//PM|NOM//nmod//25 den//DT|UTR|SIN|DEF//det//30 23//RG|NOM//nummod//30 oktober//NN|UTR|SIN|IND|NOM//obl//15 2013//RG|NOM//nummod//30 .//MAD//punct//15
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Inbjudan//NN|UTR|SIN|DEF|NOM//nsubj:pass//34 skickades//VB|PRT|SFO//parataxis//15 till//PP//case//37 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//37 aktörer//NN|UTR|PLU|IND|NOM//obl//34 som//HP|-|-|-//nsubj//39 getts//VB|SUP|SFO//acl:relcl//37 tillfälle//NN|NEU|SIN|IND|NOM//obj//39 att//IE//mark//42 lämna//VB|INF|AKT//acl//40 synpunkter//NN|UTR|PLU|IND|NOM//obj//42 på//PP//case//45 betänkandet//NN|NEU|SIN|DEF|NOM//obl//42 ,//MID//punct//53 samt//KN//cc//53 till//PP//case//53 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//50 ett//DT|NEU|SIN|IND//det//51 antal//NN|NEU|SIN|IND|NOM//nmod//53 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//53 aktörer//NN|UTR|PLU|IND|NOM//conj//34 .//MAD//punct//53
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Se//VB|INF|AKT//conj//15 bifogad//PC|PRF|UTR|SIN|IND|NOM//amod//57 deltagarförteckning//NN|UTR|SIN|IND|NOM//obj//55 .//MAD//punct//15
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//3 med//PP//case//2 hearingen//NN|UTR|SIN|DEF|NOM//nmod//0 var//VB|PRT|AKT//ROOT//3 att//IE//mark//5 samla//VB|INF|AKT//xcomp//3 in//PL//compound:prt//5 synpunkter//NN|UTR|PLU|IND|NOM//obj//5 på//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 förslag//NN|NEU|PLU|IND|NOM//obl//5 som//HP|-|-|-//nsubj:pass//12 lämnats//VB|SUP|SFO//acl:relcl//10 i//PP//case//14 betänkandet//NN|NEU|SIN|DEF|NOM//obl//12 ,//MID//punct//16 ta//VB|INF|AKT//conj//5 del//NN|UTR|SIN|IND|NOM//obj//16 av//PP//case//19 vad//HP|NEU|SIN|IND//obl//16 som//HP|-|-|-//nsubj:pass//22 redan//AB//advmod//22 görs//VB|PRS|SFO//acl:relcl//19 ,//MID//punct//25 samt//KN//cc//25 diskutera//VB|INF|AKT//conj//19 hur//HA//advmod//31 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//28 aktörer//NN|UTR|PLU|IND|NOM//nsubj//31 gemensamt//AB|POS//advmod//31 kan//VB|PRS|AKT//aux//31 fortsätta//VB|INF|AKT//ccomp//25 arbetet//NN|NEU|SIN|DEF|NOM//obj//31 med//PP//mark//35 att//IE//mark//35 främja//VB|INF|AKT//acl//32 en//DT|UTR|SIN|IND//det//38 positiv//JJ|POS|UTR|SIN|IND|NOM//amod//38 supporterkultur//NN|UTR|SIN|IND|NOM//obj//35 och//KN//cc//40 motverka//VB|INF|AKT//conj//35 idrottsrelaterad//PC|PRF|UTR|SIN|IND|NOM//amod//42 brottslighet//NN|UTR|SIN|IND|NOM//obj//40 .//MAD//punct//3
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Hearingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 direktsändes//VB|PRT|SFO//ROOT//1 på//PP//case//4 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 hemsida//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//8 har//VB|PRS|AKT//aux//8 även//AB//advmod//8 sänts//VB|SUP|SFO//conj//1 på//PP//case//11 SVT//PM|NOM//nmod//11 Forum//NN|NEU|SIN|IND|NOM//obl//8 .//MAD//punct//1
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Sändningen//NN|UTR|SIN|DEF|NOM//nsubj//1 finns//VB|PRS|SFO//ROOT//1 att//IE//mark//3 ta//VB|INF|AKT//xcomp//1 del//NN|UTR|SIN|IND|NOM//obj//3 av//PP//compound:prt//3 här//AB//fixed//5 ://MAD//punct//1
Hearing den 23 oktober 2013 – Mera glädje för pengarna;http://www.regeringen.se/sb/d/17928/a/226854//NN|AN//punct//1
