Vårt uppdrag;Vårt//PS|NEU|SIN|DEF//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//2 är//VB|PRS|AKT//ROOT//2 att//IE//mark//4 ta//VB|INF|AKT//ccomp//2 ställning//NN|UTR|SIN|IND|NOM//obj//4 till//PP//mark//8 om//PP//mark//8 återkallande//NN|NEU|SIN|IND|NOM//acl//5 av//PP//case//12 ett//DT|NEU|SIN|IND//det//12 gynnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 förvaltningsbeslut//NN|NEU|SIN|IND|NOM//nmod//8 om//PP//case//14 antagning//NN|UTR|SIN|IND|NOM//nmod//12 till//PP//case//16 högskoleutbildning//NN|UTR|SIN|IND|NOM//nmod//14 på//PP//mark//23 grund//NN|UTR|SIN|IND|NOM//fixed//17 av//PP//fixed//17 att//SN//mark//23 sökanden//NN|UTR|SIN|DEF|NOM//nsubj//23 har//VB|PRS|AKT//aux//23 lämnat//VB|SUP|AKT//advcl//2 oriktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 eller//KN//cc//26 vilseledande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//24 uppgifter//NN|UTR|PLU|IND|NOM//obj//23 också//AB//advmod//30 ska//VB|PRS|AKT//aux//30 leda//VB|INF|AKT//conj//2 till//PP//mark//33 att//SN//mark//33 godkänt//PC|PRF|NEU|SIN|IND|NOM//advcl//30 betyg//NN|NEU|SIN|IND|NOM//obj//33 på//PP//case//37 en//DT|UTR|SIN|IND//det//37 högskolekurs//NN|UTR|SIN|IND|NOM//obl//33 eller//KN//cc//40 ett//DT|NEU|SIN|IND//det//40 utbildningsprogram//NN|NEU|SIN|IND|NOM//conj//37 ska//VB|PRS|AKT//aux//42 återkallas//VB|INF|SFO//parataxis//2 .//MAD//punct//2
Vårt uppdrag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 står//VB|PRS|AKT//parataxis//2 oss//PN|UTR|PLU|DEF|OBJ//obj//45 också//AB//advmod//45 fritt//AB|POS//advmod//45 att//IE//mark//50 ta//VB|INF|AKT//advcl//45 upp//PL//compound:prt//50 anslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 frågor//NN|UTR|PLU|IND|NOM//obj//50 .//MAD//punct//45
Vårt uppdrag;Nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 författningsändringar//NN|UTR|PLU|IND|NOM//nsubj:pass//58 ska//VB|PRS|AKT//aux//58 föreslås//VB|INF|SFO//parataxis//45 .//MAD//punct//45

Bakgrund och avgränsning av uppdraget;Bakgrunden//NN|UTR|SIN|DEF|NOM//nsubj//8 till//PP//case//3 vårt//PS|NEU|SIN|DEF//nmod:poss//3 uppdrag//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//8 de//DT|UTR/NEU|PLU|DEF//det//7 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//7 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//8 ökning//NN|UTR|SIN|IND|NOM//ROOT//8 av//PP//case//10 antalet//NN|NEU|SIN|DEF|NOM//nmod//8 återkallade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 resultat//NN|NEU|PLU|IND|NOM//nmod//8 på//PP//case//14 högskoleprovet//NN|NEU|SIN|DEF|NOM//nmod//12 ,//MID//punct//21 vilket//HP|NEU|SIN|IND//nsubj//21 i//PP//advmod//21 sin//PS|UTR|SIN|DEF//fixed//17 tur//NN|UTR|SIN|IND|NOM//fixed//17 har//VB|PRS|AKT//aux//21 lett//VB|SUP|AKT//acl:relcl//8 till//PP//mark//28 att//SN//mark//28 universitet//NN|NEU|PLU|IND|NOM//nsubj//28 och//KN//cc//26 högskolor//NN|UTR|PLU|IND|NOM//conj//24 har//VB|PRS|AKT//aux//28 återkallat//VB|SUP|AKT//advcl//21 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//30 beslut//NN|NEU|PLU|IND|NOM//obj//28 om//PP//case//32 antagning//NN|UTR|SIN|IND|NOM//obl//28 till//PP//case//34 högskoleutbildning//NN|UTR|SIN|IND|NOM//nmod//32 på//PP//mark//40 grund//NN|UTR|SIN|IND|NOM//fixed//35 av//PP//fixed//35 att//SN//mark//40 antagning//NN|UTR|SIN|IND|NOM//nsubj//40 skett//VB|SUP|AKT//advcl//28 med//PP//case//42 stöd//NN|NEU|SIN|IND|NOM//obl//40 av//PP//mark//46 ett//DT|NEU|SIN|IND//det//45 ”//NN|NEU|SIN|IND|NOM//nmod//46 fuskresultat//PC|PRF|NEU|SIN|IND|NOM//advcl//40 ”//PM|NOM//punct//46 på//PP//case//49 högskoleprovet//NN|NEU|SIN|DEF|NOM//obl//46 .//MID//punct//8
Bakgrund och avgränsning av uppdraget;Att//SN//mark//56 ett//DT|NEU|SIN|IND//det//53 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//56 om//PP//case//55 antagning//NN|UTR|SIN|IND|NOM//nmod//53 återkallas//VB|PRS|SFO//acl//8 innebär//VB|PRS|AKT//xcomp//56 i//PP//case//59 praktiken//NN|UTR|SIN|DEF|NOM//obl//57 att//SN//mark//62 studenten//NN|UTR|SIN|DEF|NOM//nsubj//62 blir//VB|PRS|AKT//ccomp//57 av//PL//compound:prt//62 med//PP//case//66 sin//PS|UTR|SIN|DEF//nmod:poss//66 plats//NN|UTR|SIN|IND|NOM//obl//62 på//PP//case//68 kursen//NN|UTR|SIN|DEF|NOM//nmod//66 eller//KN//cc//70 utbildningsprogrammet//NN|NEU|SIN|DEF|NOM//conj//68 .//MAD//punct//8
Bakgrund och avgränsning av uppdraget;I//PP//case//74 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 fall//NN|NEU|PLU|IND|NOM//obl//75 återkallas//VB|PRS|SFO//parataxis//8 antagningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//75 efter//PP//case//78 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//75 att//SN//mark//81 studenten//NN|UTR|SIN|DEF|NOM//nsubj//81 hunnit//VB|SUP|AKT//advcl//75 avsluta//VB|INF|AKT//xcomp//81 kurser//NN|UTR|PLU|IND|NOM//obj//82 och//KN//cc//85 få//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//81 betyg//NN|NEU|PLU|IND|NOM//obj//85 på//PP//case//88 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//85 .//MAD//punct//8
Bakgrund och avgränsning av uppdraget;Fråga//NN|UTR|SIN|IND|NOM//conj//8 har//VB|PRS|AKT//aux//92 uppkommit//VB|SUP|AKT//conj//8 om//PP//case//94 studenten//NN|UTR|SIN|DEF|NOM//obl//92 ,//MID//punct//103 i//PP//mark//103 samband//NN|NEU|SIN|IND|NOM//fixed//96 med//PP//fixed//96 att//SN//mark//103 han//PN|UTR|SIN|DEF|SUB//nsubj//103 eller//KN//cc//102 hon//PN|UTR|SIN|DEF|SUB//conj//100 blir//VB|PRS|AKT//conj//8 av//PL//compound:prt//103 med//PP//case//107 sin//PS|UTR|SIN|DEF//nmod:poss//107 plats//NN|UTR|SIN|IND|NOM//obl//103 på//PP//case//109 utbildningen//NN|UTR|SIN|DEF|NOM//nmod//107 ,//MID//punct//8 också//AB//advmod//113 ska//VB|PRS|AKT//aux//113 fråntas//VB|INF|SFO//conj//8 uppnådda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//115 betyg//NN|NEU|PLU|IND|NOM//obj//113 och//KN//cc//117 högskolepoäng//NN|UTR|PLU|IND|NOM//conj//115 .//MAD//punct//8
Bakgrund och avgränsning av uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 förekommer//VB|PRS|AKT//ROOT//1 också//AB//advmod//1 att//SN//mark//5 lärosätena//NN|NEU|PLU|DEF|NOM//nsubj//5 återkallar//VB|PRS|AKT//csubj//1 antagningsbeslut//NN|NEU|PLU|IND|NOM//obj//5 på//PP//case//11 grund//NN|UTR|SIN|IND|NOM//fixed//7 av//PP//fixed//7 annan//JJ|POS|UTR|SIN|IND|NOM//amod//11 typ//NN|UTR|SIN|IND|NOM//obl//5 av//PP//case//14 ”//PAD//punct//14 fusk//NN|NEU|SIN|IND|NOM//nmod//11 ”//PAD//punct//1 vid//PP//case//17 antagningen//NN|UTR|SIN|DEF|NOM//obl//1 ,//MID//punct//1 t.ex.//AB|AN//advmod//22 att//SN//mark//22 studenten//NN|UTR|SIN|DEF|NOM//nsubj//22 åberopar//VB|PRS|AKT//advcl//1 förfalskade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//24 betyg//NN|NEU|PLU|IND|NOM//obj//22 .//MAD//punct//1
Bakgrund och avgränsning av uppdraget;Vi//PN|UTR|PLU|DEF|SUB//nsubj//28 har//VB|PRS|AKT//aux//28 bedömt//VB|SUP|AKT//parataxis//1 att//SN//mark//32 vårt//PS|NEU|SIN|DEF//nmod:poss//31 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//32 omfattar//VB|PRS|AKT//ccomp//28 alla//DT|UTR/NEU|PLU|IND/DEF//det//34 typer//NN|UTR|PLU|IND|NOM//obj//32 av//PP//case//36 vilseledande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//34 eller//KN//cc//38 fusk//NN|NEU|SIN|IND|NOM//conj//36 vid//PP//case//40 antagningen//NN|UTR|SIN|DEF|NOM//nmod//34 .//MAD//punct//28
Bakgrund och avgränsning av uppdraget;Vi//PN|UTR|PLU|DEF|SUB//nsubj//3 har//VB|PRS|AKT//aux//3 också//AB//advmod//3 bedömt//VB|SUP|AKT//ROOT//3 att//SN//mark//8 vårt//PS|NEU|SIN|DEF//nmod:poss//6 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 begränsat//PC|PRF|NEU|SIN|IND|NOM//ccomp//3 till//PP//case//10 vad//HP|NEU|SIN|IND//obl//8 som//HP|-|-|-//nsubj//13 ska//VB|PRS|AKT//aux//13 gälla//VB|INF|AKT//acl:relcl//10 i//PP//case//15 betygsfrågan//NN|UTR|SIN|DEF|NOM//obl//13 när//HA//mark//18 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//18 beslutas//VB|PRS|SFO//advcl//10 om//PP//case//20 återkallelse//NN|UTR|SIN|IND|NOM//obl//18 av//PP//case//22 antagning//NN|UTR|SIN|IND|NOM//nmod//20 till//PP//case//24 utbildning//NN|UTR|SIN|IND|NOM//nmod//20 på//PP//case//26 grundnivå//NN|UTR|SIN|IND|NOM//nmod//24 eller//KN//cc//29 avancerad//PC|PRF|UTR|SIN|IND|NOM//amod//29 nivå//NN|UTR|SIN|IND|NOM//conj//26 .//MAD//punct//3
