KERSTIN CARLSSON  ,  chef för Arbetsförmedlingen i Laholm och förbundsordförande i Svenska Orienteringsförbundet, samtalsledare MALIN HANSSON  ,  civilingenjör och ordförande i orienteringsklubben OK Vilse –87 ;JENS//PM|NOM//nmod//1 LINDQUIST//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 ansvarig//JJ|POS|UTR|SIN|IND|NOM//conj//1 för//PP//case//7 utbildning//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//9 föreningsutveckling//NN|UTR|SIN|IND|NOM//conj//7 på//PP//case//13 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 Orienteringsförbundet//NN|NEU|SIN|DEF|NOM//nmod//13 JAN//PM|NOM//nmod//9 LINDROTH//PM|NOM//conj//1  //_SP////14 ,//MID//punct//18  //_SP////16 professor//NN|UTR|SIN|IND|NOM//conj//1 i//PP//case//20 idrottshistoria//NN|UTR|SIN|IND|NOM//nmod//18 vid//PP//case//23 Stockholms//PM|GEN//nmod:poss//23 universitet//NN|NEU|SIN|IND|NOM//nmod//18
KERSTIN CARLSSON  ,  chef för Arbetsförmedlingen i Laholm och förbundsordförande i Svenska Orienteringsförbundet, samtalsledare MALIN HANSSON  ,  civilingenjör och ordförande i orienteringsklubben OK Vilse –87 ;GERTRUD//PM|NOM//ROOT//0 ÅSTRÖM//PM|NOM//nsubj//0  //_SP////1 ,//MID//punct//5  //_SP////3 forskare//NN|UTR|PLU|IND|NOM//conj//0 i//PP//case//8 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 historia//NN|UTR|SIN|IND|NOM//nmod//5 vid//PP//case//11 Stockholms//PM|GEN//nmod:poss//11 universitet//NN|NEU|SIN|IND|NOM//nmod//8

Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Ideellt//JJ|POS|NEU|SIN|IND|NOM//amod//1 ledarskap//NN|NEU|SIN|IND|NOM//ROOT//1 ,//MID//punct//1 vad//HP|NEU|SIN|IND//nsubj//4 har//VB|PRS|AKT//acl:relcl//1 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//4 för//PP//case//7 traditioner//NN|UTR|PLU|IND|NOM//obl//4 ,//MID//punct//1 och//KN//cc//11 hur//HA//advmod//11 passar//VB|PRS|AKT//conj//1 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//11 in//PL//compound:prt//11 i//PP//case//18 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 och//KN//cc//17 morgondagens//NN|UTR|SIN|DEF|GEN//conj//15 samhälle//NN|NEU|SIN|IND|NOM//obl//11 ?//MID//punct//1
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Är//VB|PRS|AKT//cop//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 kanske//AB//advmod//20 så//AB//mark//27 att//SN//mark//27 idrottsledaren//NN|UTR|SIN|DEF|NOM//nsubj//27 har//VB|PRS|AKT//aux//27 levt//VB|SUP|AKT//advcl//20 ut//PL//compound:prt//27 sin//PS|UTR|SIN|DEF//nmod:poss//30 roll//NN|UTR|SIN|IND|NOM//obj//27 ?//MID//punct//27
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Kerstin//PM|NOM//nsubj//45 Carlsson//PM|NOM//flat:name//32 ,//MID//punct//35 chef//NN|UTR|SIN|IND|NOM//conj//32 för//PP//case//37 Arbetsförmedlingen//PM|NOM//nmod//35 i//PP//case//39 Laholm//PM|NOM//nmod//37 och//KN//cc//41 förbundsordförande//NN|UTR|SIN|IND|NOM//conj//39 i//PP//case//44 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 Orienteringsförbundet//NN|NEU|SIN|DEF|NOM//nmod//41 samlade//VB|PRT|AKT//conj//20 till//PP//case//48 ett//DT|NEU|SIN|IND//det//48 samtal//NN|NEU|SIN|IND|NOM//obl//45 på//PP//case//51 Nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 museet//NN|NEU|SIN|DEF|NOM//nmod//48 i//PP//case//53 Stockholm//PM|NOM//nmod//51 den//DT|UTR|SIN|DEF//det//56 26//RG|NOM//nummod//56 maj//NN|UTR|SIN|IND|NOM//obl//45 1999//RG|NOM//nummod//56 .//MAD//punct//20
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Där//AB//advmod//1 skärskådades//VB|PRT|SFO//ROOT//1 det//DT|NEU|SIN|DEF//det//4 ideella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 ledarskapet//NN|NEU|SIN|DEF|NOM//nsubj:pass//1 inom//PP//case//6 idrottsrörelsen//NN|UTR|SIN|DEF|NOM//obl//1 från//PP//case//9 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 håll//NN|NEU|PLU|IND|NOM//nmod//6 .//MAD//punct//1
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Nära//AB|POS//advmod//12 förknippad//PC|PRF|UTR|SIN|IND|NOM//conj//1 med//PP//case//14 idrottsledaren//NN|UTR|SIN|DEF|NOM//obl//12 är//VB|PRS|AKT//cop//16 barnen//NN|NEU|PLU|DEF|NOM//nsubj//1 ,//MID//punct//18 ungdomarna//NN|UTR|PLU|DEF|NOM//conj//16 och//KN//cc//20 föräldrarna//NN|UTR|PLU|DEF|NOM//conj//16 .//MAD//punct//1
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Hur//HA//advmod//26 har//VB|PRS|AKT//aux//26 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//25 roll//NN|UTR|SIN|IND|NOM//nsubj:pass//26 förändrats//VB|SUP|SFO//parataxis//1 genom//PP//case//28 tiderna//NN|UTR|PLU|DEF|NOM//obl//26 ?//MID//punct//1
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Den//DT|UTR|SIN|DEF//det//32 eviga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 frågan//NN|UTR|SIN|DEF|NOM//nsubj//37 inom//PP//case//35 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 föreningar//NN|UTR|PLU|IND|NOM//nmod//32 är//VB|PRS|AKT//cop//37 ekonomin//NN|UTR|SIN|DEF|NOM//parataxis//1 .//MAD//punct//1
Ideellt ledarskap i framtiden, främst inom idrottsrörelsen;Hur//HA//advmod//40 påverkas//VB|PRS|SFO//parataxis//1 ledarskapet//NN|NEU|SIN|DEF|NOM//nsubj:pass//40 av//PP//case//45 en//DT|UTR|SIN|IND//det//45 kärv//JJ|POS|UTR|SIN|IND|NOM//amod//45 ekonomi//NN|UTR|SIN|IND|NOM//nmod//41 ?//MID//punct//1
