Grid Issues for Electricity Production;Stockholm//PM|NOM//ROOT//0 2008//RG|NOM//nummod//0

Preface;Stockholm//PM|NOM//ROOT//0 ,//MID//punct//2 November//PM|NOM//conj//0 2007//RG|NOM//nummod//2


1.1 Introduction;Source//PM|NOM//ROOT//0 ://MID//punct//0
1.1 Introduction;REE//PM|NOM//appos//0
1.1 Introduction;Source//PM|NOM//ROOT//0 ://MID//punct//0
1.1 Introduction;AEE//PM|NOM//appos//0
1.1 Introduction;Source//PM|NOM//ROOT//0 ://MID//punct//0
1.1 Introduction;REE//PM|NOM//appos//0 ,//MID//punct//4 March//PM|NOM//conj//2 2007//RG|NOM//nummod//4 gardening//NN|UTR|SIN|IND|NOM//conj//2
1.1 Introduction;Hydro//PM|NOM//nmod//1 power//PM|NOM//ROOT//1 10//RG|NOM//nummod//3 b.8//RG|NOM//obj//1
1.1 Introduction;First//PM|NOM//ROOT//0
1.1 Introduction;Thereafter//NN|UTR|PLU|IND|NOM//ROOT//0
1.1 Introduction;First//PM|NOM//ROOT//0
1.1 Introduction;Thereafter//NN|UTR|PLU|IND|NOM//ROOT//0
1.1 Introduction;First//PM|NOM//ROOT//0
1.1 Introduction;Thereafter//NN|UTR|PLU|IND|NOM//ROOT//0
1.1 Introduction;First//PM|NOM//ROOT//0
1.1 Introduction;Thereafter//NN|UTR|PLU|IND|NOM//ROOT//0
1.1 Introduction;First//PM|NOM//ROOT//0
1.1 Introduction;Thereafter//NN|UTR|PLU|IND|NOM//amod//6 1.3.2//RG|NOM//fixed//0 Permitting//NN|UTR|SIN|IND|NOM//conj//0 Entities//PM|NOM//flat//2 1.4.1//RG|NOM//conj//2 Available//UO//amod//6 capacity//UO//ROOT//6
1.1 Introduction;Substation//NN|UTR|SIN|IND|NOM//nmod//1 Substation//NN|UTR|SIN|IND|NOM//ROOT//1
1.1 Introduction;Wind//PM|NOM//ROOT//0 farm//PM|NOM//flat:name//0
1.1 Introduction;Substation//NN|UTR|SIN|IND|NOM//ROOT//0 132//RG|NOM//nummod//2 kW//NN|AN//nmod//0 ,//MID//punct//2 20//RG|NOM//nummod//5 MW//NN|AN//obl//6 20//RG|NOM//nummod//2 km//NN|AN//case//8 1.6.1//RG|NOM//nmod//2 Net-metering//NN|UTR|SIN|IND|NOM//nummod//0
1.1 Introduction;Measurement//UO//amod//1 equipment//UO//ROOT//1 production//UO//obj//1
1.1 Introduction;Connection//UO//ROOT//0 point//UO//nmod//0
1.1 Introduction;Measurement//UO//amod//1 equipment//UO//ROOT//1 consumption//UO//obj//1
1.1 Introduction;Consumption//NN|UTR|SIN|IND|NOM//nmod//1 1.6.2//RG|NOM//compound//2 Hourly//UO//ROOT//2 measurement//PM|NOM//amod//4 1.6.3//RG|NOM//nmod//6 Measurement//UO//nmod//6 costs//UO//appos//2


1.9 Conclusions Spain;Tariff//UO//ROOT//0 Structure//UO//flat//0
1.9 Conclusions Spain;Network//UO//ROOT//0 connection//UO//nmod//2 costs//UO//conj//0
1.9 Conclusions Spain;Metering//NN|UTR|SIN|IND|NOM//ROOT//0
1.9 Conclusions Spain;Network//PM|NOM//compound//1 Concessions//PM|NOM//ROOT//1
1.9 Conclusions Spain;Network//PM|NOM//compound//1 Connection//PM|NOM//compound//2 Procedures//PM|NOM//ROOT//2
1.9 Conclusions Spain;Technical//UO//amod//1 requirements//UO//ROOT//1


2.1 Introduction;Source//PM|NOM//ROOT//0 ://MID//punct//0
2.1 Introduction;REN//NN|AN//nmod//7 2.2.1//RG|NOM//nmod//4 Wind//PM|NOM//nsubj//2 Power//PM|NOM//flat:name//4 2.2.2//RG|NOM//conj//2 Solar//PM|NOM//parataxis//0 Power//PM|NOM//flat:name//7 2.2.3//RG|NOM//conj//7 Biomass//NN|UTR|SIN|IND|NOM//conj//7 2.2.4//RG|NOM//conj//7 Hydropower//PM|NOM//nmod//13 2.3.1//RG|NOM//conj//7 Permitting//PM|NOM//conj//7 Entities//PM|NOM//conj//7 2.4.1//RG|NOM//nmod//18 Available//PM|NOM//amod//18 Capacity//PM|NOM//obj//7


2.9 Conclusions Portugal;Tariff//UO//ROOT//0 Structure//UO//flat//0
2.9 Conclusions Portugal;Network//UO//ROOT//0 connection//UO//nmod//2 costs//UO//conj//0
2.9 Conclusions Portugal;Network//PM|NOM//compound//1 Concessions//PM|NOM//ROOT//1
2.9 Conclusions Portugal;Metering//NN|UTR|SIN|IND|NOM//ROOT//0
2.9 Conclusions Portugal;Network//PM|NOM//compound//1 Connection//PM|NOM//compound//2 Procedures//PM|NOM//ROOT//2
2.9 Conclusions Portugal;Technical//UO//amod//1 requirements//UO//ROOT//1


3.1 Introduction;•//PP//case//1 E.on-Netz//PM|NOM//ROOT//1
3.1 Introduction;Onshore//PM|NOM//ROOT//0 Wind//PM|NOM//flat//0 Power//PM|NOM//flat:name//1
3.1 Introduction;Offshore//PM|NOM//nmod//1 Wind//PM|NOM//ROOT//1 Power//PM|NOM//flat:name//1
3.1 Introduction;Categories//PM|NOM//ROOT//0 ://MAD//punct//0
3.1 Introduction;Article//PM|NOM//ROOT//0 4//RG|NOM//nummod//0
3.1 Introduction;Source//PM|NOM//ROOT//0 ://MID//punct//0
