Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//8 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//7 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//5 författningsregleras//VB|PRS|SFO//ccomp//2 och//KN//cc//10 anpassas//VB|INF|SFO//conj//8 till//PP//case//12 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//10 i//PP//case//14 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//12 (//PAD//punct//8 1998:204//RG|NOM//conj//8 )//PAD//punct//8 .//MAD//punct//2
Inledning;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//20 utgår//VB|PRS|AKT//parataxis//2 från//PP//case//23 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 tillämpningsområde//NN|NEU|SIN|IND|NOM//obl//20 ,//MID//punct//25 begrepp//NN|NEU|SIN|IND|NOM//conj//23 och//KN//cc//27 terminologi//NN|UTR|SIN|IND|NOM//conj//23 och//KN//cc//31 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//31 har//VB|PRS|AKT//aux//31 utformats//VB|SUP|SFO//conj//20 så//AB//mark//35 att//SN//fixed//32 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//35 anger//VB|PRS|AKT//advcl//31 de//DT|UTR/NEU|PLU|DEF//det//37 undantag//NN|NEU|PLU|IND|NOM//obj//35 och//KN//cc//39 preciseringar//NN|UTR|PLU|IND|NOM//conj//37 i//PP//case//43 förhållande//NN|NEU|SIN|IND|NOM//fixed//40 till//PP//fixed//40 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//39 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//cop//46 motiverade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//43 .//MAD//punct//20
Inledning;Lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//49 föreslås//VB|PRS|SFO//parataxis//20 få//VB|INF|AKT//xcomp//49 namnet//NN|NEU|SIN|DEF|NOM//nmod//52 lag//NN|UTR|SIN|IND|NOM//obj//50 om//PP//case//54 behandling//NN|UTR|SIN|IND|NOM//nmod//52 av//PP//case//56 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//54 inom//PP//case//58 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//54 (//PAD//punct//52 avsnitten//NN|NEU|PLU|DEF|NOM//nmod//61 6.1.1//RG|NOM//appos//52 –//NN|AN//punct//63 6.1.4//RG|NOM//conj//61 )//PAD//punct//61 .//MAD//punct//20
Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 vidare//AB|KOM//advmod//2 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 ändringar//NN|UTR|PLU|IND|NOM//obj//2 i//PP//case//7 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//9 1980:620//RG|NOM//appos//7 )//PAD//punct//2 .//MAD//punct//2
Inledning;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//8 med//PP//case//4 den//DT|UTR|SIN|DEF//det//4 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//4 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//8 inte//AB//advmod//5 att//IE//mark//8 utvidga//VB|INF|AKT//ROOT//8 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 möjligheter//NN|UTR|PLU|IND|NOM//obj//8 att//IE//mark//13 registrera//VB|INF|AKT//acl//11 uppgifter//NN|UTR|PLU|IND|NOM//obj//13 om//PP//case//16 medborgarna//NN|UTR|PLU|DEF|NOM//obl//13 .//MAD//punct//8
Inledning;Huruvida//SN//mark//25 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//25 i//PP//case//23 det//DT|NEU|SIN|DEF//det//23 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 fallet//NN|NEU|SIN|DEF|NOM//nmod//19 skall//VB|PRS|AKT//aux//25 samlas//VB|INF|SFO//conj//8 in//PL//compound:prt//25 eller//KN//cc//28 lämnas//VB|INF|SFO//conj//25 ut//PL//compound:prt//28 avgörs//VB|PRS|SFO//conj//25 av//PP//case//33 annan//JJ|POS|UTR|SIN|IND|NOM//amod//33 lagstiftning//NN|UTR|SIN|IND|NOM//obl:agent//30 och//KN//cc//37 inte//AB//advmod//37 av//PP//case//37 person//NN|UTR|SIN|IND|NOM//nmod//38 uppgiftslagen//NN|UTR|SIN|DEF|NOM//conj//33 eller//KN//cc//43 av//PP//case//43 den//DT|UTR|SIN|DEF//det//43 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//43 lagstiftningen//NN|UTR|SIN|DEF|NOM//conj//38 .//MAD//punct//25
Inledning;Avsikten//NN|UTR|SIN|DEF|NOM//appos//25 med//PP//case//48 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//48 förslag//NN|NEU|SIN|IND|NOM//nmod//45 är//VB|PRS|AKT//cop//45 bl.a.//AB|AN//advmod//49 att//IE//mark//52 anpassa//VB|INF|AKT//acl//45 de//DT|UTR/NEU|PLU|DEF//det//54 regler//NN|UTR|PLU|IND|NOM//obj//52 som//HP|-|-|-//nsubj//56 styr//VB|PRS|AKT//acl:relcl//54 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//56 för//PP//advmod//56 när//HA//mark//62 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//62 får//VB|PRS|AKT//aux//62 behandlas//VB|INF|SFO//advcl//56 inom//PP//case//64 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//62 så//SN//mark//69 att//SN//fixed//65 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//69 inte//AB//advmod//69 hindrar//VB|PRS|AKT//advcl//62 att//SN//mark//73 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//73 får//VB|PRS|AKT//aux//73 behandlas//VB|INF|SFO//ccomp//69 när//HA//mark//76 så//AB//advmod//76 krävs//VB|PRS|SFO//advcl//73 för//PP//mark//82 att//SN//mark//82 socialtjänsten//NN|UTR|SIN|DEF|NOM//nsubj//82 skall//VB|PRS|AKT//aux//82 kunna//VB|INF|AKT//aux//82 fullgöra//VB|INF|AKT//advcl//76 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//84 arbetsuppgifter//NN|UTR|PLU|IND|NOM//obj//82 .//MAD//punct//8

Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Den//DT|UTR|SIN|DEF//det//2 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 skall//VB|PRS|AKT//aux//4 tillämpas//VB|INF|SFO//ROOT//4 vid//PP//case//6 behandling//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//9 person//NN|UTR|SIN|IND|NOM//amod//9 uppgifter//NN|UTR|PLU|IND|NOM//nmod//6 inom//PP//case//11 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//6 .//MAD//punct//4
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 generellt//JJ|POS|NEU|SIN|IND|NOM//advmod//3 t//NN|NEU|SIN|IND|NOM//ROOT//3 illämplig//JJ|POS|UTR|SIN|IND|NOM//amod//3 på//PP//case//6 behandling//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//8 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//6 och//KN//cc//10 anger//VB|PRS|AKT//conj//3 de//PN|UTR/NEU|PLU|DEF|SUB//det//12 begränsningar//NN|UTR|PLU|IND|NOM//obj//10 i//PP//mark//17 fråga//NN|UTR|SIN|IND|NOM//fixed//13 om//PP//fixed//13 att//IE//mark//17 behandla//VB|INF|AKT//advcl//10 personuppgifter//NN|UTR|PLU|IND|NOM//obj//17 som//HP|-|-|-//nsubj:pass//21 kan//VB|PRS|AKT//aux//21 anses//VB|INF|SFO//acl:relcl//18 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//21 för//PP//mark//25 att//IE//mark//25 skydda//VB|INF|AKT//advcl//21 den//DT|UTR|SIN|DEF//det//28 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 integriteten//NN|UTR|SIN|DEF|NOM//obj//25 .//MAD//punct//10
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Att//SN//mark//33 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nsubj//33 är//VB|PRS|AKT//cop//33 generell//JJ|POS|UTR|SIN|IND|NOM//ccomp//10 innebär//VB|PRS|AKT//xcomp//10 att//SN//mark//38 lagen//NN|UTR|SIN|DEF|NOM//nsubj//38 är//VB|PRS|AKT//cop//38 tillämplig//JJ|POS|UTR|SIN|IND|NOM//ccomp//34 vid//PP//case//40 behandling//NN|UTR|SIN|IND|NOM//obl//38 av//PP//case//43 person//NN|UTR|SIN|IND|NOM//amod//43 uppgifter//NN|UTR|PLU|IND|NOM//nmod//40 inom//PP//case//45 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//40 ,//MID//punct//51 om//SN//mark//51 inte//AB//advmod//51 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//50 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//51 meddelas//VB|PRS|SFO//advcl//38 som//HP|-|-|-//mark//53 avviker//VB|PRS|AKT//xcomp//51 från//PP//case//55 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//obl//53 .//MAD//punct//3
