Populärkulturens makt och medborgarrollens förändring;Li//PM|NOM//ROOT//0 Bennich-Björkman//PM|NOM//obj//0

Vad skall demokratin med kulturen till?;”//PAD//punct//6 Politik//NN|UTR|SIN|IND|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 ju//AB//advmod//6 inte//AB//advmod//6 bara//AB//advmod//6 prat//NN|NEU|SIN|IND|NOM//ROOT//6 eller//KN//cc//8 program//NN|NEU|SIN|IND|NOM//conj//6 ”//PAD//punct//6 ,//MID//punct//11 sa//VB|PRT|AKT//parataxis//6 Olof//PM|NOM//nsubj//11 Johansson//PM|NOM//flat:name//12 den//DT|UTR|SIN|DEF//det//16 där//AB//fixed//14 eftermiddagen//NN|UTR|SIN|DEF|NOM//obj//11 i//PP//case//18 oktober//NN|UTR|SIN|IND|NOM//nmod//16 förra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 året//NN|NEU|SIN|DEF|NOM//nmod//16 .//MAD//punct//11 ”//PM|NOM//punct//26
Vad skall demokratin med kulturen till?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 är//VB|PRS|AKT//cop//26 också//AB//advmod//26 ansvar//NN|NEU|SIN|IND|NOM//parataxis//11 och//KN//cc//28 handling//NN|UTR|SIN|IND|NOM//conj//26 ,//MID//punct//32 och//KN//cc//32 handling//NN|UTR|SIN|IND|NOM//nsubj//32 ljuger//VB|PRS|AKT//conj//26 inte//AB//advmod//32 ”//RG|NOM//punct//32 .//MAD//punct//36
Vad skall demokratin med kulturen till?;Tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//26 än//KN//case//38 Martinsson//PM|NOM//obl//36 ,//MID//punct//40 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//36 än//KN//case//43 en//DT|UTR|SIN|IND//det//43 dansbandstext//NN|UTR|SIN|IND|NOM//nmod//40 ,//MID//punct//45 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//36 än//KN//case//47 Palme//PM|NOM//nmod//45 och//KN//cc//49 Daléus//PM|NOM//conj//47 tillsammans//AB//advmod//45 .//MAD//punct//36
Vad skall demokratin med kulturen till?;Jag//PN|UTR|SIN|DEF|SUB//nsubj//55 kunde//VB|PRT|AKT//aux//55 inte//AB//advmod//55 sagt//VB|SUP|AKT//conj//36 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//55 bättre//AB|KOM//advmod//55 själv//JJ|POS|UTR|SIN|IND|NOM//advmod//55 .//MAD//punct//55
Vad skall demokratin med kulturen till?;(//PAD//punct//67 Boije//PM|NOM//nmod//67 af//PP//nummod//63 Gennäs//PM|NOM//nmod//61 .//MAD//punct//61
Vad skall demokratin med kulturen till?;1998//RG|NOM//nmod//61 ,//MID//punct//65 85//RG|NOM//conj//26 )//PAD//punct//26
Vad skall demokratin med kulturen till?;Orden//NN|NEU|PLU|DEF|NOM//obj//24 är//VB|PRS|AKT//cop//24 Louise//PM|NOM//nsubj//24 Boije//PM|NOM//flat//2 af//PP//nummod//5 Gennäs//PM|NOM//nmod//2 ,//MID//punct//7 författare//NN|UTR|SIN|IND|NOM//appos//2 till//PP//case//11 något//DT|NEU|SIN|IND//det//11 så//AB//advmod//11 ovanligt//JJ|POS|NEU|SIN|IND|NOM//nmod//7 som//KN//case//15 en//DT|UTR|SIN|IND//det//15 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//15 samtidsroman//NN|UTR|SIN|IND|NOM//nmod//7 med//PP//case//18 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 förtecken//NN|NEU|PLU|IND|NOM//nmod//15 .//MAD//punct//2
Vad skall demokratin med kulturen till?;I//PP//case//22 Rent//JJ|POS|NEU|SIN|IND|NOM//amod//22 Hus//NN|NEU|SIN|IND|NOM//obl//24  //_SP////22 står//VB|PRS|AKT//ROOT//24 Siri//PM|NOM//nsubj//24 ,//MID//punct//24 som//HP|-|-|-//nsubj//28 städar//VB|PRS|AKT//conj//24 riksdagshuset//NN|NEU|SIN|DEF|NOM//obj//28 och//KN//cc//33 en//DT|UTR|SIN|IND//det//32 dag//NN|UTR|SIN|IND|NOM//obl//33 gör//VB|PRS|AKT//conj//28 rent//JJ|POS|NEU|SIN|IND|NOM//amod//35 hus//NN|NEU|SIN|IND|NOM//obj//33 på//PP//case//37 riktigt//AB//advmod//33 ,//MID//punct//33 i//PP//case//40 centrum//NN|NEU|SIN|DEF|NOM//obl//33 för//PP//case//43 en//DT|UTR|SIN|IND//det//43 berättelse//NN|UTR|SIN|IND|NOM//nmod//40 kring//PP//case//46 politikernas//NN|UTR|PLU|DEF|GEN//nmod:poss//46 främlingskap//NN|NEU|SIN|IND|NOM//nmod//43 inför//PP//case//49 det//DT|NEU|SIN|DEF//det//49 samhälle//NN|NEU|SIN|IND|NOM//nmod//46 ,//MID//punct//52 de//DT|UTR/NEU|PLU|DEF//det//52 människor//NN|UTR|PLU|IND|NOM//appos//28 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//55 är//VB|PRS|AKT//cop//55 valda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//52 att//IE//mark//57 representera//VB|INF|AKT//advcl//55 .//MAD//punct//24
Vad skall demokratin med kulturen till?;Siri//PM|NOM//nsubj//60 konstaterar//VB|PRS|AKT//parataxis//24 att//SN//mark//69 ”//PM|NOM//punct//63 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//69 som//HP|-|-|-//nsubj//66 inte//AB//advmod//66 lidit//VB|SUP|AKT//acl:relcl//63 kan//VB|PRS|AKT//aux//69 inte//AB//advmod//69 förstå//VB|INF|AKT//ccomp//60 .//MAD//punct//60
