Statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 bemyndigade//VB|PRT|AKT//ROOT//1 genom//PP//case//3 beslut//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//6 21//RG|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//obl//1 2000//RG|NOM//nummod//6 det//DT|NEU|SIN|DEF//det//9 statsråd//NN|NEU|SIN|IND|NOM//obl//1 som//HP|-|-|-//nsubj//11 ansvarar//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 frågor//NN|UTR|PLU|IND|NOM//obl//11 om//PP//case//16 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//16 ekonomi//NN|UTR|SIN|IND|NOM//nmod//13 att//IE//mark//18 tillkalla//VB|INF|AKT//acl//16 en//DT|UTR|SIN|IND//det//21 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//21 utredare//NN|UTR|SIN|IND|NOM//obj//18 med//PP//case//23 uppdrag//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//25 utreda//VB|INF|AKT//acl//23 frågan//NN|UTR|SIN|DEF|NOM//obj//25 om//PP//case//28 kontroll//NN|UTR|SIN|IND|NOM//nmod//26 och//KN//cc//30 omprövning//NN|UTR|SIN|IND|NOM//conj//28 av//PP//case//32 beslut//NN|NEU|SIN|IND|NOM//nmod//30 om//PP//case//34 utbetalning//NN|UTR|SIN|IND|NOM//obl//25 i//PP//case//36 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//34 .//MAD//punct//1
Statsrådet Lars-Erik Lövdén ;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//5 av//PP//case//4 detta//DT|NEU|SIN|DEF//det//4 bemyndigande//NN|NEU|SIN|IND|NOM//acl//1 förordnades//VB|PRT|SFO//ROOT//5 samma//DT|UTR/NEU|SIN/PLU|IND//det//8 dag//NN|UTR|SIN|IND|NOM//fixed//6 regeringsrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Karin//PM|NOM//nsubj//5 Almgren//PM|NOM//flat:name//9 att//IE//mark//14 vara//VB|INF|AKT//cop//14 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//14 utredare//NN|UTR|SIN|IND|NOM//xcomp//5 .//MAD//punct//5
Statsrådet Lars-Erik Lövdén ;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 från//PP//case//6 den//DT|UTR|SIN|DEF//det//6 31//RG|NOM//nummod//6 januari//NN|UTR|SIN|IND|NOM//obl//2 2001//RG|NOM//nummod//6 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//9 Marika//PM|NOM//nsubj//2 Dagenbrink//PM|NOM//flat//9 ,//MID//punct//12 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//12 regionskattechefen//NN|UTR|SIN|DEF|NOM//nmod//15 Kjell//PM|NOM//conj//9 Dahlström//PM|NOM//flat:name//15 ,//MID//punct//18 Skattemyndigheten//NN|UTR|SIN|DEF|NOM//conj//9 i//PP//case//20 Växjö//PM|NOM//nmod//18 ,//MID//punct//22 ekonomen//NN|UTR|SIN|DEF|NOM//nmod//23 Anders//PM|NOM//nmod//18 Hedberg//PM|NOM//flat//23 ,//MID//punct//26 Landstingsförbundet//PM|NOM//conj//23 ,//MID//punct//29 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//29 Kjell//PM|NOM//conj//23 Olsson//PM|NOM//flat//29 ,//MID//punct//32 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//23 samt//KN//cc//35 skattekonsulten//NN|UTR|SIN|DEF|NOM//nmod//35 Ronnie//PM|NOM//conj//23 Peterson//PM|NOM//flat//35 ,//MID//punct//39 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 Kommunförbundet//NN|NEU|SIN|DEF|NOM//conj//23 .//MAD//punct//2
Statsrådet Lars-Erik Lövdén ;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 från//PP//case//8 den//DT|UTR|SIN|DEF//det//8 17//RG|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//obl//4 2001//RG|NOM//nummod//8 tf//NN|AN//nmod//8 .//MAD//punct//8
Statsrådet Lars-Erik Lövdén ;kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//appos//8 Susanna//PM|NOM//nsubj//12 Pohl//PM|NOM//flat//13 .//MAD//punct//4
Statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//6 kontroll//NN|UTR|SIN|IND|NOM//nmod//4 i//PP//case//8 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//6 .//MAD//punct//2
Statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//5 Kontroll//NN|UTR|SIN|IND|NOM//obj//3 i//PP//case//7 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//5 (//PAD//punct//5 SOU//PM|NOM//appos//5 2001:50//RG|NOM//nmod//9 )//PAD//punct//5 .//MAD//punct//3
Statsrådet Lars-Erik Lövdén ;Särskilt//AB//advmod//1 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//3 har//VB|PRS|AKT//aux//3 avgivits//VB|SUP|SFO//ROOT//3 av//PP//case//5 Ronnie//PM|NOM//obl:agent//3 Peterson//PM|NOM//flat//5 och//KN//cc//9 Anders//PM|NOM//nmod//9 Hedberg//PM|NOM//conj//5 .//MAD//punct//3
Statsrådet Lars-Erik Lövdén ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2001//RG|NOM//nummod//2
Statsrådet Lars-Erik Lövdén ;Karin//PM|NOM//ROOT//0 Almgren//PM|NOM//flat:name//0 ///MID//cc//3 Susanna//PM|NOM//conj//0 Pohl//PM|NOM//flat//3


1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;dels//KN//advmod//10  //_SP////0 att//SN//mark//10 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 8//RG|NOM//nummod//7 och//KN//cc//4 9//RG|NOM//nummod//4 §//NN|AN//nmod//8 §//NN|AN//nsubj:pass//10 skall//VB|PRS|AKT//aux//10 betecknas//VB|INF|SFO//ROOT//10 11//RG|NOM//nummod//14 respektive//AB//fixed//11 21//RG|NOM//nummod//14 §//NN|AN//nmod//15 §//NN|AN//obl//10 ,//MID//punct//31 dels//KN//mark//31  //_SP////17 att//SN//mark//31 5//RG|NOM//nummod//21 §//NN|AN//nsubj//31 samt//KN//cc//25 de//DT|UTR/NEU|PLU|DEF//det//25 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 11//RG|NOM//nummod//21 och//KN//cc//25 21//RG|NOM//nummod//28 §//NN|AN//nmod//29 §//NN|AN//nmod//25 skall//VB|PRS|AKT//aux//31 ha//VB|INF|AKT//advcl//10 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 lydelse//NN|UTR|SIN|IND|NOM//obj//31 ,//MID//punct//31 dels//KN//advmod//44  //_SP////35 att//SN//mark//44 rubriken//NN|UTR|SIN|DEF|NOM//nsubj:pass//44 närmast//AB|SUV//advmod//44 före//PP//case//42 9//RG|NOM//nummod//42 §//NN|AN//obl//44 skall//VB|PRS|AKT//aux//44 sättas//VB|INF|SFO//conj//31 närmast//AB|SUV//advmod//44 före//PP//case//50 den//DT|UTR|SIN|DEF//det//50 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 21//RG|NOM//nummod//50 §//NN|AN//obl//44 ,//MID//punct//31 dels//KN//advmod//59  //_SP////52 att//SN//mark//59 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//59 i//PP//case//57 lagen//NN|UTR|SIN|DEF|NOM//obl//59 skall//VB|PRS|AKT//aux//59 införas//VB|INF|SFO//conj//10 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 paragrafer//NN|UTR|PLU|IND|NOM//nsubj:pass//59 ,//MID//punct//61 8–10//NN|UTR|SIN|IND|NOM//appos//61 ,//MID//punct//65 12–20//RG|NOM//conj//63 ,//MID//punct//65 22//RG|NOM//nummod//63 och//KN//cc//67 23//RG|NOM//nummod//70 §//NN|AN//nmod//71 §//NN|AN//nmod//63 ,//MID//punct//61 samt//KN//cc//76 närmast//AB|SUV//advmod//76 före//PP//case//76 8//RG|NOM//nummod//93 ,//MID//punct//76 9//RG|NOM//nummod//76 ,//MID//punct//76 10//RG|NOM//nummod//76 ,//MID//punct//76 11//RG|NOM//nummod//76 ,//MID//punct//82 12//RG|NOM//nmod//76 ,//MID//punct//76 14//RG|NOM//nummod//76 ,//MID//punct//88 18//RG|NOM//nmod//76 ,//MID//punct//90 19//RG|NOM//conj//76 och//KN//cc//76 23//RG|NOM//nummod//76 §//NN|AN//nmod//94 §//NN|AN//nmod//96 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 rubriker//NN|UTR|PLU|IND|NOM//obl//59 av//PP//case//99 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//99 lydelse//NN|UTR|SIN|IND|NOM//nmod//96 .//MAD//punct//10
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Vad//HP|NEU|SIN|IND//dislocated//2 som//HP|-|-|-//nsubj:pass//2 anges//VB|PRS|SFO//advcl//6 i//PP//case//5 andra//RO|NOM//amod//5 stycket//NN|NEU|SIN|DEF|NOM//obl//2 gäller//VB|PRS|AKT//ROOT//6 även//AB//advmod//6 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//9 regionförbund//NN|NEU|SIN|IND|NOM//nsubj//6 som//HP|-|-|-//nsubj:pass//11 avses//VB|PRS|SFO//acl:relcl//9 i//PP//case//13 lagen//NN|UTR|SIN|DEF|NOM//obl//11 (//PAD//punct//15 1996:1415//RG|NOM//appos//13 )//PAD//punct//15 om//PP//case//18 försöksverksamhet//NN|UTR|SIN|IND|NOM//obl//11 med//PP//case//20 regionförbund//NN|NEU|PLU|IND|NOM//nmod//18 i//PP//case//22 Kalmar//PM|NOM//nmod//20 län//NN|NEU|SIN|IND|NOM//nmod//18 och//KN//cc//25 Skåne//PM|NOM//conj//23 län//NN|NEU|PLU|IND|NOM//conj//23 .//MAD//punct//6
