Remiss;2003-07-01//RG|NOM//nummod//1 Fi2003/2951//NN|UTR|PLU|IND|NOM//ROOT//1

Finansdepartementet;Bostadsenheten//NN|UTR|SIN|DEF|NOM//ROOT//0
Finansdepartementet;Ola//PM|NOM//ROOT//0 Göransson//PM|NOM//flat:name//0
Finansdepartementet;Telefon//NN|UTR|SIN|IND|NOM//nmod//1 08-405//RG|NOM//nmod//2 4494//RG|NOM//ROOT//2
Finansdepartementet;Telefax//NN|UTR|SIN|IND|NOM//advmod//3 08-20//RG|NOM//nummod//2 61//RG|NOM//nmod//3 96//RG|NOM//ROOT//3
Finansdepartementet;E-post//NN|UTR|SIN|IND|NOM//ROOT//0  //_SP////0 ola//PM|NOM//conj//0  //_SP////2 goransson@finance//NN|AN//nmod//2 ,//MID//punct//6 ministry.se//RG|NOM//conj//4


Remissinstanser:;1//RG|NOM//discourse//4 .//MAD//punct//0
Remissinstanser:;Riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 ombudsmän//NN|UTR|PLU|IND|NOM//nmod//4 JO//NN|AN//ROOT//4
Remissinstanser:;2//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Svea//PM|GEN//nmod:poss//3 hovrätt//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;3//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Kammarrätten//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//4 Stockholm//PM|NOM//nmod//2
Remissinstanser:;4//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsrätten//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//6 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 Götalands//PM|GEN//nmod:poss//6 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;5//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsrätten//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Östergötlands//PM|GEN//nmod:poss//5 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;6//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Hyresnämnden//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//4 Malmö//PM|NOM//nmod//2
Remissinstanser:;7//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Statskontoret//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;8//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Konsumentverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;9//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Boverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;10//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Konkurrensverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;11//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Stockholms//PM|GEN//nmod:poss//5 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;12//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Södermanlands//PM|GEN//nmod:poss//5 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;13//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//4 Skåne//PM|NOM//nmod//2 län//NN|NEU|SIN|IND|NOM//conj//2
Remissinstanser:;14//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//6 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 Götalands//PM|GEN//nmod:poss//6 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;15//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Jämtlands//PM|GEN//nmod:poss//5 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;16//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Västerbottens//PM|GEN//nmod:poss//5 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;17//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Huddinge//PM|GEN//amod//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;18//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Lidingö//PM|GEN//amod//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;19//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Sollentuna//PM|NOM//amod//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;20//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Solna//PM|NOM//amod//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;21//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Stockholms//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;22//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Södertälje//PM|NOM//ROOT//2 kommun//NN|UTR|SIN|IND|NOM//obj//2
Remissinstanser:;23//RG|NOM//discourse//4 .//MAD//punct//0
Remissinstanser:;Upplands//PM|GEN//nmod:poss//4 Väsby//PM|GEN//amod//4 kommun//NN|UTR|SIN|IND|NOM//ROOT//4
Remissinstanser:;24//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Linköpings//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;25//RG|NOM//nummod//2 .//MAD//punct//0
Remissinstanser:;Jönköpings//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;26//RG|NOM//ROOT//0 .//MAD//punct//0
Remissinstanser:;Kalmar//PM|GEN//parataxis//0 kommun//NN|UTR|SIN|IND|NOM//obj//2
Remissinstanser:;27//RG|NOM//nummod//2 .//MID//punct//2
Remissinstanser:;Malmö//PM|NOM//ROOT//2 kommun//NN|UTR|SIN|IND|NOM//conj//2
Remissinstanser:;28//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Trelleborgs//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;29//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Göteborgs//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;30//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Örebro//PM|GEN//amod//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;31//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Söderhamns//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;32//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Örnsköldsviks//PM|GEN//amod//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;33//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Umeå//PM|GEN//ROOT//2 kommun//NN|UTR|SIN|IND|NOM//obj//2
Remissinstanser:;34//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Vindelns//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//ROOT//3
Remissinstanser:;35//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 Kommunförbundet//NN|NEU|SIN|DEF|NOM//ROOT//3
Remissinstanser:;36//RG|NOM//discourse//4 .//MID//punct//0
Remissinstanser:;Sveriges//PM|GEN//nmod:poss//4 Allmännyttiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 Bostadsföretag//NN|NEU|SIN|IND|NOM//ROOT//4 SABO//PM|NOM//flat//4
Remissinstanser:;37//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Fastighetsägarna//NN|UTR|PLU|DEF|NOM//compound//3 Sverige//PM|NOM//ROOT//3
Remissinstanser:;38//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Hyresgästföreningen//NN|UTR|SIN|DEF|NOM//nmod//3 Riksförbundet//NN|NEU|SIN|DEF|NOM//ROOT//3
Remissinstanser:;39//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;HSB//PM|NOM//nmod//3 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//3
Remissinstanser:;40//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Sveriges//PM|GEN//nmod:poss//3 Bostadsrättscentrum//NN|NEU|SIN|IND|NOM//ROOT//3 (//PAD//punct//3 SBC//PM|NOM//appos//3 )//PAD//punct//3
Remissinstanser:;41//RG|NOM//discourse//4 .//MAD//punct//0
Remissinstanser:;Stockholms//PM|GEN//nmod:poss//4 Kooperativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 Bostadsförening//NN|UTR|SIN|IND|NOM//ROOT//4 (//PAD//punct//4 SKB//PM|NOM//appos//4 )//PAD//punct//4
Remissinstanser:;42//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Avdelningen//NN|UTR|SIN|DEF|NOM//ROOT//2 för//PP//case//4 fastighetsvetenskap//NN|UTR|SIN|IND|NOM//nmod//2 ,//MID//punct//6 Institutionen//NN|UTR|SIN|DEF|NOM//conj//2 för//PP//case//8 teknik//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//10 samhälle//NN|NEU|SIN|IND|NOM//conj//8 ,//MID//punct//14 Lunds//PM|GEN//nmod:poss//14 Tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 Högskola//NN|UTR|SIN|IND|NOM//conj//8 (//PAD//punct//14 LTH//PM|NOM//appos//14 )//PAD//punct//14
Remissinstanser:;43//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 institutionen//NN|UTR|SIN|DEF|NOM//ROOT//3 ,//MID//punct//6 Uppsala//PM|GEN//amod//6 universitet//NN|NEU|SIN|IND|NOM//conj//3
Remissinstanser:;Remissvaren//NN|NEU|PLU|DEF|NOM//nsubj//6 i//PP//case//3 5//RG|NOM//nummod//3 exemplar//NN|NEU|PLU|IND|NOM//nmod//0 skall//VB|PRS|AKT//aux//6 vara//VB|INF|AKT//cop//6 inkomna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//6 till//PP//case//8 Finansdepartementet//NN|NEU|SIN|DEF|NOM//obl//6 senast//AB|SUV//case//12 den//DT|UTR|SIN|DEF//det//11 1//RO|NOM//nummod//12 oktober//NN|UTR|SIN|IND|NOM//nmod//8 2003//RG|NOM//nummod//12 .//MAD//punct//6
Remissinstanser:;Ett//PN|NEU|SIN|IND|SUB/OBJ//nsubj:pass//18 av//PP//case//17 exemplaren//NN|NEU|PLU|DEF|NOM//nmod//15 lämnas//VB|PRS|SFO//parataxis//6 via//PP//case//20 e-post//NN|UTR|SIN|IND|NOM//obl//18 till//PP//case//22 registrator@finance.ministry.se//NN|NEU|SIN|IND|NOM//obl//18 .//MAD//punct//18
Remissinstanser:;I//PP//case//1 remissen//NN|UTR|SIN|DEF|NOM//obl//2 ligger//VB|PRS|AKT//ROOT//2 att//SN//mark//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 vill//VB|PRS|AKT//aux//6 ha//VB|INF|AKT//ccomp//2 synpunkter//NN|UTR|PLU|IND|NOM//obj//6 på//PP//case//9 förslagen//NN|NEU|PLU|DEF|NOM//obl//6 eller//KN//cc//11 materialet//NN|NEU|SIN|DEF|NOM//conj//9 i//PP//case//13 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//11 .//MAD//punct//2
Remissinstanser:;Om//SN//mark//18 remissen//NN|UTR|SIN|DEF|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 begränsad//PC|PRF|UTR|SIN|IND|NOM//advcl//26 till//PP//case//22 en//DT|UTR|SIN|IND//det//22 viss//JJ|POS|UTR|SIN|IND|NOM//amod//22 del//NN|UTR|SIN|IND|NOM//obl//18 av//PP//case//24 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//22 ,//MID//punct//26 anges//VB|PRS|SFO//parataxis//2 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//26 inom//PP//case//29 parentes//NN|UTR|SIN|IND|NOM//obl//26 efter//PP//case//32 remissinstansens//NN|UTR|SIN|DEF|GEN//nmod:poss//32 namn//NN|NEU|SIN|IND|NOM//obl//26 i//PP//case//34 remisslistan//NN|UTR|SIN|DEF|NOM//obl//26 .//MAD//punct//2
Remissinstanser:;En//DT|UTR|SIN|IND//det//38 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//38 begränsning//NN|UTR|SIN|IND|NOM//nsubj//39 hindrar//VB|PRS|AKT//parataxis//2 givetvis//AB//advmod//39 inte//AB//advmod//39 att//SN//mark//44 remissinstansen//NN|UTR|SIN|DEF|NOM//nsubj//44 lämnar//VB|PRS|AKT//ccomp//39 synpunkter//NN|UTR|PLU|IND|NOM//obj//44 också//AB//advmod//44 på//PP//case//49 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 delar//NN|UTR|PLU|IND|NOM//obl//44 .//MAD//punct//2
Remissinstanser:;Myndigheter//NN|UTR|PLU|IND|NOM//nsubj//5 under//PP//case//2 regeringen//NN|UTR|SIN|DEF|NOM//nmod//0  //_SP////2 är//VB|PRS|AKT//cop//5 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//5 att//IE//mark//7 svara//VB|INF|AKT//advcl//5 på//PP//case//9 remissen//NN|UTR|SIN|DEF|NOM//obl//7 .//MAD//punct//5
Remissinstanser:;En//DT|UTR|SIN|IND//det//12 myndighet//NN|UTR|SIN|IND|NOM//nsubj//13 avgör//VB|PRS|AKT//parataxis//5 dock//AB//advmod//13 på//PP//case//17 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//17 ansvar//NN|NEU|SIN|IND|NOM//obl//13 om//SN//mark//20 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//20 har//VB|PRS|AKT//advcl//13 några//DT|UTR/NEU|PLU|IND//det//22 synpunkter//NN|UTR|PLU|IND|NOM//obj//20 att//IE//mark//24 redovisa//VB|INF|AKT//acl//22 i//PP//case//27 ett//DT|NEU|SIN|IND//det//27 svar//NN|NEU|SIN|IND|NOM//obl//24 .//MAD//punct//5
Remissinstanser:;Om//SN//mark//32 myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//32 inte//AB//advmod//32 har//VB|PRS|AKT//advcl//5 några//DT|UTR/NEU|PLU|IND//det//34 synpunkter//NN|UTR|PLU|IND|NOM//obj//32 ,//MID//punct//36 räcker//VB|PRS|AKT//conj//5 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//36 att//SN//mark//40 svaret//NN|NEU|SIN|DEF|NOM//nsubj//40 ger//VB|PRS|AKT//ccomp//36 besked//NN|NEU|SIN|IND|NOM//obj//40 om//PP//case//43 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//40 .//MAD//punct//5
Remissinstanser:;För//PP//case//2 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 remissinstanser//NN|UTR|PLU|IND|NOM//obl//4  //_SP////2 innebär//VB|PRS|AKT//ROOT//4 remissen//NN|UTR|SIN|DEF|NOM//nsubj//4 en//DT|UTR|SIN|IND//det//7 inbjudan//NN|UTR|SIN|IND|NOM//obj//4 att//IE//mark//9 lämna//VB|INF|AKT//acl//7 synpunkter//NN|UTR|PLU|IND|NOM//obj//9 .//MAD//punct//4
Remissinstanser:;"Råd//NN|NEU|PLU|IND|NOM//nsubj//5 om//PP//mark//4 hur//HA//advmod//4 remissyttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//4 utformas//VB|PRS|SFO//acl//0 finns//VB|PRS|SFO//ROOT//5 i//PP//case//8 Statsrådsberedningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 broschyr//NN|UTR|SIN|IND|NOM//obl//5 ""//PAD//punct//8 Svara//PM|NOM//appos//8 på//PP//case//12 remiss//NN|UTR|SIN|IND|NOM//nmod//10 .//MAD//punct//8"
Remissinstanser:;"Hur//HA//discourse//21 och//KN//cc//16 varför//HA//conj//14 ?//MID//punct//14 ""//PAD//punct//21"
Remissinstanser:;Broschyren//NN|UTR|SIN|DEF|NOM//nsubj:pass//21 kan//VB|PRS|AKT//aux//21 beställas//VB|INF|SFO//conj//5 från//PP//case//24 Regeringskansliets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 förvaltningsavdelning//NN|UTR|SIN|IND|NOM//obl//21 ,//MID//punct//24 Information//NN|UTR|SIN|IND|NOM//nmod//27 Rosenbad//PM|NOM//appos//24 ,//MID//punct//21 103//RG|NOM//nummod//31 33//RG|NOM//nummod//31 Stockholm//PM|NOM//parataxis//21 .//MAD//punct//21
Remissinstanser:;Lars//PM|NOM//ROOT//0 Magnusson//PM|NOM//flat:name//0
Remissinstanser:;Departementsråd//NN|NEU|SIN|IND|NOM//ROOT//0
Remissinstanser:;Kopia//NN|UTR|SIN|IND|NOM//ROOT//0 till//PP//case//0
Remissinstanser:;Riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 utredningstjänst//NN|UTR|SIN|IND|NOM//ROOT//1

