Kommunala samverkansformer m.m. i Danmark och i Norge –;Vilhelm//PM|NOM//ROOT//0 Persson//PM|NOM//flat:name//0

Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;På//PP//case//1 uppdrag//NN|NEU|SIN|IND|NOM//obl//9 av//PP//case//3 Gränskommunutredningen//NN|UTR|SIN|DEF|NOM//nmod//1 (//PAD//punct//3 Ju//NN|AN//advmod//6 2001:05//RG|NOM//appos//3 )//PAD//punct//1 har//VB|PRS|AKT//aux//9 genomförts//VB|SUP|SFO//ROOT//9 en//DT|UTR|SIN|IND//det//11 kartläggning//NN|UTR|SIN|IND|NOM//nsubj:pass//9 av//PP//case//14 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 rätt//NN|UTR|SIN|IND|NOM//nmod//11 beträffande//PP//case//17 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 samverkansformer//NN|UTR|PLU|IND|NOM//nmod//14 m.m.//AB|AN//nmod//17 i//PP//case//20 Danmark//PM|NOM//nmod//17 och//KN//cc//23 i//PP//case//23 Norge//PM|NOM//conj//20 .//MAD//punct//9
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//1 innefattade//VB|PRT|AKT//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 delar//NN|UTR|PLU|IND|NOM//obj//1 ://MID//punct//3
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;1//RG|NOM//obl//1 .//MID//punct//1
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;en//DT|UTR|SIN|IND//det//8 beskrivning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//12 vilka//HD|UTR/NEU|PLU|IND//det//12 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 enheter//NN|UTR|PLU|IND|NOM//nmod//8 (//PAD//punct//12 i//PP//case//15 Sverige//PM|NOM//nmod//16 primär-//NN|UTR|-|-|SMS//appos//12 och//KN//cc//18 landstingskommuner//NN|UTR|PLU|IND|NOM//conj//16 )//PAD//punct//16 som//HP|-|-|-//nsubj//21 finns//VB|PRS|SFO//acl:relcl//12 i//PP//case//23 Danmark//PM|NOM//obl//21 resp.//AB|AN//cc//26 i//PP//case//26 Norge//PM|NOM//conj//23 ,//MID//punct//26 2//RG|NOM//obl//21 .//MAD//punct//8
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;en//DT|UTR|SIN|IND//det//31 beskrivning//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//36 de//DT|UTR/NEU|PLU|DEF//det//36 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 principer//NN|UTR|PLU|IND|NOM//nmod//31 som//HP|-|-|-//nsubj//38 gäller//VB|PRS|AKT//acl:relcl//36 för//PP//case//41 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//41 verksamhet//NN|UTR|SIN|IND|NOM//obl//38 i//PP//case//43 Danmark//PM|NOM//nmod//41 resp.//AB|AN//cc//46 i//PP//case//46 Norge//PM|NOM//conj//43 ,//MID//punct//46 3//RG|NOM//obl//38 .//MAD//punct//8
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;en//DT|UTR|SIN|IND//det//51 beskrivning//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//54 vilka//HD|UTR/NEU|PLU|IND//det//54 uppgifter//NN|UTR|PLU|IND|NOM//nmod//51 ///MID//cc//56 sakfrågor//NN|UTR|PLU|IND|NOM//conj//54 som//HP|-|-|-//nsubj//58 ligger//VB|PRS|AKT//acl:relcl//56 på//PP//case//61 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 enheter//NN|UTR|PLU|IND|NOM//obl//58 i//PP//case//63 Danmark//PM|NOM//nmod//61 resp.//AB|AN//cc//66 i//PP//case//66 Norge//PM|NOM//obl//58 (//PAD//punct//66 dvs.//AB|AN//advmod//70 en//DT|UTR|SIN|IND//det//70 beskrivning//NN|UTR|SIN|IND|NOM//appos//66 av//PP//case//74 den//DT|UTR|SIN|DEF//det//74 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//74 kompetensen//NN|UTR|SIN|DEF|NOM//nmod//70 i//PP//case//77 respektive//AB//amod//77 land//NN|NEU|SIN|IND|NOM//nmod//74 )//PAD//punct//66 ,//MID//punct//66 4//RG|NOM//nummod//66 .//MAD//punct//8
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;en//DT|UTR|SIN|IND//det//83 beskrivning//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//85 omfattningen//NN|UTR|SIN|DEF|NOM//nmod//83 och//KN//cc//87 innebörden//NN|UTR|SIN|DEF|NOM//conj//85 av//PP//case//90 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//90 självstyrelse//NN|UTR|SIN|IND|NOM//nmod//87 i//PP//case//92 Danmark//PM|NOM//nmod//90 och//KN//cc//95 i//PP//case//95 Norge//PM|NOM//conj//92 samt//KN//cc//97 5//RG|NOM//conj//92 .//MAD//punct//8
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;en//DT|UTR|SIN|IND//det//100 beskrivning//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//106 i//PP//case//104 vilka//HD|UTR/NEU|PLU|IND//det//104 former//NN|UTR|PLU|IND|NOM//nmod//106 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//106 samverkan//NN|UTR|SIN|IND|NOM//nmod//100 –//RG|NOM//punct//106 dvs.//AB|AN//advmod//109 samverkan//NN|UTR|SIN|IND|NOM//appos//106 mellan//PP//case//112 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//112 enheter//NN|UTR|PLU|IND|NOM//nmod//109 –//RG|NOM//punct//115 är//VB|PRS|AKT//cop//115 tillåten//JJ|POS|UTR|SIN|IND|NOM//conj//1 i//PP//case//117 Danmark//PM|NOM//obl//115 resp.//AB|AN//cc//120 i//PP//case//120 Norge//PM|NOM//conj//117 och//KN//cc//124 om//SN//mark//124 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//124 finns//VB|PRS|SFO//conj//115 någon//DT|UTR|SIN|IND//det//126 samverkansform//NN|UTR|SIN|IND|NOM//nsubj//124 som//HP|-|-|-//nsubj//128 liknar//VB|PRS|AKT//acl:relcl//126 det//DT|NEU|SIN|DEF//det//131 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//131 kommunalförbundet//NN|NEU|SIN|DEF|NOM//obj//128 .//MAD//punct//1
Kommunala samverkansformer m.m. i Danmark och i Norge – Del 1;Kartläggningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 disponeras//VB|PRS|SFO//ROOT//1 enligt//PP//case//4 ovannämnda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 indelning//NN|UTR|SIN|IND|NOM//obl//1 .//MAD//punct//1
