Sammanfattning av referensalternativen för BPA i termopapper och livsmedelsförpackningar;Redogörelsen//NN|UTR|SIN|DEF|NOM//nsubj//2 ovan//AB//advmod//2 beskriver//VB|PRS|AKT//ROOT//2 vår//PS|UTR|SIN|DEF//nmod:poss//4 bedömning//NN|UTR|SIN|IND|NOM//obj//2 av//PP//mark//11 hur//HA//advmod//11 förekomsten//NN|UTR|SIN|DEF|NOM//nsubj:pass//11 av//PP//case//9 BPA//PM|NOM//nmod//7 kan//VB|PRS|AKT//aux//11 förväntas//VB|INF|SFO//acl//4 minska//VB|INF|AKT//xcomp//11 i//PP//case//14 framtiden//NN|UTR|SIN|DEF|NOM//obl//12 .//MAD//punct//2
Sammanfattning av referensalternativen för BPA i termopapper och livsmedelsförpackningar;Här//AB//advmod//17 följer//VB|PRS|AKT//conj//2 en//DT|UTR|SIN|IND//det//19 bedömning//NN|UTR|SIN|IND|NOM//nsubj//17 av//PP//mark//23 vad//HP|NEU|SIN|IND//obj//23 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//23 innebär//VB|PRS|AKT//acl//19 ifråga//AB//case//27 om//PP//fixed//24 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//27 exponering//NN|UTR|SIN|IND|NOM//obl//23 för//PP//case//29 människor//NN|UTR|PLU|IND|NOM//nmod//27 .//MAD//punct//2
Sammanfattning av referensalternativen för BPA i termopapper och livsmedelsförpackningar;Figuren//NN|UTR|SIN|DEF|NOM//obj//2 nedan//AB//nmod//31 åskådliggör//VB|PRS|AKT//conj//2 summan//NN|UTR|SIN|DEF|NOM//obj//33 av//PP//case//38 de//DT|UTR/NEU|PLU|DEF//det//38 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 bedömningar//NN|UTR|PLU|IND|NOM//nmod//34 och//KN//cc//40 antaganden//NN|NEU|PLU|IND|NOM//conj//38 som//HP|-|-|-//nsubj:pass//42 görs//VB|PRS|SFO//acl:relcl//40 i//PP//case//44 referensalternativen//NN|UTR|SIN|DEF|NOM//obl//42 .//MAD//punct//2
Sammanfattning av referensalternativen för BPA i termopapper och livsmedelsförpackningar;Diagram//NN|NEU|SIN|IND|NOM//nmod//1 10.1//RG|NOM//nmod//2 Exponering//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 BPA//PM|NOM//nmod//2 i//PP//case//6 referensalternativen//NN|UTR|SIN|DEF|NOM//nmod//2 för//PP//case//9 år//NN|NEU|SIN|IND|NOM//nmod//9 2015–2020//NN|UTR|SIN|IND|GEN//nmod//6 (//PAD//punct//13 2015//RG|NOM//nummod//13 =//MID//punct//13 index//NN|NEU|SIN|IND|NOM//appos//2 100//RG|NOM//nummod//13 )//PAD//punct//2

År;Restauranger//NN|UTR|PLU|IND|NOM//ROOT//0 och//KN//cc//2 storkök//NN|NEU|PLU|IND|NOM//conj//0 (//PAD//punct//4 restaurang//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//6 storkök//NN|NEU|SIN|IND|NOM//conj//4 livsmedel//NN|NEU|SIN|IND|NOM//conj//4 )//PAD//punct//0
År;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 kedjor//NN|UTR|PLU|IND|NOM//ROOT//1 och//KN//cc//4 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 butiker//NN|UTR|PLU|IND|NOM//conj//1 (//PAD//punct//1 dagligvaruhandel//NN|UTR|SIN|IND|NOM//nmod//7 livsmedel//NN|NEU|SIN|IND|NOM//appos//1 )//PAD//punct//1
År;De//DT|UTR/NEU|PLU|DEF//det//3 tre//RG|NOM//nummod//3 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//3 livsmedelskedjorna//NN|UTR|PLU|DEF|NOM//ROOT//3 (//PAD//punct//3 dagligvaruhandel//NN|UTR|SIN|IND|NOM//nmod//6 livsmedel//NN|NEU|SIN|IND|NOM//appos//3 )//PAD//punct//3
År;Termopapper//NN|UTR|PLU|IND|NOM//ROOT//0
År;Baserat//PC|PRF|NEU|SIN|IND|NOM//ROOT//0 på//PP//case//3 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 antaganden//NN|NEU|PLU|IND|NOM//obl//0 och//KN//cc//5 beräkningar//NN|UTR|PLU|IND|NOM//conj//3 .//MAD//punct//0
År;I//PP//case//8 figuren//NN|UTR|SIN|DEF|NOM//obl//9 visas//VB|PRS|SFO//conj//0 referensalternativ//NN|NEU|PLU|IND|NOM//amod//11 T1//NN|AN//nsubj:pass//9 för//PP//case//13 termopapper//NN|NEU|PLU|IND|NOM//nmod//11 tillsammans//AB//advmod//16 med//PP//case//16 referensalternativ//NN|NEU|PLU|IND|NOM//advcl//9 för//PP//case//18 BPA//PM|NOM//obl//16 i//PP//case//20 kontakt//NN|UTR|SIN|IND|NOM//nmod//18 med//PP//case//22 livsmedel//NN|NEU|SIN|IND|NOM//obl//16 .//MAD//punct//0
