Remiss;2003-03-04//RG|NOM//nummod//1 Fi2003/1069//NN|UTR|PLU|IND|NOM//ROOT//1

Finansdepartementet;Skatte-//NN|UTR|-|-|SMS//ROOT//0 och//KN//cc//2 tullavdelningen//NN|UTR|SIN|DEF|NOM//conj//0
Finansdepartementet;Monica//PM|NOM//ROOT//0 Falck//PM|NOM//flat:name//0
Finansdepartementet;Telefon//NN|UTR|SIN|IND|NOM//nmod//1 08-405//RG|NOM//ROOT//1 1664//RG|NOM//nummod//1

Betänkande om skatt på handelsgödsel och bekämpningsmedel;(//PAD//punct//1 HOBS-utredningen//NN|UTR|SIN|DEF|NOM//ROOT//1 ,//MID//punct//1 SOU//PM|NOM//conj//1 2003:9//RG|NOM//nummod//3 )//PAD//punct//1

Remissinstanser:;1//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Kammarrätten//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//4 Sundsvall//PM|NOM//nmod//2
Remissinstanser:;2//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsrätten//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Dalarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//5 län//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstanser:;3//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Konsumentverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;4//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Kommerskollegium//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;5//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Tullverket//PM|NOM//ROOT//2
Remissinstanser:;6//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Riksskatteverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;7//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//4 Skåne//PM|NOM//nmod//2 län//NN|NEU|SIN|IND|NOM//conj//2
Remissinstanser:;8//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//5 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 Götaland//PM|NOM//nmod//2
Remissinstanser:;9//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 i//PP//case//4 Östergötland//PM|NOM//nmod//2
Remissinstanser:;10//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 jordbruksverk//NN|NEU|SIN|IND|NOM//ROOT//3
Remissinstanser:;11//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Livsmedelsekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 institutet//NN|NEU|SIN|DEF|NOM//ROOT//3
Remissinstanser:;12//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 livsmedelsverk//NN|NEU|SIN|IND|NOM//ROOT//3
Remissinstanser:;13//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Sveriges//PM|GEN//nmod:poss//3 lantbruksuniversitet//NN|NEU|SIN|IND|NOM//ROOT//3
Remissinstanser:;14//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Naturvårdsverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;15//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Kemikalieinspektionen//NN|UTR|SIN|DEF|NOM//ROOT//2
Remissinstanser:;16//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Stiftelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 för//PP//case//5 miljöstrategisk//JJ|POS|UTR|SIN|IND|NOM//amod//5 forskning//NN|UTR|SIN|IND|NOM//nmod//2
Remissinstanser:;17//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Konkurrensverket//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;18//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Skogsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//2
Remissinstanser:;19//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Centrum//NN|NEU|SIN|IND|NOM//ROOT//2 för//PP//case//5 biologisk//JJ|POS|UTR|SIN|IND|NOM//amod//5 mångfald//NN|UTR|SIN|IND|NOM//nmod//2
Remissinstanser:;20//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Ekologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 lantbrukarna//NN|UTR|PLU|DEF|NOM//ROOT//3
Remissinstanser:;21//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Frö-//NN|UTR|-|-|SMS//ROOT//2 och//KN//cc//4 oljeväxtodlarna//NN|UTR|PLU|DEF|NOM//conj//2
Remissinstanser:;22//RG|NOM//discourse//4 .//MAD//punct//0
Remissinstanser:;Föreningen//NN|UTR|SIN|DEF|NOM//nmod//4 Sveriges//PM|GEN//nmod:poss//4 spannmålsodlare//NN|UTR|PLU|IND|NOM//ROOT//4
Remissinstanser:;23//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Greenpeace//PM|NOM//ROOT//2
Remissinstanser:;24//RG|NOM//discourse//4 .//MAD//punct//0
Remissinstanser:;Gröna//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod:poss//4 Näringens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 riksorganisation//NN|UTR|SIN|IND|NOM//ROOT//4
Remissinstanser:;25//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Hushållningssällskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 Förbund//NN|NEU|SIN|IND|NOM//ROOT//3
Remissinstanser:;26//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Hydro//PM|NOM//ROOT//2 Agri//PM|NOM//flat//2
Remissinstanser:;27//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;Industrin//NN|UTR|SIN|DEF|NOM//ROOT//2 för//PP//case//4 Växt-//NN|UTR|-|-|SMS//nmod//2 och//KN//cc//6 träskyddsmedel//NN|NEU|PLU|IND|NOM//conj//4
Remissinstanser:;28//RG|NOM//discourse//2 .//MID//punct//0
Remissinstanser:;Kemikontoret//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstanser:;29//RG|NOM//discourse//2 .//MAD//punct//0
Remissinstanser:;KRAV//NN|NEU|PLU|IND|NOM//ROOT//2
Remissinstanser:;30//RG|NOM//discourse//3 .//MAD//punct//0
Remissinstanser:;Kungliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 Skogs-//PM|SMS//ROOT//3 och//KN//cc//5 lantbruksakademin//NN|NEU|PLU|DEF|NOM//conj//3
Remissinstanser:;31//RG|NOM//discourse//3 .//MID//punct//0
Remissinstanser:;Lantbrukarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//3 riksförbund//NN|NEU|SIN|IND|NOM//ROOT//3
