4 1983 års Ubåtsskyddskommission ;Den//DT|UTR|SIN|DEF//det//2 21//RG|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 1982//RG|NOM//nummod//2 tillkallades//VB|PRT|SFO//ROOT//4 en//DT|UTR|SIN|IND//det//6 kommission//NN|UTR|SIN|IND|NOM//nsubj:pass//4 med//PP//case//8 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//6 att//IE//mark//10 undersöka//VB|INF|AKT//acl//6 ubåtskränkningarna//NN|UTR|PLU|DEF|NOM//obj//10 av//PP//case//14 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//14 territorium//NN|NEU|SIN|IND|NOM//nmod//11 .//MAD//punct//4
4 1983 års Ubåtsskyddskommission ;En//PN|UTR|SIN|IND|SUB/OBJ//nsubj//10 av//PP//case//2 Olof//PM|NOM//nmod//0 Palme//PM|NOM//flat//2 ledd//PC|PRF|UTR|SIN|IND|NOM//amod//6 socialdemokratisk//JJ|POS|UTR|SIN|IND|NOM//amod//6 regering//NN|UTR|SIN|IND|NOM//nmod//0 hade//VB|PRT|AKT//aux//10 efter//PP//case//9 septembervalet//NN|NEU|SIN|DEF|NOM//obl//10 tillträtt//VB|SUP|AKT//ROOT//10 mitt//AB//advmod//13 under//PP//case//13 Hårsfjärden-incidenten//NN|UTR|SIN|DEF|NOM//obl//10 den//DT|UTR|SIN|DEF//det//16 7//RO|NOM//nummod//16 oktober//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//10
4 1983 års Ubåtsskyddskommission ;Beslutet//NN|NEU|SIN|DEF|NOM//nsubj//22 att//IE//mark//20 tillsätta//VB|INF|AKT//acl//18 Ubåtsskyddskommissionen//PM|NOM//obj//20 blev//VB|PRT|AKT//parataxis//10 en//PN|UTR|SIN|IND|SUB/OBJ//xcomp//22 av//PP//case//29 den//DT|UTR|SIN|DEF//det//27 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 första//RO|NOM//amod//29 åtgärder//NN|UTR|PLU|IND|NOM//nmod//23 när//HA//mark//34 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//30 gällde//VB|PRT|AKT//fixed//30 att//IE//mark//34 hantera//VB|INF|AKT//advcl//22 frågorna//NN|UTR|PLU|DEF|NOM//obj//34 om//PP//case//37 kränkning//NN|UTR|SIN|IND|NOM//obl//34 av//PP//case//40 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//40 territorium//NN|NEU|SIN|IND|NOM//nmod//37 .//MAD//punct//22
4 1983 års Ubåtsskyddskommission ;Kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//44 innehöll//VB|PRT|AKT//parataxis//22 väsentligen//AB//advmod//44 två//RG|NOM//nummod//47 huvudkomponenter//NN|UTR|PLU|IND|NOM//obj//44 ,//MID//punct//47 dels//KN//advmod//51 att//IE//mark//51 klarlägga//VB|INF|AKT//nsubj//79 ,//MID//punct//53 redovisa//VB|INF|AKT//conj//51 och//KN//cc//55 bedöma//VB|INF|AKT//conj//51 händelser//NN|UTR|PLU|IND|NOM//obj//55 och//KN//cc//58 utveckling//NN|UTR|SIN|IND|NOM//conj//56 när//HA//case//62 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//59 gällde//VB|PRT|AKT//fixed//59 ubåtskränkningarna//NN|UTR|PLU|DEF|NOM//obl//51 ,//MID//punct//65 dels//KN//advmod//65 bedöma//VB|INF|AKT//conj//51 om//SN//case//67 förstärkningar//NN|UTR|PLU|IND|NOM//obl//65 av//PP//case//70 Sveriges//PM|GEN//nmod:poss//70 förmåga//NN|UTR|SIN|IND|NOM//nmod//67 att//IE//mark//72 hävda//VB|INF|AKT//acl//70 sitt//PS|NEU|SIN|DEF//nmod:poss//74 territorium//NN|NEU|SIN|IND|NOM//obj//72 mot//PP//case//77 kränkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//77 ubåtar//NN|UTR|PLU|IND|NOM//obl//72 var//VB|PRT|AKT//cop//79 påkallade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//47 ,//MID//punct//82 samt//KN//cc//82 lämna//VB|INF|AKT//conj//79 förslag//NN|NEU|SIN|IND|NOM//obj//82 härvidlag//AB//obj//82 .//MAD//punct//10
4 1983 års Ubåtsskyddskommission ;Till//PP//case//1 ordförande//NN|UTR|SIN|IND|NOM//obl//2 utsågs//VB|PRT|SFO//ROOT//2 förre//JJ|POS|MAS|SIN|DEF|NOM//amod//4 utrikes-//NN|UTR|-|-|SMS//nsubj:pass//2 och//KN//cc//6 försvarsministern//NN|UTR|SIN|DEF|NOM//nmod//7 Sven//PM|NOM//conj//4 Andersson//PM|NOM//flat:name//7 och//KN//cc//13 till//PP//case//13 ledamöter//NN|UTR|PLU|IND|NOM//nmod//13 fyra//RG|NOM//nummod//13 riksdagsmän//NN|UTR|PLU|IND|NOM//conj//4 ,//MID//punct//15 Carl//PM|NOM//dep//2 Bildt//PM|NOM//flat:name//15 från//PP//case//18 moderaterna//NN|UTR|PLU|DEF|NOM//nmod//15 ,//MID//punct//20 Lars//PM|NOM//appos//15 Eliasson//PM|NOM//flat:name//20 ,//MID//punct//23 centerpartiet//NN|NEU|SIN|DEF|NOM//conj//15 ,//MID//punct//15 samt//KN//cc//44 socialdemokraternas//NN|UTR|PLU|DEF|GEN//nmod:poss//27 Maj-Lis//PM|NOM//nmod//35 Lööw//PM|NOM//flat:name//27 och//KN//cc//30 Olle//PM|NOM//conj//27 Svensson//PM|NOM//flat:name//30 .//MAD//punct//27
4 1983 års Ubåtsskyddskommission ;Experter//NN|UTR|PLU|IND|NOM//appos//27 var//VB|PRT|AKT//cop//35 Sven//PM|NOM//nmod//44 Hellman//PM|NOM//flat:name//35 ,//MID//punct//38 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//35 och//KN//cc//40 chefen//NN|UTR|SIN|DEF|NOM//conj//35 för//PP//case//43 Försvarsstaben//NN|UTR|SIN|DEF|NOM//nmod//43 viceamiralen//NN|UTR|SIN|DEF|NOM//nmod//44 Bror//PM|NOM//advcl//50 Stefenson//PM|NOM//flat:name//44 .//MAD//punct//44
4 1983 års Ubåtsskyddskommission ;Till//PP//case//49 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//49 sekreterare//NN|UTR|SIN|IND|NOM//obl//50 utsågs//VB|PRT|SFO//parataxis//2 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//52 Michael//PM|NOM//nsubj//50 Sahlin//PM|NOM//flat//52 ,//MID//punct//55 Utrikesdepartementet//NN|NEU|SIN|DEF|NOM//conj//50 .//MAD//punct//2
4 1983 års Ubåtsskyddskommission ;Ubåtsskyddskommissionen//NN|UTR|SIN|DEF|NOM//nsubj//1 avlämnade//VB|PRT|AKT//ROOT//1 sitt//PS|NEU|SIN|DEF//nmod:poss//3 betänkande//NN|NEU|SIN|IND|NOM//obj//1 den//DT|UTR|SIN|DEF//det//6 26//RG|NOM//nummod//6 april//NN|UTR|SIN|IND|NOM//obl//1 1983//RG|NOM//nummod//6 (//PAD//punct//6 bilaga//NN|UTR|SIN|IND|NOM//appos//6 1//RG|NOM//nummod//9 ,//MID//punct//9 SOU//PM|NOM//nmod//9 1983:13//RG|NOM//conj//9 )//PAD//punct//6 .//MAD//punct//1
4 1983 års Ubåtsskyddskommission ;Vad//HP|NEU|SIN|IND//nsubj//15 som//HP|-|-|-//nsubj:pass//6 i//PP//advmod//6 efterhand//AB//advmod//6 kommit//VB|SUP|AKT//aux//6 att//IE//mark//6 noteras//VB|INF|SFO//acl:relcl//0 från//PP//case//10 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 slutliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 betänkande//NN|NEU|SIN|IND|NOM//obl//6 är//VB|PRS|AKT//cop//15 dels//KN//advmod//15 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//15 detaljerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//15 beskrivning//NN|UTR|SIN|IND|NOM//ROOT//15 av//PP//case//17 inkräktarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//18 undervattensaktiviteter//NN|UTR|PLU|IND|NOM//nmod//15 i//PP//case//20 Hårsfjärden//PM|NOM//nmod//18 med//PP//case//22 omnejd//NN|UTR|SIN|IND|NOM//nmod//15 ,//MID//punct//26 dels//KN//advmod//26 den//DT|UTR|SIN|DEF//det//26 nationalitetsbestämning//NN|UTR|SIN|IND|NOM//conj//15 ,//MID//punct//29 nämligen//AB//advmod//29 Sovjetunionen//PM|NOM//nmod//26 ,//MID//punct//29 som//HP|-|-|-//obl//33 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj//33 utmynnade//VB|PRT|AKT//acl:relcl//29 i//PP//case//31 .//MAD//punct//15
4 1983 års Ubåtsskyddskommission ;Ubåtsskyddskommissionen//NN|UTR|SIN|DEF|NOM//nsubj//1 presenterade//VB|PRT|AKT//ROOT//1 vad//HP|NEU|SIN|IND//obj//4 man//PN|UTR|SIN|IND|SUB//nsubj//4 kallar//VB|PRS|AKT//ccomp//1 ”//PAD//punct//8 Det//DT|NEU|SIN|DEF//det//8 sannolika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 händelseförloppet//NN|NEU|SIN|DEF|NOM//obj//4 ”//PM|NOM//punct//8 ,//MID//punct//12 vilket//HP|NEU|SIN|IND//nsubj:pass//12 baserades//VB|PRT|SFO//advcl//4 på//PP//case//15 den//DT|UTR|SIN|DEF//det//15 information//NN|UTR|SIN|IND|NOM//obl//12 som//HP|-|-|-//obj//18 bottenspåren//NN|UTR|SIN|DEF|NOM//nsubj//18 tillhandahållit//VB|SUP|AKT//acl:relcl//15 och//KN//cc//23 på//PP//case//23 en//DT|UTR|SIN|IND//det//23 omsorgsfull//JJ|POS|UTR|SIN|IND|NOM//amod//23 kartläggning//NN|UTR|SIN|IND|NOM//conj//15 av//PP//case//28 det//DT|NEU|SIN|DEF//det//27 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 antal//NN|NEU|SIN|IND|NOM//nmod//28 observationer//NN|UTR|PLU|IND|NOM//nmod//23 som//HP|-|-|-//nsubj:pass//30 inrapporterats//VB|SUP|SFO//acl:relcl//28 ,//MID//punct//12 samt//KN//cc//33 sågs//VB|PRT|SFO//conj//4 mot//PP//case//35 bakgrund//NN|UTR|SIN|IND|NOM//obl//33 av//PP//case//38 annan//JJ|POS|UTR|SIN|IND|NOM//amod//38 kunskap//NN|UTR|SIN|IND|NOM//nmod//35 om//PP//case//41 denna//DT|UTR|SIN|DEF//det//41 typ//NN|UTR|SIN|IND|NOM//obl//33 av//PP//case//43 ubåtsoperationer//NN|UTR|PLU|IND|NOM//nmod//41 .//MAD//punct//1
4 1983 års Ubåtsskyddskommission ;Berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//47 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//48 hade//VB|PRT|AKT//parataxis//1 på//PP//case//51 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 uppdrag//NN|NEU|SIN|IND|NOM//obl//48 ”//PM|NOM//punct//1 redovisat//VB|SUP|AKT//conj//1 en//DT|UTR|SIN|IND//det//56 sannolik//JJ|POS|UTR|SIN|IND|NOM//amod//56 bild//NN|UTR|SIN|IND|NOM//obj//53 ”//RG|NOM//punct//1 .//MAD//punct//1
