2003-11-27 N2002/4470/ESB ;Näringsdepartementet//NN|NEU|SIN|DEF|NOM//ROOT//0
2003-11-27 N2002/4470/ESB ;Enheten//NN|UTR|SIN|DEF|NOM//ROOT//0 för//PP//case//2 Energi//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//4 skog//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//6 basindustri//NN|UTR|SIN|IND|NOM//conj//2
2003-11-27 N2002/4470/ESB ;Sammanställt//PC|PRF|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Emi//PM|NOM//nmod//0 Hijino//PM|NOM//flat//2 ,//MID//punct//5 Truls//PM|NOM//conj//0 Borgström//PM|NOM//flat:name//5 ,//MID//punct//5
2003-11-27 N2002/4470/ESB ;Per//PM|NOM//ROOT//0 Högström//PM|NOM//flat//0 och//KN//cc//3 Johan//PM|NOM//conj//0 Dahlstrand//PM|NOM//flat//3
2003-11-27 N2002/4470/ESB ;Remissammanställning//NN|UTR|SIN|IND|NOM//ROOT//0
2003-11-27 N2002/4470/ESB ;Handla//VB|IMP|AKT//ROOT//0 för//PP//case//3 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 klimat//NN|NEU|SIN|IND|NOM//obl//0 (//PAD//punct//3 SOU//PM|NOM//appos//3 2003:60//RG|NOM//conj//3 )//PAD//punct//0
2003-11-27 N2002/4470/ESB ;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 FlexMex2-utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
2003-11-27 N2002/4470/ESB ;Remissinstanser//NN|UTR|PLU|IND|NOM//ROOT//0
2003-11-27 N2002/4470/ESB ;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 remissinstanser//NN|UTR|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 inkommit//VB|SUP|AKT//ROOT//3 med//PP//case//5 yttrande//NN|NEU|SIN|IND|NOM//obl//3 (//PAD//punct//5 60//RG|NOM//nummod//8 st//NN|AN//appos//5 )//PAD//punct//3 ://MID//punct//3
2003-11-27 N2002/4470/ESB ; //_SP////10 Växjö//PM|GEN//nmod//13 Tingsrätt//NN|UTR|SIN|IND|NOM//parataxis//3 (//PAD//punct//13 Miljödomstolen//NN|UTR|SIN|DEF|NOM//appos//13 )//PAD//punct//15 ,//MID//punct//18 Statskontoret//NN|NEU|SIN|DEF|NOM//conj//13 ,//MID//punct//18 Statistiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 centralbyrån//NN|UTR|SIN|DEF|NOM//conj//13 (//PAD//punct//21 SCB//PM|NOM//appos//21 )//PAD//punct//21 ,//MID//punct//26 Konsumentverket//NN|NEU|SIN|DEF|NOM//conj//13 ,//MID//punct//28 Kommerskollegium//PM|NOM//conj//26 ,//MID//punct//30 Finansinspektionen//NN|UTR|SIN|DEF|NOM//conj//26 ,//MID//punct//32 Ekonomistyrningsverket//PM|NOM//conj//26 (//PAD//punct//26 ESV//PM|NOM//appos//26 )//PAD//punct//26 ,//MID//punct//37 Riksskatteverket//NN|NEU|SIN|DEF|NOM//conj//13 (//PAD//punct//39 RSV//PM|NOM//appos//37 )//PAD//punct//37 ,//MID//punct//42 Konjunkturinstitutet//PM|NOM//conj//13 (//PAD//punct//42 KI//PM|NOM//appos//42 )//PAD//punct//42 ,//MID//punct//47 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//50 Stockholms//PM|GEN//nmod:poss//50 län//NN|NEU|SIN|IND|NOM//nmod//47 ,//MID//punct//52 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//55 Södermanlands//PM|GEN//nmod:poss//55 län//NN|NEU|SIN|IND|NOM//nmod//52 ,//MID//punct//57 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//59 Skåne//PM|NOM//nmod//57 län//NN|NEU|SIN|IND|NOM//conj//57 ,//MID//punct//62 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//66 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//65 Götalands//PM|GEN//nmod:poss//66 län//NN|NEU|SIN|IND|NOM//nmod//62 ,//MID//punct//68 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//71 Örebro//PM|GEN//nmod:poss//71 län//NN|NEU|SIN|IND|NOM//nmod//68 ,//MID//punct//73 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//76 Västerbottens//PM|GEN//nmod:poss//76 län//NN|NEU|SIN|IND|NOM//nmod//73 ,//MID//punct//78 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//81 Norrbottens//PM|GEN//nmod:poss//81 län//NN|NEU|SIN|IND|NOM//nmod//78 ,//MID//punct//84 Uppsala//PM|GEN//amod//84 universitet//NN|NEU|SIN|IND|NOM//conj//13 (//PAD//punct//87 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//87 fakulteten//NN|UTR|SIN|DEF|NOM//appos//84 )//PAD//punct//13 ,//MID//punct//91 Lunds//PM|GEN//nmod:poss//91 universitet//NN|NEU|SIN|IND|NOM//conj//3 (//PAD//punct//94 nationalekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//94 institutionen//NN|UTR|SIN|DEF|NOM//appos//91 )//PAD//punct//94 ,//MID//punct//99 Luleå//PM|GEN//nmod:poss//99 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//99 universitet//NN|NEU|SIN|IND|NOM//conj//91 ,//MID//punct//103 Luleå//PM|GEN//nmod:poss//103 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//103 universitet//NN|NEU|SIN|IND|NOM//conj//91 (//PAD//punct//106 nationalekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//106 institutionen//NN|UTR|SIN|DEF|NOM//appos//103 )//PAD//punct//106 ,//MID//punct//111 Chalmers//PM|GEN//nmod:poss//111 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//111 högskola//NN|UTR|SIN|IND|NOM//conj//91 AB//PM|NOM//nummod//111 ,//MID//punct//114 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//conj//91 ,//MID//punct//116 Boverket//PM|NOM//conj//91 ,//MID//punct//118 Banverket//PM|NOM//conj//91 ,//MID//punct//118 Vägverket//PM|NOM//conj//91 ,//MID//punct//123 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//123 väg-//NN|UTR|-|-|SMS//conj//91 och//KN//cc//125 transportforskningsinstitut//NN|NEU|SIN|IND|NOM//conj//123 (//PAD//punct//91 VTI//PM|NOM//appos//91 )//PAD//punct//91 ,//MID//punct//130 Luftfartsverket//NN|NEU|SIN|DEF|NOM//conj//3 ,//MID//punct//130 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//133 institut//NN|NEU|SIN|IND|NOM//conj//130 för//PP//case//135 kommunikationsanalys//NN|UTR|SIN|IND|NOM//nmod//133 (//PAD//punct//133 SIKA//PM|NOM//appos//133 )//PAD//punct//133 ,//MID//punct//140 Konkurrensverket//PM|NOM//conj//130 ,//MID//punct//144 Sveriges//PM|GEN//nmod:poss//144 geologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//144 undersökning//NN|UTR|SIN|IND|NOM//conj//130 (//PAD//punct//144 SGU//PM|NOM//appos//144 )//PAD//punct//144 ,//MID//punct//149 Skogsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//130 ,//MID//punct//149 Affärsverket//NN|NEU|SIN|DEF|NOM//conj//130 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//153 kraftnät//NN|NEU|PLU|IND|NOM//conj//130 ,//MID//punct//156 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//156 energimyndighet//NN|UTR|SIN|IND|NOM//conj//130 (//PAD//punct//158 STEM//PM|NOM//appos//156 )//PAD//punct//158 ,//MID//punct//161 Verket//NN|NEU|SIN|DEF|NOM//conj//3 för//PP//case//163 näringslivsutveckling//NN|UTR|SIN|IND|NOM//nmod//161 (//PAD//punct//163 NUTEK//PM|NOM//appos//163 )//PAD//punct//163 ,//MID//punct//168 Institutet//NN|NEU|SIN|DEF|NOM//conj//161 för//PP//case//171 tillväxtpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//171 studier//NN|UTR|PLU|IND|NOM//nmod//168 (//PAD//punct//173 ITPS//PM|NOM//nmod//168 )//PAD//punct//173 ,//MID//punct//176 Jernkontoret//NN|NEU|SIN|DEF|NOM//conj//168 ,//MID//punct//179 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//179 Naturskyddsföreningen//NN|UTR|SIN|DEF|NOM//conj//176 (//PAD//punct//179 SNF//PM|NOM//conj//176 )//PAD//punct//176 ,//MID//punct//185 Svenskt//JJ|POS|NEU|SIN|IND|NOM//compound//185 Näringsliv//NN|NEU|SIN|IND|NOM//conj//168 ,//MID//punct//188 Lantbrukarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//188 Riksförbund//NN|NEU|SIN|IND|NOM//conj//185 (//PAD//punct//188 LRF//PM|NOM//conj//185 )//PAD//punct//185 ,//MID//punct//194 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//194 Energi//NN|UTR|SIN|IND|NOM//conj//168 ,//MID//punct//197 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//197 Fjärrvärme//NN|UTR|SIN|IND|NOM//conj//194 ,//MID//punct//197 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//200 Petroleuminstitutet//NN|NEU|SIN|DEF|NOM//conj//194 (//PAD//punct//200 SPI//PM|NOM//appos//200 )//PAD//punct//200 ,//MID//punct//205 Landsorganisationen//NN|UTR|SIN|DEF|NOM//conj//161 i//PP//case//207 Sverige//PM|NOM//nmod//205 (//PAD//punct//209 LO//PM|NOM//appos//205 )//PAD//punct//209 ,//MID//punct//212 FöretagarFörbundet//PM|NOM//conj//205 ,//MID//punct//212 HSB//PM|NOM//nmod//215 Riksförbund//NN|NEU|SIN|IND|NOM//nmod//212 ,//MID//punct//218 Hyresgästernas//NN|UTR|PLU|DEF|GEN//nmod:poss//218 Riksförbund//NN|NEU|SIN|IND|NOM//conj//212 ,//MID//punct//212 Miljöförbundet//NN|NEU|SIN|DEF|NOM//conj//205 Jordens//NN|UTR|SIN|DEF|GEN//nmod:poss//222 Vänner//NN|UTR|PLU|IND|NOM//conj//205 ,//MID//punct//224 Plast-//PM|SMS//conj//222 &//KN|AN//cc//226 Kemiföretagen//NN|NEU|PLU|DEF|NOM//conj//222 ,//MID//punct//228 Skogsindustrierna//NN|UTR|PLU|DEF|NOM//conj//222 ,//MID//punct//230 SSAB//PM|NOM//conj//222 ,//MID//punct//233 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//233 Bioenergiföreningen//NN|UTR|SIN|DEF|NOM//conj//222 (//PAD//punct//233 Svebio//PM|NOM//appos//233 )//PAD//punct//233 ,//MID//punct//239 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//239 Gasföreningen//NN|UTR|SIN|DEF|NOM//conj//222 ,//MID//punct//239 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//242 Gruvföreningen//NN|UTR|SIN|DEF|NOM//conj//222 ,//MID//punct//245 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//245 Kalkföreningen//NN|UTR|SIN|DEF|NOM//conj//242 ,//MID//punct//248 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//248 Kolinstitutet//NN|NEU|SIN|DEF|NOM//conj//242 ,//MID//punct//251 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//251 Torvproducentföreningen//NN|UTR|SIN|DEF|NOM//conj//242 ,//MID//punct//254 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//254 Trädbränsleföreningen//NN|UTR|SIN|DEF|NOM//conj//242 ,//MID//punct//257 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//257 Åkeriförbundet//NN|NEU|SIN|DEF|NOM//conj//242 ,//MID//punct//257 Villaägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//260 Riksförbund//NN|NEU|SIN|IND|NOM//conj//242 och//KN//cc//262 VPC//PM|NOM//conj//242 AB//NN|AN//nmod//262 [//PAD//punct//205 del//NN|UTR|SIN|IND|NOM//nmod//266 14.1//RG|NOM//nmod//205 ]//PAD//punct//205 .//MAD//punct//3
2003-11-27 N2002/4470/ESB ;Skandinaviska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 Raffinaderier//NN|UTR|PLU|IND|NOM//nsubj//4 AB//PM|NOM//flat//1 Scanraff//PM|NOM//nsubj//4 ansluter//VB|PRS|AKT//ROOT//4 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//4 till//PP//compound:prt//4 och//KN//cc//8 stöder//VB|PRS|AKT//conj//4 Svenska//PM|NOM//amod//10 Petroleuminstitutets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 yttrande//NN|NEU|SIN|IND|NOM//obj//8 .//MAD//punct//4
2003-11-27 N2002/4470/ESB ;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 remissinstanser//NN|UTR|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 meddelat//VB|SUP|AKT//ROOT//3 att//SN//mark//6 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//6 avstår//VB|PRS|AKT//ccomp//3 från//PP//mark//9 att//IE//mark//9 yttra//VB|INF|AKT//advcl//6 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//9 (//PAD//punct//3 22//RG|NOM//nummod//13 st//NN|AN//appos//3 )//PAD//punct//13 ://MID//punct//77
