och strukturell diskriminering;Redaktörer//NN|UTR|PLU|IND|NOM//ROOT//0 ://MID//punct//0
och strukturell diskriminering;Adrián//PM|NOM//amod//3 Groglopo//PM|NOM//appos//0 &//KN|AN//cc//3 Beth//PM|NOM//conj//3 Maina//PM|NOM//flat:name//5 Ahlberg//PM|NOM//flat//6
och strukturell diskriminering;Rapport//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 makt//NN|UTR|SIN|IND|NOM//nmod//2 ,//MID//punct//6 integration//NN|UTR|SIN|IND|NOM//conj//4 och//KN//cc//9 strukturell//JJ|POS|UTR|SIN|IND|NOM//amod//9 diskriminering//NN|UTR|SIN|IND|NOM//conj//4
och strukturell diskriminering;Stockholm//PM|NOM//ROOT//0 2006//RG|NOM//nummod//0

Förord;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//8 om//PP//case//2 Makt//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//4 integration//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//7 strukturell//JJ|POS|UTR|SIN|IND|NOM//amod//7 diskriminering//NN|UTR|SIN|IND|NOM//conj//2 tillsattes//VB|PRT|SFO//ROOT//8 efter//PP//case//11 ett//DT|NEU|SIN|IND//det//11 regeringsbeslut//NN|NEU|SIN|IND|NOM//obl//8 den//DT|UTR|SIN|DEF//det//14 22//RG|NOM//nummod//14 april//NN|UTR|SIN|IND|NOM//obl//8 2004//RG|NOM//nummod//14 och//KN//cc//17 har//VB|PRS|AKT//aux//21 i//PP//advmod//21 uppdrag//NN|NEU|SIN|IND|NOM//fixed//18 att//IE//mark//21 identifiera//VB|INF|AKT//conj//8 och//KN//cc//23 kartlägga//VB|INF|AKT//conj//21 mekanismer//NN|UTR|PLU|IND|NOM//obj//23 bakom//PP//case//26 strukturell//JJ|POS|UTR|SIN|IND|NOM//obl//23 ///MID//cc//29 institutionell//JJ|POS|UTR|SIN|IND|NOM//amod//29 diskriminering//NN|UTR|SIN|IND|NOM//conj//26 på//PP//case//33 grund//NN|UTR|SIN|IND|NOM//fixed//30 av//PP//fixed//30 etnisk//JJ|POS|UTR|SIN|IND|NOM//nmod//29 och//KN//cc//35 religiös//JJ|POS|UTR|SIN|IND|NOM//amod//36 tillhörighet//NN|UTR|SIN|IND|NOM//conj//33 .//MAD//punct//8
Förord;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj:pass//40 ska//VB|PRS|AKT//aux//40 redovisas//VB|INF|SFO//conj//8 successivt//AB|POS//advmod//40 i//PP//case//43 syfte//NN|NEU|SIN|IND|NOM//obl//40 att//IE//mark//45 ge//VB|INF|AKT//acl//43 underlag//NN|NEU|SIN|IND|NOM//obj//45 för//PP//case//50 en//DT|UTR|SIN|IND//det//50 fördjupad//PC|PRF|UTR|SIN|IND|NOM//amod//50 diskussion//NN|UTR|SIN|IND|NOM//nmod//46 om//PP//obl//45 och//KN//cc//53 åtgärder//NN|UTR|PLU|IND|NOM//conj//45 mot//PP//case//56 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 hinder//NN|NEU|PLU|IND|NOM//nmod//53 för//PP//mark//63 att//SN//mark//63 alla//DT|UTR/NEU|PLU|IND/DEF//det//60 medborgare//NN|UTR|PLU|IND|NOM//nsubj//63 ska//VB|PRS|AKT//aux//63 kunna//VB|INF|AKT//aux//63 delta//VB|INF|AKT//advcl//45 i//PP//case//65 samhällslivet//NN|NEU|SIN|DEF|NOM//obl//63 på//PP//case//68 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 villkor//NN|NEU|PLU|IND|NOM//obl//63 och//KN//cc//72 med//PP//case//72 samma//DT|UTR/NEU|SIN/PLU|IND//det//72 möjligheter//NN|UTR|PLU|IND|NOM//conj//68 .//MAD//punct//8
Förord;Tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 studier//NN|UTR|PLU|IND|NOM//nsubj//8 inom//PP//case//6 ramen//NN|UTR|SIN|DEF|NOM//fixed//2 för//PP//fixed//2 denna//DT|UTR|SIN|DEF//det//6 utredning//NN|UTR|SIN|IND|NOM//nmod//1 har//VB|PRS|AKT//aux//8 uppmärksammat//VB|SUP|AKT//ROOT//8 den//DT|UTR|SIN|DEF//det//13 strukturella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 ///MID//cc//12 institutionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 diskrimineringens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 mekanismer//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//16 former//NN|UTR|PLU|IND|NOM//conj//14 som//HP|-|-|-//nsubj//19 särskilt//AB//advmod//19 drabbar//VB|PRS|AKT//acl:relcl//16 personer//NN|UTR|PLU|IND|NOM//obj//19 med//PP//case//22 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//20 i//PP//case//25 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 samhällsektorer//NN|UTR|PLU|IND|NOM//obl//19 ,//MID//punct//25 t.ex.//AB|AN//advmod//28 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//appos//25 ,//MID//punct//30 arbetslivet//NN|NEU|SIN|DEF|NOM//conj//28 ,//MID//punct//32 rättsväsendet//NN|NEU|SIN|DEF|NOM//conj//28 ,//MID//punct//34 utbildningssystemet//NN|NEU|SIN|DEF|NOM//conj//28 och//KN//cc//37 i//PP//case//37 boendet//NN|NEU|SIN|DEF|NOM//conj//28 .//MAD//punct//8
Förord;Forskningen//NN|UTR|SIN|DEF|NOM//nsubj//42 har//VB|PRS|AKT//aux//42 även//AB//advmod//42 fokuserat//VB|SUP|AKT//parataxis//8 på//PP//mark//52 vilka//HD|UTR/NEU|PLU|IND//det//50 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 ,//MID//punct//47 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//45 och//KN//cc//49 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//45 konsekvenser//NN|UTR|PLU|IND|NOM//obj//52 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//52 har//VB|PRS|AKT//advcl//42 för//PP//case//54 personer//NN|UTR|PLU|IND|NOM//obl//52 med//PP//case//56 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//54 ,//MID//punct//42 men//KN//cc//61 också//AB//advmod//61 för//PP//case//61 samhället//NN|NEU|SIN|DEF|NOM//conj//42 i//PP//advmod//42 stort//JJ|POS|NEU|SIN|IND|NOM//fixed//62 .//MAD//punct//42
Förord;Ett//DT|NEU|SIN|IND//det//1 område//NN|NEU|SIN|IND|NOM//nsubj//10 som//HP|-|-|-//nsubj:pass//5 är//VB|PRS|AKT//aux:pass//5 oerhört//AB|POS//advmod//5 eftersatt//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//1 i//PP//case//8 detta//DT|NEU|SIN|DEF//det//8 sammanhang//NN|NEU|SIN|IND|NOM//obl//5 är//VB|PRS|AKT//cop//10 hälso-//NN|UTR|-|-|SMS//ROOT//10 och//KN//cc//12 sjukvård//NN|UTR|SIN|IND|NOM//conj//10 vilket//HP|NEU|SIN|IND//nsubj//15 är//VB|PRS|AKT//cop//15 fokus//NN|NEU|SIN|IND|NOM//acl:relcl//10 i//PP//case//20 denna//DT|UTR|SIN|DEF//det//18 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 trettonde//RO|NOM//amod//20 forskningsrapport//NN|UTR|SIN|IND|NOM//obl//15 .//MID//punct//10
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//23 finns//VB|PRS|SFO//conj//10 ytterst//AB|SUV//advmod//25 få//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//26 studier//NN|UTR|PLU|IND|NOM//nsubj//23 som//HP|-|-|-//nsubj//29 har//VB|PRS|AKT//aux//29 behandlat//VB|SUP|AKT//acl:relcl//26 situationen//NN|UTR|SIN|DEF|NOM//obj//29 för//PP//case//32 personer//NN|UTR|PLU|IND|NOM//nmod//30 med//PP//case//34 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//32 inom//PP//case//36 hälso-//NN|UTR|-|-|SMS//nmod//32 och//KN//cc//38 sjukvårdens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 organisation//NN|UTR|SIN|IND|NOM//conj//36 och//KN//cc//41 institutioner//NN|UTR|PLU|IND|NOM//conj//36 .//MAD//punct//23
