Urkunden I T iden ;–//RG|NOM//punct//3 en//DT|UTR|SIN|IND//det//3 straffrättslig//JJ|POS|UTR|SIN|IND|NOM//amod//3 anpassning//NN|UTR|SIN|IND|NOM//ROOT//3
Urkunden I T iden ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 IT-förfalskningsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Urkunden I T iden ;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 9//RO|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2005//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//19 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//16 i//PP//case//21 brottsbalken//NN|UTR|SIN|DEF|NOM//nmod//19 ur//PP//case//24 ett//DT|NEU|SIN|IND//det//24 IT-perspektiv//NN|NEU|SIN|IND|NOM//nmod//21 (//PAD//punct//24 dir//NN|AN//obl//7 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;2005:68//RG|NOM//obl//1 )//PAD//punct//28 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//33 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//33 utredare//NN|UTR|SIN|IND|NOM//obl//34 förordnades//VB|PRT|SFO//conj//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//36 dag//NN|UTR|SIN|IND|NOM//obl//34 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//38 Pia//PM|NOM//obl//34 Johansson//PM|NOM//flat:name//38 .//MAD//punct//34
Till statsrådet och chefen för Justitiedepartementet;Att//IE//mark//3 som//KN//mark//3 experter//NN|UTR|PLU|IND|NOM//nsubj//3 biträda//VB|INF|AKT//advcl//5 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 fr.o.m.//AB|AN//case//9 den//DT|UTR|SIN|DEF//det//8 15//RG|NOM//nummod//9 augusti//NN|UTR|SIN|IND|NOM//obl//5 2005//RG|NOM//nummod//12 säkerhetschefen//NN|UTR|SIN|DEF|NOM//nmod//12 Anne-Marie//PM|NOM//nmod//9 Eklund//PM|NOM//flat:name//12 Löwinder//PM|NOM//conj//12 ,//MID//punct//9 advokaten//NN|UTR|SIN|DEF|NOM//nmod//17 Per//PM|NOM//appos//9 Furberg//PM|NOM//flat:name//17 ,//MID//punct//20 kriminalkommissarien//NN|UTR|SIN|DEF|NOM//nmod//21 Patrik//PM|NOM//dep//17 Håkansson//PM|NOM//flat:name//21 ,//MID//punct//9 numera//AB//advmod//25 kanslirådet//NN|NEU|SIN|DEF|NOM//appos//9 Per//PM|NOM//conj//9 Lennerbrant//PM|NOM//flat:name//26 ,//MID//punct//26 professorn//NN|UTR|SIN|DEF|NOM//nmod//30 Christina//PM|NOM//appos//26 Ramberg//PM|NOM//flat:name//30 ,//MID//punct//34 kammaråklagaren//NN|UTR|SIN|DEF|NOM//nmod//34 Chatrine//PM|NOM//compound//35 Rudström//PM|NOM//conj//9 ,//MID//punct//37 professorn//NN|UTR|SIN|DEF|NOM//nmod//38 Per//PM|NOM//dep//35 Ole//PM|NOM//flat:name//38 Träskman//PM|NOM//flat:name//38 ,//MID//punct//38 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//43 Jan//PM|NOM//obl//5 Stålhandske//PM|NOM//flat:name//43 och//KN//cc//49 numera//AB//advmod//49 utvecklingsstrategen//NN|UTR|SIN|DEF|NOM//compound//49 Désirée//PM|NOM//compound//49 Veschetti//PM|NOM//conj//43 Holmgren//PM|NOM//flat:name//43 samt//KN//cc//59 fr.o.m.//AB|AN//case//55 den//DT|UTR|SIN|DEF//det//54 19//RG|NOM//nummod//55 oktober//NN|UTR|SIN|IND|NOM//obl//58 2005//RG|NOM//nummod//55 numera//AB//advmod//58 ITstrategen//NN|UTR|SIN|DEF|NOM//compound//59 Gustaf//PM|NOM//conj//5 Johnssén//PM|NOM//flat:name//59 .//MID//punct//59
Till statsrådet och chefen för Justitiedepartementet;Jan//PM|NOM//nsubj:pass//64 Stålhandske//PM|NOM//flat:name//62 entledigades//VB|PRT|SFO//parataxis//59 fr.o.m.//AB|AN//case//68 den//DT|UTR|SIN|DEF//det//68 15//RG|NOM//nummod//68 mars//NN|UTR|SIN|IND|NOM//obl//64 2006//RG|NOM//nummod//68 och//KN//cc//73 samma//DT|UTR/NEU|SIN/PLU|IND//det//72 dag//NN|UTR|SIN|IND|NOM//obl//73 förordnades//VB|PRT|SFO//conj//64 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//advmod//75 Pontus//PM|NOM//nsubj:pass//73 Söderström//PM|NOM//flat:name//75 .//MAD//punct//64
Till statsrådet och chefen för Justitiedepartementet;Patrik//PM|NOM//nsubj:pass//80 Håkansson//PM|NOM//flat:name//78 entledigades//VB|PRT|SFO//conj//64 fr.o.m.//AB|AN//case//84 den//DT|UTR|SIN|DEF//det//84 1//RO|NOM//nummod//84 maj//NN|UTR|SIN|IND|NOM//obl//80 2006//RG|NOM//nummod//84 och//KN//cc//89 samma//DT|UTR/NEU|SIN/PLU|IND//det//88 dag//NN|UTR|SIN|IND|NOM//obl//89 förordnades//VB|PRT|SFO//conj//80 kriminalkommissarien//NN|UTR|SIN|DEF|NOM//nmod//91 Stefan//PM|NOM//nsubj:pass//89 Kronqvist//PM|NOM//flat:name//91 .//MAD//punct//64
Till statsrådet och chefen för Justitiedepartementet;Christina//PM|NOM//nsubj:pass//96 Ramberg//PM|NOM//flat//94 entledigades//VB|PRT|SFO//conj//64 fr.o.m.//AB|AN//case//100 den//DT|UTR|SIN|DEF//det//99 21//RG|NOM//nummod//100 september//NN|UTR|SIN|IND|NOM//obl//96 2007//RG|NOM//nummod//100 .//MAD//punct//5
