Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//1 utredning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 tillsätts//VB|PRS|SFO//ROOT//2 med//PP//case//4 uppgift//NN|UTR|SIN|IND|NOM//obl//2 att//IE//mark//6 redovisa//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//9 syn//NN|UTR|SIN|IND|NOM//obj//6 på//PP//case//11 Försvarsmaktenspersonalförsörjning//NN|UTR|SIN|IND|NOM//obl//6 .//MAD//punct//2

Bakgrund;Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 personal//NN|UTR|SIN|IND|NOM//nsubj//2 består//VB|PRS|AKT//ROOT//2 av//PP//case//4 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//5 yrkesofficerare//NN|UTR|PLU|IND|NOM//obj//2 ,//MID//punct//7 civilanställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//5 ,//MID//punct//9 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//5 reservofficerare//NN|UTR|PLU|IND|NOM//conj//5 ,//MID//punct//12 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//5 (//PAD//punct//12 inkl.//PP|AN//amod//15 hemvärnspersonal//NN|UTR|SIN|IND|NOM//conj//5 )//PAD//punct//5 samt//KN//cc//18 totalförsvarspliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//5 .//MAD//punct//2
Bakgrund;I//PP//case//1 officersförordningen//NN|UTR|SIN|DEF|NOM//obl//7 (//PAD//punct//1 1994:882//RG|NOM//appos//1 )//PAD//punct//1 har//VB|PRS|AKT//aux//7 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//7 lagt//VB|SUP|AKT//ROOT//7 fast//PL//compound:prt//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 krav//NN|NEU|PLU|IND|NOM//obj//7 på//PP//case//13 yrkes-//NN|NEU|-|-|SMS//obl//7 och//KN//cc//15 reservofficerarna//NN|UTR|PLU|DEF|NOM//conj//13 .//MAD//punct//7
Bakgrund;Statsmakterna//NN|UTR|PLU|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 också//AB//advmod//3 lagt//VB|SUP|AKT//ROOT//3 fast//PL//compound:prt//3 att//SN//mark//13 totalförsvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//7 personalförsörjning//NN|UTR|SIN|IND|NOM//nsubj:pass//13 även//AB//advmod//13 i//PP//case//10 fortsättningen//NN|UTR|SIN|DEF|NOM//obl//13 huvudsakligen//AB//advmod//13 skall//VB|PRS|AKT//aux//13 tryggas//VB|INF|SFO//ccomp//3 genom//PP//case//16 ett//DT|NEU|SIN|IND//det//16 system//NN|NEU|SIN|IND|NOM//obl//13 med//PP//case//18 plikttjänstgöring//NN|UTR|SIN|IND|NOM//nmod//16 .//MAD//punct//3
Bakgrund;Regler//NN|UTR|PLU|IND|NOM//obj//3 om//PP//mark//23 plikten//NN|UTR|SIN|DEF|NOM//nsubj//23 finns//VB|PRS|SFO//advcl//3 i//PP//case//25 lagen//NN|UTR|SIN|DEF|NOM//obl//23 (//PAD//punct//27 1994:1809//RG|NOM//appos//25 )//PAD//punct//27 om//PP//case//30 totalförsvarsplikt//NN|UTR|SIN|IND|NOM//obl//27 och//KN//cc//34 därtill//AB//advmod//34 hörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 förordningar//NN|UTR|PLU|IND|NOM//conj//30 .//MAD//punct//3
Bakgrund;Pliktsystemet//NN|NEU|SIN|DEF|NOM//nsubj//39 är//VB|PRS|AKT//cop//39 för//PP//advmod//39 närvarande//NN|NEU|SIN|IND|NOM//parataxis//3 under//PP//case//41 utredning//NN|UTR|SIN|IND|NOM//obl//39 av//PP//case//45 1998//RG|NOM//nummod//44 års//NN|NEU|SIN|IND|GEN//nmod:poss//45 pliktutredning//NN|UTR|SIN|IND|NOM//nmod//41 .//MAD//punct//3
Bakgrund;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 frågor//NN|UTR|PLU|IND|NOM//ROOT//2 som//HP|-|-|-//nsubj//4 rör//VB|PRS|AKT//acl:relcl//2 den//DT|UTR|SIN|DEF//det//7 frivilliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 personalen//NN|UTR|SIN|DEF|NOM//obj//4 och//KN//cc//11 hemvärnspersonalen//NN|UTR|SIN|DEF|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 förordningsreglerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//4 .//MAD//punct//2
Bakgrund;Försvarsutskottet//NN|NEU|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 vid//PP//case//4 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//4 tillfällen//NN|NEU|PLU|IND|NOM//obl//1 ,//MID//punct//1 senast//AB|SUV//case//8 hösten//NN|UTR|SIN|DEF|NOM//nmod//8 1997//RG|NOM//obl//1 (//PAD//punct//1 bet//VB|PRT|AKT//parataxis//1 .//MAD//punct//1
Bakgrund;1997/98//RG|NOM//obl//1 ://MID//punct//12
Bakgrund;FöU1//PM|NOM//case//16 s.//NN|AN//nmod//16 55//RG|NOM//appos//12 )//PAD//punct//16 ,//MID//punct//19 begärt//PC|PRF|NEU|SIN|IND|NOM//conj//1 förslag//NN|NEU|SIN|IND|NOM//obj//19 från//PP//case//22 regeringen//NN|UTR|SIN|DEF|NOM//nmod//20 om//SN//mark//26 ett//DT|NEU|SIN|IND//det//25 sammanhållet//PC|PRF|NEU|SIN|IND|NOM//nsubj//26 reformerat//PC|PRF|NEU|SIN|IND|NOM//amod//27 personalförsörjningssystem//NN|NEU|SIN|IND|NOM//obj//19 som//HP|-|-|-//nsubj//29 gäller//VB|PRS|AKT//acl:relcl//27 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//31 personalkategorier//NN|UTR|PLU|IND|NOM//obj//29 inom//PP//case//33 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//31 .//MAD//punct//1
Bakgrund;Riksrevisionverket//NN|NEU|SIN|DEF|NOM//nsubj//16 har//VB|PRS|AKT//aux//16 i//PP//case//4 en//DT|UTR|SIN|IND//det//4 rapport//NN|UTR|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//7 18//RG|NOM//nummod//7 juni//NN|UTR|SIN|IND|NOM//nmod//13 1998//RG|NOM//nummod//7 (//PAD//punct//7 RRV//PM|NOM//appos//7 1998:47//RG|NOM//nmod//10 )//PAD//punct//10 Officerare//NN|UTR|PLU|IND|NOM//obl//16 inom//PP//case//15 försvaret//NN|NEU|SIN|DEF|NOM//nmod//13 uppmärksammat//VB|SUP|AKT//ROOT//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 obalanser//NN|UTR|PLU|IND|NOM//obj//16 i//PP//case//23 fråga//NN|UTR|SIN|IND|NOM//fixed//20 om//PP//fixed//20 personalen//NN|UTR|SIN|DEF|NOM//obl//16 i//PP//case//25 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//23 .//MAD//punct//16
Bakgrund;Riksrevisionsverket//NN|NEU|SIN|DEF|NOM//nsubj//28 underströk//VB|PRT|AKT//parataxis//16 i//PP//case//30 rapporten//NN|UTR|SIN|DEF|NOM//obl//28 vikten//NN|UTR|SIN|DEF|NOM//obj//28 av//PP//mark//35 att//SN//mark//35 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//35 vidtog//VB|PRT|AKT//acl//31 åtgärder//NN|UTR|PLU|IND|NOM//obj//35 som//HP|-|-|-//nsubj//39 bl.a.//AB|AN//advmod//39 avsåg//VB|PRT|AKT//acl:relcl//36 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//41 yrkesväxling//NN|UTR|SIN|IND|NOM//obj//39 ,//MID//punct//44 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//44 användning//NN|UTR|SIN|IND|NOM//conj//36 av//PP//case//46 reservofficerare//NN|UTR|PLU|IND|NOM//nmod//44 i//PP//case//48 grundorganisationen//NN|UTR|SIN|DEF|NOM//nmod//44 ,//MID//punct//51 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//51 tid//NN|UTR|SIN|IND|NOM//conj//35 i//PP//case//53 befattning//NN|UTR|SIN|IND|NOM//nmod//51 ,//MID//punct//55 reducering//NN|UTR|SIN|IND|NOM//conj//53 av//PP//case//57 förmåner//NN|UTR|PLU|IND|NOM//nmod//55 till//PP//case//59 officersaspiranter//NN|UTR|PLU|IND|NOM//nmod//57 samt//KN//cc//62 avkortade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//62 tider//NN|UTR|PLU|IND|NOM//conj//53 mellan//PP//case//65 nivåhöjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 utbildningar//NN|UTR|PLU|IND|NOM//nmod//62 .//MAD//punct//16
Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 redovisade//VB|PRT|AKT//ROOT//1 i//PP//case//3 propositionen//NN|UTR|SIN|DEF|NOM//obl//1 (//PAD//punct//3 prop//NN|UTR|SIN|IND|NOM//appos//3 .//MAD//punct//3
Bakgrund;1998/99:74//RG|NOM//obl//1 )//PAD//punct//7 Förändrad//PC|PRF|UTR|SIN|IND|NOM//amod//10 omvärld//NN|UTR|SIN|IND|NOM//appos//7 –//RG|NOM//punct//13 omdanat//PC|PRF|NEU|SIN|IND|NOM//amod//13 försvar//NN|NEU|SIN|IND|NOM//conj//7 sin//PS|UTR|SIN|DEF//nmod:poss//15 syn//NN|UTR|SIN|IND|NOM//nmod//13 på//PP//case//17 personalförsörjningsfrågan//NN|UTR|SIN|DEF|NOM//nmod//15 .//MAD//punct//7
Bakgrund;Regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 bedömning//NN|UTR|SIN|IND|NOM//nsubj:pass//25 av//PP//case//24 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 utbildningsstruktur//NN|UTR|SIN|IND|NOM//nmod//20 redovisades//VB|PRT|SFO//conj//1 också//AB//advmod//25 i//PP//case//28 propositionen//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//1
