MATS LEDERHAUSEN  ,  strategiansvarig, globalt McDonald’s Corp, USA, samtalsledare MICHAEL TRESCHOW  ,  koncernchef Electrolux ;HANS//PM|NOM//nmod//1 VON//PM|NOM//nmod//2 UTHMANN//PM|NOM//ROOT//2  //_SP////2 ,//MID//punct//7  //_SP////4 koncernchef//NN|UTR|SIN|IND|NOM//nmod//7 Shell//PM|NOM//conj//2 Sverige//PM|NOM//flat//7
MATS LEDERHAUSEN  ,  strategiansvarig, globalt McDonald’s Corp, USA, samtalsledare MICHAEL TRESCHOW  ,  koncernchef Electrolux ;JACOB//PM|NOM//nmod//1 WALLENBERG//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 styrelseordförande//NN|UTR|SIN|IND|NOM//conj//1 för//PP//case//7 SCB//PM|NOM//nmod//5 och//KN//cc//10 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//10 VD//NN|AN//conj//7 Investor//PM|NOM//nmod//5

Företagens roll på 2000-talet;Vilken//HP|UTR|SIN|IND//nsubj//3 är//VB|PRS|AKT//cop//3 företagens//NN|NEU|PLU|DEF|GEN//nmod:poss//3 uppgift//NN|UTR|SIN|IND|NOM//ROOT//3 ?//MID//punct//3
Företagens roll på 2000-talet;Har//VB|PRS|AKT//aux//7 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//7 förändrats//VB|SUP|SFO//parataxis//3 genom//PP//case//9 åren//NN|NEU|PLU|DEF|NOM//obl//7 ,//MID//punct//15 och//KN//cc//15 kommer//VB|PRS|AKT//aux//15 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//15 att//IE//mark//15 förändras//VB|INF|SFO//conj//3 i//PP//case//17 framtiden//NN|UTR|SIN|DEF|NOM//obl//15 ?//MID//punct//15
Företagens roll på 2000-talet;Nära//AB|POS//case//20 knuten//PC|PRF|UTR|SIN|IND|NOM//obl//24 till//PP//case//22 uppgiften//NN|UTR|SIN|DEF|NOM//nmod//20 är//VB|PRS|AKT//cop//24 frågan//NN|UTR|SIN|DEF|NOM//conj//3 om//PP//case//26 ansvar//NN|NEU|SIN|IND|NOM//nmod//24 .//MAD//punct//24
Företagens roll på 2000-talet;Hur//HA//advmod//29 ser//VB|PRS|AKT//conj//3 företagens//NN|NEU|PLU|DEF|GEN//nmod:poss//31 ansvar//NN|NEU|SIN|IND|NOM//nsubj//29 ut//PL//compound:prt//29 ,//MID//punct//29 och//KN//cc//42 hur//HA//advmod//36 stort//JJ|POS|NEU|SIN|IND|NOM//amod//37 ansvar//NN|NEU|SIN|IND|NOM//obj//42 kan//VB|PRS|AKT//aux//42 ett//DT|NEU|SIN|IND//det//40 företag//NN|NEU|SIN|IND|NOM//nsubj//42 egentligen//AB//advmod//42 ta//VB|INF|AKT//conj//29 ?//MAD//punct//29
Företagens roll på 2000-talet;Företagen//NN|NEU|PLU|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//7 mot//PP//case//3 slutet//NN|NEU|SIN|DEF|NOM//obl//7 av//PP//case//6 detta//DT|NEU|SIN|DEF//det//6 århundrade//NN|NEU|SIN|IND|NOM//nmod//3 blivit//VB|SUP|AKT//ROOT//7 världens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 kanske//AB//advmod//11 mäktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//11 institutioner//NN|UTR|PLU|IND|NOM//xcomp//7 .//MAD//punct//7
Företagens roll på 2000-talet;Över//AB//case//14 femtio//RG|NOM//nsubj//22 av//PP//case//18 världens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//18 ekonomier//NN|NEU|PLU|IND|NOM//nmod//14 är//VB|PRS|AKT//cop//22 i//PP//amod//22 dag//NN|UTR|SIN|IND|NOM//fixed//20 företag//NN|NEU|PLU|IND|NOM//obl//7 .//MAD//punct//7
Företagens roll på 2000-talet;Företagen//NN|NEU|PLU|DEF|NOM//nsubj//25 spelar//VB|PRS|AKT//parataxis//7 på//PP//case//29 en//DT|UTR|SIN|IND//det//29 global//JJ|POS|UTR|SIN|IND|NOM//amod//29 marknad//NN|UTR|SIN|IND|NOM//obl//25 och//KN//cc//39 är//VB|PRS|AKT//cop//39 ,//MID//punct//34 till//PP//case//34 skillnad//NN|UTR|SIN|IND|NOM//obl//39 från//PP//case//36 politiken//NN|UTR|SIN|DEF|NOM//nmod//34 ,//MID//punct//34 ofta//AB|POS//advmod//39 skapade//VB|PRT|AKT//conj//25 för//PP//mark//43 att//IE//mark//43 just//AB//advmod//43 hantera//VB|INF|AKT//advcl//39 en//DT|UTR|SIN|IND//det//45 värld//NN|UTR|SIN|IND|NOM//obj//43 utan//PP//case//47 gränser//NN|UTR|PLU|IND|NOM//nmod//45 .//MAD//punct//25
Företagens roll på 2000-talet;Men//KN//cc//53 företagen//NN|NEU|PLU|DEF|NOM//nsubj//53 har//VB|PRS|AKT//aux//53 inte//AB//advmod//53 haft//VB|SUP|AKT//conj//25 en//DT|UTR|SIN|IND//det//55 tradition//NN|UTR|SIN|IND|NOM//obj//53 att//IE//mark//57 ta//VB|INF|AKT//acl//55 ansvar//NN|NEU|SIN|IND|NOM//obj//57 för//PP//case//60 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//57 som//HP|-|-|-//nsubj//62 ligger//VB|PRS|AKT//acl:relcl//60 utanför//PP//case//65 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//65 verksamhetsområde//NN|NEU|SIN|IND|NOM//obl//62 .//MAD//punct//25
Företagens roll på 2000-talet;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//68 anser//VB|PRS|AKT//parataxis//25 också//AB//advmod//68 att//SN//mark//76 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//76 inte//AB//advmod//76 bör//VB|PRS|AKT//aux//76 eller//KN//cc//76 kan//VB|PRS|AKT//aux//76 ha//VB|INF|AKT//ccomp//68 ett//DT|NEU|SIN|IND//det//79 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//79 ansvar//NN|NEU|SIN|IND|NOM//obj//76 .//MAD//punct//68
Företagens roll på 2000-talet;Företagen//NN|NEU|PLU|DEF|NOM//nsubj//82 tjänar//VB|PRS|AKT//parataxis//68 pengar//NN|UTR|PLU|IND|NOM//obj//82 .//MID//punct//68
Företagens roll på 2000-talet;Det//DT|NEU|SIN|DEF//det//86 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nsubj//89 får//VB|PRS|AKT//aux//89 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//89 ta//VB|INF|AKT//parataxis//68 hand//NN|UTR|SIN|IND|NOM//compound:prt//89 om//PP//case//89 .//MAD//punct//68
Företagens roll på 2000-talet;Allt//PN|NEU|SIN|IND|SUB/OBJ//advmod//95 enligt//PP//case//95 parollen//NN|UTR|SIN|DEF|NOM//obl//68 ://MID//punct//95 ”//PM|NOM//punct//99
Företagens roll på 2000-talet;The//UO//det//99 business//UO//appos//95 of//UO//case//101 business//UO//nmod//102 is//UO//nmod//103 business//UO//conj//99 ”//PAD//punct//99 .//MAD//punct//25
Företagens roll på 2000-talet;För//PP//mark//2 att//IE//mark//2 diskutera//VB|INF|AKT//advcl//7 företagens//NN|NEU|PLU|DEF|GEN//nmod:poss//4 roll//NN|UTR|SIN|IND|NOM//obj//2 på//PP//case//6 2000-talet//NN|NEU|SIN|DEF|NOM//obl//2 bjöd//VB|PRT|AKT//ROOT//7 Mats//PM|NOM//nsubj//7 Lederhausen//PM|NOM//flat//8 ,//MID//punct//11 VD//NN|AN//nmod//12 McDonald//PM|NOM//obj//7 ’//PM|NOM//punct//12 s//PM|NOM//nummod//15 Sverige//PM|NOM//nmod//12 ,//MID//punct//12 in//AB//case//19 några//DT|UTR/NEU|PLU|IND//det//19 företagsledare//NN|UTR|PLU|IND|NOM//conj//12 med//PP//case//22 stor//JJ|POS|UTR|SIN|IND|NOM//amod//22 erfarenhet//NN|UTR|SIN|IND|NOM//nmod//19 från//PP//case//24 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//22 .//MID//punct//7
Företagens roll på 2000-talet;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 var//VB|PRT|AKT//cop//45 Michael//PM|NOM//nsubj//45 Treschow//PM|NOM//flat//28 ,//MID//punct//28 koncernchef//NN|UTR|SIN|IND|NOM//nmod//32 Electrolux//PM|NOM//conj//28 ,//MID//punct//28 Hans//PM|NOM//nmod:poss//35 von//PM|NOM//nmod//36 Uthmann//PM|NOM//conj//28 ,//MID//punct//39 koncernchef//NN|UTR|SIN|IND|NOM//nmod//39 Shell//PM|NOM//conj//28 Sverige//PM|NOM//flat//39 och//KN//cc//42 Jacob//PM|NOM//conj//28 Wallenberg//PM|NOM//flat:name//42 ,//MID//punct//45 styrelseordförande//NN|UTR|SIN|IND|NOM//parataxis//7 för//PP//case//47 SCB//PM|NOM//nmod//45 och//KN//cc//50 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//50 VD//NN|AN//conj//47 Investor//PM|NOM//nmod//45 som//HP|-|-|-//nsubj:pass//53 träffades//VB|PRT|SFO//acl:relcl//51 den//DT|UTR|SIN|DEF//det//56 12//RG|NOM//nummod//56 januari//NN|UTR|SIN|IND|NOM//obl//53 1999//RG|NOM//nummod//56 på//PP//case//60 Villa//PM|NOM//amod//60 Bonnier//PM|NOM//obl//53 i//PP//case//62 Stockholm//PM|NOM//nmod//60 .//MAD//punct//45
Företagens roll på 2000-talet;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//70 med//PP//case//66 samtalet//NN|NEU|SIN|DEF|NOM//nmod//64 var//VB|PRT|AKT//cop//70 inte//AB//advmod//70 att//IE//mark//70 komma//VB|INF|AKT//conj//45 fram//PL//advmod//70 till//PP//case//75 någon//DT|UTR|SIN|IND//det//75 viss//JJ|POS|UTR|SIN|IND|NOM//amod//75 ”//PAD//punct//76 lösning//NN|UTR|SIN|IND|NOM//obj//70 ”//RG|NOM//punct//70 ,//MID//punct//81 utan//PP//mark//81 att//IE//mark//81 föra//VB|INF|AKT//advcl//70 ett//DT|NEU|SIN|IND//det//83 resonemang//NN|NEU|SIN|IND|NOM//obj//81 kring//PP//case//86 företagens//NN|NEU|PLU|DEF|GEN//nmod:poss//86 ansvar//NN|NEU|SIN|IND|NOM//obl//81 och//KN//cc//91 hur//HA//advmod//91 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//91 har//VB|PRS|AKT//aux//91 utvecklats//VB|SUP|SFO//conj//81 och//KN//cc//95 kommer//VB|PRS|AKT//aux//95 att//IE//mark//95 utvecklas//VB|INF|SFO//conj//91 .//MAD//punct//70 –//PAD//punct//99
Företagens roll på 2000-talet;Jag//PN|UTR|SIN|DEF|SUB//nsubj//99 har//VB|PRS|AKT//parataxis//70 som//KN//mark//101 ledamot//NN|UTR|SIN|IND|NOM//xcomp//99 i//PP//case//103 Millenniekommittén//NN|UTR|SIN|DEF|NOM//nmod//101 valt//VB|SUP|AKT//xcomp//70 att//IE//mark//107 särskilt//AB//advmod//107 intressera//VB|INF|AKT//xcomp//104 mig//PN|UTR|SIN|DEF|OBJ//obj//107 för//PP//case//110 frågan//NN|UTR|SIN|DEF|NOM//obl//107 om//PP//case//112 ansvar//NN|NEU|SIN|IND|NOM//nmod//110 ,//MID//punct//114 inleder//VB|PRS|AKT//parataxis//70 Mats//PM|NOM//nsubj//114 Lederhausen//PM|NOM//flat//115 .//MAD//punct//70
Företagens roll på 2000-talet;Jag//PN|UTR|SIN|DEF|SUB//nsubj//119 anser//VB|PRS|AKT//conj//70 nämligen//AB//advmod//119 att//SN//case//122 ett//PN|NEU|SIN|IND|SUB/OBJ//ccomp//119 av//PP//case//126 samtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//126 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 problem//NN|NEU|SIN|IND|NOM//nmod//122 är//VB|PRS|AKT//cop//122 att//SN//mark//132 allt//DT|NEU|SIN|IND/DEF//det//131 ﬂer//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//fixed//129 människor//NN|UTR|PLU|IND|NOM//nsubj//132 tycker//VB|PRS|AKT//ccomp//127 att//SN//mark//136 ansvar//NN|NEU|SIN|IND|NOM//nsubj//136 är//VB|PRS|AKT//cop//136 något//PN|NEU|SIN|IND|SUB/OBJ//ccomp//132 som//HP|-|-|-//obj//140 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//140 borde//VB|PRT|AKT//aux//140 ha//VB|INF|AKT//acl:relcl//136 mer//AB|KOM//advmod//140 av//PP//case//140 .//MAD//punct//127
Företagens roll på 2000-talet;Nästan//AB//advmod//146 alla//DT|UTR/NEU|PLU|IND/DEF//det//146 diskussioner//NN|UTR|PLU|IND|NOM//nsubj//149 om//PP//case//148 ansvar//NN|NEU|SIN|IND|NOM//nmod//146 handlar//VB|PRS|AKT//parataxis//127 om//PP//case//152 andras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//152 ansvar//NN|NEU|SIN|IND|NOM//obl//149 .//MAD//punct//45
Företagens roll på 2000-talet;Jag//PN|UTR|SIN|DEF|SUB//nsubj//1 ser//VB|PRS|AKT//ROOT//1 två//RG|NOM//nummod//4 allvarliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 konsekvenser//NN|UTR|PLU|IND|NOM//obj//1 av//PP//case//7 detta//DT|NEU|SIN|DEF//det//7 synsätt//NN|NEU|SIN|IND|NOM//nmod//4 .//MAD//punct//1
Företagens roll på 2000-talet;För//PP//case//11 det//DT|NEU|SIN|DEF//det//11 första//RO|NOM//obl//12 blir//VB|PRS|AKT//parataxis//1 problemlösningen//NN|UTR|SIN|DEF|NOM//nsubj//12 ineffektiv//JJ|POS|UTR|SIN|IND|NOM//xcomp//12 .//MAD//punct//1
Företagens roll på 2000-talet;För//PP//mark//18 att//IE//mark//18 lyckas//VB|INF|SFO//advcl//24 förbättra//VB|INF|AKT//xcomp//18 ett//DT|NEU|SIN|IND//det//21 samhälle//NN|NEU|SIN|IND|NOM//obj//19 måste//VB|PRS|AKT//aux//24 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//24 delta//VB|INF|AKT//parataxis//1 i//PP//case//26 samhällsbygget//NN|NEU|SIN|DEF|NOM//obl//24 .//MAD//punct//1
Företagens roll på 2000-talet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//29 har//VB|PRS|AKT//parataxis//1 inte//AB//advmod//29 råd//NN|NEU|SIN|IND|NOM//obj//29 att//IE//mark//33 lämna//VB|INF|AKT//acl//31 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//33 utanför//PP//compound:prt//33 .//MAD//punct//40
Företagens roll på 2000-talet;För//PP//case//39 det//DT|NEU|SIN|DEF//det//39 andra//RO|NOM//obl//40 föder//VB|PRS|AKT//conj//29 ickeansvar//NN|NEU|SIN|IND|NOM//obj//40 också//AB//advmod//40 hopplöshet//NN|UTR|SIN|IND|NOM//obj//40 .//MAD//punct//40
Företagens roll på 2000-talet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//46 ser//VB|PRS|AKT//parataxis//40 i//PP//advmod//46 dag//NN|UTR|SIN|IND|NOM//fixed//47 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 tecken//NN|NEU|PLU|IND|NOM//obj//46 på//PP//mark//60 att//SN//mark//60 förtroendet//NN|NEU|SIN|DEF|NOM//nsubj//60 för//PP//case//57 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//57 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 institutioner//NN|UTR|PLU|IND|NOM//nmod//53 är//VB|PRS|AKT//cop//60 mycket//AB|POS//advmod//60 begränsat//PC|PRF|NEU|SIN|IND|NOM//advcl//46 ,//MID//punct//46 och//KN//cc//65 som//KN//case//65 ett//DT|NEU|SIN|IND//det//65 brev//NN|NEU|SIN|IND|NOM//conj//46 på//PP//case//67 posten//NN|UTR|SIN|DEF|NOM//nmod//65 uppstår//VB|PRS|AKT//conj//29 osäkerhet//NN|UTR|SIN|IND|NOM//obj//68 kring//PP//case//71 framtiden//NN|UTR|SIN|DEF|NOM//obl//68 ,//MID//punct//75 inte//AB//advmod//75 sällan//AB//advmod//75 målad//PC|PRF|UTR|SIN|IND|NOM//conj//29 i//PP//case//80 dystra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 och//KN//cc//79 mörka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//77 färger//NN|UTR|PLU|IND|NOM//obl//75 .//MAD//punct//29

Människan som produktionsfaktor;–//PP//punct//2 De//DT|UTR/NEU|PLU|DEF//det//2 faktorer//NN|UTR|PLU|IND|NOM//nsubj:pass//19 som//HP|-|-|-//nsubj//4 skapat//VB|SUP|AKT//acl:relcl//2 framgång//NN|UTR|SIN|IND|NOM//obj//4 ,//MID//punct//7 välstånd//NN|NEU|SIN|IND|NOM//conj//5 och//KN//cc//9 rikedom//NN|UTR|SIN|IND|NOM//conj//5 i//PP//case//16 så//AB//advmod//12 gott//AB|POS//fixed//10 som//KN//case//16 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 mänsklighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 historia//NN|UTR|SIN|IND|NOM//obl//4 har//VB|PRS|AKT//aux//19 kunnat//VB|SUP|AKT//aux//19 jagas//VB|INF|SFO//ROOT//19 ,//MID//punct//21 fortsätter//VB|PRS|AKT//parataxis//19 Mats//PM|NOM//nsubj//21 Lederhausen//PM|NOM//flat//22 .//MAD//punct//21
Människan som produktionsfaktor;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 som//HP|-|-|-//nsubj//27 skapat//VB|SUP|AKT//acl:relcl//25 välstånd//NN|NEU|SIN|IND|NOM//obj//27 har//VB|PRS|AKT//aux//31 varit//VB|SUP|AKT//cop//31 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//19 av//PP//case//33 land//NN|NEU|SIN|IND|NOM//obl//31 och//KN//cc//35 gränser//NN|UTR|PLU|IND|NOM//conj//33 .//MAD//punct//31
Människan som produktionsfaktor;Men//KN//cc//41 i//PP//advmod//40 dag//NN|UTR|SIN|IND|NOM//fixed//38 är//VB|PRS|AKT//cop//41 det//PN|NEU|SIN|DEF|SUB/OBJ//conj//31 som//HP|-|-|-//nsubj//43 skapar//VB|PRS|AKT//acl:relcl//41 framgång//NN|UTR|SIN|IND|NOM//obj//43 och//KN//cc//46 rikedom//NN|UTR|SIN|IND|NOM//conj//44 inte//AB//advmod//43 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//43 av//PP//case//50 land//NN|NEU|SIN|IND|NOM//nmod//48 ,//MID//punct//52 gränser//NN|UTR|PLU|IND|NOM//conj//50 och//KN//cc//54 hårdvaror//NN|UTR|PLU|IND|NOM//conj//50 i//PP//case//57 samma//DT|UTR/NEU|SIN/PLU|IND//det//57 omfattning//NN|UTR|SIN|IND|NOM//obl//43 .//MAD//punct//31
Människan som produktionsfaktor;Framgångsfaktorer//NN|UTR|PLU|IND|NOM//nsubj:pass//61 idag//AB//advmod//61 präglas//VB|PRS|SFO//parataxis//31 mer//AB|KOM//advmod//61 av//PP//case//69 intellektuellt//JJ|POS|NEU|SIN|IND|NOM//amod//69 ,//MID//punct//66 emotionellt//JJ|POS|NEU|SIN|IND|NOM//conj//64 och//KN//cc//68 spirituellt//JJ|POS|NEU|SIN|IND|NOM//conj//64 kapital//NN|NEU|SIN|IND|NOM//obl:agent//61 .//MAD//punct//19
Människan som produktionsfaktor;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 står//VB|PRS|AKT//ROOT//1 utom//PP//case//4 allt//DT|NEU|SIN|IND/DEF//det//4 tvivel//NN|NEU|SIN|IND|NOM//obl//1 att//SN//mark//9 vi//PN|UTR|PLU|DEF|SUB//nsubj//9 i//PP//advmod//9 dag//NN|UTR|SIN|IND|NOM//fixed//7 har//VB|PRS|AKT//acl//4 fantastiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 möjligheter//NN|UTR|PLU|IND|NOM//obj//9 .//MAD//punct//1
Människan som produktionsfaktor;En//DT|UTR|SIN|IND//det//15 global//JJ|POS|UTR|SIN|IND|NOM//amod//15 marknad//NN|UTR|SIN|IND|NOM//appos//1 där//HA//advmod//21 mänsklig//JJ|POS|UTR|SIN|IND|NOM//amod//18 kreativitet//NN|UTR|SIN|IND|NOM//nsubj//21 snarare//AB|KOM//advmod//21 än//KN//case//21 ursprung//NN|NEU|SIN|IND|NOM//acl//15 och//KN//cc//25 geograﬁ//NN|NEU|SIN|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//15 .//MAD//punct//15
Människan som produktionsfaktor;Men//KN//cc//29 vi//PN|UTR|PLU|DEF|SUB//nsubj//29 möter//VB|PRS|AKT//conj//1 också//AB//advmod//29 ett//DT|NEU|SIN|IND//det//32 antal//NN|NEU|SIN|IND|NOM//nmod//35 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 globala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 problem//NN|NEU|PLU|IND|NOM//obj//29 som//HP|-|-|-//nsubj//38 länge//AB|POS//advmod//38 sökt//VB|SUP|AKT//acl:relcl//35 efter//PP//case//41 sin//PS|UTR|SIN|DEF//nmod:poss//41 lösning//NN|UTR|SIN|IND|NOM//obl//38 såsom//KN//mark//43 befolkningsutvecklingen//NN|UTR|SIN|DEF|NOM//obl//38 ,//MID//punct//45 miljöproblematiken//NN|UTR|SIN|DEF|NOM//conj//43 och//KN//cc//48 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 problem//NN|NEU|PLU|IND|NOM//conj//43 i//PP//case//51 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 städer//NN|UTR|PLU|IND|NOM//nmod//43 .//MAD//punct//1
Människan som produktionsfaktor;Jag//PN|UTR|SIN|DEF|SUB//nsubj//1 tror//VB|PRS|AKT//ROOT//1 att//SN//mark//5 företagen//NN|NEU|PLU|DEF|NOM//nsubj//5 både//KN//cc//5 kan//VB|PRS|AKT//ccomp//1 och//KN//cc//8 bör//VB|PRS|AKT//aux//8 ta//VB|INF|AKT//conj//5 ett//DT|NEU|SIN|IND//det//11 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 ansvar//NN|NEU|SIN|IND|NOM//obj//8 för//PP//case//14 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//14 utveckling//NN|UTR|SIN|IND|NOM//obl//8 i//PP//case//17 vid//JJ|POS|UTR|SIN|IND|NOM//case//17 mening//NN|UTR|SIN|IND|NOM//nmod//14 .//MAD//punct//1
Människan som produktionsfaktor;Jag//PN|UTR|SIN|DEF|SUB//nsubj//20 tror//VB|PRS|AKT//parataxis//1 inte//AB//advmod//20 heller//AB//advmod//20 att//SN//mark//28 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 på//PP//case//27 lång//JJ|POS|UTR|SIN|IND|NOM//amod//27 sikt//NN|UTR|SIN|IND|NOM//obl//28 ﬁnns//VB|PRS|SFO//ccomp//20 några//DT|UTR/NEU|PLU|IND//det//31 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 konﬂikter//NN|UTR|PLU|IND|NOM//nsubj//28 mellan//PP//mark//34 att//IE//mark//34 tjäna//VB|INF|AKT//acl//31 pengar//NN|UTR|PLU|IND|NOM//obj//34 och//KN//cc//38 att//IE//mark//38 tjäna//VB|INF|AKT//conj//34 världen//NN|UTR|SIN|DEF|NOM//obj//38 .//MAD//punct//20
