Utredningens förslag i ett bredare sammanhang;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//9 om//PP//case//4 Riksbankens//PM|GEN//nmod:poss//4 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//1 oberoende//NN|NEU|SIN|IND|NOM//advmod//9 och//KN//cc//7 balansräkning//NN|UTR|SIN|IND|NOM//conj//5 ska//VB|PRS|AKT//aux//9 ses//VB|INF|SFO//ROOT//9 i//PP//case//13 ett//DT|NEU|SIN|IND//det//13 bredare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 sammanhang//NN|NEU|SIN|IND|NOM//obl//9 .//MAD//punct//9
Utredningens förslag i ett bredare sammanhang;Till//PP//advmod//4 följd//NN|UTR|SIN|IND|NOM//fixed//0 av//PP//case//3 finanskrisen//NN|UTR|SIN|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//7 vidtagits//VB|SUP|SFO//ROOT//7 för//PP//mark//10 att//IE//mark//10 göra//VB|INF|AKT//advcl//7 det//DT|NEU|SIN|DEF//det//13 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 systemet//NN|NEU|SIN|DEF|NOM//obj//10 mer//AB|KOM//advmod//15 motståndskraftigt//JJ|POS|NEU|SIN|IND|NOM//advmod//10 mot//PP//case//17 störningar//NN|UTR|PLU|IND|NOM//obl//10 .//MAD//punct//7
Utredningens förslag i ett bredare sammanhang;På//PP//case//21 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//21 nivå//NN|UTR|SIN|IND|NOM//obl//22 ställs//VB|PRS|SFO//conj//7 hårdare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//22 på//PP//case//27 bankernas//NN|UTR|PLU|DEF|GEN//nmod:poss//27 kapitaltäckning//NN|UTR|SIN|IND|NOM//obl//22 ,//MID//punct//29 likviditetsreserver//NN|UTR|PLU|IND|NOM//conj//27 och//KN//cc//31 finansiering//NN|UTR|SIN|IND|NOM//conj//27 .//MAD//punct//22
Utredningens förslag i ett bredare sammanhang;I//PP//case//34 Sverige//PM|NOM//obl//35 ställs//VB|PRS|SFO//conj//22 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//35 på//PP//case//39 bankerna//NN|UTR|PLU|DEF|NOM//obl//35 om//PP//case//41 likviditetsreserver//NN|UTR|PLU|IND|NOM//nmod//39 i//PP//case//43 dollar//NN|UTR|PLU|IND|NOM//nmod//41 och//KN//cc//45 euro//NN|UTR|PLU|IND|NOM//conj//43 .//MAD//punct//7
Utredningens förslag i ett bredare sammanhang;Statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 garantier//NN|UTR|PLU|IND|NOM//nsubj:pass//53 för//PP//case//51 bankernas//NN|UTR|PLU|DEF|GEN//nmod:poss//51 upplåning//NN|UTR|SIN|IND|NOM//nmod//48 kan//VB|PRS|AKT//aux//53 ges//VB|INF|SFO//parataxis//7 med//PP//case//56 kort//JJ|POS|UTR|SIN|IND|NOM//amod//56 varsel//NN|NEU|SIN|IND|NOM//obl//53 .//MAD//punct//53
Utredningens förslag i ett bredare sammanhang;Den//DT|UTR|SIN|DEF//nsubj//65 av//PP//case//60 regeringen//NN|UTR|SIN|DEF|NOM//nmod//58 tillsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//62 Finanskriskommittén//NN|UTR|SIN|DEF|NOM//nmod//60 har//VB|PRS|AKT//aux//65 nyligen//AB//advmod//65 lämnat//VB|SUP|AKT//conj//53 förslag//NN|NEU|SIN|IND|NOM//obj//65 om//PP//case//69 förstärkt//PC|PRF|UTR|SIN|IND|NOM//amod//69 makrotillsyn//NN|UTR|SIN|IND|NOM//nmod//66 och//KN//cc//72 om//PP//case//72 ansvarsfördelningen//NN|UTR|SIN|DEF|NOM//conj//65 mellan//PP//case//74 regeringen//NN|UTR|SIN|DEF|NOM//nmod//72 och//KN//cc//77 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//77 myndigheter//NN|UTR|PLU|IND|NOM//conj//74 samt//KN//cc//79 Riksbanken//PM|NOM//conj//74 när//HA//case//83 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//80 gäller//VB|PRS|AKT//fixed//80 hanteringen//NN|UTR|SIN|DEF|NOM//nmod//72 av//PP//case//86 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 kriser//NN|UTR|PLU|IND|NOM//nmod//83 .//MAD//punct//7
Utredningens förslag i ett bredare sammanhang;Därutöver//AB//advmod//1 syftar//VB|PRS|AKT//ROOT//1 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 förslag//NN|NEU|SIN|IND|NOM//nsubj//1 till//PP//mark//6 att//IE//mark//6 uppfylla//VB|INF|AKT//acl//3 de//DT|UTR/NEU|PLU|DEF//det//8 krav//NN|NEU|PLU|IND|NOM//obj//6 som//HP|-|-|-//obj//11 unionsrätten//NN|UTR|SIN|DEF|NOM//nsubj//11 ställer//VB|PRS|AKT//acl:relcl//8 på//PP//case//15 en//DT|UTR|SIN|IND//det//15 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 centralbank//NN|UTR|SIN|IND|NOM//obl//11 .//MAD//punct//1

Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//6 Riksbanken//PM|NOM//nsubj:pass//6 i//PP//case//5 lag//NN|UTR|SIN|IND|NOM//obl//6 tillförsäkras//VB|INF|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//8 kostnadsfritt//JJ|POS|NEU|SIN|IND|NOM//obl//6 och//KN//cc//10 inflationsskyddat//PC|PRF|NEU|SIN|IND|NOM//conj//6 kapital//NN|NEU|SIN|IND|NOM//obj//10 på//PP//case//15 75//RG|NOM//nummod//14 miljarder//NN|UTR|PLU|IND|NOM//nmod//15 kronor//NN|UTR|PLU|IND|NOM//obl//10 .//MAD//punct//6
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Avkastningen//NN|UTR|SIN|DEF|NOM//obl//6 på//PP//case//19 kapitalet//NN|NEU|SIN|DEF|NOM//nmod//17 bedöms//VB|PRS|SFO//conj//6 täcka//VB|INF|AKT//xcomp//20 Riksbankens//PM|GEN//nmod:poss//23 kostnader//NN|UTR|PLU|IND|NOM//obj//21 över//PP//case//25 tid//NN|UTR|SIN|IND|NOM//nmod//23 med//PP//case//28 betryggande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 marginal//NN|UTR|SIN|IND|NOM//nmod//25 .//MAD//punct//1
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Av//PP//case//3 det//DT|NEU|SIN|DEF//det//3 kostnadsfria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 kapitalet//NN|NEU|SIN|DEF|NOM//obl//4 utgörs//VB|PRS|SFO//ROOT//4 30//RG|NOM//nummod//6 miljarder//NN|UTR|PLU|IND|NOM//nmod//7 kronor//NN|UTR|PLU|IND|NOM//nsubj:pass//4 av//PP//case//10 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//10 kapital//NN|NEU|SIN|IND|NOM//nmod//7 .//MAD//punct//4
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//14 bör//VB|PRS|AKT//aux//14 skyddas//VB|INF|SFO//parataxis//4 mot//PP//case//16 förluster//NN|UTR|PLU|IND|NOM//obl//14 genom//PP//mark//20 att//SN//mark//20 vinster//NN|UTR|PLU|IND|NOM//nsubj:pass//20 kvarhålls//VB|PRS|SFO//advcl//14 i//PP//case//22 Riksbanken//PM|NOM//obl//20 och//KN//cc//25 inte//AB//advmod//25 delas//VB|PRS|SFO//conj//20 ut//PL//compound:prt//25 till//PP//case//28 staten//NN|UTR|SIN|DEF|NOM//obl//25 ,//MID//punct//35 tills//SN//mark//35 det//DT|NEU|SIN|DEF//det//33 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj//35 är//VB|PRS|AKT//cop//35 återställt//PC|PRF|NEU|SIN|IND|NOM//advcl//25 .//MAD//punct//35
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Vid//PP//case//38 förluster//NN|UTR|PLU|IND|NOM//obl//46 som//HP|-|-|-//nsubj//40 överstiger//VB|PRS|AKT//acl:relcl//38 10//RG|NOM//nummod//42 miljarder//NN|UTR|PLU|IND|NOM//nmod//43 kronor//NN|UTR|PLU|IND|NOM//obj//40 bör//VB|PRS|AKT//aux//46 kapital//NN|NEU|SIN|IND|NOM//nsubj:pass//46 tillskjutas//VB|INF|SFO//parataxis//35 så//AB//mark//52 att//SN//fixed//47 det//DT|NEU|SIN|DEF//det//51 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//52 återställs//VB|PRS|SFO//advcl//46 .//MAD//punct//14
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Det//DT|NEU|SIN|DEF//det//2 kostnadsfria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 utgörs//VB|PRS|SFO//ROOT//3 av//PP//case//6 utelöpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 sedlar//NN|UTR|PLU|IND|NOM//obl:agent//3 och//KN//cc//8 mynt//NN|NEU|PLU|IND|NOM//conj//6 samt//KN//cc//11 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//11 kapital//NN|NEU|SIN|IND|NOM//conj//6 .//MAD//punct//15
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;För//PP//case//14 närvarande//NN|NEU|SIN|IND|NOM//obl//15 uppgår//VB|PRS|AKT//conj//3 utelöpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 sedlar//NN|UTR|PLU|IND|NOM//obj//15 och//KN//cc//19 mynt//NN|NEU|PLU|IND|NOM//conj//17 till//PP//case//24 ca//AB|AN//advmod//22 95//RG|NOM//nummod//23 miljarder//NN|UTR|PLU|IND|NOM//nmod//24 kronor//NN|UTR|PLU|IND|NOM//obl//15 .//MAD//punct//15
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Tillsammans//AB//advmod//30 med//PP//case//30 det//DT|NEU|SIN|DEF//det//30 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 kapitalet//NN|NEU|SIN|DEF|NOM//parataxis//15 uppgår//VB|PRS|AKT//advcl//15 således//AB//advmod//31 det//DT|NEU|SIN|DEF//det//35 kostnadsfria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj//31 för//PP//case//37 närvarande//NN|NEU|SIN|IND|NOM//obl//31 till//PP//case//41 125//RG|NOM//nummod//40 miljarder//NN|UTR|PLU|IND|NOM//nmod//41 kronor//NN|UTR|PLU|IND|NOM//obl//31 .//MAD//punct//15
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Riksbanken//PM|NOM//nsubj//50 kommer//VB|PRS|AKT//aux//50 därför//AB//advmod//50 under//PP//case//48 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 år//NN|NEU|PLU|IND|NOM//obl//50 att//IE//mark//50 förfoga//VB|INF|AKT//parataxis//15 över//PP//case//55 ett//DT|NEU|SIN|IND//det//55 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 kostnadsfritt//JJ|POS|NEU|SIN|IND|NOM//amod//55 kapital//NN|NEU|SIN|IND|NOM//obl//50 än//KN//mark//60 vad//HP|NEU|SIN|IND//dislocated//60 som//HP|-|-|-//nsubj//60 är//VB|PRS|AKT//cop//60 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//advcl//50 .//MAD//punct//50
Riksbanken föreslås få ett kostnadsfritt, förlust- och inflationsskyddat kapital på 75 miljarder kronor, varav 30 miljarder i eget kapital;Mängden//NN|UTR|SIN|DEF|NOM//nmod//63 sedlar//NN|UTR|PLU|IND|NOM//nsubj:pass//66 och//KN//cc//65 mynt//NN|NEU|PLU|IND|NOM//conj//63 väntas//VB|PRS|SFO//conj//50 dock//AB//advmod//66 minska//VB|INF|AKT//xcomp//66 över//PP//case//70 tid//NN|UTR|SIN|IND|NOM//obl//68 ,//MID//punct//50 vilket//HP|NEU|SIN|IND//nsubj//73 leder//VB|PRS|AKT//conj//50 till//PP//mark//81 att//SN//mark//81 det//DT|NEU|SIN|DEF//det//78 kostnadsfria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj//81 kommer//VB|PRS|AKT//aux//81 att//IE//mark//81 minska//VB|INF|AKT//advcl//73 till//PP//case//85 75//RG|NOM//nummod//84 miljarder//NN|UTR|PLU|IND|NOM//nmod//85 kronor//NN|UTR|PLU|IND|NOM//obl//81 .//MAD//punct//3

Riksbanken bör få rätt att förstärka sin valutareserv så att dess balansomslutning kan uppgå till 200 miljarder kronor;Vid//PP//case//1 behov//NN|NEU|SIN|IND|NOM//obl//2 lämnar//VB|PRS|AKT//ROOT//2 Riksbanken//PM|NOM//nsubj//2 likviditetsstöd//NN|NEU|SIN|IND|NOM//obj//2 i//PP//case//7 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//7 valuta//NN|UTR|SIN|IND|NOM//nmod//4 till//PP//case//10 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 banker//NN|UTR|PLU|IND|NOM//obl//2 och//KN//cc//13 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 finansinstitut//NN|NEU|PLU|IND|NOM//conj//10 .//MAD//punct//2
Riksbanken bör få rätt att förstärka sin valutareserv så att dess balansomslutning kan uppgå till 200 miljarder kronor;För//PP//mark//21 att//IE//mark//21 med//PP//case//19 betryggande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 marginal//NN|UTR|SIN|IND|NOM//obl//21 kunna//VB|INF|AKT//aux//21 fullgöra//VB|INF|AKT//advcl//26 sin//PS|UTR|SIN|DEF//nmod:poss//23 uppgift//NN|UTR|SIN|IND|NOM//obj//21 bör//VB|PRS|AKT//aux//26 Riksbanken//PM|NOM//nsubj//26 få//VB|INF|AKT//parataxis//2 rätt//NN|UTR|SIN|IND|NOM//obj//26 att//IE//mark//29 förstärka//VB|INF|AKT//acl//27 sin//PS|UTR|SIN|DEF//nmod:poss//31 valutareserv//NN|UTR|SIN|IND|NOM//obj//29 vid//PP//case//33 behov//NN|NEU|SIN|IND|NOM//obl//29 så//AB//mark//39 att//SN//fixed//34 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//37 balansomslutning//NN|UTR|SIN|IND|NOM//nsubj//39 kan//VB|PRS|AKT//aux//39 uppgå//VB|INF|AKT//advcl//29 till//PP//case//43 200//RG|NOM//nummod//42 miljarder//NN|UTR|PLU|IND|NOM//nmod//43 kronor//NN|UTR|PLU|IND|NOM//obl//39 .//MAD//punct//26
Riksbanken bör få rätt att förstärka sin valutareserv så att dess balansomslutning kan uppgå till 200 miljarder kronor;Taket//NN|NEU|SIN|DEF|NOM//nsubj:pass//48 på//PP//case//47 balansomslutningen//NN|UTR|SIN|DEF|NOM//nmod//45 räknas//VB|PRS|SFO//conj//2 upp//PL//compound:prt//48 med//PP//case//51 inflationen//NN|UTR|SIN|DEF|NOM//obl//48 plus//AB//case//55 den//DT|UTR|SIN|DEF//det//55 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 tillväxten//NN|UTR|SIN|DEF|NOM//conj//51 .//MAD//punct//48

När Riksbanken har lämnat likviditetsstöd i utländsk valuta bör den få rätt att återställa valutareserven genom upplåning i obegränsad omfattning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 är//VB|PRS|AKT//cop//2 omöjligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//2 att//IE//mark//6 i//PP//advmod//6 förväg//NN|UTR|SIN|IND|NOM//fixed//4 veta//VB|INF|AKT//csubj//2 hur//HA//advmod//8 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//9 likviditetsstöd//NN|NEU|SIN|IND|NOM//dislocated//12 som//HP|-|-|-//nsubj:pass//12 kan//VB|PRS|AKT//aux//12 krävas//VB|INF|SFO//ccomp//6 om//SN//case//17 en//RG|UTR|SIN|IND|NOM//det//17 eller//KN//cc//16 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//14 banker//NN|UTR|PLU|IND|NOM//obl//12 har//VB|PRS|AKT//advcl//12 brist//NN|UTR|SIN|IND|NOM//obj//18 på//PP//case//22 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//22 valuta//NN|UTR|SIN|IND|NOM//nmod//19 och//KN//cc//28 den//DT|UTR|SIN|DEF//det//26 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 stabiliteten//NN|UTR|SIN|DEF|NOM//nsubj//28 är//VB|PRS|AKT//cop//28 hotad//PC|PRF|UTR|SIN|IND|NOM//conj//12 .//MID//punct//12
När Riksbanken har lämnat likviditetsstöd i utländsk valuta bör den få rätt att återställa valutareserven genom upplåning i obegränsad omfattning;Därför//AB//advmod//31 föreslås//VB|PRS|SFO//parataxis//12 att//SN//mark//34 Riksbanken//PM|NOM//nsubj//34 får//VB|PRS|AKT//ccomp//31 rätt//NN|UTR|SIN|IND|NOM//obj//34 att//IE//mark//37 ersätta//VB|INF|AKT//acl//35 lämnat//VB|SUP|AKT//amod//39 likviditetsstöd//NN|NEU|SIN|IND|NOM//obj//34 genom//PP//case//42 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 upplåning//NN|UTR|SIN|IND|NOM//obl//34 av//PP//case//45 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//45 valuta//NN|UTR|SIN|IND|NOM//nmod//42 .//MID//punct//2
När Riksbanken har lämnat likviditetsstöd i utländsk valuta bör den få rätt att återställa valutareserven genom upplåning i obegränsad omfattning;Härigenom//AB//nsubj:pass//48 skapas//VB|PRS|SFO//parataxis//2 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj:pass//48 för//PP//case//51 Riksbanken//PM|NOM//nmod//49 att//IE//mark//53 lämna//VB|INF|AKT//acl//49 likviditetsstöd//NN|NEU|SIN|IND|NOM//obj//53 i//PP//case//57 obegränsad//PC|PRF|UTR|SIN|IND|NOM//amod//57 omfattning//NN|UTR|SIN|IND|NOM//obl//53 .//MAD//punct//2
När Riksbanken har lämnat likviditetsstöd i utländsk valuta bör den få rätt att återställa valutareserven genom upplåning i obegränsad omfattning;Upplåningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 genomföras//VB|INF|SFO//ROOT//2 via//PP//case//4 Riksgäldskontoret//PM|NOM//obl//2 ,//MID//punct//8 som//HP|-|-|-//nsubj//8 kan//VB|PRS|AKT//aux//8 genomföra//VB|INF|AKT//acl:relcl//4 upplåning//NN|UTR|SIN|IND|NOM//obj//8 av//PP//case//13 mycket//AB|POS//advmod//12 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 belopp//NN|NEU|PLU|IND|NOM//nmod//9 i//PP//case//16 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//16 valuta//NN|UTR|SIN|IND|NOM//nmod//13 på//PP//case//19 kort//JJ|POS|UTR|SIN|IND|NOM//amod//19 tid//NN|UTR|SIN|IND|NOM//obl//8 .//MAD//punct//8
När Riksbanken har lämnat likviditetsstöd i utländsk valuta bör den få rätt att återställa valutareserven genom upplåning i obegränsad omfattning;Riksbankens//PM|GEN//nmod:poss//22 valutareserv//NN|UTR|SIN|IND|NOM//nsubj:pass//31 och//KN//cc//27 bankernas//NN|UTR|PLU|DEF|GEN//nmod:poss//27 nyligen//AB//advmod//26 införda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//27 likviditetsbuffertar//NN|UTR|PLU|IND|NOM//conj//22 i//PP//case//30 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//30 valuta//NN|UTR|SIN|IND|NOM//nmod//27 bedöms//VB|PRS|SFO//conj//2 med//PP//case//34 god//JJ|POS|UTR|SIN|IND|NOM//amod//34 marginal//NN|UTR|SIN|IND|NOM//obl//35 räcka//VB|INF|AKT//xcomp//31 för//PP//mark//38 att//IE//mark//38 klara//VB|INF|AKT//advcl//35 en//DT|UTR|SIN|IND//det//41 kort//JJ|POS|UTR|SIN|IND|NOM//amod//41 period//NN|UTR|SIN|IND|NOM//obj//38 med//PP//case//43 likviditetsstress//NN|UTR|SIN|IND|NOM//obl//38 för//PP//case//45 bankerna//NN|UTR|PLU|DEF|NOM//obl//38 tills//SN//mark//49 Riksgäldskontoret//PM|NOM//nsubj//49 kan//VB|PRS|AKT//aux//49 genomföra//VB|INF|AKT//advcl//38 sin//PS|UTR|SIN|DEF//nmod:poss//51 upplåning//NN|UTR|SIN|IND|NOM//obj//49 för//PP//case//53 Riksbanken//PM|NOM//nmod//51 och//KN//cc//56 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//56 program//NN|NEU|SIN|IND|NOM//conj//53 för//PP//mark//59 att//IE//mark//59 garantera//VB|INF|AKT//advcl//49 bankernas//NN|UTR|PLU|DEF|GEN//nmod:poss//61 upplåning//NN|UTR|SIN|IND|NOM//obj//59 kan//VB|PRS|AKT//aux//63 träda//VB|INF|AKT//conj//2 i//PP//compound:prt//63 funktion//NN|UTR|SIN|IND|NOM//fixed//64 .//MAD//punct//2

Riksbankens finansiella oberoende stärks;Riksbankens//PM|GEN//nmod:poss//1 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//nsubj:pass//3 oberoende//NN|NEU|SIN|IND|NOM//advmod//3 stärks//VB|PRS|SFO//ROOT//3 genom//PP//case//8 en//DT|UTR|SIN|IND//det//6 rad//NN|UTR|SIN|IND|NOM//nmod//8 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 åtgärder//NN|UTR|PLU|IND|NOM//obl//3 ://MID//punct//3
Riksbankens finansiella oberoende stärks;Det//DT|NEU|SIN|DEF//det//12 kostnadsfria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//17 och//KN//cc//16 det//DT|NEU|SIN|DEF//det//16 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//17 bestäms//VB|PRS|SFO//parataxis//3 i//PP//case//19 lag//NN|UTR|SIN|IND|NOM//obl//17 och//KN//cc//21 skyddas//VB|PRS|SFO//conj//17 mot//PP//case//23 inflationen//NN|UTR|SIN|DEF|NOM//obl//21 .//MAD//punct//3
Riksbankens finansiella oberoende stärks;Det//DT|NEU|SIN|DEF//det//27 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 kapitalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//28 skyddas//VB|PRS|SFO//parataxis//3 mot//PP//case//30 förluster//NN|UTR|PLU|IND|NOM//obl//28 .//MAD//punct//3
