Styrkraft i funktionshinderspolitiken;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Styrkraft i funktionshinderspolitiken;Styrutredningen//NN|UTR|SIN|DEF|NOM//advmod//2 för//PP//case//2 funktionshinderspolitiken//NN|UTR|SIN|DEF|NOM//ROOT//2
Styrkraft i funktionshinderspolitiken;Stockholm//PM|NOM//ROOT//0 2019//RG|NOM//nummod//0

Till statsrådet och chefen för Socialdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 21//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//acl//12 över//PL//case//16 styrningen//NN|UTR|SIN|DEF|NOM//obl//14 inom//PP//case//18 funktionshinderspolitiken//NN|UTR|SIN|DEF|NOM//nmod//16 (//PAD//punct//18 dir//NN|AN//appos//18 .//MAD//punct//18
Till statsrådet och chefen för Socialdepartementet;2017:133//RG|NOM//obl//14 )//PAD//punct//4 .//MAD//punct//1
Till statsrådet och chefen för Socialdepartementet;Till//PP//case//27 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//27 utredare//NN|UTR|SIN|IND|NOM//obl//28 utsågs//VB|PRT|SFO//conj//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//30 dag//NN|UTR|SIN|IND|NOM//obj//28 fil//NN|AN//obl//28 .//MAD//punct//28
Till statsrådet och chefen för Socialdepartementet;mag//NN|AN//parataxis//28 .//MID//punct//33
Till statsrådet och chefen för Socialdepartementet;Martin//PM|NOM//nsubj:pass//42 Olauzon//PM|NOM//flat//35 .//MAD//punct//35
Till statsrådet och chefen för Socialdepartementet;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 medverkande//NN|UTR|PLU|IND|NOM//nsubj:pass//42 i//PP//case//41 utredningen//NN|UTR|SIN|DEF|NOM//nmod//39 anges//VB|PRS|SFO//conj//28 på//PP//case//45 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 sida//NN|UTR|SIN|IND|NOM//obl//42 .//MAD//punct//28
Till statsrådet och chefen för Socialdepartementet;Den//DT|UTR|SIN|DEF//det//2 20//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//4 2018//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 att//SN//mark//12 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//12 i//PP//case//10 sin//PS|UTR|SIN|DEF//nmod:poss//10 helhet//NN|UTR|SIN|IND|NOM//nmod//7 skulle//VB|PRT|AKT//aux//12 slutredovisas//VB|INF|SFO//ccomp//4 senast//AB|SUV//case//16 den//DT|UTR|SIN|DEF//det//16 30//RG|NOM//nummod//16 april//NN|UTR|SIN|IND|NOM//obl//12 2019//RG|NOM//nummod//16 (//PAD//punct//12 dir//NN|AN//nmod//21 .//MID//punct//21
Till statsrådet och chefen för Socialdepartementet;2018:115//RG|NOM//appos//12 )//PAD//punct//21 .//MAD//punct//4
