%DNJUXQG;OLJW//PM|NOM//ROOT//0 VWUXNWXUELGUDJ//PM|NOM//obj//0
%DNJUXQG;PHG//PM|NOM//nsubj//1 PRWVYDUDQGH//PM|NOM//ROOT//1 EHORSS//PM|NOM//advmod//1 7DEHOO//AB|AN//punct//2 6HNWRU//AB|AN//nummod//2 .RPPXQ//MID//punct//2 /DQGVWLQJ//MAD//parataxis//1 7RWDOW//NN|AN//nummod//8 %//NN|AN//nmod//9 HORSS//NN|NEU|SIN|DEF|NOM//nsubj//6

gYHUYlJDQGHQ RFK I|UVODJ;•//NN|UTR|SIN|IND|NOM//nsubj//1 VPn//PM|NOM//ROOT//1 ODQGVWLQJ//NN|UTR|SIN|DEF|NOM//nsubj//1
gYHUYlJDQGHQ RFK I|UVODJ;PLOMDUGHU//PM|NOM//nsubj//1 QHWWR//PM|NOM//ROOT//1 )//PAD//punct//1 LJXU//PM|NOM//appos//1


6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//12 ://MID//punct//1
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen; //_SP////2 De//DT|UTR/NEU|PLU|DEF//det//6 årliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 förändringarna//NN|UTR|PLU|DEF|NOM//nsubj//12 i//PP//case//8 bidrag//NN|NEU|SIN|IND|NOM//nmod//6 och//KN//cc//10 avgift//NN|UTR|SIN|IND|NOM//conj//8 bör//VB|PRS|AKT//aux//12 slå//VB|INF|AKT//ROOT//12 igenom//PL//compound:prt//12 fullt//AB|POS//advmod//15 ut//AB//advmod//12 .//MAD//punct//12
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Vid//PP//case//18 översyn//NN|UTR|SIN|IND|NOM//obl//26 av//PP//case//21 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 delmodeller//NN|UTR|PLU|IND|NOM//nmod//18 bör//VB|PRS|AKT//aux//26 en//DT|UTR|SIN|IND//det//25 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//25 stabilitet//NN|UTR|SIN|IND|NOM//nsubj:pass//26 eftersträvas//VB|INF|SFO//conj//12 .//MAD//punct//12
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//29 anser//VB|PRS|AKT//parataxis//12 att//SN//mark//33 man//PN|UTR|SIN|IND|SUB//nsubj//33 bör//VB|PRS|AKT//aux//33 öka//VB|INF|AKT//ccomp//29 kunskapen//NN|UTR|SIN|DEF|NOM//obj//33 om//PP//mark//40 att//SN//mark//40 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//nsubj//40 är//VB|PRS|AKT//cop//40 ett//DT|NEU|SIN|IND//det//40 utjämningssystem//NN|NEU|SIN|IND|NOM//obl//33 och//KN//cc//44 inte//AB//advmod//44 ett//DT|NEU|SIN|IND//det//44 bidragssystem//NN|NEU|SIN|IND|NOM//conj//40 .//MAD//punct//12
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 skall//VB|PRS|AKT//aux//4 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//4 analysera//VB|INF|AKT//ROOT//4 stabiliteten//NN|UTR|SIN|DEF|NOM//obj//4 i//PP//case//9 kostnadsutjämningens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 delmodeller//NN|UTR|PLU|IND|NOM//obl//4 mellan//PP//case//11 åren//NN|NEU|PLU|DEF|NOM//nmod//9 .//MAD//punct//4
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Brist//NN|UTR|SIN|IND|NOM//nsubj:pass//16 på//PP//case//15 stabilitet//NN|UTR|SIN|IND|NOM//nmod//13 tolkas//VB|PRS|SFO//parataxis//4 här//AB//advmod//16 som//KN//mark//26 att//SN//fixed//18 tillägg//NN|NEU|SIN|IND|NOM//nsubj:pass//26 ///MID//cc//22 avdrag//NN|NEU|SIN|IND|NOM//nmod//20 i//PP//case//25 en//DT|UTR|SIN|IND//det//25 delmodell//NN|UTR|SIN|IND|NOM//nmod//22 förändras//VB|PRS|SFO//advcl//16 kraftigt//AB|POS//advmod//26 åt//PP//case//30 ett//DT|NEU|SIN|IND//det//30 håll//NN|NEU|SIN|IND|NOM//obl//26 för//PP//mark//35 att//IE//mark//35 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 år//NN|NEU|SIN|IND|NOM//nsubj:pass//35 förändras//VB|PRS|SFO//advcl//26 kraftigt//AB|POS//advmod//35 åt//PP//case//39 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 hållet//NN|NEU|SIN|DEF|NOM//obl//35 .//MAD//punct//4
